,SYY
2014-01-02,27.02408218383789
2014-01-03,27.121885299682617
2014-01-06,27.084272384643555
2014-01-07,27.44538688659668
2014-01-08,27.07674789428711
2014-01-09,27.031604766845703
2014-01-10,27.355119705200195
2014-01-13,27.29492950439453
2014-01-14,27.573293685913086
2014-01-15,27.656044006347656
2014-01-16,27.75385284423828
2014-01-17,27.46796417236328
2014-01-21,27.505582809448242
2014-01-22,27.39272689819336
2014-01-23,27.167030334472656
2014-01-24,26.693042755126953
2014-01-27,26.753238677978516
2014-01-28,26.88113784790039
2014-01-29,26.369544982910156
2014-01-30,26.444778442382812
2014-01-31,26.392114639282227
2014-02-03,25.963275909423828
2014-02-04,26.023468017578125
2014-02-05,26.151363372802734
2014-02-06,26.542583465576172
2014-02-07,26.71562385559082
2014-02-10,26.625337600708008
2014-02-11,26.843517303466797
2014-02-12,26.595247268676758
2014-02-13,26.79837417602539
2014-02-14,26.866090774536133
2014-02-18,27.02408218383789
2014-02-19,26.9488525390625
2014-02-20,26.971420288085938
2014-02-21,27.114364624023438
2014-02-24,27.061704635620117
2014-02-25,27.159509658813477
2014-02-26,27.091787338256836
2014-02-27,27.04665184020996
2014-02-28,27.09930992126465
2014-03-03,27.084272384643555
2014-03-04,27.385210037231445
2014-03-05,27.2347354888916
2014-03-06,27.30245018005371
2014-03-07,27.242252349853516
2014-03-10,27.22720718383789
2014-03-11,27.197118759155273
2014-03-12,27.2347354888916
2014-03-13,26.956375122070312
2014-03-14,27.039127349853516
2014-03-17,27.2121639251709
2014-03-18,27.45291519165039
2014-03-19,27.197118759155273
2014-03-20,27.272354125976562
2014-03-21,27.129405975341797
2014-03-24,26.971420288085938
2014-03-25,26.971420288085938
2014-03-26,26.97894287109375
2014-03-27,26.685531616210938
2014-03-28,27.069223403930664
2014-03-31,27.18206787109375
2014-04-01,27.167030334472656
2014-04-02,27.106348037719727
2014-04-03,27.19736099243164
2014-04-04,27.038097381591797
2014-04-07,27.19736099243164
2014-04-08,27.18220329284668
2014-04-09,27.4400577545166
2014-04-10,27.242868423461914
2014-04-11,26.802982330322266
2014-04-14,27.11393165588379
2014-04-15,27.121522903442383
2014-04-16,27.242868423461914
2014-04-17,27.326297760009766
2014-04-21,27.56899070739746
2014-04-22,27.591753005981445
2014-04-23,27.629671096801758
2014-04-24,27.606918334960938
2014-04-25,27.333881378173828
2014-04-28,27.667587280273438
2014-04-29,27.48556900024414
2014-04-30,27.629671096801758
2014-05-01,27.455230712890625
2014-05-02,27.462812423706055
2014-05-05,28.206077575683594
2014-05-06,27.73585319519043
2014-05-07,27.86478042602539
2014-05-08,27.76618194580078
2014-05-09,27.925464630126953
2014-05-12,27.89512062072754
2014-05-13,27.925464630126953
2014-05-14,27.773775100708008
2014-05-15,27.606918334960938
2014-05-16,27.728267669677734
2014-05-19,27.826852798461914
2014-05-20,27.667587280273438
2014-05-21,27.69034767150879
2014-05-22,27.667587280273438
2014-05-23,27.75101661682129
2014-05-27,27.87995147705078
2014-05-28,27.811681747436523
2014-05-29,28.190900802612305
2014-05-30,28.463943481445312
2014-06-02,28.547361373901367
2014-06-03,28.25916862487793
2014-06-04,28.221256256103516
2014-06-05,28.47153091430664
2014-06-06,28.577707290649414
2014-06-09,28.600460052490234
2014-06-10,28.691476821899414
2014-06-11,28.577707290649414
2014-06-12,28.562538146972656
2014-06-13,28.008892059326172
2014-06-16,27.978548049926758
2014-06-17,27.986133575439453
2014-06-18,28.22883415222168
2014-06-19,28.243995666503906
2014-06-20,28.213665008544922
2014-06-23,28.47911262512207
2014-06-24,28.6611385345459
2014-06-25,28.403270721435547
2014-06-26,28.517032623291016
2014-06-27,28.706636428833008
2014-06-30,28.403270721435547
2014-07-01,28.395618438720703
2014-07-02,28.403270721435547
2014-07-03,28.464414596557617
2014-07-07,28.326841354370117
2014-07-08,28.089881896972656
2014-07-09,28.372692108154297
2014-07-10,28.24275779724121
2014-07-11,28.258047103881836
2014-07-14,28.15867805480957
2014-07-15,28.173961639404297
2014-07-16,28.34211540222168
2014-07-17,27.85293960571289
2014-07-18,28.089881896972656
2014-07-21,28.051673889160156
2014-07-22,28.24275779724121
2014-07-23,28.288610458374023
2014-07-24,28.212188720703125
2014-07-25,28.089881896972656
