,CDW
2014-01-02,20.80348777770996
2014-01-03,20.794597625732422
2014-01-06,21.132719039916992
2014-01-07,21.337373733520508
2014-01-08,21.337373733520508
2014-01-09,21.800065994262695
2014-01-10,22.138198852539062
2014-01-13,21.96912384033203
2014-01-14,21.782268524169922
2014-01-15,21.764467239379883
2014-01-16,21.77338218688965
2014-01-17,21.746681213378906
2014-01-21,22.067001342773438
2014-01-22,21.800065994262695
2014-01-23,21.666597366333008
2014-01-24,21.017045974731445
2014-01-27,20.732303619384766
2014-01-28,21.088232040405273
2014-01-29,20.44757652282715
2014-01-30,20.972549438476562
2014-01-31,21.061532974243164
2014-02-03,20.53655242919922
2014-02-04,20.794597625732422
2014-02-05,20.732303619384766
2014-02-06,20.821287155151367
2014-02-07,20.95475959777832
2014-02-10,20.589941024780273
2014-02-11,20.53655242919922
2014-02-12,21.061532974243164
2014-02-13,22.102598190307617
2014-02-14,21.631010055541992
2014-02-18,21.94243621826172
2014-02-19,21.9780330657959
2014-02-20,22.031417846679688
2014-02-21,21.97169303894043
2014-02-24,21.96278190612793
2014-02-25,21.65081024169922
2014-02-26,22.04300308227539
2014-02-27,22.76499366760254
2014-02-28,23.326541900634766
2014-03-03,23.11261558532715
2014-03-04,23.29979705810547
2014-03-05,23.798959732055664
2014-03-06,23.88808822631836
2014-03-07,22.952180862426758
2014-03-10,22.889781951904297
2014-03-11,22.809558868408203
2014-03-12,22.63129425048828
2014-03-13,22.149961471557617
2014-03-14,22.096471786499023
2014-03-17,22.702600479125977
2014-03-18,22.675857543945312
2014-03-19,22.72933578491211
2014-03-20,22.63129425048828
2014-03-21,22.568899154663086
2014-03-24,22.542158126831055
2014-03-25,23.397844314575195
2014-03-26,23.46023941040039
2014-03-27,23.495893478393555
2014-03-28,23.8078670501709
2014-03-31,24.458547592163086
2014-04-01,25.340984344482422
2014-04-02,25.492517471313477
2014-04-03,25.01119041442871
2014-04-04,24.930965423583984
2014-04-07,24.565505981445312
2014-04-08,24.39615821838379
2014-04-09,25.189449310302734
2014-04-10,24.89531707763672
2014-04-11,24.413978576660156
2014-04-14,24.556598663330078
2014-04-15,24.797266006469727
2014-04-16,25.269681930541992
2014-04-17,25.349899291992188
2014-04-21,25.323165893554688
2014-04-22,25.545989990234375
2014-04-23,25.45686149597168
2014-04-24,25.314245223999023
2014-04-25,24.81509017944336
2014-04-28,24.92204475402832
2014-04-29,24.859651565551758
2014-04-30,25.127065658569336
2014-05-01,25.1448917388916
2014-05-02,25.260761260986328
2014-05-05,25.439029693603516
2014-05-06,25.082490921020508
2014-05-07,24.734872817993164
2014-05-08,25.56381607055664
2014-05-09,26.116456985473633
2014-05-12,26.75822639465332
2014-05-13,26.64234733581543
2014-05-14,26.42843246459961
2014-05-15,26.481910705566406
2014-05-16,26.5977840423584
2014-05-19,26.223421096801758
2014-05-20,26.062973022460938
2014-05-21,26.419519424438477
2014-05-22,25.09215545654297
2014-05-23,25.39565086364746
2014-05-27,25.725933074951172
2014-05-28,25.877681732177734
2014-05-29,25.99372100830078
2014-05-30,26.252593994140625
2014-06-02,26.323999404907227
2014-06-03,26.395410537719727
2014-06-04,26.57394027709961
2014-06-05,26.761396408081055
2014-06-06,26.841732025146484
2014-06-09,27.029186248779297
2014-06-10,27.18985939025879
2014-06-11,27.18985939025879
2014-06-12,27.04704475402832
2014-06-13,27.225566864013672
2014-06-16,27.421947479248047
2014-06-17,27.96646499633789
2014-06-18,27.957538604736328
2014-06-19,28.34137535095215
2014-06-20,28.65379524230957
2014-06-23,28.546676635742188
2014-06-24,28.350299835205078
2014-06-25,28.760913848876953
2014-06-26,28.609159469604492
2014-06-27,28.278884887695312
2014-06-30,28.457416534423828
2014-07-01,28.609159469604492
2014-07-02,28.876955032348633
2014-07-03,29.01085662841797
2014-07-07,28.17177391052246
2014-07-08,28.296735763549805
2014-07-09,28.57345962524414
2014-07-10,28.466337203979492
2014-07-11,28.100353240966797
2014-07-14,28.118206024169922
2014-07-15,27.823633193969727
2014-07-16,27.984315872192383
2014-07-17,27.859338760375977
2014-07-18,27.921829223632812
2014-07-21,27.77008056640625
2014-07-22,27.823633193969727
2014-07-23,27.832565307617188
2014-07-24,27.975391387939453
2014-07-25,27.680805206298828
2014-07-28,27.67188835144043
2014-07-29,27.779003143310547
2014-07-30,27.921829223632812
2014-07-31,27.573694229125977
2014-08-01,27.65403938293457
2014-08-04,27.439807891845703
2014-08-05,27.689743041992188
2014-08-06,27.77008056640625
2014-08-07,27.350542068481445
2014-08-08,27.53799819946289
2014-08-11,27.707597732543945
2014-08-12,27.912899017333984
2014-08-13,28.243179321289062
2014-08-14,28.51097297668457
2014-08-15,28.627016067504883
2014-08-18,29.180450439453125
2014-08-19,29.457172393798828
2014-08-20,29.367916107177734
2014-08-21,29.63872718811035
2014-08-22,29.602983474731445
2014-08-25,29.710237503051758
2014-08-26,29.924747467041016
2014-08-27,29.826431274414062
2014-08-28,29.451034545898438
2014-08-29,29.531482696533203
2014-09-02,29.6208553314209
2014-09-03,28.324827194213867
2014-09-04,28.038808822631836
2014-09-05,28.29802131652832
2014-09-08,28.28013801574707
2014-09-09,28.08350372314453
2014-09-10,28.029878616333008
2014-09-11,27.913677215576172
2014-09-12,28.047752380371094
2014-09-15,27.547224044799805
2014-09-16,27.70809555053711
2014-09-17,28.003063201904297
2014-09-18,28.4052791595459
2014-09-19,28.43209457397461
2014-09-22,27.976247787475586
2014-09-23,27.25225830078125
2014-09-24,27.681297302246094
2014-09-25,27.11818504333496
2014-09-26,27.32376480102539
2014-09-29,27.395275115966797
2014-09-30,27.752798080444336
2014-10-01,27.136066436767578
2014-10-02,26.903675079345703
2014-10-03,27.45783805847168
