,PRU
2014-01-02,57.7886962890625
2014-01-03,57.43852233886719
2014-01-06,57.6231689453125
2014-01-07,57.839637756347656
2014-01-08,57.89694595336914
2014-01-09,58.08796691894531
2014-01-10,57.76960754394531
2014-01-13,56.368831634521484
2014-01-14,57.09468460083008
2014-01-15,57.96061325073242
2014-01-16,57.53401184082031
2014-01-17,57.45125198364258
2014-01-21,57.3875846862793
2014-01-22,56.99281311035156
2014-01-23,55.719383239746094
2014-01-24,53.71371078491211
2014-01-27,53.096073150634766
2014-01-28,53.77737045288086
2014-01-29,53.36988067626953
2014-01-30,54.25490188598633
2014-01-31,53.73281478881836
2014-02-03,51.22411346435547
2014-02-04,52.54213333129883
2014-02-05,52.66947937011719
2014-02-06,52.37023162841797
2014-02-07,53.108821868896484
2014-02-10,52.71404266357422
2014-02-11,53.82193374633789
2014-02-12,53.700958251953125
2014-02-13,53.879268646240234
2014-02-14,54.114837646484375
2014-02-18,54.38224792480469
2014-02-19,53.66275405883789
2014-02-20,53.796478271484375
2014-02-21,53.777244567871094
2014-02-24,54.43722152709961
2014-02-25,53.89900588989258
2014-02-26,53.92461013793945
2014-02-27,53.92461013793945
2014-02-28,54.19375228881836
2014-03-03,53.174949645996094
2014-03-04,54.67429733276367
2014-03-05,55.10357666015625
2014-03-06,55.596954345703125
2014-03-07,56.75669860839844
2014-03-10,56.60930633544922
2014-03-11,56.03265380859375
2014-03-12,55.359886169433594
2014-03-13,54.059181213378906
2014-03-14,53.64909362792969
2014-03-17,53.770835876464844
2014-03-18,54.38594436645508
2014-03-19,54.85368728637695
2014-03-20,56.18644332885742
2014-03-21,55.64181900024414
2014-03-24,55.68662643432617
2014-03-25,55.87246322631836
2014-03-26,54.578182220458984
2014-03-27,53.37998962402344
2014-03-28,53.55939483642578
2014-03-31,54.23857498168945
2014-04-01,54.988250732421875
2014-04-02,55.308589935302734
2014-04-03,55.42394256591797
2014-04-04,54.03356170654297
2014-04-07,52.00880813598633
2014-04-08,51.97036361694336
2014-04-09,52.68157958984375
2014-04-10,50.8939094543457
2014-04-11,49.72777557373047
2014-04-14,50.23395919799805
2014-04-15,50.3685302734375
2014-04-16,51.31681823730469
2014-04-17,51.84861755371094
2014-04-21,51.89989471435547
2014-04-22,52.720035552978516
2014-04-23,52.6239128112793
2014-04-24,52.48295593261719
2014-04-25,51.69485092163086
2014-04-28,51.150238037109375
