,CTRA
2014-01-02,28.809425354003906
2014-01-03,28.64338493347168
2014-01-06,28.83207130432129
2014-01-07,29.337764739990234
2014-01-08,29.247203826904297
2014-01-09,28.25844955444336
2014-01-10,28.303747177124023
2014-01-13,27.503684997558594
2014-01-14,28.19806671142578
2014-01-15,28.39430046081543
2014-01-16,28.801881790161133
2014-01-17,28.288644790649414
2014-01-21,29.50380516052246
2014-01-22,30.122724533081055
2014-01-23,30.047239303588867
2014-01-24,29.851001739501953
2014-01-27,29.488723754882812
2014-01-28,30.48501968383789
2014-01-29,30.575645446777344
2014-01-30,29.994171142578125
2014-01-31,30.19051170349121
2014-02-03,29.797840118408203
2014-02-04,31.42137908935547
2014-02-05,30.52275848388672
2014-02-06,30.401947021484375
2014-02-07,29.692113876342773
2014-02-10,29.231487274169922
2014-02-11,29.639251708984375
2014-02-12,29.155963897705078
2014-02-13,29.322092056274414
2014-02-14,29.344758987426758
2014-02-18,29.948856353759766
2014-02-19,30.258474349975586
2014-02-20,29.661916732788086
2014-02-21,27.2379093170166
2014-02-24,26.920747756958008
2014-02-25,26.83013343811035
2014-02-26,26.709308624267578
2014-02-27,26.716859817504883
2014-02-28,26.42991828918457
2014-03-03,26.23356819152832
2014-03-04,26.286426544189453
2014-03-05,26.09009552001953
2014-03-06,26.40726089477539
2014-03-07,26.512977600097656
2014-03-10,26.61869239807129
2014-03-11,26.62624740600586
2014-03-12,26.505420684814453
2014-03-13,26.17316246032715
2014-03-14,25.644567489624023
2014-03-17,25.214128494262695
2014-03-18,25.350048065185547
2014-03-19,25.266992568969727
2014-03-20,25.040447235107422
2014-03-21,24.889421463012695
2014-03-24,24.655330657958984
2014-03-25,24.632671356201172
2014-03-26,24.345720291137695
2014-03-27,25.259437561035156
2014-03-28,25.55394744873047
2014-03-31,25.58415412902832
2014-04-01,25.886213302612305
2014-04-02,26.377050399780273
2014-04-03,26.799930572509766
2014-04-04,26.10519790649414
2014-04-07,25.689876556396484
2014-04-08,26.10519790649414
2014-04-09,25.74274253845215
2014-04-10,24.542057037353516
2014-04-11,24.474098205566406
2014-04-14,24.738393783569336
2014-04-15,24.896974563598633
2014-04-16,25.7125301361084
2014-04-17,26.369495391845703
2014-04-21,26.520524978637695
2014-04-22,26.920747756958008
2014-04-23,27.2907772064209
2014-04-24,28.67267608642578
2014-04-25,28.831247329711914
2014-04-28,29.32965087890625
2014-04-29,29.548633575439453
2014-04-30,29.661916732788086
2014-05-01,29.752534866333008
2014-05-02,29.284337997436523
2014-05-05,29.155963897705078
2014-05-06,29.110654830932617
2014-05-07,28.733081817626953
2014-05-08,28.128978729248047
2014-05-09,27.872234344482422
2014-05-12,28.08366584777832
2014-05-13,28.333005905151367
2014-05-14,28.045886993408203
2014-05-15,28.113882064819336
2014-05-16,27.585002899169922
2014-05-19,27.74367904663086
2014-05-20,27.441448211669922
2014-05-21,27.7512264251709
2014-05-22,27.2525634765625
2014-05-23,27.025897979736328
2014-05-27,27.494346618652344
2014-05-28,27.169450759887695
2014-05-29,27.6076717376709
2014-05-30,27.38100814819336
2014-06-02,27.139232635498047
2014-06-03,27.32811164855957
2014-06-04,27.192121505737305
2014-06-05,27.388559341430664
2014-06-06,27.267669677734375
2014-06-09,27.071231842041016
2014-06-10,26.451683044433594
2014-06-11,26.413911819458008
2014-06-12,26.640573501586914
2014-06-13,26.194795608520508
2014-06-16,26.209909439086914
