,WAB
2014-01-02,69.14912414550781
2014-01-03,69.5927734375
2014-01-06,68.79991912841797
2014-01-07,69.04532623291016
2014-01-08,68.77156829833984
2014-01-09,69.17744445800781
2014-01-10,69.55500793457031
2014-01-13,68.61109161376953
2014-01-14,69.01698303222656
2014-01-15,70.95196533203125
2014-01-16,71.14073181152344
2014-01-17,70.70653533935547
2014-01-21,71.37672424316406
2014-01-22,71.72592163085938
2014-01-23,72.1412353515625
2014-01-24,68.90370178222656
2014-01-27,67.95983123779297
2014-01-28,68.73380279541016
2014-01-29,68.1958236694336
2014-01-30,69.47948455810547
2014-01-31,69.66825866699219
2014-02-03,66.91212463378906
2014-02-04,67.4123764038086
2014-02-05,67.0348129272461
2014-02-06,68.4884262084961
2014-02-07,69.22463989257812
2014-02-10,68.29962921142578
2014-02-11,69.2152099609375
2014-02-12,70.33902740478516
2014-02-13,71.71788024902344
2014-02-14,72.19953155517578
2014-02-18,71.66119384765625
2014-02-19,71.46288299560547
2014-02-20,73.65392303466797
2014-02-21,73.88055419921875
2014-02-24,74.73995208740234
2014-02-25,74.60774993896484
2014-02-26,73.84278106689453
2014-02-27,74.25831604003906
2014-02-28,74.95713806152344
2014-03-03,74.51329040527344
2014-03-04,76.06211853027344
2014-03-05,76.26988983154297
2014-03-06,76.57209014892578
2014-03-07,77.0726318359375
2014-03-10,76.014892578125
2014-03-11,76.02437591552734
2014-03-12,76.25100708007812
2014-03-13,75.92991638183594
2014-03-14,75.08937072753906
2014-03-17,75.96768188476562
2014-03-18,76.21321868896484
2014-03-19,76.46822357177734
2014-03-20,76.5343246459961
2014-03-21,76.93098449707031
2014-03-24,75.76935577392578
2014-03-25,75.74102020263672
2014-03-26,73.56889343261719
2014-03-27,71.92562866210938
2014-03-28,72.69060516357422
2014-03-31,73.19112396240234
2014-04-01,74.20165252685547
2014-04-02,74.56996154785156
2014-04-03,74.04109954833984
2014-04-04,71.39675903320312
2014-04-07,69.08300018310547
2014-04-08,68.9507827758789
2014-04-09,70.85848236083984
2014-04-10,69.2907485961914
2014-04-11,67.81748962402344
2014-04-14,67.31696319580078
2014-04-15,66.88253784179688
2014-04-16,69.38520050048828
2014-04-17,69.78184509277344
2014-04-21,70.07460021972656
2014-04-22,70.62237548828125
2014-04-23,70.36737060546875
2014-04-24,71.31175231933594
2014-04-25,69.72518920898438
2014-04-28,69.56462097167969
2014-04-29,69.8573989868164
2014-04-30,70.4051742553711
2014-05-01,70.39572143554688
2014-05-02,70.09349822998047
2014-05-05,70.74512481689453
2014-05-06,70.33902740478516
2014-05-07,70.6884765625
2014-05-08,71.02845001220703
2014-05-09,70.17848205566406
2014-05-12,71.68010711669922
2014-05-13,71.61399841308594
2014-05-14,71.15098571777344
2014-05-15,70.14939880371094
2014-05-16,70.29113006591797
2014-05-19,71.47225952148438
2014-05-20,70.54624938964844
2014-05-21,70.72576141357422
2014-05-22,71.16988372802734
2014-05-23,72.81399536132812
2014-05-27,73.711669921875
