,WEC
2014-01-02,28.666593551635742
2014-01-03,28.631404876708984
2014-01-06,28.370996475219727
2014-01-07,28.85663414001465
2014-01-08,28.638450622558594
2014-01-09,28.680665969848633
2014-01-10,29.166305541992188
2014-01-13,28.849592208862305
2014-01-14,28.849592208862305
2014-01-15,28.786237716674805
2014-01-16,28.927003860473633
2014-01-17,28.955158233642578
2014-01-21,29.208538055419922
2014-01-22,29.321151733398438
2014-01-23,29.30706787109375
2014-01-24,29.159263610839844
2014-01-27,29.15222930908203
2014-01-28,29.187419891357422
2014-01-29,29.2578067779541
2014-01-30,29.757511138916016
2014-01-31,30.03200912475586
2014-02-03,29.694164276123047
2014-02-04,29.673051834106445
2014-02-05,29.55341911315918
2014-02-06,29.5041446685791
2014-02-07,29.630836486816406
2014-02-10,29.912351608276367
2014-02-11,30.3839111328125
2014-02-12,30.454946517944336
2014-02-13,30.760339736938477
2014-02-14,30.980514526367188
2014-02-18,31.150978088378906
2014-02-19,30.87396812438965
2014-02-20,31.172279357910156
2014-02-21,31.193584442138672
2014-02-24,31.079952239990234
2014-02-25,31.1154727935791
2014-02-26,30.980514526367188
2014-02-27,30.91659927368164
2014-02-28,31.221988677978516
2014-03-03,30.866872787475586
2014-03-04,31.406660079956055
2014-03-05,31.143863677978516
2014-03-06,31.008920669555664
2014-03-07,31.008920669555664
2014-03-10,31.065753936767578
2014-03-11,30.952096939086914
2014-03-12,31.527400970458984
2014-03-13,31.946439743041992
2014-03-14,32.180809020996094
2014-03-17,32.429386138916016
2014-03-18,32.408084869384766
2014-03-19,31.967742919921875
2014-03-20,31.85409927368164
2014-03-21,32.03877258300781
2014-03-24,32.280242919921875
2014-03-25,32.59984588623047
2014-03-26,32.386775970458984
2014-03-27,32.606956481933594
2014-03-28,32.62824630737305
2014-03-31,33.06150817871094
2014-04-01,33.08992004394531
2014-04-02,33.06150817871094
2014-04-03,33.260372161865234
2014-04-04,33.37401580810547
2014-04-07,33.246177673339844
2014-04-08,33.65100860595703
2014-04-09,33.4166374206543
