,AJG
2014-01-02,36.78767776489258
2014-01-03,36.79563903808594
2014-01-06,36.76376724243164
2014-01-07,37.74422836303711
2014-01-08,37.624671936035156
2014-01-09,38.24643325805664
2014-01-10,38.310203552246094
2014-01-13,37.999305725097656
2014-01-14,38.53339385986328
2014-01-15,38.82832336425781
2014-01-16,38.88414001464844
2014-01-17,38.66891098022461
2014-01-21,39.067481994628906
2014-01-22,39.37038040161133
2014-01-23,38.61311340332031
2014-01-24,37.664527893066406
2014-01-27,37.0347900390625
2014-01-28,37.81597900390625
2014-01-29,37.465248107910156
2014-01-30,37.10652542114258
2014-01-31,36.85145950317383
2014-02-03,35.376747131347656
2014-02-04,35.456451416015625
2014-02-05,35.66372299194336
2014-02-06,35.536190032958984
2014-02-07,36.12605667114258
2014-02-10,36.07025146484375
2014-02-11,36.42101287841797
2014-02-12,36.078224182128906
2014-02-13,36.35723876953125
2014-02-14,36.35723876953125
2014-02-18,36.484764099121094
2014-02-19,36.35723876953125
2014-02-20,36.71593475341797
2014-02-21,36.53261184692383
2014-02-24,36.23765563964844
2014-02-25,36.36518859863281
2014-02-26,36.38911056518555
2014-02-27,36.636226654052734
2014-02-28,37.118282318115234
2014-03-03,37.04597091674805
2014-03-04,37.70478057861328
2014-03-05,37.632469177246094
2014-03-06,37.937774658203125
2014-03-07,37.793155670166016
2014-03-10,37.96990203857422
2014-03-11,37.752986907958984
2014-03-12,37.656578063964844
2014-03-13,37.246826171875
2014-03-14,37.31913375854492
2014-03-17,37.744956970214844
2014-03-18,37.929752349853516
2014-03-19,37.560157775878906
2014-03-20,37.76905822753906
2014-03-21,37.80119705200195
2014-03-24,37.841365814208984
2014-03-25,37.857425689697266
2014-03-26,37.78510665893555
2014-03-27,37.52000045776367
2014-03-28,37.664615631103516
2014-03-31,38.22700500488281
2014-04-01,38.476070404052734
2014-04-02,38.733158111572266
2014-04-03,38.56443405151367
2014-04-04,37.632469177246094
2014-04-07,35.90510940551758
2014-04-08,35.021339416503906
2014-04-09,35.5756950378418
2014-04-10,35.077579498291016
2014-04-11,35.656044006347656
2014-04-14,35.945281982421875
2014-04-15,36.17024230957031
2014-04-16,36.371097564697266
2014-04-17,36.290740966796875
2014-04-21,36.30681228637695
2014-04-22,36.186317443847656
2014-04-23,36.113990783691406
2014-04-24,35.8890266418457
2014-04-25,35.73637771606445
2014-04-28,35.86492919921875
2014-04-29,35.800662994384766
2014-04-30,36.17024230957031
2014-05-01,36.218448638916016
2014-05-02,35.872962951660156
2014-05-05,35.95332336425781
2014-05-06,35.64802551269531
2014-05-07,35.86492919921875
2014-05-08,36.186317443847656
2014-05-09,36.491607666015625
2014-05-12,36.845123291015625
2014-05-13,36.668357849121094
2014-05-14,36.29878616333008
2014-05-15,36.113990783691406
2014-05-16,36.41930389404297
2014-05-19,36.39519500732422
2014-05-20,36.475547790527344
2014-05-21,36.83708572387695
2014-05-22,36.86920928955078
