,TROW
2014-01-02,56.32006072998047
2014-01-03,56.82487106323242
2014-01-06,56.73619079589844
2014-01-07,57.21370315551758
2014-01-08,57.247806549072266
2014-01-09,56.81805419921875
2014-01-10,56.91355895996094
2014-01-13,56.17681121826172
2014-01-14,56.74982833862305
2014-01-15,57.247806549072266
2014-01-16,57.17274856567383
2014-01-17,56.129051208496094
2014-01-21,55.7879524230957
2014-01-22,55.61060333251953
2014-01-23,54.51911926269531
2014-01-24,52.78641128540039
2014-01-27,52.19291305541992
2014-01-28,55.051204681396484
2014-01-29,53.864234924316406
2014-01-30,54.2667121887207
2014-01-31,53.50950622558594
2014-02-03,51.61989212036133
2014-02-04,52.991058349609375
2014-02-05,52.390743255615234
2014-02-06,52.813697814941406
2014-02-07,54.12346649169922
2014-02-10,54.19850540161133
2014-02-11,54.696495056152344
2014-02-12,55.05803298950195
2014-02-13,54.99665069580078
2014-02-14,55.13990020751953
2014-02-18,55.02393341064453
2014-02-19,54.4986686706543
2014-02-20,54.64192199707031
2014-02-21,54.57369613647461
2014-02-24,55.16036605834961
2014-02-25,54.64192199707031
2014-02-26,54.246280670166016
2014-02-27,54.860206604003906
2014-02-28,55.37184524536133
2014-03-03,54.45773696899414
2014-03-04,55.71974563598633
2014-03-05,55.624244689941406
2014-03-06,56.190452575683594
2014-03-07,56.620216369628906
2014-03-10,57.10456085205078
2014-03-11,56.41557312011719
2014-03-12,56.12064743041992
2014-03-13,55.386844635009766
2014-03-14,55.057647705078125
2014-03-17,55.94921112060547
2014-03-18,56.05207443237305
2014-03-19,55.50342559814453
2014-03-20,56.5938720703125
2014-03-21,56.86819076538086
2014-03-24,56.44985580444336
2014-03-25,56.5115852355957
2014-03-26,55.894325256347656
2014-03-27,55.551414489746094
2014-03-28,56.01093292236328
2014-03-31,56.477298736572266
2014-04-01,57.05337142944336
2014-04-02,57.57460021972656
2014-04-03,57.265987396240234
2014-04-04,55.94921112060547
2014-04-07,54.522705078125
2014-04-08,54.58443069458008
2014-04-09,54.77644348144531
2014-04-10,53.569400787353516
2014-04-11,52.9796028137207
2014-04-14,53.487117767333984
2014-04-15,54.351234436035156
2014-04-16,55.09877014160156
2014-04-17,55.29769515991211
2014-04-21,55.28394317626953
2014-04-22,55.702301025390625
2014-04-23,55.67488479614258
2014-04-24,56.113807678222656
2014-04-25,55.79146957397461
2014-04-28,55.54456329345703
2014-04-29,56.1000862121582
2014-04-30,56.32640075683594
2014-05-01,55.79832458496094
2014-05-02,56.05892562866211
2014-05-05,55.82577133178711
