,HLT
2014-01-02,42.541969299316406
2014-01-03,42.83388900756836
2014-01-06,42.814430236816406
2014-01-07,42.814430236816406
2014-01-08,42.87281036376953
2014-01-09,42.56143569946289
2014-01-10,42.211124420166016
2014-01-13,42.26952362060547
2014-01-14,43.009033203125
2014-01-15,42.639278411865234
2014-01-16,42.7365837097168
2014-01-17,43.300960540771484
2014-01-21,42.65874481201172
2014-01-22,43.70964050292969
2014-01-23,44.0988655090332
2014-01-24,43.69017791748047
2014-01-27,42.79497146606445
2014-01-28,42.61982345581055
2014-01-29,42.15275955200195
2014-01-30,42.15275955200195
2014-01-31,42.13329315185547
2014-02-03,40.771018981933594
2014-02-04,40.926700592041016
2014-02-05,40.47909164428711
2014-02-06,41.25753402709961
2014-02-07,42.13329315185547
2014-02-10,41.66622543334961
2014-02-11,42.211124420166016
2014-02-12,42.60036849975586
2014-02-13,42.71712112426758
2014-02-14,42.814430236816406
2014-02-18,42.34737014770508
2014-02-19,41.899757385253906
2014-02-20,41.82191848754883
2014-02-21,43.10634994506836
2014-02-24,43.3204231262207
2014-02-25,43.534488677978516
2014-02-26,43.865318298339844
2014-02-27,43.76802444458008
2014-02-28,43.51502990722656
2014-03-03,43.76802444458008
2014-03-04,43.90425109863281
2014-03-05,44.31293487548828
2014-03-06,43.748558044433594
2014-03-07,44.1961669921875
2014-03-10,43.553951263427734
2014-03-11,43.02851104736328
2014-03-12,43.49557113647461
2014-03-13,42.9117317199707
2014-03-14,42.87281036376953
2014-03-17,43.04796600341797
2014-03-18,43.92372131347656
2014-03-19,43.3204231262207
2014-03-20,43.145259857177734
2014-03-21,44.74107360839844
2014-03-24,44.293479919433594
2014-03-25,43.748558044433594
2014-03-26,43.476104736328125
2014-03-27,43.26203155517578
2014-03-28,43.300960540771484
2014-03-31,43.28147888183594
2014-04-01,43.88479232788086
2014-04-02,43.72909927368164
2014-04-03,42.853355407714844
2014-04-04,42.01652908325195
2014-04-07,41.58837127685547
2014-04-08,41.56892395019531
2014-04-09,41.860836029052734
2014-04-10,41.2186164855957
2014-04-11,41.35483932495117
2014-04-14,41.5494499206543
2014-04-15,41.60784912109375
2014-04-16,42.035980224609375
2014-04-17,42.36682891845703
2014-04-21,41.7635383605957
2014-04-22,41.860836029052734
2014-04-23,41.82191848754883
2014-04-24,41.84136962890625
2014-04-25,41.51053237915039
2014-04-28,41.58837127685547
2014-04-29,41.04346466064453
2014-04-30,42.483585357666016
2014-05-01,42.970123291015625
2014-05-02,42.9117317199707
2014-05-05,43.12580871582031
2014-05-06,43.12580871582031
2014-05-07,44.0988655090332
2014-05-08,44.0599365234375
2014-05-09,44.896759033203125
2014-05-12,44.72161865234375
2014-05-13,44.76054382324219
2014-05-14,43.88479232788086
2014-05-15,42.61982345581055
2014-05-16,42.56143569946289
2014-05-19,42.639278411865234
2014-05-20,41.66622543334961
2014-05-21,42.52250671386719
2014-05-22,42.79497146606445
2014-05-23,42.9117317199707
2014-05-27,43.28147888183594
2014-05-28,42.83388900756836
2014-05-29,43.16471862792969
2014-05-30,44.021018981933594
2014-06-02,44.332401275634766
2014-06-03,44.1961669921875
2014-06-04,44.31293487548828
2014-06-05,44.799461364746094
2014-06-06,45.305450439453125
2014-06-09,45.324913024902344
2014-06-10,45.59735870361328
2014-06-11,44.39078903198242
2014-06-12,43.748558044433594
2014-06-13,43.37879180908203
2014-06-16,43.22311782836914
2014-06-17,43.476104736328125
2014-06-18,43.49557113647461
2014-06-19,43.45663833618164
2014-06-20,43.3204231262207
2014-06-23,43.476104736328125
2014-06-24,43.7874870300293
2014-06-25,44.682701110839844
2014-06-26,44.48808288574219
2014-06-27,44.39078903198242
2014-06-30,45.34436798095703
2014-07-01,45.986595153808594
2014-07-02,46.43418502807617
2014-07-03,48.26353454589844
2014-07-07,47.67970275878906
2014-07-08,47.07639694213867
2014-07-09,48.107845306396484
2014-07-10,47.7186393737793
2014-07-11,47.32939910888672
2014-07-14,47.60186004638672
2014-07-15,47.8159294128418
2014-07-16,47.83539962768555
2014-07-17,46.8428840637207
2014-07-18,47.777008056640625
2014-07-21,48.32191467285156
2014-07-22,48.90576171875
2014-07-23,49.6452751159668
2014-07-24,49.21712875366211
2014-07-25,49.19767379760742
2014-07-28,49.11982727050781
2014-07-29,48.613834381103516
2014-07-30,48.030006408691406
2014-07-31,47.11533737182617
2014-08-01,47.27103042602539
2014-08-04,47.05694580078125
2014-08-05,46.1617431640625
2014-08-06,45.63628387451172
2014-08-07,46.083900451660156
2014-08-08,46.142276763916016
2014-08-11,46.82341384887695
2014-08-12,46.92073059082031
2014-08-13,47.66024398803711
2014-08-14,48.1273078918457
2014-08-15,48.01054763793945
2014-08-18,48.633296966552734
2014-08-19,48.8668327331543
2014-08-20,49.50904083251953
2014-08-21,49.70365905761719
2014-08-22,49.89827346801758
2014-08-25,50.0539665222168
2014-08-26,49.917728424072266
