,MKC
2014-01-02,28.07965660095215
2014-01-03,28.16594123840332
2014-01-06,28.050886154174805
2014-01-07,28.301532745361328
2014-01-08,27.997474670410156
2014-01-09,28.301532745361328
2014-01-10,28.53573226928711
2014-01-13,28.44533920288086
2014-01-14,28.74117660522461
2014-01-15,28.65899658203125
2014-01-16,28.58914566040039
2014-01-17,28.330291748046875
2014-01-21,28.73706817626953
2014-01-22,28.76993751525879
2014-01-23,28.527511596679688
2014-01-24,28.346731185913086
2014-01-27,28.40425682067871
2014-01-28,28.605587005615234
2014-01-29,26.83057975769043
2014-01-30,26.596372604370117
2014-01-31,26.370391845703125
2014-02-03,25.89787483215332
2014-02-04,26.099206924438477
2014-02-05,26.066335678100586
2014-02-06,25.914306640625
2014-02-07,25.90198516845703
2014-02-10,26.26355743408203
2014-02-11,26.538841247558594
2014-02-12,26.41558265686035
2014-02-13,26.699094772338867
2014-02-14,26.912750244140625
2014-02-18,27.17571449279785
2014-02-19,26.892200469970703
2014-02-20,27.171607971191406
2014-02-21,27.105867385864258
2014-02-24,27.22091293334961
2014-02-25,27.200368881225586
2014-02-26,26.962060928344727
2014-02-27,27.09354591369629
2014-02-28,27.282548904418945
2014-03-03,27.167491912841797
2014-03-04,27.537296295166016
2014-03-05,27.459224700927734
2014-03-06,27.446895599365234
2014-03-07,27.52495765686035
2014-03-10,27.508525848388672
2014-03-11,27.611244201660156
2014-03-12,27.90707778930664
2014-03-13,27.742733001708984
2014-03-14,27.796146392822266
2014-03-17,27.931751251220703
2014-03-18,28.005701065063477
2014-03-19,27.79203987121582
2014-03-20,27.750946044921875
2014-03-21,27.750946044921875
2014-03-24,27.738618850708008
2014-03-25,29.254770278930664
2014-03-26,29.213682174682617
2014-03-27,29.078100204467773
2014-03-28,29.304080963134766
2014-03-31,29.476648330688477
2014-04-01,29.42734718322754
2014-04-02,29.29585838317871
2014-04-03,29.353681564331055
2014-04-04,29.031530380249023
2014-04-07,28.936534881591797
2014-04-08,29.419776916503906
2014-04-09,29.29585838317871
2014-04-10,29.14717674255371
2014-04-11,28.911760330200195
2014-04-14,29.08935546875
2014-04-15,28.99022102355957
2014-04-16,29.37847328186035
2014-04-17,29.31651496887207
2014-04-21,29.291728973388672
2014-04-22,29.59737205505371
2014-04-23,29.5643253326416
2014-04-24,29.44455337524414
2014-04-25,29.386728286743164
2014-04-28,29.7130184173584
2014-04-29,29.502370834350586
2014-04-30,29.407379150390625
2014-05-01,29.415639877319336
2014-05-02,29.57259178161621
2014-05-05,29.45694923400879
2014-05-06,29.167823791503906
2014-05-07,29.679988861083984
2014-05-08,29.324777603149414
2014-05-09,29.386728286743164
2014-05-12,29.489992141723633
2014-05-13,29.461078643798828
2014-05-14,29.22565269470215
2014-05-15,29.11001205444336
2014-05-16,29.229768753051758
2014-05-19,29.221515655517578
2014-05-20,29.010875701904297
2014-05-21,29.20086097717285
2014-05-22,29.20499610900879
2014-05-23,29.213268280029297
2014-05-27,29.626296997070312
2014-05-28,29.440427780151367
2014-05-29,29.783235549926758
2014-05-30,29.865848541259766
2014-06-02,29.708892822265625
2014-06-03,29.90713882446289
2014-06-04,30.187990188598633
2014-06-05,30.117774963378906
2014-06-06,30.154953002929688
2014-06-09,30.179737091064453
2014-06-10,29.969091415405273
2014-06-11,29.82039451599121
2014-06-12,29.67171287536621
2014-06-13,29.618022918701172
2014-06-16,29.510643005371094
2014-06-17,29.584983825683594
2014-06-18,29.9897518157959
2014-06-19,29.940183639526367
