,MCD
2014-01-02,72.26905059814453
2014-01-03,72.36647033691406
2014-01-06,71.84927368164062
2014-01-07,72.24653625488281
2014-01-08,71.51945495605469
2014-01-09,71.55691528320312
2014-01-10,71.81179809570312
2014-01-13,71.08466339111328
2014-01-14,71.37700653076172
2014-01-15,71.55691528320312
2014-01-16,72.0066909790039
2014-01-17,71.15962219238281
2014-01-21,71.2720718383789
2014-01-22,71.12214660644531
2014-01-23,71.45195770263672
2014-01-24,70.78483581542969
2014-01-27,70.51495361328125
2014-01-28,70.59744262695312
2014-01-29,69.82532501220703
2014-01-30,70.31259155273438
2014-01-31,70.58992004394531
2014-02-03,69.72787475585938
2014-02-04,69.78035736083984
2014-02-05,70.1476821899414
2014-02-06,71.16712951660156
2014-02-07,71.90174865722656
2014-02-10,71.10716247558594
2014-02-11,71.46693420410156
2014-02-12,71.1296615600586
2014-02-13,71.55691528320312
2014-02-14,71.79679107666016
2014-02-18,71.97669219970703
2014-02-19,71.6243667602539
2014-02-20,71.77429962158203
2014-02-21,72.29901123046875
2014-02-24,72.33651733398438
2014-02-25,72.42646026611328
2014-02-26,71.87926483154297
2014-02-27,71.8792495727539
2014-02-28,71.93216705322266
2014-03-03,71.30469512939453
2014-03-04,71.80365753173828
2014-03-05,71.8338851928711
2014-03-06,72.25724029541016
2014-03-07,72.19676208496094
2014-03-10,71.96996307373047
2014-03-11,74.67639923095703
2014-03-12,74.62348937988281
2014-03-13,73.6104507446289
2014-03-14,73.76921844482422
2014-03-17,73.78433227539062
2014-03-18,73.56510162353516
2014-03-19,72.6503677368164
2014-03-20,73.02836608886719
2014-03-21,72.17406463623047
2014-03-24,72.71084594726562
2014-03-25,72.50670623779297
2014-03-26,72.45378875732422
2014-03-27,72.69570922851562
2014-03-28,73.51219177246094
2014-03-31,74.1093978881836
2014-04-01,74.0111312866211
2014-04-02,73.7767562866211
2014-04-03,73.82969665527344
2014-04-04,73.98844909667969
2014-04-07,73.33829498291016
2014-04-08,74.147216796875
2014-04-09,74.35132598876953
2014-04-10,75.16777801513672
2014-04-11,75.06197357177734
2014-04-14,75.68185424804688
2014-04-15,76.22616577148438
2014-04-16,76.22616577148438
2014-04-17,75.78770446777344
2014-04-21,75.34921264648438
2014-04-22,75.08462524414062
2014-04-23,74.94099426269531
2014-04-24,75.47772979736328
2014-04-25,76.15056610107422
2014-04-28,75.83305358886719
2014-04-29,76.73267364501953
2014-04-30,76.6419677734375
2014-05-01,76.32447052001953
2014-05-02,76.67977142333984
2014-05-05,76.46053314208984
2014-05-06,76.31688690185547
2014-05-07,77.08045196533203
2014-05-08,77.0728759765625
2014-05-09,77.81372833251953
2014-05-12,77.76081085205078
2014-05-13,78.26734161376953
2014-05-14,77.88936614990234
2014-05-15,77.48863983154297
2014-05-16,77.97249603271484
2014-05-19,77.1787109375
2014-05-20,76.75535583496094
2014-05-21,77.53402709960938
2014-05-22,77.45086669921875
2014-05-23,77.11067199707031
2014-05-27,77.38285827636719
2014-05-28,76.58148193359375
2014-05-29,77.22923278808594
2014-05-30,77.29785919189453
2014-06-02,77.75508117675781
2014-06-03,77.31307220458984
2014-06-04,78.06755065917969
2014-06-05,78.07515716552734
2014-06-06,77.70173645019531
2014-06-09,77.25971221923828
2014-06-10,76.87870788574219
2014-06-11,76.52814483642578
2014-06-12,76.02518463134766
2014-06-13,76.58148193359375
2014-06-16,77.04632568359375
2014-06-17,77.1759033203125
2014-06-18,77.23686981201172
2014-06-19,77.66362762451172
2014-06-20,77.67125701904297
2014-06-23,77.66362762451172
2014-06-24,77.32833099365234
2014-06-25,77.43499755859375
2014-06-26,77.35879516601562
2014-06-27,77.32069396972656
2014-06-30,76.77200317382812
2014-07-01,76.97014617919922
2014-07-02,76.61196899414062
2014-07-03,76.95491027832031
2014-07-07,76.33758544921875
2014-07-08,76.2766342163086
2014-07-09,77.02352142333984
2014-07-10,76.65009307861328
2014-07-11,76.49002838134766
2014-07-14,76.56625366210938
2014-07-15,76.43667602539062
2014-07-16,75.65174102783203
2014-07-17,74.96588134765625
2014-07-18,75.43836975097656
2014-07-21,74.34095764160156
2014-07-22,73.3655014038086
2014-07-23,72.66439056396484
2014-07-24,72.66439056396484
2014-07-25,72.94637298583984
2014-07-28,72.9920883178711
2014-07-29,73.0225830078125
2014-07-30,73.1216049194336
2014-07-31,72.06236267089844
2014-08-01,71.86421966552734
2014-08-04,71.87183380126953
2014-08-05,71.2011947631836
2014-08-06,71.231689453125
2014-08-07,71.10973358154297
2014-08-08,71.29265594482422
2014-08-11,71.27741241455078
2014-08-12,71.30024719238281
2014-08-13,71.6051025390625
2014-08-14,71.3764877319336
2014-08-15,71.4755630493164
2014-08-18,71.82608032226562
2014-08-19,71.9785385131836
2014-08-20,71.78038024902344
2014-08-21,72.03948211669922
2014-08-22,71.9785385131836
2014-08-25,71.97090911865234
2014-08-26,71.71943664550781
2014-08-27,72.13092041015625
2014-08-28,72.36151885986328
2014-08-29,72.03866577148438
2014-09-02,71.33153533935547
2014-09-03,71.59286499023438
2014-09-04,71.4929428100586
2014-09-05,71.53909301757812
2014-09-08,71.10093688964844
2014-09-09,70.01712799072266
2014-09-10,71.48526000976562
2014-09-11,71.45452880859375
2014-09-12,71.74658966064453
2014-09-15,71.84654235839844
2014-09-16,72.06175994873047
2014-09-17,71.89264678955078
2014-09-18,71.85424041748047
2014-09-19,72.5306396484375
2014-09-22,72.20011138916016
2014-09-23,71.87725830078125
2014-09-24,73.0225601196289
2014-09-25,72.37689208984375
2014-09-26,72.7919692993164
2014-09-29,73.9603500366211
2014-09-30,72.87654113769531
2014-10-01,72.39995574951172
2014-10-02,72.34615325927734
2014-10-03,72.91497039794922
2014-10-06,72.13091278076172
2014-10-07,71.33920288085938
2014-10-08,72.12325286865234
2014-10-09,71.27003479003906
2014-10-10,70.94718933105469
2014-10-13,69.74039459228516
2014-10-14,70.02479553222656
2014-10-15,69.51748657226562
2014-10-16,69.11011505126953
2014-10-17,69.97869873046875
2014-10-20,70.4014663696289
2014-10-21,69.95562744140625
2014-10-22,69.90180206298828
2014-10-23,69.96330261230469
2014-10-24,70.46295166015625
2014-10-27,70.72430419921875
2014-10-28,71.17778778076172
2014-10-29,71.27774047851562
2014-10-30,71.77735900878906
2014-10-31,72.04637145996094
2014-11-03,71.95413970947266
2014-11-04,72.61519622802734
2014-11-05,72.74585723876953
2014-11-06,72.76123809814453
2014-11-07,73.09941864013672
2014-11-10,73.10711669921875
2014-11-11,73.13017272949219
2014-11-12,73.27622985839844
2014-11-13,73.39154815673828
2014-11-14,73.95266723632812
2014-11-17,73.76815032958984
2014-11-18,74.10639953613281
2014-11-19,74.2216567993164
2014-11-20,74.28317260742188
2014-11-21,74.31393432617188
2014-11-24,74.6905746459961
2014-11-25,74.55989837646484
2014-11-26,74.61418151855469
2014-11-28,75.07170104980469
2014-12-01,74.27297973632812
2014-12-02,73.75342559814453
2014-12-03,74.05583953857422
2014-12-04,74.17991638183594
2014-12-05,74.68397521972656
2014-12-08,71.81478118896484
2014-12-09,70.84547424316406
2014-12-10,69.79087829589844
2014-12-11,70.54305267333984
2014-12-12,70.27161407470703
2014-12-15,68.59663391113281
2014-12-16,68.79827880859375
2014-12-17,71.07036590576172
2014-12-18,72.63677215576172
2014-12-19,72.28781127929688
2014-12-22,72.80736541748047
2014-12-23,73.06327056884766
2014-12-24,72.76085662841797
2014-12-26,73.49751281738281
2014-12-29,73.69913482666016
2014-12-30,73.0865249633789
2014-12-31,72.66002655029297
2015-01-02,72.31884765625
2015-01-05,71.52014923095703
2015-01-06,71.65193176269531
2015-01-07,72.9004135131836
2015-01-08,73.17183685302734
2015-01-09,72.28006744384766
2015-01-12,72.12496948242188
2015-01-13,71.9853744506836
2015-01-14,70.98504638671875
2015-01-15,70.86097717285156
2015-01-16,70.94628143310547
2015-01-20,70.4112319946289
2015-01-21,70.05451202392578
2015-01-22,70.48099517822266
2015-01-23,69.44965362548828
2015-01-26,70.31039428710938
2015-01-27,69.45740509033203
2015-01-28,68.84477233886719
2015-01-29,72.3265609741211
2015-01-30,71.68297576904297
2015-02-02,71.73725128173828
2015-02-03,72.83063507080078
2015-02-04,72.93144226074219
2015-02-05,73.15632629394531
2015-02-06,72.88493347167969
2015-02-09,71.90010833740234
2015-02-10,72.90817260742188
