,AAPL
2014-01-02,17.234291076660156
2014-01-03,16.85573387145996
2014-01-06,16.947641372680664
2014-01-07,16.826440811157227
2014-01-08,16.932998657226562
2014-01-09,16.716764450073242
2014-01-10,16.60521697998047
2014-01-13,16.692150115966797
2014-01-14,17.0242977142334
2014-01-15,17.366092681884766
2014-01-16,17.269195556640625
2014-01-17,16.846071243286133
2014-01-21,17.107799530029297
2014-01-22,17.183820724487305
2014-01-23,17.32933235168457
2014-01-24,17.014314651489258
2014-01-27,17.1523494720459
2014-01-28,15.78140640258789
2014-01-29,15.602248191833496
2014-01-30,15.572027206420898
2014-01-31,15.597577095031738
2014-02-03,15.626561164855957
2014-02-04,15.852760314941406
2014-02-05,15.971161842346191
2014-02-06,16.06425666809082
2014-02-07,16.28898811340332
2014-02-10,16.580812454223633
2014-02-11,16.799278259277344
2014-02-12,16.798017501831055
2014-02-13,17.064767837524414
2014-02-14,17.050968170166016
2014-02-18,17.11366081237793
2014-02-19,16.843475341796875
2014-02-20,16.648509979248047
2014-02-21,16.463581085205078
2014-02-24,16.535667419433594
2014-02-25,16.363588333129883
2014-02-26,16.21596336364746
2014-02-27,16.539440155029297
2014-02-28,16.494617462158203
2014-03-03,16.54225730895996
2014-03-04,16.65133285522461
2014-03-05,16.686437606811523
2014-03-06,16.635974884033203
2014-03-07,16.626264572143555
2014-03-10,16.641294479370117
2014-03-11,16.803346633911133
2014-03-12,16.819650650024414
2014-03-13,16.63283920288086
2014-03-14,16.446029663085938
2014-03-17,16.510282516479492
2014-03-18,16.65634536743164
2014-03-19,16.651962280273438
2014-03-20,16.571720123291016
2014-03-21,16.70242691040039
2014-03-24,16.9005184173584
2014-03-25,17.08231544494629
2014-03-26,16.91901206970215
2014-03-27,16.846290588378906
2014-03-28,16.827491760253906
2014-03-31,16.8237247467041
2014-04-01,16.977630615234375
2014-04-02,17.005836486816406
2014-04-03,16.88797950744629
2014-04-04,16.669513702392578
2014-04-07,16.407787322998047
2014-04-08,16.40685272216797
2014-04-09,16.62249183654785
2014-04-10,16.40810203552246
2014-04-11,16.286806106567383
2014-04-14,16.3516788482666
2014-04-15,16.235076904296875
2014-04-16,16.267990112304688
2014-04-17,16.453861236572266
2014-04-21,16.649141311645508
2014-04-22,16.665754318237305
2014-04-23,16.447912216186523
2014-04-24,17.796342849731445
2014-04-25,17.927038192749023
2014-04-28,18.621322631835938
2014-04-29,18.56615447998047
2014-04-30,18.495946884155273
2014-05-01,18.53951072692871
2014-05-02,18.573986053466797
2014-05-05,18.836650848388672
2014-05-06,18.6313533782959
2014-05-07,18.56615447998047
2014-05-08,18.533058166503906
2014-05-09,18.45583724975586
2014-05-12,18.68561553955078
2014-05-13,18.71492576599121
2014-05-14,18.718393325805664
2014-05-15,18.559215545654297
2014-05-16,18.833127975463867
2014-05-19,19.056278228759766
2014-05-20,19.06006622314453
2014-05-21,19.110490798950195
2014-05-22,19.140750885009766
2014-05-23,19.356971740722656
2014-05-27,19.71944808959961
2014-05-28,19.66838264465332
2014-05-29,20.026763916015625
2014-05-30,19.95174217224121
2014-06-02,19.81462860107422
2014-06-03,20.094837188720703
2014-06-04,20.324312210083008
2014-06-05,20.4040470123291
2014-06-06,20.347946166992188
2014-06-09,20.673534393310547
2014-06-10,20.79488182067871
2014-06-11,20.708839416503906
2014-06-12,20.362442016601562
2014-06-13,20.13960075378418
2014-06-16,20.342575073242188
2014-06-17,20.31610679626465
2014-06-18,20.338171005249023
2014-06-19,20.267574310302734
2014-06-20,20.05796241760254
2014-06-23,20.040307998657227
2014-06-24,19.91895866394043
2014-06-25,19.93661117553711
2014-06-26,20.055755615234375
2014-06-27,20.29403305053711
2014-06-30,20.503643035888672
2014-07-01,20.63382339477539
2014-07-02,20.624996185302734
2014-07-03,20.7463436126709
2014-07-07,21.174373626708984
2014-07-08,21.037580490112305
2014-07-09,21.046411514282227
2014-07-10,20.96919059753418
2014-07-11,21.00890350341797
2014-07-14,21.2802791595459
2014-07-15,21.030961990356445
2014-07-16,20.91181755065918
2014-07-17,20.538949966430664
2014-07-18,20.83460235595703
2014-07-21,20.72648811340332
2014-07-22,20.898584365844727
2014-07-23,21.443557739257812
2014-07-24,21.40825653076172
2014-07-25,21.54946517944336
2014-07-28,21.847312927246094
2014-07-29,21.70610809326172
2014-07-30,21.655363082885742
2014-07-31,21.092742919921875
2014-08-01,21.20967674255371
2014-08-04,21.09053611755371
2014-08-05,20.986839294433594
2014-08-06,20.9515380859375
2014-08-07,20.949321746826172
2014-08-08,21.006973266601562
2014-08-11,21.284141540527344
2014-08-12,21.279705047607422
2014-08-13,21.561307907104492
2014-08-14,21.61895751953125
2014-08-15,21.725383758544922
2014-08-18,21.987035751342773
2014-08-19,22.290809631347656
2014-08-20,22.299673080444336
2014-08-21,22.301898956298828
2014-08-22,22.465974807739258
2014-08-25,22.514751434326172
2014-08-26,22.37062644958496
2014-08-27,22.645566940307617
2014-08-28,22.672182083129883
2014-08-29,22.72762107849121
2014-09-02,22.905004501342773
2014-09-03,21.938247680664062
2014-09-04,21.756427764892578
2014-09-05,21.944900512695312
2014-09-08,21.80963897705078
2014-09-09,21.72760581970215
2014-09-10,22.39501953125
2014-09-11,22.4903621673584
2014-09-12,22.541358947753906
2014-09-15,22.534709930419922
2014-09-16,22.363977432250977
2014-09-17,22.523630142211914
2014-09-18,22.570180892944336
2014-09-19,22.386150360107422
2014-09-22,22.408321380615234
2014-09-23,22.758657455444336
2014-09-24,22.56131935119629
2014-09-25,21.70100212097168
2014-09-26,22.339584350585938
2014-09-29,22.197673797607422
2014-09-30,22.339584350585938
2014-10-01,21.99146842956543
2014-10-02,22.151111602783203
2014-10-03,22.089025497436523
2014-10-06,22.089025497436523
2014-10-07,21.896121978759766
2014-10-08,22.35067367553711
2014-10-09,22.399452209472656
2014-10-10,22.33515167236328
2014-10-13,22.131155014038086
2014-10-14,21.896121978759766
2014-10-15,21.627817153930664
2014-10-16,21.34400749206543
2014-10-17,21.656652450561523
2014-10-20,22.120075225830078
2014-10-21,22.720966339111328
2014-10-22,22.836273193359375
2014-10-23,23.244258880615234
2014-10-24,23.330732345581055
2014-10-27,23.306337356567383
2014-10-28,23.667766571044922
2014-10-29,23.800804138183594
2014-10-30,23.720983505249023
2014-10-31,23.9471492767334
2014-11-03,24.257577896118164
2014-11-04,24.080188751220703
2014-11-05,24.13783836364746
2014-11-06,24.206876754760742
2014-11-07,24.27591323852539
2014-11-10,24.235822677612305
2014-11-11,24.4295711517334
2014-11-12,24.77474594116211
2014-11-13,25.124372482299805
2014-11-14,25.4272403717041
2014-11-17,25.384923934936523
2014-11-18,25.714515686035156
2014-11-19,25.536357879638672
2014-11-20,25.901573181152344
2014-11-21,25.937210083007812
2014-11-24,26.418230056762695
2014-11-25,26.188854217529297
2014-11-26,26.500629425048828
2014-11-28,26.48504066467285
2014-12-01,25.62543487548828
2014-12-02,25.52745246887207
2014-12-03,25.816957473754883
2014-12-04,25.718965530395508
2014-12-05,25.60984230041504
2014-12-08,25.03084373474121
2014-12-09,25.413883209228516
2014-12-10,24.93062973022461
2014-12-11,24.85714340209961
2014-12-12,24.436250686645508
