,TSCO
2014-01-02,65.9115219116211
2014-01-03,65.63687133789062
2014-01-06,64.7614974975586
2014-01-07,65.1648941040039
2014-01-08,65.52532958984375
2014-01-09,65.82569885253906
2014-01-10,65.72271728515625
2014-01-13,62.99357604980469
2014-01-14,63.808868408203125
2014-01-15,64.5212173461914
2014-01-16,63.77455139160156
2014-01-17,63.6544189453125
2014-01-21,62.57304000854492
2014-01-22,62.787593841552734
2014-01-23,61.68047332763672
2014-01-24,60.23008728027344
2014-01-27,60.47039031982422
2014-01-28,60.659175872802734
2014-01-29,59.21739959716797
2014-01-30,57.89571762084961
2014-01-31,57.080413818359375
2014-02-03,54.42849349975586
2014-02-04,54.54008102416992
2014-02-05,54.703128814697266
2014-02-06,55.87030792236328
2014-02-07,57.0889892578125
2014-02-10,56.65987014770508
2014-02-11,56.3595085144043
2014-02-12,56.64271926879883
2014-02-13,56.79719924926758
2014-02-14,56.38525390625
2014-02-18,57.097564697265625
2014-02-19,56.31657791137695
2014-02-20,56.55735397338867
2014-02-21,57.09913635253906
2014-02-24,57.41728591918945
2014-02-25,59.50693130493164
2014-02-26,60.590431213378906
2014-02-27,60.470027923583984
2014-02-28,60.6763916015625
2014-03-03,60.323856353759766
2014-03-04,61.691139221191406
2014-03-05,61.691139221191406
2014-03-06,62.164093017578125
2014-03-07,62.533851623535156
2014-03-10,62.3876838684082
2014-03-11,62.01790237426758
2014-03-12,61.99210739135742
2014-03-13,60.94300079345703
2014-03-14,61.10636901855469
2014-03-17,62.18989944458008
2014-03-18,63.64316177368164
2014-03-19,63.25619888305664
2014-03-20,63.694759368896484
2014-03-21,63.95273971557617
2014-03-24,62.94660949707031
2014-03-25,61.77711486816406
2014-03-26,60.56464385986328
2014-03-27,60.40123748779297
2014-03-28,60.85700225830078
2014-03-31,60.73661422729492
2014-04-01,61.673927307128906
2014-04-02,62.1382942199707
2014-04-03,61.08917999267578
2014-04-04,59.46390914916992
2014-04-07,57.59788513183594
2014-04-08,58.38040542602539
2014-04-09,59.46390914916992
2014-04-10,58.13103485107422
2014-04-11,57.692466735839844
2014-04-14,57.486080169677734
2014-04-15,57.374305725097656
2014-04-16,57.520484924316406
2014-04-17,57.83006286621094
2014-04-21,57.795658111572266
2014-04-22,58.03643035888672
2014-04-23,57.907470703125
2014-04-24,57.348514556884766
2014-04-25,56.47997283935547
2014-04-28,57.133522033691406
2014-04-29,57.400108337402344
2014-04-30,57.82145690917969
2014-05-01,57.35710906982422
2014-05-02,57.67527389526367
2014-05-05,57.460296630859375
2014-05-06,56.161781311035156
2014-05-07,55.3362922668457
2014-05-08,55.405059814453125
2014-05-09,56.273582458496094
2014-05-12,57.18513107299805
2014-05-13,55.654449462890625
2014-05-14,55.164283752441406
2014-05-15,54.44876480102539
2014-05-16,55.01774215698242
2014-05-19,54.8884162902832
2014-05-20,54.81946563720703
2014-05-21,55.14703369140625
2014-05-22,54.81946563720703
2014-05-23,54.94877624511719
2014-05-27,55.86257553100586
2014-05-28,54.94877624511719
2014-05-29,54.845314025878906
2014-05-30,56.05223083496094
2014-06-02,56.07810592651367
2014-06-03,56.319480895996094
2014-06-04,56.19015884399414
2014-06-05,56.500511169433594
2014-06-06,56.888427734375
2014-06-09,57.060848236083984
2014-06-10,56.595333099365234
2014-06-11,56.81085205078125
2014-06-12,56.07810592651367
2014-06-13,56.03498077392578
2014-06-16,55.48326110839844
2014-06-17,55.560829162597656
2014-06-18,55.655670166015625
2014-06-19,55.33671569824219
2014-06-20,54.35394287109375
2014-06-23,54.310829162597656
2014-06-24,53.9315185546875
2014-06-25,53.67289352416992
2014-06-26,52.44874954223633
2014-06-27,51.90562057495117
2014-06-30,52.06943893432617
2014-07-01,52.65565490722656
2014-07-02,52.491844177246094
2014-07-03,53.14704132080078
2014-07-07,53.05220031738281
2014-07-08,52.40564727783203
2014-07-09,52.914268493652344
2014-07-10,51.65563201904297
2014-07-11,52.02633285522461
2014-07-14,52.28495788574219
2014-07-15,52.56943130493164
2014-07-16,52.54358673095703
2014-07-17,52.672882080078125
2014-07-18,53.63840866088867
2014-07-21,53.12117004394531
2014-07-22,53.09529495239258
2014-07-23,52.64704132080078
2014-07-24,56.12980651855469
2014-07-25,54.71600341796875
2014-07-28,54.68152618408203
2014-07-29,54.77634811401367
2014-07-30,55.009124755859375
2014-07-31,53.59530258178711
2014-08-01,52.862548828125
2014-08-04,53.284950256347656
2014-08-05,53.29357147216797
2014-08-06,52.879783630371094
2014-08-07,52.50908279418945
2014-08-08,53.23323059082031
2014-08-11,53.55221176147461
2014-08-12,53.56083297729492
2014-08-13,53.19873809814453
2014-08-14,53.61363220214844
2014-08-15,52.9826774597168
2014-08-18,53.46669387817383
2014-08-19,53.86427688598633
2014-08-20,54.6681022644043
2014-08-21,54.91010284423828
2014-08-22,55.80034255981445
2014-08-25,56.41400909423828
2014-08-26,57.71912384033203
2014-08-27,57.48576736450195
2014-08-28,58.0389404296875
2014-08-29,57.86608123779297
2014-09-02,58.04757308959961
2014-09-03,57.67592239379883
2014-09-04,56.89802169799805
2014-09-05,56.88938903808594
2014-09-08,55.79170608520508
2014-09-09,54.91010284423828
2014-09-10,53.2592658996582
2014-09-11,53.43210983276367
2014-09-12,52.766605377197266
2014-09-15,52.02326583862305
2014-09-16,52.49000930786133
2014-09-17,52.61102294921875
2014-09-18,53.112327575683594
2014-09-19,52.74066925048828
2014-09-22,52.118350982666016
2014-09-23,51.867706298828125
2014-09-24,53.2592658996582
2014-09-25,52.420875549316406
2014-09-26,53.46669387817383
2014-09-29,53.09503936767578
2014-09-30,53.16417694091797
2014-10-01,52.16157913208008
2014-10-02,52.68880081176758
2014-10-03,53.570411682128906
2014-10-06,53.077735900878906
2014-10-07,51.297245025634766
2014-10-08,51.19353103637695
2014-10-09,50.39836883544922
2014-10-10,49.39576721191406
2014-10-13,49.41304397583008
2014-10-14,49.871124267578125
2014-10-15,49.75876998901367
2014-10-16,50.58850860595703
2014-10-17,50.84781265258789
2014-10-20,52.22207260131836
2014-10-21,53.1209716796875
2014-10-22,52.9826774597168
2014-10-23,61.3665771484375
2014-10-24,61.94564437866211
2014-10-27,62.10985565185547
2014-10-28,63.62241744995117
2014-10-29,62.61119842529297
2014-10-30,62.49015808105469
2014-10-31,63.285335540771484
2014-11-03,63.458187103271484
2014-11-04,62.645755767822266
2014-11-05,63.406341552734375
2014-11-06,64.30525970458984
2014-11-07,64.44351959228516
2014-11-10,63.64835739135742
2014-11-11,63.39768600463867
2014-11-12,63.864437103271484
2014-11-13,64.05500793457031
2014-11-14,64.84323120117188
2014-11-17,64.59203338623047
2014-11-18,64.41878509521484
2014-11-19,65.24169158935547
2014-11-20,65.23298645019531
2014-11-21,65.55352020263672
2014-11-24,66.50633239746094
2014-11-25,65.91732025146484
2014-11-26,65.56218719482422
2014-11-28,66.63626861572266
2014-12-01,66.19450378417969
2014-12-02,66.30709075927734
2014-12-03,68.11744689941406
2014-12-04,67.71900177001953
2014-12-05,68.05681610107422
2014-12-08,68.02218627929688
2014-12-09,67.79693603515625
2014-12-10,66.80945587158203
2014-12-11,67.22525787353516
2014-12-12,67.3205337524414
2014-12-15,67.23392486572266
2014-12-16,66.10785675048828
2014-12-17,66.61026763916016
2014-12-18,67.12999725341797
2014-12-19,66.15983581542969
2014-12-22,66.922119140625
2014-12-23,67.96154022216797
2014-12-24,67.38982391357422
2014-12-26,67.49378967285156
2014-12-29,68.1607437133789
2014-12-30,67.12999725341797
2014-12-31,68.27335357666016
2015-01-02,67.62371063232422
2015-01-05,66.23780822753906
2015-01-06,65.22437286376953
2015-01-07,67.33785247802734
2015-01-08,70.09236145019531
2015-01-09,69.22618103027344
2015-01-12,68.65449523925781
2015-01-13,68.05681610107422
2015-01-14,67.00872039794922
2015-01-15,65.13774871826172
2015-01-16,66.28113555908203
2015-01-20,65.56218719482422
2015-01-21,66.77484130859375
2015-01-22,69.06160736083984
2015-01-23,69.05292510986328
2015-01-26,70.83731079101562
2015-01-27,69.78054809570312
2015-01-28,69.17420959472656
2015-01-29,72.1452407836914
2015-01-30,70.30889892578125
2015-02-02,70.4734878540039
2015-02-03,71.98931884765625
2015-02-04,72.20587158203125
2015-02-05,72.32715606689453
2015-02-06,71.83343505859375
2015-02-09,71.40032196044922
2015-02-10,72.1105728149414
2015-02-11,71.40898895263672
2015-02-12,72.12792205810547
2015-02-13,72.9854507446289
2015-02-17,73.25398254394531
2015-02-18,73.52249145507812
2015-02-19,74.26013946533203
2015-02-20,76.4731216430664
2015-02-23,76.69876098632812
2015-02-24,77.28887176513672
2015-02-25,78.08726501464844
2015-02-26,77.13263702392578
2015-02-27,76.4731216430664
2015-03-02,77.50579833984375
