,DFS
2014-01-02,43.70381546020508
2014-01-03,43.47488021850586
2014-01-06,42.91437911987305
2014-01-07,43.20647048950195
2014-01-08,43.230159759521484
2014-01-09,43.51435470581055
2014-01-10,43.743309020996094
2014-01-13,42.361751556396484
2014-01-14,43.245941162109375
2014-01-15,43.30120849609375
2014-01-16,42.84333419799805
2014-01-17,42.164398193359375
2014-01-21,42.069664001464844
2014-01-22,42.361751556396484
2014-01-23,41.36704635620117
2014-01-24,42.53544616699219
2014-01-27,42.085453033447266
2014-01-28,43.64855194091797
2014-01-29,42.6143798828125
2014-01-30,43.245941162109375
2014-01-31,42.35386657714844
2014-02-03,41.21705627441406
2014-02-04,41.399330139160156
2014-02-05,41.787635803222656
2014-02-06,42.770320892333984
2014-02-07,43.78469467163086
2014-02-10,44.08584976196289
2014-02-11,44.12548065185547
2014-02-12,44.2047233581543
2014-02-13,44.51380157470703
2014-02-14,45.108154296875
2014-02-18,45.615333557128906
2014-02-19,45.05266189575195
2014-02-20,45.227027893066406
2014-02-21,44.941741943359375
2014-02-24,45.52024459838867
2014-02-25,45.139854431152344
2014-02-26,44.997196197509766
2014-02-27,44.75946044921875
2014-02-28,45.47268295288086
2014-03-03,45.211185455322266
2014-03-04,46.074981689453125
2014-03-05,46.23347091674805
2014-03-06,46.57423782348633
2014-03-07,46.97840881347656
2014-03-10,47.08143997192383
2014-03-11,46.43951416015625
2014-03-12,46.43951416015625
2014-03-13,45.39345169067383
2014-03-14,45.3062629699707
2014-03-17,45.71043395996094
2014-03-18,45.3141975402832
2014-03-19,45.70250701904297
2014-03-20,46.53461837768555
2014-03-21,45.773841857910156
2014-03-24,45.83723449707031
2014-03-25,45.5123176574707
2014-03-26,44.941741943359375
2014-03-27,45.23495864868164
2014-03-28,45.57571792602539
2014-03-31,46.11460494995117
2014-04-01,46.81991958618164
2014-04-02,46.8991584777832
2014-04-03,47.113136291503906
2014-04-04,46.27309036254883
2014-04-07,44.933799743652344
2014-04-08,44.735687255859375
2014-04-09,45.34589767456055
2014-04-10,44.14924240112305
2014-04-11,43.7054557800293
2014-04-14,43.808475494384766
2014-04-15,43.982818603515625
2014-04-16,44.79115676879883
2014-04-17,45.06059646606445
2014-04-21,44.98929214477539
2014-04-22,44.91002655029297
2014-04-23,44.60096740722656
2014-04-24,44.577178955078125
2014-04-25,44.00659942626953
2014-04-28,44.054161071777344
2014-04-29,44.17302703857422
2014-04-30,44.29982376098633
2014-05-01,44.3949089050293
2014-05-02,44.76738357543945
2014-05-05,44.69606399536133
2014-05-06,44.26628112792969
2014-05-07,45.14970779418945
2014-05-08,45.80232238769531
2014-05-09,45.79435729980469
2014-05-12,46.38330078125
2014-05-13,45.77843475341797
2014-05-14,45.277042388916016
2014-05-15,45.03031921386719
2014-05-16,44.90297317504883
2014-05-19,45.237247467041016
2014-05-20,44.863197326660156
2014-05-21,45.22133255004883
2014-05-22,45.404388427734375
2014-05-23,45.587425231933594
2014-05-27,46.22413635253906
2014-05-28,46.73347854614258
2014-05-29,46.701656341552734
2014-05-30,47.059791564941406
2014-06-02,47.409969329833984
2014-06-03,47.370182037353516
2014-06-04,47.600990295410156
2014-06-05,47.744239807128906
2014-06-06,49.13700485229492
2014-06-09,49.15291976928711
2014-06-10,49.208648681640625
2014-06-11,48.890289306640625
2014-06-12,48.76294708251953
2014-06-13,48.56399154663086
2014-06-16,48.66745376586914
2014-06-17,49.03355026245117
2014-06-18,49.34393310546875
2014-06-19,49.304134368896484
2014-06-20,49.69411849975586
2014-06-23,49.4792366027832
2014-06-24,48.99375534057617
2014-06-25,49.15291976928711
2014-06-26,49.160892486572266
2014-06-27,49.32801818847656
2014-06-30,49.32801818847656
2014-07-01,50.05226516723633
