,ESS
2014-04-08,122.2242202758789
2014-04-09,121.7990493774414
2014-04-10,120.45868682861328
2014-04-11,118.7724380493164
2014-04-14,119.6443862915039
2014-04-15,120.40824890136719
2014-04-16,121.3018569946289
2014-04-17,120.98472595214844
2014-04-21,122.23143768310547
2014-04-22,122.78633117675781
2014-04-23,121.63330078125
2014-04-24,122.98810577392578
2014-04-25,122.44759368896484
2014-04-28,124.58786010742188
2014-04-29,124.35006713867188
2014-04-30,124.8544692993164
2014-05-01,125.88492584228516
2014-05-02,126.72087097167969
2014-05-05,127.77299499511719
2014-05-06,127.17484283447266
2014-05-07,129.43043518066406
2014-05-08,129.72589111328125
2014-05-09,129.95648193359375
2014-05-12,130.17266845703125
2014-05-13,129.18536376953125
2014-05-14,129.32949829101562
2014-05-15,129.30068969726562
2014-05-16,130.47531127929688
2014-05-19,129.1925506591797
2014-05-20,129.1277618408203
2014-05-21,128.7097625732422
2014-05-22,128.7169952392578
2014-05-23,129.43760681152344
2014-05-27,129.40162658691406
2014-05-28,128.94041442871094
2014-05-29,129.3727264404297
2014-05-30,130.4032440185547
2014-06-02,130.72755432128906
2014-06-03,130.42486572265625
2014-06-04,131.1527099609375
2014-06-05,133.49472045898438
2014-06-06,132.97586059570312
2014-06-09,131.0158233642578
2014-06-10,129.33673095703125
2014-06-11,129.10610961914062
2014-06-12,129.20700073242188
2014-06-13,129.26467895507812
2014-06-16,128.3350830078125
2014-06-17,129.14215087890625
2014-06-18,130.65545654296875
2014-06-19,131.9309539794922
2014-06-20,132.4353790283203
2014-06-23,132.54344177246094
2014-06-24,133.03350830078125
2014-06-25,133.2064666748047
2014-06-26,133.31529235839844
2014-06-27,133.9104461669922
2014-06-30,134.1934051513672
2014-07-01,134.7667236328125
2014-07-02,134.5780487060547
2014-07-03,134.0990447998047
2014-07-07,134.83934020996094
2014-07-08,135.34735107421875
2014-07-09,135.41262817382812
2014-07-10,136.04405212402344
2014-07-11,136.1456756591797
2014-07-14,137.24148559570312
2014-07-15,137.52447509765625
2014-07-16,137.5462646484375
2014-07-17,137.2124481201172
2014-07-18,138.6856689453125
2014-07-21,138.02523803710938
2014-07-22,138.85256958007812
2014-07-23,138.99044799804688
2014-07-24,139.53477478027344
2014-07-25,138.45346069335938
2014-07-28,140.07908630371094
2014-07-29,139.42587280273438
2014-07-30,140.2822723388672
2014-07-31,137.57530212402344
2014-08-01,137.70590209960938
2014-08-04,138.7436981201172
2014-08-05,137.05999755859375
2014-08-06,136.6826171875
2014-08-07,136.26902770996094
2014-08-08,136.10934448242188
2014-08-11,136.6391143798828
2014-08-12,136.38510131835938
2014-08-13,138.54052734375
2014-08-14,137.69869995117188
2014-08-15,137.822021484375
2014-08-18,139.08480834960938
2014-08-19,139.5129852294922
2014-08-20,140.30404663085938
2014-08-21,140.4056396484375
2014-08-22,139.200927734375
2014-08-25,139.11378479003906
2014-08-26,139.29525756835938
2014-08-27,140.03553771972656
2014-08-28,139.53477478027344
2014-08-29,140.3911590576172
2014-09-02,140.11532592773438
2014-09-03,140.78298950195312
2014-09-04,140.72496032714844
2014-09-05,141.88609313964844
2014-09-08,141.72640991210938
2014-09-09,141.08779907226562
2014-09-10,137.85107421875
2014-09-11,137.42291259765625
2014-09-12,132.9233856201172
2014-09-15,132.32833862304688
2014-09-16,132.9524383544922
2014-09-17,133.05410766601562
2014-09-18,131.47923278808594
2014-09-19,132.56784057617188
2014-09-22,131.6534423828125
2014-09-23,131.2687530517578
2014-09-24,130.92044067382812
2014-09-25,130.50674438476562
2014-09-26,131.97607421875
2014-09-29,131.44973754882812
2014-09-30,130.66763305664062
2014-10-01,131.0330810546875
2014-10-02,130.57984924316406
2014-10-03,131.54481506347656
2014-10-06,131.7860870361328
2014-10-07,129.19825744628906
2014-10-08,132.49510192871094
2014-10-09,132.7144012451172
2014-10-10,133.1383819580078
2014-10-13,134.32260131835938
2014-10-14,136.676513671875
2014-10-15,137.02734375
2014-10-16,137.0858612060547
2014-10-17,136.48641967773438
2014-10-20,138.6355438232422
2014-10-21,140.26571655273438
2014-10-22,141.0552215576172
2014-10-23,142.02745056152344
2014-10-24,141.89584350585938
2014-10-27,142.63412475585938
2014-10-28,143.1604766845703
2014-10-29,143.13125610351562
2014-10-30,143.83303833007812
2014-10-31,147.48805236816406
2014-11-03,148.81851196289062
2014-11-04,149.53489685058594
2014-11-05,148.16062927246094
2014-11-06,147.19561767578125
2014-11-07,146.59622192382812
2014-11-10,148.3068084716797
2014-11-11,147.9047393798828
2014-11-12,146.52310180664062
2014-11-13,146.5816192626953
2014-11-14,145.5216827392578
2014-11-17,146.5816192626953
2014-11-18,147.08599853515625
2014-11-19,144.63711547851562
2014-11-20,144.62985229492188
2014-11-21,146.4719696044922
2014-11-24,146.64010620117188
2014-11-25,146.2965545654297
2014-11-26,147.8170166015625
2014-11-28,147.96324157714844
2014-12-01,147.31993103027344
2014-12-02,148.56991577148438
2014-12-03,147.87550354003906
2014-12-04,148.5553436279297
2014-12-05,147.68545532226562
2014-12-08,148.94281005859375
2014-12-09,150.0612030029297
2014-12-10,150.31710815429688
2014-12-11,150.53639221191406
2014-12-12,148.99398803710938
2014-12-15,147.2541046142578
2014-12-16,147.42959594726562
2014-12-17,149.8345947265625
