,UHS
2014-01-02,77.12120819091797
2014-01-03,77.97259521484375
2014-01-06,77.0159683227539
2014-01-07,79.22573852539062
2014-01-08,79.43617248535156
2014-01-09,80.7754135131836
2014-01-10,81.80854034423828
2014-01-13,80.34491729736328
2014-01-14,81.97117614746094
2014-01-15,82.07643127441406
2014-01-16,81.55984497070312
2014-01-17,81.5789566040039
2014-01-21,80.24928283691406
2014-01-22,80.17274475097656
2014-01-23,79.31182098388672
2014-01-24,76.83421325683594
2014-01-27,76.22199249267578
2014-01-28,77.15945434570312
2014-01-29,76.50898742675781
2014-01-30,77.38904571533203
2014-01-31,78.46044921875
2014-02-03,75.26538848876953
2014-02-04,74.79666900634766
2014-02-05,74.80623626708984
2014-02-06,74.82535552978516
2014-02-07,75.22711181640625
2014-02-10,76.64290618896484
2014-02-11,77.3603515625
2014-02-12,76.79596710205078
2014-02-13,78.47002410888672
2014-02-14,78.91958618164062
2014-02-18,79.79969787597656
2014-02-19,78.44133758544922
2014-02-20,78.6230697631836
2014-02-21,78.5369644165039
2014-02-24,79.503173828125
2014-02-25,77.70470428466797
2014-02-26,78.85266876220703
2014-02-27,78.68036651611328
2014-02-28,76.84259796142578
2014-03-03,77.5987319946289
2014-03-04,78.01033020019531
2014-03-05,77.40731048583984
2014-03-06,76.51715850830078
2014-03-07,75.84709930419922
2014-03-10,75.1579360961914
2014-03-11,73.80829620361328
2014-03-12,73.48284912109375
2014-03-13,71.88436889648438
2014-03-14,71.39619445800781
2014-03-17,71.16649627685547
2014-03-18,73.65515899658203
2014-03-19,73.57855987548828
2014-03-20,73.5211410522461
2014-03-21,72.36296081542969
2014-03-24,72.04708862304688
2014-03-25,72.71711730957031
2014-03-26,74.8228988647461
2014-03-27,74.87078094482422
2014-03-28,76.28739929199219
2014-03-31,78.55592346191406
2014-04-01,78.78564453125
2014-04-02,79.04409790039062
2014-04-03,79.4843978881836
2014-04-04,77.84761047363281
2014-04-07,74.5166244506836
2014-04-08,74.44963836669922
2014-04-09,74.32518005371094
2014-04-10,72.62139892578125
2014-04-11,71.41533660888672
2014-04-14,71.8747787475586
2014-04-15,71.8269271850586
2014-04-16,71.68334197998047
2014-04-17,71.45364379882812
2014-04-21,72.25768280029297
2014-04-22,72.4778060913086
2014-04-23,73.3201675415039
2014-04-24,74.77507019042969
2014-04-25,79.36955261230469
2014-04-28,79.56098937988281
2014-04-29,79.3407974243164
2014-04-30,78.28791809082031
2014-05-01,79.75238800048828
2014-05-02,79.8289794921875
2014-05-05,79.80982208251953
2014-05-06,79.14936065673828
2014-05-07,78.92922973632812
2014-05-08,78.40278625488281
2014-05-09,79.03453063964844
2014-05-12,80.7095718383789
2014-05-13,82.31767272949219
2014-05-14,82.1836166381836
2014-05-15,81.30302429199219
2014-05-16,81.19776153564453
2014-05-19,82.29852294921875
2014-05-20,83.49498748779297
2014-05-21,84.50961303710938
2014-05-22,84.46176147460938
2014-05-23,85.60075378417969
2014-05-27,85.24663543701172
2014-05-28,85.52421569824219
2014-05-29,85.94560241699219
2014-05-30,85.78278350830078
2014-06-02,86.11797332763672
2014-06-03,88.90492248535156
2014-06-04,88.79959869384766
2014-06-05,91.23221588134766
2014-06-06,90.8108139038086
2014-06-09,90.02549743652344
2014-06-10,89.422119140625
2014-06-11,88.84749603271484
2014-06-12,88.58891296386719
2014-06-13,90.0925521850586
2014-06-16,90.70545196533203
2014-06-17,91.26094055175781
2014-06-18,91.31839752197266
2014-06-19,92.27613830566406
2014-06-20,92.95609283447266
2014-06-23,94.57466888427734
2014-06-24,92.79328155517578
2014-06-25,92.8890380859375
2014-06-26,91.88347625732422
2014-06-27,90.98320007324219
2014-06-30,91.71107482910156
2014-07-01,91.62483978271484
2014-07-02,92.40061950683594
2014-07-03,92.13246154785156
2014-07-07,90.217041015625
2014-07-08,88.876220703125
2014-07-09,89.76691436767578
2014-07-10,88.54100036621094
2014-07-11,88.55059051513672
2014-07-14,88.32073974609375
2014-07-15,87.94722747802734
2014-07-16,92.8794937133789
2014-07-17,91.48125457763672
2014-07-18,92.22822570800781
2014-07-21,91.82598114013672
2014-07-22,92.80284881591797
2014-07-23,93.43494415283203
2014-07-24,93.4157943725586
2014-07-25,99.82293701171875
2014-07-28,103.5005874633789
2014-07-29,104.42955780029297
2014-07-30,103.54844665527344
2014-07-31,102.09274291992188
2014-08-01,100.9147720336914
2014-08-04,101.94908905029297
2014-08-05,102.36088562011719
2014-08-06,102.28428649902344
2014-08-07,102.90678405761719
2014-08-08,102.59074401855469
2014-08-11,102.38005828857422
2014-08-12,102.67694854736328
2014-08-13,104.27632904052734
2014-08-14,105.27236938476562
2014-08-15,104.98503875732422
2014-08-18,106.97710418701172
2014-08-19,107.44637298583984
2014-08-20,107.59002685546875
2014-08-21,107.62833404541016
2014-08-22,108.22210693359375
2014-08-25,108.3753890991211
2014-08-26,108.83504486083984
2014-08-27,108.605224609375
2014-08-28,108.864013671875
2014-08-29,109.69799041748047
2014-09-02,109.90885925292969
2014-09-03,106.83185577392578
2014-09-04,103.5248031616211
2014-09-05,103.09346008300781
2014-09-08,105.48987579345703
2014-09-09,106.99481201171875
2014-09-10,106.55387115478516
2014-09-11,108.55728912353516
2014-09-12,107.08110809326172
2014-09-15,106.6401596069336
2014-09-16,107.42618560791016
