,OKE
2014-01-02,27.49871826171875
2014-01-03,27.561647415161133
2014-01-06,27.777385711669922
2014-01-07,28.08303451538086
2014-01-08,28.343727111816406
2014-01-09,28.49205207824707
2014-01-10,28.928043365478516
2014-01-13,28.456096649169922
2014-01-14,28.981979370117188
2014-01-15,29.152780532836914
2014-01-16,29.921377182006836
2014-01-17,30.173084259033203
2014-01-21,30.618059158325195
2014-01-22,30.577613830566406
2014-01-23,30.262968063354492
2014-01-24,29.37751007080078
2014-01-27,29.426969528198242
2014-01-28,29.737092971801758
2014-01-29,30.011268615722656
2014-01-30,30.173084259033203
2014-01-31,30.784358978271484
2014-02-03,29.73539161682129
2014-02-04,31.147207260131836
2014-02-05,30.47980499267578
2014-02-06,30.495325088500977
2014-02-07,30.536657333374023
2014-02-10,30.417787551879883
2014-02-11,30.64520835876465
2014-02-12,30.939815521240234
2014-02-13,31.03801727294922
2014-02-14,30.991519927978516
2014-02-18,31.358478546142578
2014-02-19,31.451513290405273
2014-02-20,31.51871109008789
2014-02-21,31.379161834716797
2014-02-24,31.647937774658203
2014-02-25,30.397106170654297
2014-02-26,30.515981674194336
2014-02-27,30.484966278076172
2014-02-28,30.56768035888672
2014-03-03,30.42811393737793
2014-03-04,30.846792221069336
2014-03-05,30.686559677124023
2014-03-06,30.603849411010742
2014-03-07,30.47464370727539
2014-03-10,30.38159942626953
2014-03-11,30.05596923828125
2014-03-12,30.329923629760742
2014-03-13,30.14901351928711
2014-03-14,30.39194107055664
2014-03-17,30.800268173217773
2014-03-18,31.131067276000977
2014-03-19,30.753751754760742
2014-03-20,30.707225799560547
2014-03-21,30.717573165893555
2014-03-24,30.257539749145508
2014-03-25,30.185195922851562
2014-03-26,29.864730834960938
2014-03-27,30.185195922851562
2014-03-28,30.231714248657227
2014-03-31,30.624540328979492
2014-04-01,30.56768035888672
2014-04-02,30.944990158081055
2014-04-03,30.820947647094727
2014-04-04,30.893301010131836
2014-04-07,30.226543426513672
2014-04-08,30.36609649658203
2014-04-09,30.78476333618164
2014-04-10,30.29374122619629
2014-04-11,30.24205207824707
2014-04-14,30.45395278930664
2014-04-15,30.707225799560547
2014-04-16,31.436016082763672
2014-04-17,31.5445613861084
2014-04-21,31.890867233276367
2014-04-22,32.299190521240234
2014-04-23,32.15446472167969
2014-04-24,32.1492919921875
2014-04-25,32.40255355834961
2014-04-28,32.553802490234375
2014-04-29,32.75198745727539
2014-04-30,32.97102355957031
2014-05-01,33.00753402709961
2014-05-02,32.950164794921875
2014-05-05,33.23701477050781
2014-05-06,32.9605827331543
2014-05-07,33.695953369140625
2014-05-08,32.82500076293945
2014-05-09,32.27739334106445
2014-05-12,32.39734649658203
2014-05-13,32.272178649902344
2014-05-14,32.913658142089844
2014-05-15,32.64246368408203
2014-05-16,32.59553146362305
2014-05-19,32.43906784057617
2014-05-20,32.965824127197266
2014-05-21,33.22657775878906
2014-05-22,33.56035232543945
2014-05-23,33.800262451171875
2014-05-27,33.795047760009766
2014-05-28,33.82111358642578
2014-05-29,33.69075012207031
2014-05-30,33.63336944580078
2014-06-02,33.617713928222656
2014-06-03,33.62813949584961
2014-06-04,33.87327194213867
2014-06-05,34.186187744140625
2014-06-06,34.3635139465332
2014-06-09,34.25398635864258
2014-06-10,34.03495788574219
2014-06-11,33.77939987182617
2014-06-12,33.701171875
2014-06-13,33.977569580078125
2014-06-16,34.06623458862305
2014-06-17,33.643798828125
2014-06-18,33.57600402832031
2014-06-19,33.617713928222656
2014-06-20,34.59819030761719
2014-06-23,34.95282745361328
2014-06-24,35.010196685791016
2014-06-25,35.474361419677734
2014-06-26,35.2657470703125
2014-06-27,35.213592529296875
2014-06-30,35.50565719604492
2014-07-01,35.615169525146484
2014-07-02,35.33354949951172
2014-07-03,35.26053237915039
2014-07-07,34.59297180175781
2014-07-08,34.827659606933594
2014-07-09,34.963260650634766
2014-07-10,34.775516510009766
2014-07-11,34.780731201171875
2014-07-14,34.775516510009766
2014-07-15,34.63469696044922
2014-07-16,34.85895538330078
2014-07-17,34.426090240478516
2014-07-18,34.67121505737305
2014-07-21,34.58254623413086
2014-07-22,34.93198013305664
2014-07-23,35.025856018066406
2014-07-24,35.34397506713867
2014-07-25,34.853729248046875
2014-07-28,35.1353759765625
2014-07-29,34.853729248046875
2014-07-30,34.467796325683594
2014-07-31,33.8969841003418
2014-08-01,33.639198303222656
2014-08-04,33.99169158935547
2014-08-05,33.5181999206543
2014-08-06,32.87633514404297
2014-08-07,32.63432312011719
2014-08-08,33.32879638671875
2014-08-11,33.15517044067383
2014-08-12,33.41823196411133
2014-08-13,34.10218048095703
2014-08-14,34.44414138793945
2014-08-15,34.959720611572266
2014-08-18,34.93341827392578
2014-08-19,35.354305267333984
2014-08-20,35.64366149902344
2014-08-21,35.596317291259766
2014-08-22,35.51212692260742
2014-08-25,35.77518081665039
2014-08-26,36.00667953491211
2014-08-27,36.25395202636719
2014-08-28,36.62748718261719
2014-08-29,36.9326171875
2014-09-02,36.94840621948242
2014-09-03,37.27458572387695
2014-09-04,37.07465362548828
2014-09-05,37.321937561035156
2014-09-08,37.34298324584961
2014-09-09,36.880001068115234
2014-09-10,36.54856491088867
2014-09-11,36.47491455078125
2014-09-12,35.57526779174805
2014-09-15,35.449005126953125
2014-09-16,35.854095458984375
2014-09-17,35.975101470947266
2014-09-18,36.05927276611328
2014-09-19,35.99089431762695
2014-09-22,35.391117095947266
2014-09-23,34.96499252319336
2014-09-24,34.92815399169922
2014-09-25,34.5335693359375
2014-09-26,34.812408447265625
2014-09-29,34.759803771972656
2014-09-30,34.486228942871094
2014-10-01,34.049560546875
2014-10-02,33.69707107543945
2014-10-03,33.80229187011719
2014-10-06,33.72337341308594
2014-10-07,32.93947982788086
2014-10-08,32.997352600097656
2014-10-09,30.93501091003418
2014-10-10,30.687744140625
2014-10-13,29.014728546142578
2014-10-14,28.25713348388672
2014-10-15,28.662235260009766
2014-10-16,29.75128173828125
2014-10-17,30.177417755126953
2014-10-20,30.882402420043945
2014-10-21,32.15031814575195
2014-10-22,31.445343017578125
2014-10-23,31.808349609375
2014-10-24,32.09770202636719
2014-10-27,31.782047271728516
2014-10-28,31.503202438354492
2014-10-29,31.234893798828125
2014-10-30,31.176448822021484
2014-10-31,31.319913864135742
2014-11-03,31.027652740478516
2014-11-04,30.02333641052246
2014-11-05,30.02333641052246
2014-11-06,29.731069564819336
2014-11-07,30.427186965942383
2014-11-10,29.858606338500977
2014-11-11,29.89048957824707
2014-11-12,30.002077102661133
2014-11-13,29.57164764404297
2014-11-14,29.71512794494629
2014-11-17,29.805456161499023
2014-11-18,30.012718200683594
2014-11-19,30.198698043823242
2014-11-20,30.475011825561523
2014-11-21,31.04358673095703
2014-11-24,30.841676712036133
2014-11-25,30.719451904296875
2014-11-26,30.533462524414062
2014-11-28,28.779891967773438
2014-12-01,27.605531692504883
2014-12-02,27.892478942871094
2014-12-03,28.2803955078125
2014-12-04,28.211315155029297
2014-12-05,27.897796630859375
2014-12-08,25.687223434448242
2014-12-09,25.729740142822266
2014-12-10,23.726404190063477
2014-12-11,24.26841926574707
2014-12-12,23.838001251220703
2014-12-15,23.55104637145996
2014-12-16,23.54041862487793
2014-12-17,25.23554801940918
2014-12-18,26.15484046936035
2014-12-19,26.324880599975586
2014-12-22,26.452417373657227
2014-12-23,26.77124786376953
2014-12-24,26.946609497070312
2014-12-26,26.494924545288086
2014-12-29,26.68091583251953
2014-12-30,26.548063278198242
2014-12-31,26.45773696899414
2015-01-02,26.526817321777344
2015-01-05,25.007049560546875
2015-01-06,23.965524673461914
2015-01-07,23.790172576904297
2015-01-08,24.050548553466797
2015-01-09,23.232213973999023
2015-01-12,21.839982986450195
2015-01-13,21.37767791748047
2015-01-14,22.488277435302734
2015-01-15,22.47764778137207
2015-01-16,22.79117202758789
2015-01-20,23.216270446777344
2015-01-21,24.109004974365234
2015-01-22,23.64670753479004
2015-01-23,23.412891387939453
2015-01-26,23.9283390045166
2015-01-27,23.747657775878906
2015-01-28,22.716093063354492
2015-01-29,23.17934799194336
2015-01-30,23.71803092956543
2015-02-02,24.342897415161133
2015-02-03,25.19939422607422
2015-02-04,24.493724822998047
2015-02-05,25.43641471862793
2015-02-06,25.253271102905273
2015-02-09,24.886966705322266
2015-02-10,24.849254608154297
2015-02-11,24.60146141052246
2015-02-12,25.46874237060547
2015-02-13,25.490291595458984
2015-02-17,26.131317138671875
2015-02-18,25.975099563598633
2015-02-19,25.587249755859375
2015-02-20,25.678823471069336
2015-02-23,25.544153213500977
2015-02-24,24.294418334960938
2015-02-25,24.450637817382812
2015-02-26,23.685712814331055
2015-02-27,23.841928482055664
2015-03-02,23.739582061767578
2015-03-03,24.364444732666016
2015-03-04,24.2567138671875
2015-03-05,24.773845672607422
2015-03-06,25.3879337310791
2015-03-09,25.312530517578125
2015-03-10,24.97854232788086
2015-03-11,24.83848762512207
2015-03-12,24.962379455566406
2015-03-13,24.170528411865234
2015-03-16,24.310575485229492
2015-03-17,24.660717010498047
2015-03-18,25.549543380737305
2015-03-19,25.005468368530273
2015-03-20,25.517221450805664
2015-03-23,26.190567016601562
2015-03-24,25.290971755981445
2015-03-25,25.350236892700195
2015-03-26,25.404096603393555
2015-03-27,25.344850540161133
2015-03-30,25.878131866455078
2015-03-31,25.985868453979492
2015-04-01,26.039745330810547
2015-04-02,25.89429473876953
2015-04-06,26.325237274169922
2015-04-07,26.09900665283203
2015-04-08,25.678823471069336
2015-04-09,25.899686813354492
2015-04-10,25.991262435913086
2015-04-13,25.668058395385742
2015-04-14,26.50299644470215
2015-04-15,27.510326385498047
2015-04-16,27.117095947265625
2015-04-17,26.686155319213867
2015-04-20,26.465293884277344
2015-04-21,25.888917922973633
2015-04-22,26.362943649291992
2015-04-23,26.535329818725586
2015-04-24,26.5191707611084
2015-04-27,26.16362953186035
2015-04-28,26.313642501831055
2015-04-29,26.504552841186523
2015-04-30,26.237274169921875
2015-05-01,26.54273796081543
2015-05-04,26.24818992614746
2015-05-05,26.155452728271484
2015-05-06,24.459028244018555
2015-05-07,23.957195281982422
2015-05-08,24.409934997558594
2015-05-11,23.662633895874023
2015-05-12,23.651735305786133
2015-05-13,24.279020309448242
2015-05-14,24.349933624267578
2015-05-15,24.922683715820312
2015-05-18,25.00995445251465
2015-05-19,24.606306076049805
2015-05-20,24.62813377380371
2015-05-21,24.59539794921875
2015-05-22,24.082656860351562
2015-05-26,23.80991554260254
2015-05-27,23.509904861450195
2015-05-28,23.02443504333496
2015-05-29,22.866249084472656
2015-06-01,22.533510208129883
2015-06-02,22.675331115722656
2015-06-03,22.1953125
2015-06-04,21.682567596435547
2015-06-05,21.75893783569336
2015-06-08,21.52437973022461
2015-06-09,21.513473510742188
2015-06-10,21.44801902770996
2015-06-11,21.480743408203125
2015-06-12,21.180734634399414
2015-06-15,21.28437614440918
2015-06-16,21.246191024780273
2015-06-17,21.38801383972168
2015-06-18,21.420743942260742
2015-06-19,21.2952880859375
2015-06-22,22.24985694885254
2015-06-23,22.168041229248047
2015-06-24,22.015317916870117
2015-06-25,21.442569732666016
2015-06-26,21.77530288696289
2015-06-29,21.33346939086914
