,ADI
2014-01-02,38.8851318359375
2014-01-03,39.145530700683594
2014-01-06,38.924583435058594
2014-01-07,39.12974548339844
2014-01-08,39.22443771362305
2014-01-09,39.07450866699219
2014-01-10,39.082393646240234
2014-01-13,38.561622619628906
2014-01-14,39.22443771362305
2014-01-15,39.469032287597656
2014-01-16,39.31123733520508
2014-01-17,38.96404266357422
2014-01-21,39.4374885559082
2014-01-22,39.7452278137207
2014-01-23,38.98772048950195
2014-01-24,38.07240295410156
2014-01-27,38.048728942871094
2014-01-28,38.277557373046875
2014-01-29,38.08818435668945
2014-01-30,38.5774040222168
2014-01-31,38.08818435668945
2014-02-03,37.291221618652344
2014-02-04,37.63051986694336
2014-02-05,37.75677490234375
2014-02-06,38.15131759643555
2014-02-07,38.640525817871094
2014-02-10,38.83778381347656
2014-02-11,39.25598907470703
2014-02-12,39.3664665222168
2014-02-13,39.99771499633789
2014-02-14,40.06083679199219
2014-02-18,40.42382049560547
2014-02-19,40.69208908081055
2014-02-20,40.557960510253906
2014-02-21,40.337013244628906
2014-02-24,40.210758209228516
2014-02-25,40.08451461791992
2014-02-26,40.410404205322266
2014-02-27,40.56142807006836
2014-02-28,40.39450454711914
2014-03-03,40.2037467956543
2014-03-04,40.69655990600586
2014-03-05,40.72835159301758
2014-03-06,40.99064636230469
2014-03-07,41.197322845458984
2014-03-10,41.17347717285156
2014-03-11,40.95092010498047
2014-03-12,41.117828369140625
2014-03-13,40.100406646728516
2014-03-14,39.81426239013672
2014-03-17,40.28322982788086
2014-03-18,40.88731002807617
2014-03-19,41.014495849609375
2014-03-20,42.31011199951172
2014-03-21,42.318050384521484
2014-03-24,42.612152099609375
2014-03-25,42.35780334472656
2014-03-26,41.928585052490234
2014-03-27,41.79346466064453
2014-03-28,42.000118255615234
2014-03-31,42.23857498168945
2014-04-01,42.985740661621094
2014-04-02,42.96982955932617
2014-04-03,42.90625
2014-04-04,42.06371307373047
2014-04-07,42.22266387939453
2014-04-08,42.890350341796875
2014-04-09,43.160606384277344
2014-04-10,41.721927642822266
2014-04-11,41.40398025512695
2014-04-14,41.69807052612305
2014-04-15,42.27035140991211
2014-04-16,41.4516716003418
2014-04-17,42.008060455322266
2014-04-21,42.047813415527344
2014-04-22,42.36575698852539
2014-04-23,42.35780334472656
2014-04-24,42.683692932128906
2014-04-25,40.87141799926758
2014-04-28,40.52962875366211
2014-04-29,40.688602447509766
2014-04-30,40.768104553222656
2014-05-01,40.39450454711914
2014-05-02,40.86347579956055
2014-05-05,40.680667877197266
2014-05-06,40.33092498779297
2014-05-07,40.37861633300781
2014-05-08,40.78398132324219
2014-05-09,40.73630142211914
2014-05-12,41.51525115966797
2014-05-13,40.91117477416992
2014-05-14,40.58526611328125
2014-05-15,40.36272048950195
2014-05-16,41.014495849609375
2014-05-19,41.31653594970703
2014-05-20,41.31653594970703
2014-05-21,40.79989242553711
2014-05-22,41.12576675415039
2014-05-23,41.64243698120117
2014-05-27,42.143192291259766
2014-05-28,41.98310470581055
2014-05-29,41.83100891113281
2014-05-30,41.927085876464844
2014-06-02,41.9190673828125
2014-06-03,41.99909591674805
2014-06-04,42.01512145996094
2014-06-05,42.07914733886719
2014-06-06,42.17519760131836
2014-06-09,44.272361755371094
2014-06-10,44.65657424926758
2014-06-11,44.52850341796875
2014-06-12,44.37641525268555
2014-06-13,44.5204963684082
2014-06-16,44.42444610595703
2014-06-17,44.58453369140625
2014-06-18,44.12828063964844
2014-06-19,43.96818923950195
2014-06-20,43.776084899902344
2014-06-23,43.640010833740234
2014-06-24,43.11973190307617
2014-06-25,43.0236701965332
2014-06-26,42.863590240478516
2014-06-27,42.82356262207031
2014-06-30,43.27981185913086
2014-07-01,43.640010833740234
2014-07-02,43.55196762084961
2014-07-03,43.88815689086914
2014-07-07,43.752079010009766
2014-07-08,43.58397674560547
2014-07-09,43.81610107421875
2014-07-10,43.5439453125
2014-07-11,43.45591735839844
2014-07-14,43.103721618652344
2014-07-15,43.00767135620117
2014-07-16,42.95964431762695
2014-07-17,42.37531661987305
2014-07-18,42.80754470825195
2014-07-21,42.79154968261719
2014-07-22,43.0236701965332
2014-07-23,41.04658508300781
2014-07-24,41.06259536743164
2014-07-25,40.15009689331055
2014-07-28,40.462257385253906
2014-07-29,40.43825149536133
2014-07-30,40.71040344238281
2014-07-31,39.725860595703125
2014-08-01,40.03001403808594
2014-08-04,39.77388000488281
2014-08-05,39.74186706542969
2014-08-06,40.06204605102539
2014-08-07,39.165550231933594
2014-08-08,39.65382385253906
2014-08-11,39.96598815917969
2014-08-12,40.166099548339844
2014-08-13,40.44626235961914
2014-08-14,40.614341735839844
2014-08-15,40.96653747558594
2014-08-18,41.0946044921875
2014-08-19,41.398780822753906
2014-08-20,41.758968353271484
2014-08-21,42.05514907836914
2014-08-22,42.02311706542969
2014-08-25,41.566864013671875
2014-08-26,41.79098892211914
2014-08-27,40.846466064453125
2014-08-28,41.05459976196289
2014-08-29,40.918521881103516
2014-09-02,40.518287658691406
2014-09-03,40.51829147338867
2014-09-04,40.64731979370117
2014-09-05,40.49410629272461
2014-09-08,40.3731575012207
2014-09-09,40.15544509887695
2014-09-10,40.026432037353516
2014-09-11,40.12318801879883
2014-09-12,39.60713577270508
2014-09-15,39.40555191040039
2014-09-16,39.6716423034668
2014-09-17,40.01837158203125
2014-09-18,40.55055236816406
2014-09-19,40.30866622924805
2014-09-22,40.252197265625
2014-09-23,40.05062484741211
2014-09-24,40.316715240478516
2014-09-25,40.026432037353516
2014-09-26,40.34090042114258
2014-09-29,40.16351318359375
2014-09-30,39.905494689941406
2014-10-01,38.90562438964844
2014-10-02,38.54277420043945
2014-10-03,38.365379333496094
2014-10-06,38.0186653137207
2014-10-07,37.260711669921875
2014-10-08,38.50245666503906
2014-10-09,37.36552429199219
2014-10-10,35.03522872924805
2014-10-13,34.75300598144531
2014-10-14,35.04329299926758
2014-10-15,35.57547378540039
2014-10-16,35.96251678466797
2014-10-17,36.236663818359375
2014-10-20,36.54306411743164
2014-10-21,37.67194366455078
2014-10-22,37.10750961303711
2014-10-23,37.430030822753906
2014-10-24,37.77676010131836
2014-10-27,37.59130859375
2014-10-28,37.8896484375
2014-10-29,38.14767837524414
2014-10-30,37.897705078125
2014-10-31,40.010311126708984
2014-11-03,40.090938568115234
2014-11-04,39.873233795166016
2014-11-05,40.34090042114258
2014-11-06,40.49410629272461
2014-11-07,40.51022720336914
2014-11-10,40.6553840637207
2014-11-11,40.429595947265625
2014-11-12,40.5263557434082
2014-11-13,40.486026763916016
2014-11-14,40.81662368774414
2014-11-17,40.59892272949219
2014-11-18,41.33269119262695
2014-11-19,40.921451568603516
2014-11-20,41.2601203918457
2014-11-21,41.64717102050781
2014-11-24,41.76811599731445
2014-11-25,41.69553756713867
2014-11-26,43.99360275268555
2014-11-28,44.05809783935547
2014-12-01,44.06617736816406
2014-12-02,44.5177116394043
2014-12-03,45.873374938964844
2014-12-04,45.96266555786133
2014-12-05,46.54715347290039
2014-12-08,45.605506896972656
2014-12-09,45.759735107421875
2014-12-10,45.16714096069336
2014-12-11,45.662315368652344
2014-12-12,45.39443588256836
2014-12-15,44.98854064941406
2014-12-16,44.46901321411133
2014-12-17,45.451255798339844
2014-12-18,46.319854736328125
2014-12-19,46.068206787109375
2014-12-22,46.66891860961914
2014-12-23,45.99515151977539
2014-12-24,46.035728454589844
2014-12-26,45.68667221069336
2014-12-29,45.52430725097656
2014-12-30,45.10218811035156
2014-12-31,45.06971740722656
2015-01-02,45.085960388183594
2015-01-05,44.266056060791016
2015-01-06,43.226985931396484
2015-01-07,43.681583404541016
2015-01-08,44.45277404785156
2015-01-09,44.42030334472656
2015-01-12,43.97381591796875
2015-01-13,43.47052764892578
2015-01-14,43.438053131103516
2015-01-15,42.804866790771484
2015-01-16,43.584171295166016
2015-01-20,44.15242385864258
2015-01-21,44.30664825439453
2015-01-22,44.444644927978516
2015-01-23,44.249839782714844
2015-01-26,44.3715934753418
2015-01-27,43.324405670166016
2015-01-28,42.96723175048828
2015-01-29,43.21078109741211
2015-01-30,42.30157470703125
2015-02-02,42.45580291748047
2015-02-03,43.81147384643555
2015-02-04,43.657222747802734
2015-02-05,44.60700607299805
2015-02-06,44.65571975708008
2015-02-09,44.29042434692383
2015-02-10,45.085960388183594
2015-02-11,45.15089416503906
2015-02-12,46.04385757446289
2015-02-13,46.31174087524414
2015-02-17,47.74046325683594
2015-02-18,47.39139938354492
2015-02-19,47.6105842590332
2015-02-20,48.000240325927734
2015-02-23,47.87845230102539
2015-02-24,48.38987731933594
2015-02-25,48.21009826660156
2015-02-26,48.12017822265625
2015-02-27,47.84232711791992
2015-03-02,48.85572052001953
2015-03-03,48.005767822265625
2015-03-04,47.727901458740234
2015-03-05,47.76876449584961
2015-03-06,47.343780517578125
2015-03-09,47.77693176269531
2015-03-10,46.74718475341797
2015-03-11,46.820743560791016
2015-03-12,47.00053787231445
2015-03-13,47.01688766479492
2015-03-16,48.054805755615234
2015-03-17,48.02210998535156
2015-03-18,48.76582336425781
2015-03-19,49.03550720214844
2015-03-20,49.90998077392578
2015-03-23,49.362422943115234
2015-03-24,49.32973861694336
2015-03-25,47.041412353515625
2015-03-26,46.9269905090332
2015-03-27,48.087493896484375
2015-03-30,52.96652603149414
2015-03-31,51.48728561401367
2015-04-01,51.1358757019043
2015-04-02,50.86617660522461
2015-04-06,51.30748748779297
2015-04-07,51.68342971801758
2015-04-08,52.034854888916016
2015-04-09,52.329071044921875
2015-04-10,52.50068664550781
2015-04-13,52.100223541259766
2015-04-14,51.1358757019043
