,JNJ
2014-01-02,67.21138000488281
2014-01-03,67.81681060791016
2014-01-06,68.17119598388672
2014-01-07,69.61837005615234
2014-01-08,69.52237701416016
2014-01-09,69.94322967529297
2014-01-10,69.9505844116211
2014-01-13,69.77339935302734
2014-01-14,69.93585205078125
2014-01-15,69.99492645263672
2014-01-16,69.87677001953125
2014-01-17,70.18687438964844
2014-01-21,69.42639923095703
2014-01-22,69.64051818847656
2014-01-23,68.47391510009766
2014-01-24,66.90125274658203
2014-01-27,66.40660095214844
2014-01-28,66.52468872070312
2014-01-29,65.63866424560547
2014-01-30,66.08170318603516
2014-01-31,65.32122802734375
2014-02-03,64.07341003417969
2014-02-04,63.955265045166016
2014-02-05,64.44257354736328
2014-02-06,65.52793884277344
2014-02-07,66.48042297363281
2014-02-10,67.24092102050781
2014-02-11,68.64375305175781
2014-02-12,68.23765563964844
2014-02-13,68.34100341796875
2014-02-14,68.48867797851562
2014-02-18,68.05306243896484
2014-02-19,67.6617660522461
2014-02-20,68.20812225341797
2014-02-21,68.05938720703125
2014-02-24,67.75450134277344
2014-02-25,67.75450134277344
2014-02-26,67.75450134277344
2014-02-27,67.94039916992188
2014-02-28,68.50562286376953
2014-03-03,68.08912658691406
2014-03-04,69.412841796875
2014-03-05,68.85509490966797
2014-03-06,69.07819366455078
2014-03-07,69.39799499511719
2014-03-10,69.4946517944336
2014-03-11,69.5243911743164
2014-03-12,69.60619354248047
2014-03-13,69.15999603271484
2014-03-14,69.01868438720703
2014-03-17,69.85160827636719
2014-03-18,69.85904693603516
2014-03-19,69.59874725341797
2014-03-20,69.9929428100586
2014-03-21,71.33891296386719
2014-03-24,70.7960433959961
2014-03-25,72.41720581054688
2014-03-26,72.17179107666016
2014-03-27,72.34284210205078
2014-03-28,72.46184539794922
2014-03-31,73.04932403564453
2014-04-01,72.83366394042969
2014-04-02,73.04932403564453
2014-04-03,73.07162475585938
2014-04-04,73.19061279296875
2014-04-07,72.7964859008789
2014-04-08,72.92290496826172
2014-04-09,73.58477020263672
2014-04-10,71.79252624511719
2014-04-11,72.03794860839844
2014-04-14,72.23872375488281
2014-04-15,73.77066040039062
2014-04-16,73.43600463867188
2014-04-17,73.59217071533203
2014-04-21,74.3656005859375
2014-04-22,74.49946594238281
2014-04-23,74.52922058105469
2014-04-24,74.33585357666016
2014-04-25,74.20942687988281
2014-04-28,75.36206817626953
2014-04-29,75.13155364990234
2014-04-30,75.3249282836914
2014-05-01,74.7597427368164
2014-05-02,73.85246276855469
2014-05-05,74.3656005859375
2014-05-06,74.0011978149414
2014-05-07,75.04231262207031
2014-05-08,74.7374496459961
2014-05-09,75.04231262207031
2014-05-12,74.7522964477539
2014-05-13,75.1241226196289
2014-05-14,75.01258850097656
2014-05-15,74.87871551513672
2014-05-16,74.79692077636719
2014-05-19,74.84154510498047
2014-05-20,74.551513671875
2014-05-21,75.21334838867188
2014-05-22,75.60274505615234
2014-05-23,75.61775207519531
2014-05-27,75.49041748046875
2014-05-28,75.10855102539062
2014-05-29,75.4529800415039
2014-05-30,75.97718048095703
2014-06-02,76.50884246826172
2014-06-03,76.72601318359375
2014-06-04,76.8907470703125
2014-06-05,77.29513549804688
2014-06-06,77.26519012451172
2014-06-09,77.29513549804688
2014-06-10,77.95410919189453
2014-06-11,77.37000274658203
2014-06-12,76.77843475341797
2014-06-13,76.77843475341797
2014-06-16,76.71853637695312
2014-06-17,76.32915496826172
2014-06-18,76.98809814453125
2014-06-19,77.73694610595703
2014-06-20,78.83021545410156
2014-06-23,78.44087219238281
2014-06-24,78.32106018066406
2014-06-25,79.19718933105469
2014-06-26,79.11480712890625
2014-06-27,78.62057495117188
2014-06-30,78.34353637695312
2014-07-01,79.2795639038086
2014-07-02,79.27206420898438
2014-07-03,78.94258117675781
2014-07-07,79.7288589477539
2014-07-08,79.16722869873047
2014-07-09,79.4068603515625
2014-07-10,79.2271499633789
2014-07-11,78.70294952392578
2014-07-14,78.91263580322266
2014-07-15,77.34005737304688
2014-07-16,76.54630279541016
2014-07-17,75.16096496582031
2014-07-18,76.2317886352539
2014-07-21,75.83488464355469
2014-07-22,76.7335205078125
2014-07-23,76.5238265991211
2014-07-24,76.53131103515625
2014-07-25,76.46392822265625
2014-07-28,76.46392822265625
2014-07-29,76.35160064697266
2014-07-30,76.60618591308594
2014-07-31,74.9512710571289
2014-08-01,74.80899810791016
2014-08-04,75.00367736816406
2014-08-05,74.74907684326172
2014-08-06,75.41551971435547
2014-08-07,74.8314437866211
2014-08-08,75.69261932373047
2014-08-11,75.75251770019531
2014-08-12,75.35559844970703
2014-08-13,76.18685150146484
2014-08-14,76.39653015136719
2014-08-15,75.76002502441406
2014-08-18,76.90573120117188
2014-08-19,77.10042572021484
2014-08-20,77.28765869140625
2014-08-21,78.02151489257812
2014-08-22,77.72750091552734
2014-08-25,77.82550048828125
2014-08-26,77.98381805419922
2014-08-27,77.81796264648438
2014-08-28,77.61438751220703
2014-08-29,78.20243072509766
2014-09-02,77.92351531982422
2014-09-03,78.22503662109375
2014-09-04,78.2853775024414
2014-09-05,78.7226333618164
2014-09-08,78.44369506835938
2014-09-09,78.2552261352539
2014-09-10,79.15235900878906
2014-09-11,78.8206558227539
2014-09-12,78.84326171875
2014-09-15,78.94882202148438
2014-09-16,79.8233413696289
2014-09-17,80.05703735351562
2014-09-18,80.93159484863281
2014-09-19,81.41405487060547
2014-09-22,81.33116149902344
2014-09-23,81.0145034790039
2014-09-24,81.90411376953125
2014-09-25,80.74310302734375
2014-09-26,80.74310302734375
2014-09-29,80.3208999633789
2014-09-30,80.35860443115234
2014-10-01,78.63217163085938
2014-10-02,78.29293060302734
2014-10-03,79.25791931152344
2014-10-06,79.05435943603516
2014-10-07,77.19222259521484
2014-10-08,79.09204864501953
2014-10-09,76.9585189819336
2014-10-10,76.31769561767578
2014-10-13,74.7269515991211
2014-10-14,73.1362075805664
2014-10-15,74.0408706665039
2014-10-16,72.9627914428711
2014-10-17,74.41029357910156
2014-10-20,74.78726196289062
2014-10-21,75.66178131103516
2014-10-22,76.31012725830078
2014-10-23,77.37313842773438
2014-10-24,77.75010681152344
2014-10-27,78.458740234375
2014-10-28,79.0015869140625
2014-10-29,79.58206939697266
2014-10-30,80.69786834716797
2014-10-31,81.25577545166016
2014-11-03,81.0145034790039
2014-11-04,81.88904571533203
2014-11-05,82.03980255126953
2014-11-06,82.18303680419922
2014-11-07,81.5724105834961
2014-11-10,82.03980255126953
2014-11-11,82.10767364501953
2014-11-12,81.9870376586914
2014-11-13,82.2282943725586
2014-11-14,81.54225158691406
2014-11-17,81.64779663085938
2014-11-18,82.04736328125
2014-11-19,81.99459838867188
2014-11-20,81.55731964111328
2014-11-21,81.84566497802734
2014-11-24,81.10203552246094
2014-11-25,80.96542358398438
2014-11-26,81.35242462158203
2014-11-28,82.14158630371094
2014-12-01,81.97467041015625
2014-12-02,82.3388900756836
2014-12-03,81.73944854736328
2014-12-04,81.61802673339844
2014-12-05,82.3388900756836
2014-12-08,82.34648895263672
2014-12-09,81.9898452758789
2014-12-10,80.61637115478516
2014-12-11,80.98062133789062
2014-12-12,79.242919921875
2014-12-15,78.88629913330078
2014-12-16,77.9757080078125
2014-12-17,78.96975708007812
2014-12-18,81.04893493652344
2014-12-19,80.09280395507812
2014-12-22,80.99579620361328
2014-12-23,79.1291275024414
2014-12-24,79.36433410644531
2014-12-26,79.72097778320312
2014-12-29,79.92587280273438
2014-12-30,79.9486312866211
2014-12-31,79.34920501708984
2015-01-02,79.31120300292969
2015-01-05,78.75729370117188
2015-01-06,78.37030029296875
2015-01-07,80.10040283203125
2015-01-08,80.7302017211914
2015-01-09,79.62993621826172
2015-01-12,79.35674285888672
2015-01-13,79.49335479736328
2015-01-14,78.91664123535156
2015-01-15,77.77084350585938
2015-01-16,78.94699096679688
2015-01-20,76.86026000976562
2015-01-21,77.3231430053711
2015-01-22,78.73453521728516
2015-01-23,77.55078887939453
2015-01-26,77.59630584716797
2015-01-27,77.46732330322266
2015-01-28,77.00444030761719
2015-01-29,77.68737030029297
2015-01-30,75.98761749267578
2015-02-02,76.5112075805664
2015-02-03,77.7480697631836
2015-02-04,76.91336822509766
2015-02-05,77.7480697631836
2015-02-06,76.71609497070312
2015-02-09,75.7144546508789
2015-02-10,76.14697265625
2015-02-11,76.16975402832031
2015-02-12,74.69766235351562
2015-02-13,75.59303283691406
2015-02-17,76.21530151367188
