,STZ
2014-01-02,60.77946090698242
2014-01-03,60.911155700683594
2014-01-06,60.22646713256836
2014-01-07,61.38516616821289
2014-01-08,67.2489242553711
2014-01-09,67.98627471923828
2014-01-10,70.26860046386719
2014-01-13,70.2773666381836
2014-01-14,71.04104614257812
2014-01-15,70.90059661865234
2014-01-16,70.63725280761719
2014-01-17,69.8209228515625
2014-01-21,69.66288757324219
2014-01-22,68.59197235107422
2014-01-23,67.80193328857422
2014-01-24,66.53788757324219
2014-01-27,66.51155090332031
2014-01-28,68.67098999023438
2014-01-29,68.31107330322266
2014-01-30,68.10917663574219
2014-01-31,67.30160522460938
2014-02-03,66.32719421386719
2014-02-04,67.13480377197266
2014-02-05,66.24819946289062
2014-02-06,68.10917663574219
2014-02-07,68.03018188476562
2014-02-10,67.65271759033203
2014-02-11,69.15374755859375
2014-02-12,69.34689331054688
2014-02-13,69.7331314086914
2014-02-14,69.67169189453125
2014-02-18,70.37391662597656
2014-02-19,70.24227905273438
2014-02-20,70.75137329101562
2014-02-21,70.53192901611328
2014-02-24,71.17274475097656
2014-02-25,72.0417709350586
2014-02-26,71.87496185302734
2014-02-27,71.4448471069336
2014-02-28,71.12882995605469
2014-03-03,71.23417663574219
2014-03-04,72.42801666259766
2014-03-05,72.6211166381836
2014-03-06,73.60426330566406
2014-03-07,73.65693664550781
2014-03-10,73.69202423095703
2014-03-11,72.45436096191406
2014-03-12,72.95468139648438
2014-03-13,72.21734619140625
2014-03-14,72.41920471191406
2014-03-17,71.85742950439453
2014-03-18,72.65621185302734
2014-03-19,71.69940185546875
2014-03-20,72.39289855957031
2014-03-21,72.9107894897461
2014-03-24,71.28684997558594
2014-03-25,72.35778045654297
2014-03-26,72.22611236572266
2014-03-27,72.03298950195312
2014-03-28,73.04247283935547
2014-03-31,74.58739471435547
2014-04-01,74.92098236083984
2014-04-02,74.52597045898438
2014-04-03,74.51717376708984
2014-04-04,74.02560424804688
2014-04-07,70.92693328857422
2014-04-08,71.52386474609375
2014-04-09,70.7864990234375
2014-04-10,70.32125091552734
2014-04-11,68.49540710449219
2014-04-14,68.46908569335938
2014-04-15,68.44276428222656
2014-04-16,70.00526428222656
2014-04-17,70.90937042236328
2014-04-21,71.11125946044922
2014-04-22,71.0059585571289
2014-04-23,70.44413757324219
2014-04-24,69.75067901611328
2014-04-25,69.38199615478516
2014-04-28,69.88236999511719
2014-04-29,70.00526428222656
2014-04-30,70.08426666259766
2014-05-01,71.33074951171875
2014-05-02,71.21664428710938
2014-05-05,71.82231140136719
2014-05-06,70.80402374267578
2014-05-07,69.45222473144531
2014-05-08,69.58390045166016
2014-05-09,69.6277847290039
2014-05-12,70.33882141113281
2014-05-13,70.97083282470703
2014-05-14,70.10182189941406
2014-05-15,70.10182189941406
2014-05-16,72.81422424316406
2014-05-19,72.56842803955078
2014-05-20,71.86618041992188
2014-05-21,72.48067474365234
2014-05-22,72.70891571044922
2014-05-23,72.42801666259766
2014-05-27,73.2531509399414
2014-05-28,72.98979949951172
