,COO
2014-01-02,30.682281494140625
2014-01-03,30.80695152282715
2014-01-06,30.4877872467041
2014-01-07,30.906694412231445
2014-01-08,30.936613082885742
2014-01-09,31.375463485717773
2014-01-10,31.45276641845703
2014-01-13,30.931625366210938
2014-01-14,31.512609481811523
2014-01-15,32.18335723876953
2014-01-16,32.5698356628418
2014-01-17,32.34044647216797
2014-01-21,32.26813507080078
2014-01-22,31.7618350982666
2014-01-23,31.499961853027344
2014-01-24,30.602100372314453
2014-01-27,30.876445770263672
2014-01-28,30.856491088867188
2014-01-29,30.691884994506836
2014-01-30,31.235593795776367
2014-01-31,30.99616241455078
2014-02-03,29.25530433654785
2014-02-04,29.77157974243164
2014-02-05,29.863859176635742
2014-02-06,29.966115951538086
2014-02-07,30.77668571472168
2014-02-10,31.138322830200195
2014-02-11,31.46255111694336
2014-02-12,31.57228660583496
2014-02-13,31.559818267822266
2014-02-14,31.16575813293457
2014-02-18,31.771812438964844
2014-02-19,31.669559478759766
2014-02-20,32.05363845825195
2014-02-21,31.80922508239746
2014-02-24,31.998783111572266
2014-02-25,32.07360076904297
2014-02-26,32.28309631347656
2014-02-27,32.33546829223633
2014-02-28,31.976335525512695
2014-03-03,31.95886993408203
2014-03-04,33.02133560180664
2014-03-05,32.642234802246094
2014-03-06,32.445213317871094
2014-03-07,34.03890609741211
2014-03-10,33.477745056152344
2014-03-11,33.18345642089844
2014-03-12,33.530128479003906
2014-03-13,33.30815505981445
2014-03-14,33.00886917114258
2014-03-17,33.33808135986328
2014-03-18,34.066349029541016
2014-03-19,34.32323455810547
2014-03-20,34.562660217285156
2014-03-21,33.42038345336914
2014-03-24,33.52264404296875
2014-03-25,33.41291427612305
2014-03-26,33.23332977294922
2014-03-27,32.8143424987793
2014-03-28,32.99638748168945
2014-03-31,34.258392333984375
2014-04-01,34.510284423828125
2014-04-02,34.268367767333984
2014-04-03,34.293304443359375
2014-04-04,33.06623458862305
2014-04-07,32.58738327026367
2014-04-08,32.52999496459961
2014-04-09,33.10114288330078
2014-04-10,31.45008087158203
2014-04-11,30.831552505493164
2014-04-14,31.622169494628906
2014-04-15,31.592239379882812
2014-04-16,32.21824645996094
2014-04-17,32.088558197021484
2014-04-21,31.933923721313477
2014-04-22,32.440223693847656
2014-04-23,32.24818801879883
2014-04-24,32.55493927001953
2014-04-25,32.198299407958984
2014-04-28,32.45268630981445
2014-04-29,32.87417984008789
2014-04-30,32.89912033081055
2014-05-01,32.98891830444336
2014-05-02,33.370513916015625
2014-05-05,33.44782638549805
2014-05-06,33.382972717285156
2014-05-07,33.313140869140625
2014-05-08,32.97145462036133
2014-05-09,33.103641510009766
2014-05-12,33.729644775390625
2014-05-13,33.5999641418457
2014-05-14,33.27073669433594
2014-05-15,32.9814338684082
2014-05-16,33.225852966308594
2014-05-19,33.382972717285156
2014-05-20,32.692115783691406
2014-05-21,32.42524719238281
2014-05-22,32.407806396484375
2014-05-23,32.460174560546875
2014-05-27,32.39282989501953
2014-05-28,31.78677749633789
2014-05-29,32.02122116088867
2014-05-30,32.17835235595703
2014-06-02,32.694610595703125
2014-06-03,32.66718673706055
2014-06-04,32.68962478637695
2014-06-05,32.699607849121094
2014-06-06,33.260772705078125
2014-06-09,33.21588134765625
2014-06-10,33.06373977661133
2014-06-11,33.178462982177734
2014-06-12,32.784400939941406
2014-06-13,32.5823860168457
2014-06-16,32.939029693603516
2014-06-17,33.739627838134766
2014-06-18,33.657325744628906
2014-06-19,33.92667770385742
2014-06-20,34.2135009765625
2014-06-23,34.0463981628418
2014-06-24,33.667301177978516
2014-06-25,34.13368606567383
2014-06-26,33.83190155029297
2014-06-27,34.17858123779297
2014-06-30,33.80197525024414
2014-07-01,36.65019607543945
2014-07-02,36.57786560058594
2014-07-03,36.2436637878418
2014-07-07,36.07905578613281
2014-07-08,36.2261962890625
2014-07-09,37.29615783691406
2014-07-10,37.11907958984375
2014-07-11,37.463260650634766
2014-07-14,37.508148193359375
2014-07-15,37.60542297363281
2014-07-16,37.68273162841797
2014-07-17,37.10161590576172
2014-07-18,37.66028594970703
2014-07-21,37.944602966308594
2014-07-22,38.56575393676758
2014-07-23,38.917476654052734
2014-07-24,40.12485122680664
2014-07-25,39.90532302856445
2014-07-28,39.83049011230469
2014-07-29,40.02506637573242
2014-07-30,40.693599700927734
2014-07-31,40.13232421875
2014-08-01,39.88786697387695
2014-08-04,39.77810287475586
2014-08-05,39.48874282836914
2014-08-06,39.416385650634766
2014-08-07,39.43136215209961
2014-08-08,39.51118087768555
2014-08-11,39.44633483886719
2014-08-12,39.523658752441406
2014-08-13,40.27202606201172
2014-08-14,40.03005599975586
2014-08-15,40.074954986572266
2014-08-18,40.38925552368164
2014-08-19,40.37430953979492
2014-08-20,40.36931228637695
2014-08-21,40.61128616333008
2014-08-22,40.431671142578125
2014-08-25,40.22712707519531
2014-08-26,40.568878173828125
2014-08-27,40.8133430480957
2014-08-28,40.656185150146484
2014-08-29,40.668663024902344
2014-09-02,40.65868377685547
2014-09-03,40.23460006713867
2014-09-04,40.14979553222656
2014-09-05,40.5164909362793
2014-09-08,40.98295974731445
2014-09-09,40.54892349243164
2014-09-10,40.566383361816406
2014-09-11,40.244590759277344
2014-09-12,39.5311393737793
2014-09-15,39.35651779174805
2014-09-16,39.42637252807617
2014-09-17,39.264217376708984
2014-09-18,39.166934967041016
2014-09-19,39.70077896118164
2014-09-22,39.61595153808594
2014-09-23,38.914981842041016
2014-09-24,39.23180389404297
2014-09-25,38.81271743774414
2014-09-26,38.96738052368164
2014-09-29,39.06715393066406
2014-09-30,38.85262680053711
2014-10-01,38.67551040649414
2014-10-02,38.75034713745117
2014-10-03,38.96738052368164
2014-10-06,38.91249084472656
2014-10-07,38.20402908325195
2014-10-08,38.5857048034668
2014-10-09,38.49091339111328
2014-10-10,37.4856071472168
2014-10-13,36.8320426940918
2014-10-14,37.08647918701172
2014-10-15,36.45037841796875
2014-10-16,36.91934585571289
2014-10-17,37.35340118408203
2014-10-20,37.74254608154297
2014-10-21,39.05219268798828
2014-10-22,38.5906982421875
2014-10-23,38.94741439819336
2014-10-24,39.214324951171875
2014-10-27,39.53863525390625
2014-10-28,40.102394104003906
2014-10-29,40.59382629394531
2014-10-30,40.82581329345703
2014-10-31,40.885684967041016
2014-11-03,40.583839416503906
2014-11-04,40.67863464355469
2014-11-05,40.9854621887207
2014-11-06,41.42948913574219
2014-11-07,41.16009521484375
2014-11-10,40.017574310302734
2014-11-11,39.9202995300293
2014-11-12,40.1198616027832
2014-11-13,40.3443603515625
2014-11-14,40.3443603515625
2014-11-17,41.28730773925781
2014-11-18,42.44477462768555
2014-11-19,41.89098358154297
2014-11-20,41.75627136230469
2014-11-21,41.696407318115234
2014-11-24,42.23774337768555
2014-11-25,41.57168197631836
2014-11-26,42.195335388183594
2014-11-28,42.132957458496094
2014-12-01,41.589149475097656
2014-12-02,41.59912872314453
2014-12-03,42.29011535644531
2014-12-04,42.10052490234375
2014-12-05,40.411720275878906
2014-12-08,40.49903106689453
2014-12-09,40.48155975341797
2014-12-10,39.5186767578125
2014-12-11,39.668338775634766
2014-12-12,39.47626495361328
2014-12-15,38.907508850097656
2014-12-16,38.65555953979492
2014-12-17,39.815513610839844
2014-12-18,40.48155975341797
2014-12-19,40.62874221801758
