,MAA
2014-01-02,41.347869873046875
2014-01-03,41.788028717041016
2014-01-06,41.87605667114258
2014-01-07,41.84219741821289
2014-01-08,41.788028717041016
2014-01-09,41.72031021118164
2014-01-10,42.282371520996094
2014-01-13,42.07680130004883
2014-01-14,42.37828826904297
2014-01-15,42.446807861328125
2014-01-16,42.52903366088867
2014-01-17,42.79624557495117
2014-01-21,43.159385681152344
2014-01-22,43.16624450683594
2014-01-23,43.19364547729492
2014-01-24,42.91958236694336
2014-01-27,42.631813049316406
2014-01-28,43.042911529541016
2014-01-29,42.65921401977539
2014-01-30,43.74179458618164
2014-01-31,44.22142028808594
2014-02-03,43.41976547241211
2014-02-04,44.2762336730957
2014-02-05,44.37215805053711
2014-02-06,44.838077545166016
2014-02-07,45.65342712402344
2014-02-10,45.87954330444336
2014-02-11,46.20843505859375
2014-02-12,46.19473648071289
2014-02-13,46.249549865722656
2014-02-14,46.34547424316406
2014-02-18,46.557861328125
2014-02-19,46.64694595336914
2014-02-20,46.64009094238281
2014-02-21,46.448246002197266
2014-02-24,46.33860397338867
2014-02-25,47.06489944458008
2014-02-26,46.859352111816406
2014-02-27,46.181026458740234
2014-02-28,46.34547424316406
2014-03-03,46.67436599731445
2014-03-04,47.03065872192383
2014-03-05,46.68119812011719
2014-03-06,46.366031646728516
2014-03-07,46.085105895996094
2014-03-10,45.63288497924805
2014-03-11,45.84529113769531
2014-03-12,46.11250686645508
2014-03-13,46.085105895996094
2014-03-14,46.18788146972656
2014-03-17,46.34547424316406
2014-03-18,46.38658142089844
2014-03-19,45.39992141723633
2014-03-20,45.93436050415039
2014-03-21,46.05769729614258
2014-03-24,45.93436050415039
2014-03-25,46.551029205322266
2014-03-26,45.660308837890625
2014-03-27,46.215293884277344
2014-03-28,46.16733932495117
2014-03-31,46.77713394165039
2014-04-01,46.69490051269531
2014-04-02,46.893611907958984
2014-04-03,46.900447845458984
2014-04-04,47.09916305541992
2014-04-07,47.092323303222656
2014-04-08,47.565067291259766
2014-04-09,47.42805862426758
2014-04-10,46.955284118652344
2014-04-11,46.657474517822266
2014-04-14,47.11457061767578
2014-04-15,47.26692199707031
2014-04-16,47.405418395996094
2014-04-17,47.197669982910156
2014-04-21,47.41927719116211
2014-04-22,47.661678314208984
2014-04-23,47.52317810058594
2014-04-24,47.77941131591797
2014-04-25,47.737876892089844
2014-04-28,48.20881271362305
2014-04-29,48.070289611816406
2014-04-30,48.23652267456055
2014-05-01,48.167240142822266
2014-05-02,48.62433624267578
2014-05-05,48.94984817504883
2014-05-06,48.95676040649414
2014-05-07,49.73934555053711
2014-05-08,49.614688873291016
2014-05-09,49.87785339355469
2014-05-12,50.03715896606445
2014-05-13,49.28227233886719
2014-05-14,49.39309310913086
2014-05-15,49.63547134399414
2014-05-16,50.10639953613281
2014-05-19,50.0925407409668
2014-05-20,50.265689849853516
2014-05-21,49.323829650878906
2014-05-22,49.185306549072266
2014-05-23,49.427711486816406
2014-05-27,49.836299896240234
2014-05-28,49.58699035644531
2014-05-29,49.71856689453125
2014-05-30,50.10639953613281
2014-06-02,50.3557243347168
2014-06-03,50.34880065917969
2014-06-04,50.42497634887695
2014-06-05,50.84051513671875
2014-06-06,50.21029281616211
2014-06-09,49.76705551147461
2014-06-10,49.47618865966797
2014-06-11,49.213008880615234
2014-06-12,49.05372619628906
2014-06-13,49.28227233886719
2014-06-16,48.92906951904297
2014-06-17,49.11604690551758
2014-06-18,49.323829650878906
2014-06-19,49.71165466308594
2014-06-20,49.9401969909668
2014-06-23,49.8640022277832
2014-06-24,49.88478469848633
2014-06-25,50.14103698730469
2014-06-26,50.07178497314453
2014-06-27,50.68121337890625
2014-06-30,50.59120178222656
2014-07-01,50.75740432739258
2014-07-02,50.6465950012207
2014-07-03,50.244930267333984
2014-07-07,50.4596061706543
2014-07-08,50.55656814575195
2014-07-09,50.61890411376953
2014-07-10,50.59120178222656
2014-07-11,50.69612503051758
2014-07-14,51.05289077758789
2014-07-15,51.37470245361328
2014-07-16,51.458641052246094
2014-07-17,51.458641052246094
2014-07-18,51.689483642578125
2014-07-21,51.35369873046875
2014-07-22,51.40266799926758
2014-07-23,51.76644515991211
2014-07-24,52.03225326538086
2014-07-25,51.906333923339844
2014-07-28,52.20713806152344
2014-07-29,52.15117645263672
2014-07-30,52.403038024902344
2014-07-31,48.91228485107422
2014-08-01,48.94026184082031
2014-08-04,49.70277404785156
2014-08-05,49.31802749633789
2014-08-06,49.34599304199219
2014-08-07,49.387977600097656
2014-08-08,49.30403518676758
2014-08-11,49.415958404541016
2014-08-12,49.17810821533203
2014-08-13,49.80770492553711
2014-08-14,49.59783935546875
2014-08-15,49.646812438964844
2014-08-18,50.3603401184082
2014-08-19,50.42331314086914
2014-08-20,50.6121826171875
2014-08-21,50.54222869873047
2014-08-22,50.150482177734375
2014-08-25,50.185455322265625
2014-08-26,50.31837463378906
2014-08-27,50.297386169433594
2014-08-28,50.27640151977539
2014-08-29,50.59120178222656
2014-09-02,50.54922103881836
2014-09-03,50.72410583496094
2014-09-04,50.3603401184082
2014-09-05,51.04590606689453
2014-09-08,51.12984848022461
2014-09-09,50.87801742553711
2014-09-10,49.68177795410156
2014-09-11,49.60483169555664
2014-09-12,47.85597610473633
2014-09-15,47.394264221191406
2014-09-16,47.86996078491211
2014-09-17,47.54816818237305
2014-09-18,46.96754837036133
2014-09-19,46.96754837036133
2014-09-22,46.477867126464844
2014-09-23,46.170066833496094
2014-09-24,45.8272819519043
2014-09-25,45.85527038574219
2014-09-26,46.41490173339844
2014-09-29,46.19804382324219
2014-09-30,45.92522430419922
2014-10-01,46.31696319580078
2014-10-02,46.37293243408203
2014-10-03,46.603797912597656
2014-10-06,46.5758056640625
2014-10-07,46.19804382324219
2014-10-08,47.17041015625
2014-10-09,46.95355224609375
2014-10-10,47.102081298828125
2014-10-13,47.172794342041016
2014-10-14,48.08513641357422
2014-10-15,47.98611068725586
2014-10-16,47.795169830322266
2014-10-17,47.72446060180664
2014-10-20,48.70750427246094
2014-10-21,49.131858825683594
2014-10-22,49.03990936279297
2014-10-23,49.556190490722656
2014-10-24,49.287437438964844
2014-10-27,49.782501220703125
2014-10-28,49.75421905517578
2014-10-29,49.520843505859375
2014-10-30,49.655216217041016
2014-10-31,49.97347640991211
2014-11-03,50.87873458862305
2014-11-04,50.8292236328125
2014-11-05,50.588748931884766
2014-11-06,50.10784149169922
2014-11-07,50.01589584350586
2014-11-10,50.7160758972168
2014-11-11,50.68777847290039
2014-11-12,50.07248306274414
2014-11-13,50.60996627807617
2014-11-14,50.05125427246094
2014-11-17,50.5958366394043
2014-11-18,51.253570556640625
2014-11-19,50.65242385864258
2014-11-20,50.77971649169922
2014-11-21,51.168697357177734
2014-11-24,51.49403381347656
2014-11-25,51.60718536376953
2014-11-26,51.946651458740234
2014-11-28,52.09517288208008
2014-12-01,51.21821212768555
2014-12-02,51.31721496582031
2014-12-03,51.14748001098633
2014-12-04,51.36671829223633
2014-12-05,50.89286422729492
2014-12-08,51.5010871887207
2014-12-09,51.946651458740234
2014-12-10,51.80520248413086
2014-12-11,52.208335876464844
2014-12-12,51.890079498291016
2014-12-15,51.1403923034668
2014-12-16,51.23942184448242
2014-12-17,52.44171905517578
2014-12-18,52.696346282958984
2014-12-19,52.823631286621094
2014-12-22,53.870338439941406
2014-12-23,53.89862060546875
2014-12-24,53.75010681152344
2014-12-26,53.70060729980469
2014-12-29,53.91984558105469
2014-12-30,53.7571907043457
2014-12-31,52.816566467285156
2015-01-02,53.856201171875
2015-01-05,53.65109634399414
2015-01-06,54.58465576171875
2015-01-07,55.26359558105469
2015-01-08,55.405059814453125
2015-01-09,55.7515869140625
2015-01-12,57.18730545043945
2015-01-13,57.044490814208984
2015-01-14,57.57286834716797
2015-01-15,57.58000946044922
2015-01-16,58.15126037597656
2015-01-20,57.40151596069336
2015-01-21,57.894187927246094
2015-01-22,58.586795806884766
2015-01-23,58.62965774536133
2015-01-26,58.90098190307617
2015-01-27,58.89384078979492
2015-01-28,58.35116195678711
2015-01-29,57.637142181396484
2015-01-30,56.63749313354492
2015-02-02,56.815982818603516
2015-02-03,56.601783752441406
2015-02-04,56.209049224853516
2015-02-05,55.35936737060547
2015-02-06,53.467159271240234
2015-02-09,52.71027374267578
2015-02-10,52.788814544677734
2015-02-11,52.53890609741211
2015-02-12,53.13156509399414
2015-02-13,52.71027374267578
2015-02-17,52.69599914550781
2015-02-18,53.624244689941406
2015-02-19,52.62458038330078
2015-02-20,53.18867492675781
2015-02-23,53.167266845703125
2015-02-24,52.23187255859375
2015-02-25,52.44609069824219
2015-02-26,51.38929748535156
2015-02-27,51.746315002441406
2015-03-02,52.310420989990234
2015-03-03,52.196170806884766
2015-03-04,52.296138763427734
2015-03-05,52.49604415893555
2015-03-06,50.80380630493164
2015-03-09,51.24650573730469
2015-03-10,51.30362319946289
2015-03-11,51.603538513183594
2015-03-12,52.79595947265625
2015-03-13,52.9459114074707
2015-03-16,53.809906005859375
2015-03-17,54.573909759521484
2015-03-18,55.49502182006836
2015-03-19,55.30937957763672
2015-03-20,56.83026123046875
2015-03-23,56.5303840637207
2015-03-24,55.902015686035156
2015-03-25,54.91664505004883
2015-03-26,54.780975341796875
2015-03-27,54.78813934326172
2015-03-30,55.60211181640625
2015-03-31,55.17369842529297
2015-04-01,55.209407806396484
2015-04-02,55.67353057861328
2015-04-06,56.26618576049805
2015-04-07,55.33079528808594
2015-04-08,55.80208206176758
2015-04-09,54.316837310791016
2015-04-10,54.0312385559082
2015-04-13,53.951900482177734
2015-04-14,54.391937255859375
2015-04-15,53.735477447509766
2015-04-16,54.19717025756836
2015-04-17,54.07453536987305
2015-04-20,54.27650833129883
2015-04-21,54.51457595825195
2015-04-22,55.23594284057617
2015-04-23,55.58940887451172
2015-04-24,55.35137939453125
2015-04-27,55.257591247558594
2015-04-28,55.344146728515625
2015-04-29,54.615577697753906
2015-04-30,53.82205581665039
2015-05-01,54.99068832397461
2015-05-04,55.57498550415039
2015-05-05,54.067298889160156
2015-05-06,54.21880340576172
2015-05-07,55.05560302734375
2015-05-08,55.64714050292969
2015-05-11,54.45685958862305
2015-05-12,54.57228088378906
2015-05-13,53.735477447509766
2015-05-14,54.716548919677734
2015-05-15,55.43793487548828
2015-05-18,55.43069839477539
2015-05-19,55.38023376464844
2015-05-20,55.44514846801758
2015-05-21,55.39463806152344
2015-05-22,55.57498550415039
2015-05-26,55.00509262084961
2015-05-27,55.611061096191406
2015-05-28,55.7841911315918
2015-05-29,55.1060905456543
2015-06-01,55.81305694580078
2015-06-02,54.9401969909668
2015-06-03,53.807621002197266
2015-06-04,53.923038482666016
2015-06-05,53.785980224609375
2015-06-08,53.3531379699707
2015-06-09,52.783260345458984
2015-06-10,53.11509323120117
2015-06-11,53.44691467285156
2015-06-12,53.540706634521484
2015-06-15,53.07902526855469
2015-06-16,53.43250274658203
2015-06-17,53.367584228515625
2015-06-18,54.21159362792969
2015-06-19,54.23322296142578
2015-06-22,53.807621002197266
2015-06-23,53.44691467285156
2015-06-24,53.331504821777344
2015-06-25,52.85540771484375
2015-06-26,53.32429504394531
2015-06-29,52.86983871459961
2015-06-30,52.5235710144043
2015-07-01,53.923038482666016
2015-07-02,54.377506256103516
2015-07-06,54.57228088378906
2015-07-07,55.1566047668457
2015-07-08,54.78147506713867
2015-07-09,55.17824172973633
2015-07-10,55.293670654296875
2015-07-13,55.21349334716797
2015-07-14,55.56325912475586
2015-07-15,55.599693298339844
2015-07-16,56.17538070678711
2015-07-17,56.15351104736328
2015-07-20,56.612606048583984
2015-07-21,56.678199768066406
2015-07-22,56.612606048583984
2015-07-23,55.97861862182617
2015-07-24,55.91306686401367
2015-07-27,55.87662887573242
2015-07-28,55.60700225830078
2015-07-29,55.672576904296875
2015-07-30,57.74937057495117
2015-07-31,58.54362869262695
2015-08-03,59.15575408935547
2015-08-04,58.6092529296875
2015-08-05,58.07726287841797
2015-08-06,58.69667434692383
2015-08-07,59.17033004760742
2015-08-10,59.14848327636719
2015-08-11,59.54197311401367
2015-08-12,59.48366928100586
2015-08-13,59.490962982177734
2015-08-14,60.3508415222168
2015-08-17,61.305416107177734
2015-08-18,61.47303009033203
2015-08-19,60.94108963012695
2015-08-20,60.36539077758789
2015-08-21,59.00273895263672
2015-08-24,56.58346176147461
2015-08-25,55.760009765625
2015-08-26,56.98424530029297
2015-08-27,58.56552505493164
2015-08-28,58.754966735839844
2015-08-31,57.2684211730957
2015-09-01,56.46687316894531
2015-09-02,56.882198333740234
2015-09-03,56.73647689819336
2015-09-04,55.4248161315918
2015-09-08,55.63613510131836
2015-09-09,54.96574783325195
2015-09-10,55.41025924682617
2015-09-11,56.598026275634766
2015-09-14,56.714603424072266
2015-09-15,57.31215286254883
2015-09-16,58.17930221557617
2015-09-17,59.0318717956543
2015-09-18,59.18490982055664
2015-09-21,59.51283645629883
2015-09-22,58.57278823852539
2015-09-23,59.76784896850586
2015-09-24,58.849708557128906
2015-09-25,58.762264251708984
2015-09-28,57.800384521484375
2015-09-29,59.00273895263672
2015-09-30,59.65855026245117
2015-10-01,60.31439208984375
2015-10-02,61.3272819519043
2015-10-05,61.37100601196289
2015-10-06,60.39455032348633
2015-10-07,60.91191482543945
2015-10-08,61.19612121582031
2015-10-09,61.39286422729492
2015-10-12,61.4001579284668
2015-10-13,60.89271926879883
2015-10-14,60.17937088012695
2015-10-15,61.69430923461914
2015-10-16,61.7531623840332
2015-10-19,63.02541732788086
2015-10-20,63.12838363647461
2015-10-21,62.70183181762695
2015-10-22,63.135738372802734
2015-10-23,63.084266662597656
2015-10-26,63.12103271484375
2015-10-27,63.348995208740234
2015-10-28,62.73127365112305
2015-10-29,64.3859634399414
2015-10-30,62.650367736816406
2015-11-02,63.99618148803711
2015-11-03,63.348995208740234
2015-11-04,63.3784294128418
2015-11-05,63.26075744628906
2015-11-06,61.26777648925781
2015-11-09,60.83388137817383
2015-11-10,61.40748977661133
2015-11-11,62.01055145263672
2015-11-12,61.74581527709961
2015-11-13,61.91494369506836
2015-11-16,62.98130798339844
2015-11-17,63.61376190185547
2015-11-18,64.04029083251953
2015-11-19,64.42271423339844
2015-11-20,65.2022705078125
2015-11-23,65.06253814697266
2015-11-24,64.50362396240234
2015-11-25,65.19491577148438
2015-11-27,65.74647521972656
2015-11-30,65.12873077392578
2015-12-01,66.09947967529297
2015-12-02,65.12873077392578
2015-12-03,63.83440017700195
2015-12-04,65.41553497314453
2015-12-07,65.0257568359375
2015-12-08,64.86396026611328
2015-12-09,64.43743133544922
2015-12-10,64.56981658935547
2015-12-11,65.0257568359375
2015-12-14,65.84942626953125
2015-12-15,66.21715545654297
2015-12-16,67.18055725097656
2015-12-17,66.44512939453125
2015-12-18,66.08477020263672
2015-12-21,66.29069519042969
2015-12-22,66.59955596923828
2015-12-23,66.8275375366211
2015-12-24,66.98198699951172
2015-12-28,67.4159164428711
2015-12-29,67.95274353027344
2015-12-30,67.51882934570312
2015-12-31,66.7834243774414
2016-01-04,66.20980072021484
2016-01-05,67.04083251953125
2016-01-06,66.69515991210938
2016-01-07,66.81283569335938
2016-01-08,66.37892150878906
2016-01-11,66.59955596923828
2016-01-12,66.40101623535156
2016-01-13,66.27482604980469
2016-01-14,66.34161376953125
2016-01-15,67.0541000366211
2016-01-19,67.59586334228516
2016-01-20,66.32679748535156
2016-01-21,66.30451202392578
2016-01-22,67.89274597167969
2016-01-25,68.67202758789062
2016-01-26,70.356689453125
2016-01-27,68.54585266113281
2016-01-28,68.22671508789062
2016-01-29,69.62940216064453
2016-02-01,69.65167236328125
2016-02-02,68.58295440673828
2016-02-03,68.62748718261719
2016-02-04,65.03543090820312
2016-02-05,63.499176025390625
2016-02-08,62.81637191772461
2016-02-09,63.21714401245117
2016-02-10,63.98896408081055
2016-02-11,62.98710250854492
2016-02-12,63.447208404541016
2016-02-16,65.54751586914062
2016-02-17,65.94087219238281
2016-02-18,67.84078216552734
2016-02-19,67.98179626464844
2016-02-22,68.99857330322266
2016-02-23,68.3009262084961
2016-02-24,67.69237518310547
2016-02-25,68.48648071289062
2016-02-26,68.0931167602539
2016-02-29,66.74980926513672
2016-03-01,69.67394256591797
2016-03-02,70.13406372070312
2016-03-03,69.82979583740234
2016-03-04,69.2954330444336
2016-03-07,69.60714721679688
2016-03-08,69.74072265625
2016-03-09,69.82979583740234
2016-03-10,69.8075180053711
2016-03-11,70.90591430664062
2016-03-14,71.33638000488281
2016-03-15,72.13792419433594
2016-03-16,73.75579833984375
2016-03-17,74.94325256347656
2016-03-18,75.14364624023438
2016-03-21,73.84486389160156
2016-03-22,73.79290771484375
2016-03-23,73.43666076660156
2016-03-24,72.9616928100586
2016-03-28,73.77806091308594
2016-03-29,75.17333221435547
2016-03-30,75.3143539428711
2016-03-31,75.85610961914062
2016-04-01,76.08617401123047
2016-04-04,75.74480438232422
2016-04-05,75.54442596435547
2016-04-06,75.92291259765625
2016-04-07,75.6557388305664
2016-04-08,76.24945831298828
2016-04-11,75.14364624023438
2016-04-12,75.55184173583984
2016-04-13,74.25747680664062
2016-04-14,71.92312622070312
2016-04-15,73.21001434326172
2016-04-18,73.8160629272461
2016-04-19,74.10781860351562
2016-04-20,72.57406616210938
2016-04-21,71.54904174804688
2016-04-22,72.13261413574219
2016-04-25,72.76110076904297
2016-04-26,72.96310424804688
2016-04-27,72.31218719482422
2016-04-28,72.2448501586914
2016-04-29,71.60890197753906
2016-05-02,72.88081359863281
2016-05-03,72.90324401855469
2016-05-04,74.2051010131836
2016-05-05,75.24507904052734
2016-05-06,76.38978576660156
2016-05-09,76.78633117675781
2016-05-10,76.92100524902344
2016-05-11,75.3273696899414
2016-05-12,76.21771240234375
2016-05-13,76.85366821289062
2016-05-16,77.55696868896484
2016-05-17,75.66405487060547
2016-05-18,74.49688720703125
