,TMO
2014-01-02,105.8993911743164
2014-01-03,106.30513763427734
2014-01-06,106.31476593017578
2014-01-07,108.48819732666016
2014-01-08,110.1593246459961
2014-01-09,110.12071228027344
2014-01-10,110.56502532958984
2014-01-13,109.1450424194336
2014-01-14,110.85484313964844
2014-01-15,111.58898162841797
2014-01-16,112.15889739990234
2014-01-17,111.94639587402344
2014-01-21,111.03837585449219
2014-01-22,110.79686737060547
2014-01-23,108.97118377685547
2014-01-24,106.20852661132812
2014-01-27,106.1312255859375
2014-01-28,108.49788665771484
2014-01-29,107.94725799560547
2014-01-30,111.07697296142578
2014-01-31,111.2219009399414
2014-02-03,109.28031158447266
2014-02-04,109.1160888671875
2014-02-05,109.34795379638672
2014-02-06,110.53604888916016
2014-02-07,113.76243591308594
2014-02-10,114.57380676269531
2014-02-11,116.88248443603516
2014-02-12,117.38480377197266
2014-02-13,118.71783447265625
2014-02-14,119.52926635742188
2014-02-18,119.345703125
2014-02-19,117.6649398803711
2014-02-20,120.46624755859375
2014-02-21,118.98831939697266
2014-02-24,119.1718521118164
2014-02-25,119.59686279296875
2014-02-26,120.05089569091797
2014-02-27,120.6594467163086
2014-02-28,120.30203247070312
2014-03-03,119.15251922607422
2014-03-04,121.08444213867188
2014-03-05,121.62541198730469
2014-03-06,122.09877014160156
2014-03-07,122.35954284667969
2014-03-10,121.98282623291016
2014-03-11,121.93453979492188
2014-03-12,122.1856918334961
2014-03-13,119.19727325439453
2014-03-14,118.23014831542969
2014-03-17,118.97484588623047
2014-03-18,119.6615219116211
2014-03-19,118.68473052978516
2014-03-20,119.51644134521484
2014-03-21,118.85879516601562
2014-03-24,116.68278503417969
2014-03-25,115.42552947998047
2014-03-26,114.1585922241211
2014-03-27,113.80078125
2014-03-28,114.6034927368164
2014-03-31,116.28626251220703
2014-04-01,117.872314453125
2014-04-02,118.18180084228516
2014-04-03,117.79493713378906
2014-04-04,115.9380874633789
2014-04-07,113.926513671875
2014-04-08,113.35591125488281
2014-04-09,116.44100952148438
2014-04-10,113.13347625732422
2014-04-11,111.9632339477539
2014-04-14,112.5725326538086
2014-04-15,113.78144073486328
2014-04-16,115.77369689941406
2014-04-17,115.37714385986328
2014-04-21,115.4352035522461
2014-04-22,116.39266204833984
2014-04-23,115.46422576904297
2014-04-24,111.5860366821289
2014-04-25,110.53192901611328
2014-04-28,109.85494232177734
2014-04-29,110.87042236328125
2014-04-30,110.25145721435547
2014-05-01,111.14119720458984
2014-05-02,110.46421813964844
2014-05-05,111.04449462890625
2014-05-06,110.65764617919922
2014-05-07,112.6112289428711
2014-05-08,111.8278579711914
2014-05-09,112.76594543457031
2014-05-12,114.46808624267578
2014-05-13,113.71372985839844
2014-05-14,112.65958404541016
2014-05-15,111.7504653930664
2014-05-16,113.974853515625
2014-05-19,115.36750793457031
2014-05-20,110.70598602294922
2014-05-21,111.528076171875
2014-05-22,112.11798095703125
2014-05-23,111.93424987792969
2014-05-27,111.59573364257812
2014-05-28,112.25336456298828
2014-05-29,113.25920104980469
2014-05-30,113.0657730102539
2014-06-02,112.74662017822266
2014-06-03,114.00386810302734
2014-06-04,113.90715789794922
2014-06-05,115.0870361328125
2014-06-06,115.8703842163086
2014-06-09,115.64796447753906
2014-06-10,115.36750793457031
2014-06-11,116.25721740722656
2014-06-12,116.05391693115234
2014-06-13,115.38578033447266
2014-06-16,114.9306411743164
2014-06-17,114.88223266601562
2014-06-18,116.10230255126953
2014-06-19,115.9183349609375
2014-06-20,115.17271423339844
2014-06-23,115.32767486572266
2014-06-24,114.8047866821289
2014-06-25,115.36639404296875
2014-06-26,115.52131652832031
2014-06-27,114.55298614501953
2014-06-30,114.26248931884766
2014-07-01,115.19207763671875
2014-07-02,114.3109130859375
2014-07-03,116.3056869506836
2014-07-07,115.92800903320312
2014-07-08,114.25282287597656
2014-07-09,114.10755920410156
2014-07-10,113.43939971923828
2014-07-11,114.5239486694336
2014-07-14,114.06884765625
2014-07-15,114.26248931884766
2014-07-16,115.44384765625
2014-07-17,115.25017547607422
2014-07-18,117.16747283935547
2014-07-21,118.27139282226562
2014-07-22,119.16221618652344
2014-07-23,120.07244873046875
2014-07-24,121.5346450805664
2014-07-25,121.10855865478516
2014-07-28,120.4404067993164
2014-07-29,119.62702178955078
2014-07-30,120.75996398925781
2014-07-31,117.65161895751953
2014-08-01,117.53546905517578
2014-08-04,117.53546905517578
2014-08-05,116.31534576416016
2014-08-06,116.35407257080078
2014-08-07,115.74401092529297
2014-08-08,117.32242584228516
2014-08-11,117.09001922607422
2014-08-12,116.22819519042969
2014-08-13,117.50639343261719
2014-08-14,117.92276763916016
2014-08-15,117.70006561279297
2014-08-18,118.18424224853516
2014-08-19,118.51343536376953
2014-08-20,118.38758087158203
2014-08-21,117.95182037353516
2014-08-22,117.38048553466797
2014-08-25,117.94210815429688
2014-08-26,116.88666534423828
2014-08-27,116.27662658691406
2014-08-28,116.26692962646484
2014-08-29,116.40247344970703
2014-09-02,118.83301544189453
2014-09-03,119.83037567138672
2014-09-04,119.95624542236328
2014-09-05,120.68251037597656
2014-09-08,121.02144622802734
2014-09-09,120.07244873046875
2014-09-10,119.69481658935547
2014-09-11,119.53968048095703
2014-09-12,119.52029418945312
2014-09-15,118.60895538330078
2014-09-16,118.8707046508789
2014-09-17,119.83055114746094
2014-09-18,120.34436798095703
2014-09-19,119.48149871826172
2014-09-22,118.09513092041016
2014-09-23,117.4649658203125
2014-09-24,119.7432861328125
2014-09-25,117.3001480102539
2014-09-26,117.65886688232422
2014-09-29,118.27933502197266
2014-09-30,117.98849487304688
2014-10-01,115.9234390258789
2014-10-02,115.52597045898438
2014-10-03,117.68795013427734
2014-10-06,116.95111846923828
2014-10-07,114.61460876464844
2014-10-08,117.92061614990234
2014-10-09,114.22681427001953
2014-10-10,112.91796875
2014-10-13,109.05936431884766
2014-10-14,108.37100982666016
2014-10-15,107.75051879882812
2014-10-16,106.3447494506836
2014-10-17,108.9333267211914
2014-10-20,110.84326171875
2014-10-21,114.61460876464844
2014-10-22,110.3585205078125
2014-10-23,112.68531036376953
2014-10-24,114.30436706542969
2014-10-27,114.40131378173828
2014-10-28,114.73094940185547
2014-10-29,112.5495834350586
2014-10-30,113.03430938720703
2014-10-31,113.98444366455078
2014-11-03,114.78913879394531
2014-11-04,114.71155548095703
2014-11-05,114.9345703125
2014-11-06,115.28357696533203
2014-11-07,113.04401397705078
2014-11-10,113.28639221191406
2014-11-11,114.6921615600586
2014-11-12,114.8957748413086
2014-11-13,114.63399505615234
2014-11-14,115.1284408569336
2014-11-17,114.81822967529297
2014-11-18,116.82511138916016
2014-11-19,120.86788940429688
2014-11-20,120.78067016601562
2014-11-21,122.680908203125
2014-11-24,123.52433776855469
2014-11-25,123.9800033569336
2014-11-26,124.73622131347656
2014-11-28,125.34706115722656
2014-12-01,124.05757141113281
2014-12-02,124.87194061279297
2014-12-03,124.98828887939453
2014-12-04,124.47444915771484
2014-12-05,124.619873046875
2014-12-08,124.57141876220703
2014-12-09,124.37747955322266
2014-12-10,123.44680786132812
2014-12-11,123.00027465820312
2014-12-12,121.32109069824219
2014-12-15,120.09806823730469
2014-12-16,117.98201751708984
2014-12-17,121.1075210571289
2014-12-18,123.77680206298828
2014-12-19,124.67950439453125
2014-12-22,125.14541625976562
2014-12-23,122.9420394897461
2014-12-24,123.06822967529297
2014-12-26,123.92240905761719
2014-12-29,123.13619995117188
2014-12-30,122.8935317993164
2014-12-31,121.6122817993164
2015-01-02,124.3591537475586
2015-01-05,122.65087127685547
2015-01-06,121.5054702758789
2015-01-07,125.14541625976562
2015-01-08,126.44607543945312
2015-01-09,125.9413070678711
2015-01-12,124.72802734375
2015-01-13,124.57273864746094
2015-01-14,122.49553680419922
2015-01-15,120.486328125
2015-01-16,121.6122817993164
2015-01-20,121.56375122070312
2015-01-21,121.6801986694336
2015-01-22,123.2720718383789
2015-01-23,121.20458221435547
2015-01-26,121.95198822021484
2015-01-27,121.21428680419922
2015-01-28,120.69015502929688
2015-01-29,124.20390319824219
2015-01-30,121.53463745117188
2015-02-02,122.19465637207031
2015-02-03,123.59235382080078
2015-02-04,122.64115142822266
2015-02-05,123.3109130859375
2015-02-06,121.13666534423828
2015-02-09,119.77772521972656
2015-02-10,121.35991668701172
2015-02-11,121.73844909667969
2015-02-12,123.10706329345703
2015-02-13,123.86417388916016
2015-02-17,124.27181243896484
2015-02-18,124.24272155761719
2015-02-19,124.03887939453125
2015-02-20,127.31964874267578
2015-02-23,127.13521575927734
2015-02-24,127.97970581054688
2015-02-25,127.22257995605469
2015-02-26,126.31983947753906
2015-02-27,126.18399810791016
2015-03-02,127.49437713623047
2015-03-03,125.92193603515625
2015-03-04,125.10655975341797
2015-03-05,127.60114288330078
2015-03-06,124.73773193359375
2015-03-09,124.33979034423828
2015-03-10,123.3011703491211
2015-03-11,124.1844711303711
2015-03-12,124.97161865234375
2015-03-13,123.82492065429688
2015-03-16,129.2183380126953
2015-03-17,128.6158447265625
2015-03-18,130.11236572265625
2015-03-19,130.95782470703125
2015-03-20,132.7750701904297
2015-03-23,133.9800567626953
2015-03-24,131.82269287109375
2015-03-25,129.93743896484375
2015-03-26,129.31553649902344
2015-03-27,129.91798400878906
2015-03-30,131.74496459960938
2015-03-31,130.5496826171875
2015-04-01,128.27569580078125
2015-04-02,129.3543701171875
2015-04-06,129.7333526611328
2015-04-07,129.26690673828125
2015-04-08,129.07257080078125
2015-04-09,129.80145263671875
2015-04-10,129.95692443847656
2015-04-13,128.97537231445312
2015-04-14,128.9365234375
2015-04-15,129.84999084472656
2015-04-16,128.75184631347656
2015-04-17,128.3728485107422
2015-04-20,130.24842834472656
2015-04-21,130.64682006835938
2015-04-22,127.00264739990234
2015-04-23,125.89478302001953
2015-04-24,126.35157775878906
2015-04-27,123.67913055419922
2015-04-28,124.02899169921875
2015-04-29,123.54310607910156
2015-04-30,122.13399505615234
2015-05-01,124.0581283569336
2015-05-04,124.17475891113281
2015-05-05,123.07666015625
