,PCG
2014-01-02,34.8134880065918
2014-01-03,34.76081085205078
2014-01-06,34.83982467651367
2014-01-07,35.1207160949707
2014-01-08,34.93638229370117
2014-01-09,35.17338180541992
2014-01-10,35.577178955078125
2014-01-13,35.36650848388672
2014-01-14,35.375282287597656
2014-01-15,35.55961608886719
2014-01-16,35.68251419067383
2014-01-17,35.70005798339844
2014-01-21,36.22673797607422
2014-01-22,36.112632751464844
2014-01-23,36.24429702758789
2014-01-24,35.831729888916016
2014-01-27,35.91951370239258
2014-01-28,35.998504638671875
2014-01-29,35.92829513549805
2014-01-30,36.83243179321289
2014-01-31,36.99921417236328
2014-02-03,36.44620132446289
2014-02-04,36.23551940917969
2014-02-05,36.086299896240234
2014-02-06,36.296966552734375
2014-02-07,36.71831130981445
2014-02-10,37.0431022644043
2014-02-11,37.253761291503906
2014-02-12,37.87701416015625
2014-02-13,38.54413604736328
2014-02-14,38.57046890258789
2014-02-18,38.18423843383789
2014-02-19,37.947227478027344
2014-02-20,38.32469177246094
2014-02-21,38.57046890258789
2014-02-24,38.64069366455078
2014-02-25,38.43880081176758
2014-02-26,38.17545700073242
2014-02-27,38.08769226074219
2014-02-28,38.67579650878906
2014-03-03,38.29835510253906
2014-03-04,38.54413604736328
2014-03-05,37.93845748901367
2014-03-06,37.5258903503418
2014-03-07,37.5258903503418
2014-03-10,37.481998443603516
2014-03-11,37.754112243652344
2014-03-12,38.25447082519531
2014-03-13,38.65825653076172
2014-03-14,38.930362701416016
2014-03-17,39.1673698425293
2014-03-18,39.0708122253418
2014-03-19,38.886474609375
2014-03-20,38.895259857177734
2014-03-21,38.94792175292969
2014-03-24,39.26393127441406
2014-03-25,39.24637222290039
2014-03-26,38.868927001953125
2014-03-27,38.70484161376953
2014-03-28,37.152748107910156
2014-03-31,38.31460189819336
2014-04-01,37.578460693359375
2014-04-02,38.4476432800293
2014-04-03,38.84675598144531
2014-04-04,39.440982818603516
2014-04-07,39.059608459472656
2014-04-08,39.56515121459961
2014-04-09,39.370018005371094
2014-04-10,39.40550994873047
2014-04-11,39.60062789916992
2014-04-14,39.62722396850586
2014-04-15,40.150508880615234
2014-04-16,40.460933685302734
2014-04-17,39.79574203491211
2014-04-21,39.71592330932617
2014-04-22,39.63610076904297
2014-04-23,39.538543701171875
2014-04-24,39.822349548339844
2014-04-25,40.35449981689453
2014-04-28,40.647178649902344
2014-04-29,40.221466064453125
2014-04-30,40.42545700073242
2014-05-01,40.57622528076172
2014-05-02,39.49418640136719
2014-05-05,39.78687286376953
2014-05-06,39.299076080322266
2014-05-07,39.653831481933594
2014-05-08,39.547401428222656
2014-05-09,38.66049575805664
2014-05-12,38.15495681762695
2014-05-13,38.31460189819336
2014-05-14,38.829002380371094
2014-05-15,38.69597244262695
2014-05-16,38.70484161376953
2014-05-19,38.59840774536133
2014-05-20,38.69597244262695
2014-05-21,39.28133773803711
2014-05-22,39.56515121459961
2014-05-23,39.6627082824707
2014-05-27,39.71592330932617
2014-05-28,40.17711639404297
2014-05-29,40.514137268066406
2014-05-30,40.68266296386719
2014-06-02,40.68266296386719
2014-06-03,40.478668212890625
2014-06-04,40.6915283203125
2014-06-05,41.24141311645508
2014-06-06,41.401058197021484
2014-06-09,40.9221305847168
2014-06-10,40.94873046875
2014-06-11,41.04629135131836
2014-06-12,41.08177185058594
2014-06-13,41.2857551574707
2014-06-16,41.57843780517578
2014-06-17,41.57843780517578
2014-06-18,42.30569839477539
2014-06-19,42.7757682800293
2014-06-20,42.740291595458984
2014-06-23,42.2347526550293
2014-06-24,42.332313537597656
2014-06-25,42.128318786621094
2014-06-26,42.26712417602539
2014-06-27,42.5626335144043
2014-06-30,43.00142288208008
2014-07-01,42.29399108886719
2014-07-02,41.7567024230957
2014-07-03,41.21940612792969
2014-07-07,41.631324768066406
2014-07-08,41.926849365234375
2014-07-09,41.96266174316406
2014-07-10,42.26712417602539
2014-07-11,42.19548416137695
2014-07-14,42.02534103393555
2014-07-15,42.347713470458984
2014-07-16,42.54471969604492
2014-07-17,41.97159957885742
2014-07-18,42.329803466796875
2014-07-21,42.204444885253906
2014-07-22,42.231300354003906
2014-07-23,42.2133903503418
2014-07-24,42.41935729980469
2014-07-25,42.177574157714844
2014-07-28,42.41935729980469
2014-07-29,41.729835510253906
2014-07-30,40.923885345458984
2014-07-31,40.001529693603516
2014-08-01,40.207489013671875
2014-08-04,39.831382751464844
2014-08-05,39.15977478027344
2014-08-06,38.506065368652344
2014-08-07,38.75679397583008
2014-08-08,39.50901794433594
2014-08-11,39.338871002197266
2014-08-12,39.329917907714844
2014-08-13,39.464237213134766
2014-08-14,39.86720275878906
2014-08-15,40.476139068603516
2014-08-18,40.2880973815918
2014-08-19,40.959712982177734
2014-08-20,41.04925537109375
2014-08-21,41.05821228027344
2014-08-22,40.870155334472656
2014-08-25,41.12089157104492
2014-08-26,40.6641960144043
2014-08-27,41.013431549072266
2014-08-28,41.30895233154297
2014-08-29,41.62236785888672
2014-09-02,42.347713470458984
2014-09-03,42.168617248535156
2014-09-04,42.26712417602539
2014-09-05,43.04619216918945
2014-09-08,42.57158660888672
2014-09-09,42.08802795410156
2014-09-10,41.91788101196289
2014-09-11,42.410400390625
2014-09-12,41.53282165527344
2014-09-15,41.497005462646484
2014-09-16,41.156715393066406
2014-09-17,41.32685852050781
2014-09-18,41.10298538208008
2014-09-19,41.04925537109375
2014-09-22,40.46718978881836
2014-09-23,40.574649810791016
2014-09-24,40.511962890625
2014-09-25,40.01048278808594
2014-09-26,40.096435546875
2014-09-29,40.575927734375
2014-09-30,40.74782180786133
2014-10-01,40.88352966308594
2014-10-02,40.79305648803711
2014-10-03,41.16399002075195
2014-10-06,40.94685745239258
2014-10-07,40.15071105957031
2014-10-08,40.71163558959961
2014-10-09,40.277374267578125
2014-10-10,40.86543655395508
2014-10-13,41.04637145996094
2014-10-14,41.507774353027344
2014-10-15,41.3720588684082
2014-10-16,40.4221305847168
2014-10-17,40.44021987915039
2014-10-20,41.06447219848633
2014-10-21,41.154937744140625
2014-10-22,41.84251022338867
2014-10-23,41.78823471069336
2014-10-24,42.67483139038086
2014-10-27,42.132015228271484
2014-10-28,42.99149703979492
2014-10-29,43.88713455200195
2014-10-30,45.09943389892578
2014-10-31,45.524662017822266
2014-11-03,46.08556365966797
2014-11-04,45.85034942626953
2014-11-05,45.506561279296875
2014-11-06,44.63804626464844
2014-11-07,45.551788330078125
2014-11-10,45.931766510009766
2014-11-11,45.73273468017578
2014-11-12,45.3618049621582
2014-11-13,45.027069091796875
2014-11-14,44.91850662231445
2014-11-17,45.759883880615234
2014-11-18,45.6151237487793
2014-11-19,45.38895034790039
2014-11-20,45.42512893676758
2014-11-21,45.2984733581543
2014-11-24,44.529483795166016
2014-11-25,44.58375930786133
2014-11-26,45.18086624145508
2014-11-28,45.687496185302734
2014-12-01,45.79606246948242
2014-12-02,46.61934280395508
2014-12-03,46.13985061645508
2014-12-04,46.22127914428711
2014-12-05,46.0946159362793
2014-12-08,46.9721794128418
2014-12-09,46.89979553222656
2014-12-10,46.908851623535156
2014-12-11,47.88592529296875
2014-12-12,47.107879638671875
2014-12-15,47.35215377807617
2014-12-16,46.99026870727539
2014-12-17,47.704978942871094
2014-12-18,48.35637283325195
2014-12-19,48.00354766845703
2014-12-22,48.14829635620117
2014-12-23,48.19352722167969
2014-12-24,49.270118713378906
2014-12-26,49.63200378417969
2014-12-29,50.156558990478516
2014-12-30,49.517974853515625
2014-12-31,48.56920623779297
2015-01-02,48.660438537597656
2015-01-05,49.481483459472656
2015-01-06,49.40849685668945
2015-01-07,49.800777435302734
2015-01-08,50.43024444580078
2015-01-09,50.93199157714844
2015-01-12,50.567081451416016
2015-01-13,51.552337646484375
2015-01-14,52.59231948852539
2015-01-15,52.55583190917969
2015-01-16,53.05757141113281
2015-01-20,53.18529510498047
2015-01-21,53.34038543701172
2015-01-22,53.09406661987305
2015-01-23,53.70528793334961
2015-01-26,54.18879318237305
2015-01-27,54.197914123535156
2015-01-28,54.088443756103516
2015-01-29,54.872989654541016
2015-01-30,53.650550842285156
2015-02-02,53.48634719848633
2015-02-03,53.68704605102539
2015-02-04,52.82951736450195
2015-02-05,52.96635437011719
2015-02-06,51.14181900024414
2015-02-09,50.87724685668945
2015-02-10,51.826011657714844
2015-02-11,50.35725784301758
2015-02-12,50.35725784301758
2015-02-13,49.31727981567383
2015-02-17,49.61832809448242
2015-02-18,50.67655563354492
2015-02-19,50.220420837402344
2015-02-20,50.156558990478516
2015-02-23,50.411991119384766
2015-02-24,50.31165313720703
2015-02-25,49.36288833618164
2015-02-26,49.18954849243164
2015-02-27,49.0162239074707
2015-03-02,48.715171813964844
2015-03-03,48.99797058105469
2015-03-04,48.92499923706055
2015-03-05,49.107452392578125
2015-03-06,47.62044906616211
2015-03-09,47.501853942871094
2015-03-10,47.22817611694336
2015-03-11,46.872398376464844
2015-03-12,47.81202697753906
2015-03-13,47.25553894042969
2015-03-16,48.85200881958008
2015-03-17,48.39588165283203
2015-03-18,49.4906005859375
2015-03-19,48.90675735473633
2015-03-20,49.22604751586914
2015-03-23,49.709556579589844
2015-03-24,48.769920349121094
2015-03-25,48.13132095336914
2015-03-26,47.77553176879883
2015-03-27,47.86295700073242
2015-03-30,48.72801208496094
2015-03-31,48.83844757080078
2015-04-01,48.88446044921875
2015-04-02,49.316986083984375
2015-04-06,49.94276428222656
2015-04-07,49.21575164794922
2015-04-08,49.335384368896484
2015-04-09,48.571563720703125
2015-04-10,48.810829162597656
2015-04-13,48.17585754394531
2015-04-14,48.12983703613281
2015-04-15,47.7801399230957
2015-04-16,47.7801399230957
2015-04-17,48.185054779052734
2015-04-20,48.38752365112305
2015-04-21,47.88136672973633
2015-04-22,47.715721130371094
2015-04-23,48.02861404418945
2015-04-24,48.534759521484375
2015-04-27,47.73412322998047
2015-04-28,48.40591812133789
2015-04-29,49.620670318603516
2015-04-30,48.70040512084961
2015-05-01,49.22494888305664
2015-05-04,49.390594482421875
2015-05-05,48.17585754394531
2015-05-06,47.789337158203125
2015-05-07,47.64209747314453
2015-05-08,48.22186279296875
2015-05-11,47.90898132324219
2015-05-12,47.55927276611328
2015-05-13,46.878273010253906
2015-05-14,47.32920837402344
2015-05-15,47.86295700073242
2015-05-18,48.332305908203125
2015-05-19,48.7832145690918
2015-05-20,48.6359748840332
2015-05-21,48.91206359863281
2015-05-22,48.507144927978516
2015-05-26,48.47954559326172
2015-05-27,49.01329040527344
2015-05-28,49.105323791503906
2015-05-29,49.206546783447266
2015-06-01,49.38139724731445
2015-06-02,48.68199920654297
2015-06-03,47.826148986816406
2015-06-04,47.715721130371094
2015-06-05,47.264793395996094
2015-06-08,46.740238189697266
2015-06-09,46.31692123413086
2015-06-10,46.40894317626953
2015-06-11,46.58378982543945
2015-06-12,46.234092712402344
2015-06-15,45.838382720947266
2015-06-16,46.11445617675781
2015-06-17,46.74943542480469
2015-06-18,47.56847381591797
2015-06-19,47.00712203979492
2015-06-22,47.071537017822266
2015-06-23,46.41814422607422
2015-06-24,45.87518310546875
2015-06-25,45.64512252807617
2015-06-26,46.16059875488281
2015-06-29,45.816951751708984
2015-06-30,45.60333251953125
2015-07-01,45.86338806152344
2015-07-02,46.24419021606445
2015-07-06,46.467105865478516
2015-07-07,47.739532470703125
2015-07-08,47.767391204833984
2015-07-09,47.089393615722656
2015-07-10,47.479469299316406
2015-07-13,47.57236099243164
2015-07-14,47.368019104003906
2015-07-15,47.75811004638672
2015-07-16,48.547569274902344
2015-07-17,47.674522399902344
2015-07-20,47.544490814208984
2015-07-21,46.99650573730469
2015-07-22,47.66522216796875
2015-07-23,46.7457389831543
2015-07-24,46.76430130004883
2015-07-27,48.138916015625
2015-07-28,48.55686569213867
2015-07-29,48.61258316040039
2015-07-30,48.46398162841797
2015-07-31,48.77048873901367
2015-08-03,48.8912239074707
2015-08-04,48.28752136230469
2015-08-05,48.138916015625
2015-08-06,48.44540786743164
2015-08-07,49.12342071533203
2015-08-10,48.519710540771484
2015-08-11,48.88193893432617
2015-08-12,49.39277267456055
2015-08-13,49.55995178222656
2015-08-14,50.228675842285156
2015-08-17,50.405147552490234
2015-08-18,50.535179138183594
2015-08-19,50.27511978149414
2015-08-20,50.04291915893555
2015-08-21,49.29989242553711
2015-08-24,46.82004165649414
2015-08-25,45.47330093383789
2015-08-26,45.90982437133789
2015-08-27,46.75502014160156
2015-08-28,46.82932662963867
2015-08-31,46.04914855957031
2015-09-01,44.47021484375
2015-09-02,44.51665115356445
2015-09-03,44.86029815673828
2015-09-04,44.210147857666016
2015-09-08,45.30611038208008
2015-09-09,44.498077392578125
2015-09-10,44.30303192138672
2015-09-11,44.99032974243164
2015-09-14,45.03677749633789
2015-09-15,45.3246955871582
2015-09-16,45.770511627197266
2015-09-17,46.522823333740234
2015-09-18,46.93149185180664
2015-09-21,47.53520202636719
2015-09-22,47.785980224609375
2015-09-23,48.29679870605469
2015-09-24,48.705467224121094
2015-09-25,49.15129089355469
2015-09-28,48.72502136230469
2015-09-29,48.72502136230469
2015-09-30,49.46512985229492
2015-10-01,49.259029388427734
2015-10-02,49.65250015258789
2015-10-05,50.08344268798828
2015-10-06,49.75555419921875
2015-10-07,49.39955520629883
2015-10-08,49.7368049621582
2015-10-09,49.1840705871582
2015-10-12,49.65250015258789
2015-10-13,49.40892028808594
2015-10-14,49.4370231628418
2015-10-15,50.63618087768555
2015-10-16,50.61743927001953
2015-10-19,50.86102294921875
2015-10-20,50.89849853515625
2015-10-21,50.748592376708984
2015-10-22,51.0577507019043
2015-10-23,50.242706298828125
2015-10-26,50.39259338378906
2015-10-27,50.65491485595703
2015-10-28,49.605655670166016
2015-10-29,49.04355239868164
2015-10-30,50.02722930908203
2015-11-02,50.167755126953125
2015-11-03,50.242706298828125
2015-11-04,50.739234924316406
2015-11-05,50.32701873779297
2015-11-06,48.65007781982422
2015-11-09,49.1840705871582
2015-11-10,49.9991340637207
2015-11-11,50.28017807006836
2015-11-12,49.45576095581055
2015-11-13,48.95923614501953
2015-11-16,50.0647087097168
2015-11-17,48.85618209838867
2015-11-18,49.343345642089844
2015-11-19,49.83049774169922
2015-11-20,50.195865631103516
2015-11-23,49.39955520629883
2015-11-24,49.230918884277344
2015-11-25,49.052921295166016
2015-11-27,49.4370231628418
