,GPN
2014-01-02,31.423551559448242
2014-01-03,31.98528480529785
2014-01-06,31.346729278564453
2014-01-07,31.154685974121094
2014-01-08,30.924232482910156
2014-01-09,32.18693542480469
2014-01-10,32.907108306884766
2014-01-13,33.18077850341797
2014-01-14,33.52646255493164
2014-01-15,33.488037109375
2014-01-16,33.33921432495117
2014-01-17,33.22877883911133
2014-01-21,33.0511474609375
2014-01-22,33.53605651855469
2014-01-23,33.03194808959961
2014-01-24,32.1245231628418
2014-01-27,31.937280654907227
2014-01-28,32.388580322265625
2014-01-29,32.047706604003906
2014-01-30,32.489418029785156
2014-01-31,31.730825424194336
2014-02-03,30.540142059326172
2014-02-04,30.775400161743164
2014-02-05,30.78499984741211
2014-02-06,31.197904586791992
2014-02-07,31.668407440185547
2014-02-10,31.922870635986328
2014-02-11,32.225345611572266
2014-02-12,32.114891052246094
2014-02-13,32.27336502075195
2014-02-14,32.18212127685547
2014-02-18,32.10527801513672
2014-02-19,32.278167724609375
2014-02-20,32.40785217285156
2014-02-21,33.00336456298828
2014-02-24,33.06099319458008
2014-02-25,32.80644989013672
2014-02-26,32.88810729980469
2014-02-27,33.40678405761719
2014-02-28,33.776588439941406
2014-03-03,33.656524658203125
2014-03-04,34.19920349121094
2014-03-05,34.3961181640625
2014-03-06,34.424930572509766
2014-03-07,34.8571662902832
2014-03-10,34.79472732543945
2014-03-11,34.81394577026367
2014-03-12,34.876365661621094
2014-03-13,34.06953430175781
2014-03-14,34.050323486328125
2014-03-17,34.42973327636719
2014-03-18,35.05886459350586
2014-03-19,34.809146881103516
2014-03-20,35.02043914794922
2014-03-21,34.83794021606445
2014-03-24,34.549800872802734
2014-03-25,33.65171813964844
2014-03-26,32.88810729980469
2014-03-27,33.5556640625
2014-03-28,33.82461929321289
2014-03-31,34.15118408203125
2014-04-01,34.6746711730957
2014-04-02,34.51137924194336
2014-04-03,34.40571975708008
2014-04-04,32.79204177856445
2014-04-07,31.874765396118164
2014-04-08,32.17251968383789
2014-04-09,32.364627838134766
2014-04-10,31.889158248901367
2014-04-11,31.610620498657227
2014-04-14,31.759489059448242
2014-04-15,32.09566116333008
2014-04-16,32.58554458618164
2014-04-17,32.6047477722168
2014-04-21,32.52310562133789
2014-04-22,32.556724548339844
2014-04-23,32.033233642578125
2014-04-24,31.898773193359375
2014-04-25,31.562591552734375
2014-04-28,31.33686637878418
2014-04-29,31.514564514160156
2014-04-30,32.09566116333008
2014-05-01,31.716279983520508
2014-05-02,32.00923538208008
2014-05-05,32.11969757080078
2014-05-06,32.13890838623047
2014-05-07,32.47507858276367
2014-05-08,32.70561599731445
2014-05-09,32.984161376953125
2014-05-12,32.8112678527832
2014-05-13,32.364627838134766
2014-05-14,32.36941909790039
2014-05-15,32.42226028442383
2014-05-16,32.59040832519531
2014-05-19,33.02758026123047
2014-05-20,32.35980987548828
2014-05-21,32.4751091003418
2014-05-22,32.619232177734375
2014-05-23,33.14767074584961
2014-05-27,33.28217315673828
2014-05-28,33.55602264404297
2014-05-29,33.31100082397461
2014-05-30,32.93629455566406
2014-06-02,33.214927673339844
2014-06-03,33.34463882446289
2014-06-04,33.34943771362305
2014-06-05,33.1765022277832
2014-06-06,33.695335388183594
2014-06-09,34.185333251953125
2014-06-10,34.185333251953125
2014-06-11,34.07964324951172
2014-06-12,34.007598876953125
2014-06-13,34.36309814453125
2014-06-16,33.99318313598633
2014-06-17,33.87308883666992
2014-06-18,33.71934509277344
2014-06-19,34.055625915527344
2014-06-20,34.31985855102539
2014-06-23,34.55043411254883
2014-06-24,34.540836334228516
2014-06-25,34.68975830078125
2014-06-26,34.61290740966797
2014-06-27,34.83868408203125
2014-06-30,34.997215270996094
2014-07-01,35.30948257446289
2014-07-02,35.00682830810547
2014-07-03,35.45838928222656
2014-07-07,35.27585220336914
2014-07-08,35.1173210144043
2014-07-09,35.280643463134766
2014-07-10,35.011627197265625
2014-07-11,35.1173210144043
2014-07-14,35.52566146850586
2014-07-15,35.35752487182617
2014-07-16,35.04527282714844
2014-07-17,34.24298095703125
2014-07-18,34.95398712158203
2014-07-21,35.07890319824219
2014-07-22,35.44879913330078
2014-07-23,35.45838928222656
2014-07-24,34.90594482421875
2014-07-25,34.478389739990234
2014-07-28,34.31985855102539
2014-07-29,34.45917510986328
2014-07-30,33.94033432006836
2014-07-31,33.27737808227539
2014-08-01,33.27737808227539
