,TECH
2014-01-02,21.60361099243164
2014-01-03,21.71829605102539
2014-01-06,21.699951171875
2014-01-07,21.711414337158203
2014-01-08,21.901784896850586
2014-01-09,21.888025283813477
2014-01-10,21.917842864990234
2014-01-13,21.713706970214844
2014-01-14,22.021055221557617
2014-01-15,22.039405822753906
2014-01-16,22.01876449584961
2014-01-17,21.876556396484375
2014-01-21,21.855915069580078
2014-01-22,21.58985137939453
2014-01-23,21.284805297851562
2014-01-24,20.745805740356445
2014-01-27,20.564603805541992
2014-01-28,21.00497817993164
2014-01-29,20.39487648010254
2014-01-30,21.156356811523438
2014-01-31,20.842140197753906
2014-02-03,20.087533950805664
2014-02-04,19.514129638671875
2014-02-05,19.206785202026367
2014-02-06,19.449907302856445
2014-02-07,19.67926597595215
2014-02-10,20.31231117248535
2014-02-11,20.42011070251465
2014-02-12,20.183046340942383
2014-02-13,20.489151000976562
2014-02-14,20.55360221862793
2014-02-18,21.027734756469727
2014-02-19,20.64566993713379
2014-02-20,20.620346069335938
2014-02-21,20.4592342376709
2014-02-24,20.52598762512207
2014-02-25,20.574317932128906
2014-02-26,20.486854553222656
2014-02-27,20.47765350341797
2014-02-28,20.44772720336914
2014-03-03,20.36256980895996
2014-03-04,20.599639892578125
2014-03-05,20.55360221862793
2014-03-06,20.408597946166992
2014-03-07,20.493757247924805
2014-03-10,20.78376579284668
2014-03-11,20.631858825683594
2014-03-12,20.707807540893555
2014-03-13,20.001211166381836
2014-03-14,19.998903274536133
2014-03-17,20.44312286376953
2014-03-18,20.493757247924805
2014-03-19,20.30962371826172
2014-03-20,20.067956924438477
2014-03-21,19.879220962524414
2014-03-24,19.927555084228516
2014-03-25,20.070255279541016
2014-03-26,19.90914535522461
2014-03-27,20.044940948486328
2014-03-28,19.4764404296875
2014-03-31,19.649057388305664
2014-04-01,19.851608276367188
2014-04-02,20.05414581298828
2014-04-03,20.049543380737305
2014-04-04,19.639856338500977
2014-04-07,19.573108673095703
2014-04-08,19.727313995361328
2014-04-09,20.113988876342773
2014-04-10,19.82858657836914
2014-04-11,19.375164031982422
2014-04-14,19.49945068359375
2014-04-15,19.577713012695312
2014-04-16,19.777950286865234
2014-04-17,19.75493812561035
2014-04-21,19.68819236755371
2014-04-22,19.842395782470703
2014-04-23,19.718101501464844
2014-04-24,19.63754653930664
2014-04-25,19.306121826171875
2014-04-28,20.90805435180664
2014-04-29,20.866626739501953
2014-04-30,20.55590057373047
2014-05-01,20.452335357666016
2014-05-02,20.408597946166992
2014-05-05,20.86202049255371
2014-05-06,20.765352249145508
2014-05-07,21.123334884643555
2014-05-08,20.834636688232422
2014-05-09,21.024024963378906
2014-05-12,21.351980209350586
2014-05-13,20.9316463470459
2014-05-14,20.869279861450195
2014-05-15,20.28496742248535
2014-05-16,20.32884407043457
2014-05-19,20.47203826904297
2014-05-20,20.291894912719727
2014-05-21,20.314987182617188
2014-05-22,20.451257705688477
2014-05-23,20.39813804626465
2014-05-27,20.885454177856445
2014-05-28,20.848495483398438
2014-05-29,20.481271743774414
2014-05-30,20.275724411010742
2014-06-02,20.171791076660156
2014-06-03,20.08171844482422
2014-06-04,20.051694869995117
2014-06-05,20.120975494384766
2014-06-06,19.989334106445312
2014-06-09,20.01474952697754
2014-06-10,20.252634048461914
2014-06-11,20.220294952392578
2014-06-12,20.395828247070312
2014-06-13,20.65910530090332
2014-06-16,20.490516662597656
2014-06-17,20.913162231445312
2014-06-18,20.85773277282715
2014-06-19,20.825401306152344
2014-06-20,21.25497817993164
2014-06-23,21.197246551513672
2014-06-24,21.056358337402344
2014-06-25,21.040197372436523
2014-06-26,21.09099769592285
2014-06-27,21.28500747680664
2014-06-30,21.37969970703125
2014-07-01,21.760772705078125
2014-07-02,21.629133224487305
2014-07-03,21.545988082885742
2014-07-07,21.155675888061523
2014-07-08,21.06559944152832
2014-07-09,21.056358337402344
2014-07-10,21.079452514648438
2014-07-11,21.056358337402344
2014-07-14,21.086376190185547
2014-07-15,21.03557586669922
2014-07-16,20.707611083984375
2014-07-17,20.610610961914062
2014-07-18,21.05405616760254
2014-07-21,20.894685745239258
2014-07-22,21.07252311706543
2014-07-23,21.310407638549805
2014-07-24,21.25497817993164
2014-07-25,21.3935546875
2014-07-28,21.59449005126953
2014-07-29,21.666088104248047
2014-07-30,21.677629470825195
2014-07-31,21.55290985107422
2014-08-01,21.502111434936523
2014-08-04,21.515966415405273
2014-08-05,21.448991775512695
2014-08-06,21.506723403930664
2014-08-07,21.63375473022461
2014-08-08,21.746919631958008
2014-08-11,21.871633529663086
2014-08-12,21.79079818725586
2014-08-13,22.178810119628906
2014-08-14,22.33124351501465
2014-08-15,22.215763092041016
2014-08-18,22.310453414916992
2014-08-19,22.301183700561523
2014-08-20,22.099607467651367
2014-08-21,22.159849166870117
2014-08-22,22.155216217041016
2014-08-25,22.240951538085938
2014-08-26,22.132043838500977
2014-08-27,21.888761520385742
2014-08-28,22.025466918945312
2014-08-29,22.132043838500977
2014-09-02,22.29192352294922
2014-09-03,22.155216217041016
2014-09-04,22.027786254882812
2014-09-05,22.053264617919922
2014-09-08,22.370697021484375
2014-09-09,22.25716209411621
2014-09-10,22.16912269592285
2014-09-11,21.867902755737305
2014-09-12,21.511089324951172
2014-09-15,21.388282775878906
2014-09-16,21.777542114257812
2014-09-17,21.854007720947266
2014-09-18,21.805341720581055
2014-09-19,21.7358341217041
2014-09-22,21.895713806152344
2014-09-23,21.585229873657227
2014-09-24,21.900346755981445
2014-09-25,21.65011215209961
2014-09-26,21.68486213684082
2014-09-29,21.72888946533203
2014-09-30,21.675600051879883
2014-10-01,21.506450653076172
2014-10-02,21.696447372436523
2014-10-03,21.83083152770996
2014-10-06,21.601451873779297
2014-10-07,21.209875106811523
2014-10-08,21.397554397583008
2014-10-09,20.97585678100586
2014-10-10,20.700136184692383
2014-10-13,20.396604537963867
2014-10-14,20.336360931396484
2014-10-15,20.50782012939453
2014-10-16,20.85537338256836
2014-10-17,21.050004959106445
2014-10-20,20.97585678100586
2014-10-21,21.745101928710938
2014-10-22,21.573646545410156
2014-10-23,21.603769302368164
2014-10-24,21.71498680114746
2014-10-27,21.854007720947266
2014-10-28,21.06159019470215
2014-10-29,21.233047485351562
2014-10-30,21.265485763549805
2014-10-31,21.096342086791992
2014-11-03,21.105613708496094
2014-11-04,21.01293182373047
2014-11-05,21.0013484954834
2014-11-06,21.19898796081543
2014-11-07,21.09435272216797
2014-11-10,21.182716369628906
2014-11-11,21.324552536010742
2014-11-12,21.39663314819336
2014-11-13,21.41523551940918
2014-11-14,21.075754165649414
2014-11-17,20.959495544433594
2014-11-18,21.01064109802246
2014-11-19,20.733951568603516
2014-11-20,20.87114143371582
2014-11-21,20.98739242553711
2014-11-24,21.380359649658203
2014-11-25,21.159461975097656
2014-11-26,21.287342071533203
2014-11-28,21.301305770874023
2014-12-01,20.985071182250977
2014-12-02,20.952518463134766
2014-12-03,20.985071182250977
2014-12-04,20.924610137939453
2014-12-05,20.882761001586914
2014-12-08,21.087377548217773
2014-12-09,20.952518463134766
2014-12-10,21.09435272216797
2014-12-11,21.424537658691406
2014-12-12,21.638460159301758
2014-12-15,21.287342071533203
2014-12-16,20.97576904296875
2014-12-17,21.23851776123047
2014-12-18,21.777971267700195
2014-12-19,21.81517219543457
2014-12-22,21.829120635986328
2014-12-23,21.682628631591797
2014-12-24,21.93375587463379
2014-12-26,22.0616455078125
2014-12-29,21.887250900268555
2014-12-30,21.71751594543457
2014-12-31,21.484994888305664
2015-01-02,21.26177215576172
2015-01-05,21.005992889404297
2015-01-06,20.82230567932129
2015-01-07,21.103662490844727
2015-01-08,21.278045654296875
2015-01-09,21.34082794189453
2015-01-12,21.280370712280273
2015-01-13,21.505916595458984
2015-01-14,21.64311408996582
2015-01-15,21.296648025512695
2015-01-16,21.638460159301758
2015-01-20,21.701234817504883
2015-01-21,21.636131286621094
2015-01-22,21.777971267700195
2015-01-23,21.71751594543457
2015-01-26,21.729135513305664
2015-01-27,21.65938377380371
2015-01-28,21.64775848388672
2015-01-29,21.91050910949707
2015-01-30,21.629154205322266
2015-02-02,21.638460159301758
2015-02-03,20.985071182250977
2015-02-04,20.94089126586914
2015-02-05,21.21759796142578
2015-02-06,20.936241149902344
2015-02-09,20.875782012939453
2015-02-10,21.27572250366211
2015-02-11,21.317720413208008
2015-02-12,21.649057388305664
2015-02-13,22.07607078552246
2015-02-17,22.360734939575195
2015-02-18,22.405075073242188
2015-02-19,22.31873893737793
2015-02-20,22.484411239624023
2015-02-23,22.792423248291016
2015-02-24,22.74574851989746
2015-02-25,23.02808952331543
2015-02-26,22.988418579101562
2015-02-27,22.757415771484375
2015-03-02,22.939420700073242
2015-03-03,22.724748611450195
2015-03-04,22.759750366210938
2015-03-05,22.82274627685547
2015-03-06,22.74574851989746
2015-03-09,22.645418167114258
2015-03-10,22.31873893737793
2015-03-11,22.608074188232422
2015-03-12,22.50540542602539
2015-03-13,22.53108024597168
2015-03-16,22.750423431396484
2015-03-17,22.787748336791992
2015-03-18,22.94641876220703
2015-03-19,23.457426071166992
2015-03-20,23.604427337646484
2015-03-23,23.499427795410156
2015-03-24,23.473764419555664
2015-03-25,23.042089462280273
2015-03-26,22.976757049560547
2015-03-27,23.109756469726562
2015-03-30,23.48310089111328
2015-03-31,23.40142822265625
2015-04-01,23.32209587097168
2015-04-02,22.988418579101562
2015-04-06,23.429426193237305
2015-04-07,23.077089309692383
2015-04-08,23.21942710876465
2015-04-09,23.294092178344727
2015-04-10,23.3314266204834
2015-04-13,23.350095748901367
2015-04-14,23.32442855834961
2015-04-15,23.36642837524414
2015-04-16,23.5344295501709
2015-04-17,23.574098587036133
2015-04-20,23.742101669311523
2015-04-21,23.749095916748047
2015-04-22,23.767770767211914
2015-04-23,23.97076988220215
2015-04-24,23.5320987701416
2015-04-27,23.009428024291992
2015-04-28,23.03041648864746
2015-04-29,22.960420608520508
2015-04-30,22.391071319580078
2015-05-01,22.570751190185547
2015-05-04,22.598751068115234
2015-05-05,22.74807357788086
2015-05-06,22.948745727539062
2015-05-07,22.818084716796875
2015-05-08,23.00008201599121
2015-05-11,22.930086135864258
2015-05-12,22.997751235961914
2015-05-13,23.14991569519043
2015-05-14,23.62513542175293
2015-05-15,23.648540496826172
2015-05-18,23.922443389892578
2015-05-19,24.016080856323242
2015-05-20,24.05353355407715
2015-05-21,24.055871963500977
2015-05-22,24.0207576751709
2015-05-26,23.88732147216797
2015-05-27,23.957551956176758
