,CHRW
2014-01-02,44.28208541870117
2014-01-03,43.86851501464844
2014-01-06,43.35540008544922
2014-01-07,43.40900802612305
2014-01-08,43.09499740600586
2014-01-09,43.30944061279297
2014-01-10,44.190185546875
2014-01-13,43.998722076416016
2014-01-14,44.2208137512207
2014-01-15,45.44618606567383
2014-01-16,45.584041595458984
2014-01-17,45.28536605834961
2014-01-21,45.69126892089844
2014-01-22,46.1278076171875
2014-01-23,45.22409439086914
2014-01-24,43.814910888671875
2014-01-27,43.654083251953125
2014-01-28,43.998722076416016
2014-01-29,44.136573791503906
2014-01-30,44.63436508178711
2014-01-31,44.83350372314453
2014-02-03,44.21316146850586
2014-02-04,44.91008377075195
2014-02-05,40.71316909790039
2014-02-06,40.192378997802734
2014-02-07,40.12346267700195
2014-02-10,40.537025451660156
2014-02-11,41.256927490234375
2014-02-12,41.195655822753906
2014-02-13,41.37946701049805
2014-02-14,41.846649169921875
2014-02-18,41.678157806396484
2014-02-19,41.18034362792969
2014-02-20,41.47903823852539
2014-02-21,41.44839859008789
2014-02-24,40.85103225708008
2014-02-25,40.146446228027344
2014-02-26,40.22301483154297
2014-02-27,40.10047912597656
2014-02-28,39.71754455566406
2014-03-03,39.6333122253418
2014-03-04,39.96261978149414
2014-03-05,39.90865707397461
2014-03-06,40.44066619873047
2014-03-07,40.301883697509766
2014-03-10,40.53318405151367
2014-03-11,40.38668441772461
2014-03-12,40.44066619873047
2014-03-13,40.1553840637207
2014-03-14,39.43061065673828
2014-03-17,39.37664031982422
2014-03-18,39.29182434082031
2014-03-19,38.967994689941406
2014-03-20,39.037391662597656
2014-03-21,39.345802307128906
2014-03-24,39.24556350708008
2014-03-25,39.39976501464844
2014-03-26,39.05281448364258
2014-03-27,39.32266616821289
2014-03-28,39.23786163330078
2014-03-31,40.39439392089844
2014-04-01,40.21707534790039
2014-04-02,40.841609954833984
2014-04-03,40.88786697387695
2014-04-04,40.409820556640625
2014-04-07,40.12455749511719
2014-04-08,40.24020767211914
2014-04-09,40.82618713378906
2014-04-10,41.4815673828125
2014-04-11,42.30657196044922
2014-04-14,42.892555236816406
2014-04-15,42.86942672729492
2014-04-16,43.424564361572266
2014-04-17,43.74839401245117
2014-04-21,43.97199630737305
2014-04-22,44.48860168457031
2014-04-23,44.473175048828125
2014-04-24,43.88717269897461
2014-04-25,43.39371109008789
2014-04-28,43.55564498901367
2014-04-29,43.17012023925781
2014-04-30,45.413818359375
2014-05-01,45.24420928955078
2014-05-02,45.06686782836914
2014-05-05,44.874107360839844
2014-05-06,44.82786178588867
2014-05-07,44.889530181884766
2014-05-08,45.02060317993164
2014-05-09,44.95120620727539
2014-05-12,45.49863815307617
2014-05-13,45.53718566894531
2014-05-14,45.29817581176758
2014-05-15,45.375282287597656
2014-05-16,45.398414611816406
2014-05-19,45.891868591308594
2014-05-20,45.57575988769531
2014-05-21,45.73766326904297
2014-05-22,45.91498947143555
2014-05-23,45.97667694091797
2014-05-27,45.691410064697266
2014-05-28,46.038360595703125
2014-05-29,46.21569061279297
