,PEP
2014-01-02,59.66878890991211
2014-01-03,59.77057647705078
2014-01-06,59.79964065551758
2014-01-07,60.6717643737793
2014-01-08,60.49734115600586
2014-01-09,60.213890075683594
2014-01-10,60.68632125854492
2014-01-13,59.86503601074219
2014-01-14,59.86503601074219
2014-01-15,60.24299621582031
2014-01-16,60.2211799621582
2014-01-17,59.741485595703125
2014-01-21,60.26478576660156
2014-01-22,60.213890075683594
2014-01-23,59.90865707397461
2014-01-24,59.18187713623047
2014-01-27,59.63971710205078
2014-01-28,59.828712463378906
2014-01-29,58.30244827270508
2014-01-30,58.9274787902832
2014-01-31,58.40420913696289
2014-02-03,57.10326385498047
2014-02-04,57.28497314453125
2014-02-05,57.721012115478516
2014-02-06,57.6992301940918
2014-02-07,58.30244827270508
2014-02-10,58.57863235473633
2014-02-11,59.05105972290039
2014-02-12,59.2254638671875
2014-02-13,57.917259216308594
2014-02-14,56.754417419433594
2014-02-18,56.819820404052734
2014-02-19,56.034912109375
2014-02-20,56.696292877197266
2014-02-21,56.84890365600586
2014-02-24,57.32856750488281
2014-02-25,57.58295822143555
2014-02-26,57.16141891479492
2014-02-27,57.466651916503906
2014-02-28,58.193450927734375
2014-03-03,57.7937126159668
2014-03-04,58.76033020019531
2014-03-05,59.366355895996094
2014-03-06,59.527408599853516
2014-03-07,59.69572448730469
2014-03-10,59.82017135620117
2014-03-11,60.610633850097656
2014-03-12,60.127567291259766
2014-03-13,59.87141418457031
2014-03-14,59.28586196899414
2014-03-17,60.054386138916016
2014-03-18,59.981178283691406
2014-03-19,59.55666732788086
2014-03-20,59.915321350097656
2014-03-21,60.12025833129883
2014-03-24,59.93730163574219
2014-03-25,60.310546875
2014-03-26,60.654544830322266
2014-03-27,60.413021087646484
2014-03-28,60.71310806274414
2014-03-31,61.11568069458008
2014-04-01,60.66188430786133
2014-04-02,60.55207824707031
2014-04-03,60.68383026123047
2014-04-04,60.449588775634766
2014-04-07,61.41574478149414
2014-04-08,61.09370422363281
2014-04-09,61.41574478149414
2014-04-10,61.20351028442383
2014-04-11,60.8595085144043
2014-04-14,61.15226364135742
2014-04-15,61.45235061645508
2014-04-16,62.045204162597656
2014-04-17,62.61608123779297
2014-04-21,62.87961196899414
2014-04-22,62.3160400390625
2014-04-23,62.513641357421875
2014-04-24,62.59416198730469
2014-04-25,62.39650344848633
2014-04-28,63.545654296875
