,AMP
2014-01-02,89.5826416015625
2014-01-03,89.5983657836914
2014-01-06,89.36236572265625
2014-01-07,90.12539672851562
2014-01-08,91.09300231933594
2014-01-09,90.86483764648438
2014-01-10,90.5108642578125
2014-01-13,89.031982421875
2014-01-14,89.84223937988281
2014-01-15,89.9602279663086
2014-01-16,89.40957641601562
2014-01-17,89.18146514892578
2014-01-21,89.78716278076172
2014-01-22,90.28274536132812
2014-01-23,87.5058822631836
2014-01-24,84.00537109375
2014-01-27,82.53433227539062
2014-01-28,83.80870819091797
2014-01-29,82.61300659179688
2014-01-30,83.72216033935547
2014-01-31,83.10071563720703
2014-02-03,79.82042694091797
2014-02-04,81.44877624511719
2014-02-05,81.36225128173828
2014-02-06,83.10071563720703
2014-02-07,84.65042114257812
2014-02-10,83.30525970458984
2014-02-11,84.33575439453125
2014-02-12,84.56497955322266
2014-02-13,84.84163665771484
2014-02-14,84.65193176269531
2014-02-18,85.36335754394531
2014-02-19,84.31202697753906
2014-02-20,83.94841003417969
2014-02-21,84.43057250976562
2014-02-24,85.59259033203125
2014-02-25,84.87328338623047
2014-02-26,84.2804183959961
2014-02-27,85.86924743652344
2014-02-28,86.15384674072266
2014-03-03,85.17365264892578
2014-03-04,87.17354583740234
2014-03-05,86.83364868164062
2014-03-06,87.61625671386719
2014-03-07,89.04695129394531
2014-03-10,88.57270050048828
2014-03-11,87.67945861816406
2014-03-12,87.66361236572266
2014-03-13,86.2882080078125
2014-03-14,85.56890106201172
2014-03-17,86.13011169433594
2014-03-18,86.39888763427734
2014-03-19,85.94042205810547
2014-03-20,88.3117904663086
2014-03-21,88.3592529296875
2014-03-24,87.52135467529297
2014-03-25,86.82575225830078
2014-03-26,86.01946258544922
2014-03-27,84.59658813476562
2014-03-28,86.01152038574219
2014-03-31,87.00753021240234
2014-04-01,88.42250061035156
2014-04-02,89.69513702392578
2014-04-03,89.53703308105469
2014-04-04,88.07467651367188
2014-04-07,85.04716491699219
2014-04-08,84.96023559570312
2014-04-09,86.35935974121094
2014-04-10,83.0314712524414
2014-04-11,80.42288970947266
2014-04-14,80.5572738647461
2014-04-15,81.70344543457031
2014-04-16,82.86547088623047
2014-04-17,83.81402587890625
2014-04-21,83.87728881835938
2014-04-22,84.414794921875
2014-04-23,84.13810729980469
2014-04-24,83.67174530029297
2014-04-25,81.83783721923828
2014-04-28,81.82201385498047
2014-04-29,86.59651184082031
2014-04-30,88.24067687988281
2014-05-01,88.21697998046875
2014-05-02,88.80192565917969
2014-05-05,88.65965270996094
2014-05-06,87.43440246582031
2014-05-07,88.66613006591797
2014-05-08,88.47537994384766
2014-05-09,88.38796997070312
2014-05-12,89.57199096679688
2014-05-13,88.92036437988281
2014-05-14,87.78402709960938
2014-05-15,86.00405883789062
2014-05-16,86.51262664794922
2014-05-19,87.16421508789062
2014-05-20,86.1391372680664
2014-05-21,87.5218276977539
2014-05-22,87.85555267333984
2014-05-23,88.14958190917969
2014-05-27,88.53895568847656
2014-05-28,88.34823608398438
2014-05-29,89.65144348144531
2014-05-30,89.48458099365234
2014-06-02,90.54146575927734
2014-06-03,91.1612777709961
2014-06-04,91.47119903564453
2014-06-05,92.01155090332031
2014-06-06,93.79949188232422
2014-06-09,93.58493041992188
2014-06-10,93.48957061767578
2014-06-11,92.7982406616211
2014-06-12,92.03536987304688
2014-06-13,92.21815490722656
2014-06-16,91.97180938720703
2014-06-17,92.90948486328125
2014-06-18,93.92662048339844
2014-06-19,93.60877990722656
2014-06-20,94.673583984375
2014-06-23,94.86429595947266
2014-06-24,94.1650161743164
2014-06-25,94.7530288696289
2014-06-26,94.68151092529297
2014-06-27,95.20598602294922
2014-06-30,95.35698699951172
2014-07-01,96.57276153564453
2014-07-02,96.23904418945312
2014-07-03,97.2800064086914
2014-07-07,96.94625091552734
2014-07-08,96.23109436035156
2014-07-09,96.27875518798828
2014-07-10,95.57154083251953
2014-07-11,96.19929504394531
2014-07-14,96.76349639892578
2014-07-15,97.1846694946289
2014-07-16,97.11315155029297
2014-07-17,95.9211654663086
2014-07-18,97.08928680419922
2014-07-21,96.67609405517578
2014-07-22,97.52635192871094
2014-07-23,97.44686889648438
2014-07-24,97.36742401123047
2014-07-25,97.16084289550781
2014-07-28,96.54895782470703
2014-07-29,96.02449035644531
2014-07-30,98.0984878540039
2014-07-31,95.03912353515625
2014-08-01,93.95045471191406
2014-08-04,94.61795043945312
2014-08-05,93.2829818725586
2014-08-06,93.33859252929688
2014-08-07,93.03511810302734
2014-08-08,94.68020629882812
2014-08-11,94.92778778076172
2014-08-12,95.03956604003906
2014-08-13,95.7902603149414
2014-08-14,96.1336441040039
2014-08-15,96.00584411621094
2014-08-18,97.06800842285156
2014-08-19,97.35546875
2014-08-20,98.1700439453125
2014-08-21,98.60924530029297
2014-08-22,98.3776626586914
2014-08-25,99.90296936035156
2014-08-26,100.6855697631836
2014-08-27,100.61370086669922
2014-08-28,99.99081420898438
2014-08-29,100.43000030517578
2014-09-02,102.01921081542969
2014-09-03,100.62968444824219
2014-09-04,100.3102035522461
2014-09-05,100.9491195678711
