,BR
2015-05-26,45.33353805541992
2015-05-27,46.0573844909668
2015-05-28,45.93112564086914
2015-05-29,45.602882385253906
2015-06-01,45.687042236328125
2015-06-02,45.29145812988281
2015-06-03,45.64495086669922
2015-06-04,45.123111724853516
2015-06-05,45.07261276245117
2015-06-08,44.44976043701172
2015-06-09,44.25617599487305
2015-06-10,44.441349029541016
2015-06-11,44.58441925048828
2015-06-12,43.894248962402344
2015-06-15,43.674259185791016
2015-06-16,43.91962432861328
2015-06-17,43.801170349121094
2015-06-18,44.258056640625
2015-06-19,44.12267303466797
2015-06-22,44.54572296142578
2015-06-23,44.258056640625
2015-06-24,43.674259185791016
2015-06-25,43.62350082397461
2015-06-26,42.87895202636719
2015-06-29,42.33747482299805
2015-06-30,42.31208419799805
2015-07-01,43.69963836669922
2015-07-02,43.82655334472656
2015-07-06,44.0380744934082
2015-07-07,44.359588623046875
2015-07-08,44.08037185668945
2015-07-09,44.79108428955078
2015-07-10,45.32411193847656
2015-07-13,45.42563247680664
2015-07-14,45.43410873413086
2015-07-15,45.341026306152344
2015-07-16,45.493324279785156
2015-07-17,45.044891357421875
2015-07-20,45.12104415893555
2015-07-21,44.95182800292969
2015-07-22,44.89261245727539
2015-07-23,45.357948303222656
2015-07-24,44.93491744995117
2015-07-27,44.384971618652344
2015-07-28,45.01106643676758
2015-07-29,45.9501953125
2015-07-30,45.9501953125
2015-07-31,45.916358947753906
2015-08-03,45.941734313964844
2015-08-04,45.97557830810547
2015-08-05,45.99250793457031
2015-08-06,45.77252960205078
2015-08-07,47.42236328125
2015-08-10,48.33610916137695
2015-08-11,47.591575622558594
2015-08-12,47.22776794433594
2015-08-13,47.532344818115234
2015-08-14,47.633872985839844
2015-08-17,47.99769973754883
2015-08-18,47.64234924316406
2015-08-19,47.176998138427734
2015-08-20,45.97557830810547
2015-08-21,44.74031448364258
2015-08-24,43.14970016479492
2015-08-25,42.819725036621094
2015-08-26,44.32573318481445
2015-08-27,45.12950897216797
2015-08-28,45.29024887084961
2015-08-31,44.66415786743164
2015-09-01,43.15814971923828
2015-09-02,43.784244537353516
2015-09-03,43.79271697998047
2015-09-04,42.98048400878906
2015-09-08,44.706478118896484
2015-09-09,44.47802734375
2015-09-10,44.317264556884766
2015-09-11,44.878902435302734
2015-09-14,44.60660171508789
2015-09-15,44.98951721191406
2015-09-16,46.66587448120117
2015-09-17,46.589290618896484
2015-09-18,46.11277389526367
2015-09-21,46.802032470703125
2015-09-22,46.870113372802734
2015-09-23,46.972232818603516
2015-09-24,46.85310745239258
2015-09-25,47.19347381591797
2015-09-28,46.47016906738281
2015-09-29,46.802032470703125
2015-09-30,47.09987258911133
2015-10-01,46.77651596069336
2015-10-02,48.3592643737793
2015-10-05,48.81878662109375
2015-10-06,48.18056106567383
2015-10-07,48.05293655395508
2015-10-08,48.546485900878906
2015-10-09,48.78474426269531
2015-10-12,48.92939758300781
2015-10-13,48.52945327758789
2015-10-14,48.07845687866211
2015-10-15,48.742191314697266
2015-10-16,49.329349517822266
2015-10-19,49.75481414794922
2015-10-20,49.63569641113281
2015-10-21,49.235755920410156
2015-10-22,50.27389907836914
2015-10-23,50.7674446105957
2015-10-26,50.63980484008789
2015-10-27,50.30793762207031
2015-10-28,50.971675872802734
2015-10-29,50.84403991699219
2015-10-30,50.69937515258789
2015-11-02,50.750423431396484
2015-11-03,50.46110916137695
2015-11-04,50.146263122558594
2015-11-05,48.78474426269531
2015-11-06,48.648597717285156
2015-11-09,48.45287322998047
2015-11-10,48.520957946777344
2015-11-11,48.45287322998047
2015-11-12,47.967830657958984
2015-11-13,46.572269439697266
2015-11-16,46.93818664550781
2015-11-17,46.7509765625
2015-11-18,46.91266632080078
2015-11-19,47.15943908691406
2015-11-20,47.52534484863281
2015-11-23,46.716941833496094
2015-11-24,46.870113372802734
2015-11-25,46.716941833496094
2015-11-27,46.887142181396484
2015-11-30,46.78501892089844
2015-12-01,46.9807243347168
2015-12-02,46.504207611083984
2015-12-03,45.98513412475586
2015-12-04,46.759483337402344
2015-12-07,46.504207611083984
2015-12-08,46.078731536865234
2015-12-09,44.734230041503906
2015-12-10,45.23917770385742
2015-12-11,45.076560974121094
2015-12-14,45.513038635253906
2015-12-15,45.92384719848633
2015-12-16,46.59138870239258
2015-12-17,46.103572845458984
2015-12-18,45.829708099365234
2015-12-21,46.09501266479492
2015-12-22,46.368865966796875
2015-12-23,46.75400161743164
2015-12-24,46.72833251953125
2015-12-28,46.856685638427734
2015-12-29,46.93370819091797
2015-12-30,46.67697525024414
2015-12-31,45.98374938964844
2016-01-04,44.836936950683594
2016-01-05,45.29908752441406
2016-01-06,44.94820022583008
2016-01-07,43.50185775756836
2016-01-08,43.20230484008789
2016-01-11,43.364906311035156
2016-01-12,43.87841033935547
2016-01-13,42.483402252197266
2016-01-14,43.416255950927734
2016-01-15,43.142398834228516
2016-01-19,43.48472595214844
2016-01-20,42.99689483642578
2016-01-21,42.91132354736328
2016-01-22,44.374794006347656
2016-01-25,44.10093307495117
2016-01-26,44.58018493652344
2016-01-27,44.682884216308594
2016-01-28,44.819828033447266
2016-01-29,45.838253021240234
2016-02-01,46.09501266479492
2016-02-02,44.9653205871582
2016-02-03,45.34187698364258
2016-02-04,45.127925872802734
2016-02-05,44.066688537597656
2016-02-08,44.46038055419922
2016-02-09,44.69145202636719
2016-02-10,45.81258010864258
2016-02-11,45.701332092285156
2016-02-12,46.51436233520508
2016-02-16,47.13911819458008
2016-02-17,47.43867111206055
2016-02-18,47.515689849853516
2016-02-19,47.7125244140625
2016-02-22,48.04629898071289
2016-02-23,48.371517181396484
2016-02-24,47.68684768676758
2016-02-25,48.45709228515625
2016-02-26,48.414302825927734
2016-02-29,48.037750244140625
2016-03-01,49.253021240234375
2016-03-02,49.141761779785156
2016-03-03,49.218788146972656
2016-03-04,49.21023178100586
2016-03-07,49.030513763427734
2016-03-08,48.371517181396484
2016-03-09,48.52556610107422
2016-03-10,48.00933074951172
2016-03-11,48.35348129272461
2016-03-14,48.362091064453125
2016-03-15,48.310462951660156
2016-03-16,48.6804313659668
2016-03-17,49.36873245239258
2016-03-18,49.88496398925781
2016-03-21,49.635467529296875
2016-03-22,49.558021545410156
2016-03-23,49.308509826660156
2016-03-24,49.01598358154297
2016-03-28,49.6956787109375
2016-03-29,50.779754638671875
2016-03-30,50.91741943359375
2016-03-31,51.02927017211914
2016-04-01,51.12390899658203
2016-04-04,50.7453498840332
2016-04-05,50.40119934082031
2016-04-06,51.12390899658203
2016-04-07,50.435611724853516
2016-04-08,50.685115814208984
2016-04-11,50.81418991088867
2016-04-12,50.349571228027344
2016-04-13,51.39064025878906
2016-04-14,51.37342834472656
2016-04-15,51.27017593383789
2016-04-18,51.932674407958984
2016-04-19,52.52633285522461
2016-04-20,51.99290466308594
2016-04-21,51.49388885498047
2016-04-22,51.691768646240234
2016-04-25,51.545494079589844
2016-04-26,51.949893951416016
2016-04-27,52.20800018310547
2016-04-28,51.39064025878906
2016-04-29,51.485286712646484
2016-05-02,52.46611785888672
2016-05-03,51.829444885253906
2016-05-04,51.2615852355957
2016-05-05,50.86581802368164
2016-05-06,51.829444885253906
2016-05-09,51.924072265625
2016-05-10,52.810272216796875
2016-05-11,52.65538787841797
2016-05-12,52.681217193603516
2016-05-13,53.12860870361328
2016-05-16,53.670658111572266
2016-05-17,53.37812805175781
2016-05-18,54.35895538330078
2016-05-19,53.9029655456543
2016-05-20,54.883785247802734
2016-05-23,54.694515228271484
2016-05-24,56.23459243774414
2016-05-25,55.77859115600586
2016-05-26,55.47747039794922
2016-05-27,55.57209396362305
2016-05-31,55.227943420410156
2016-06-01,55.21074676513672
2016-06-02,55.236534118652344
2016-06-03,55.35700225830078
2016-06-06,55.45163345336914
2016-06-07,54.883785247802734
2016-06-08,54.883785247802734
2016-06-09,54.87517166137695
2016-06-10,54.66869354248047
2016-06-13,54.33314514160156
2016-06-14,55.30536651611328
2016-06-15,55.106571197509766
2016-06-16,55.72029495239258
2016-06-17,54.829952239990234
2016-06-20,55.34859085083008
2016-06-21,55.55605697631836
2016-06-22,55.52149200439453
2016-06-23,56.282169342041016
2016-06-24,54.224853515625
2016-06-27,53.24806594848633
2016-06-28,54.4063835144043
2016-06-29,55.046051025390625
2016-06-30,56.359962463378906
2016-07-01,56.506919860839844
2016-07-05,56.593360900878906
2016-07-06,56.740318298339844
2016-07-07,56.783531188964844
2016-07-08,57.58743667602539
2016-07-11,57.90727233886719
2016-07-12,57.88998031616211
2016-07-13,57.74302291870117
2016-07-14,58.062870025634766
2016-07-15,57.656578063964844
2016-07-18,57.61336898803711
2016-07-19,57.94184494018555
2016-07-20,58.41728973388672
2016-07-21,58.24440002441406
2016-07-22,58.82355880737305
2016-07-25,58.44322204589844
2016-07-26,59.100154876708984
2016-07-27,58.93593215942383
2016-07-28,58.47779846191406
2016-07-29,58.503719329833984
2016-08-01,59.29897689819336
2016-08-02,58.849491119384766
2016-08-03,58.76305389404297
2016-08-04,59.02235412597656
2016-08-05,59.437286376953125
2016-08-08,59.203895568847656
2016-08-09,59.324913024902344
2016-08-10,60.08559799194336
2016-08-11,59.748477935791016
2016-08-12,59.19524002075195
2016-08-15,58.771690368652344
2016-08-16,57.96776580810547
2016-08-17,57.604740142822266
2016-08-18,57.829471588134766
2016-08-19,57.91591262817383
2016-08-22,58.849491119384766
2016-08-23,59.08287811279297
2016-08-24,59.100154876708984
2016-08-25,59.713905334472656
2016-08-26,59.64474105834961
2016-08-29,59.67069625854492
2016-08-30,59.696617126464844
2016-08-31,59.90407943725586
2016-09-01,60.638824462890625
2016-09-02,61.3044548034668
2016-09-06,61.563758850097656
2016-09-07,61.72800827026367
2016-09-08,61.416812896728516
2016-09-09,60.00779342651367
2016-09-12,60.465938568115234
2016-09-13,59.69297409057617
2016-09-14,59.03290557861328
2016-09-15,59.53663635253906
2016-09-16,59.658233642578125
2016-09-19,59.571372985839844
2016-09-20,59.684295654296875
2016-09-21,60.37907791137695
2016-09-22,60.65700149536133
2016-09-23,59.72771453857422
2016-09-26,60.68307113647461
2016-09-27,59.988250732421875
2016-09-28,60.24882125854492
2016-09-29,58.52047348022461
2016-09-30,58.876564025878906
2016-10-03,58.69418716430664
2016-10-04,58.4857177734375
2016-10-05,58.468360900878906
2016-10-06,58.98948669433594
2016-10-07,58.09490203857422
2016-10-10,57.85171890258789
2016-10-11,56.548946380615234
2016-10-12,56.76607894897461
2016-10-13,56.679237365722656
2016-10-14,57.096107482910156
2016-10-17,56.905029296875
2016-10-18,56.88768005371094
2016-10-19,56.44472122192383
2016-10-20,55.732547760009766
2016-10-21,55.89755630493164
2016-10-24,56.097320556640625
2016-10-25,56.52290344238281
2016-10-26,56.01914978027344
2016-10-27,55.480674743652344
2016-10-28,55.645694732666016
2016-10-31,56.158119201660156
2016-11-01,55.69779586791992
2016-11-02,55.60226058959961
2016-11-03,55.68911361694336
2016-11-04,55.6109504699707
2016-11-07,56.6097412109375
2016-11-08,57.04400634765625
2016-11-09,53.9781494140625
2016-11-10,52.72748565673828
2016-11-11,52.65800476074219
2016-11-14,52.597198486328125
2016-11-15,52.97936248779297
2016-11-16,54.51662063598633
2016-11-17,56.357872009277344
2016-11-18,56.59237289428711
2016-11-21,57.04400634765625
2016-11-22,56.99188995361328
2016-11-23,57.235076904296875
2016-11-25,57.20033264160156
2016-11-28,57.269813537597656
2016-11-29,58.09490203857422
2016-11-30,56.227596282958984
2016-12-01,55.74991226196289
2016-12-02,55.159324645996094
2016-12-05,55.61964416503906
2016-12-06,55.67173767089844
2016-12-07,56.87028884887695
2016-12-08,56.98320388793945
2016-12-09,57.11348342895508
2016-12-12,56.8777961730957
2016-12-13,57.008731842041016
2016-12-14,56.677024841308594
2016-12-15,57.02618408203125
2016-12-16,57.15713119506836
2016-12-19,57.51502990722656
2016-12-20,57.90781784057617
2016-12-21,57.253150939941406
2016-12-22,57.253150939941406
2016-12-23,57.68085479736328
2016-12-27,57.86417770385742
2016-12-28,58.0649299621582
2016-12-29,58.352989196777344
2016-12-30,57.872894287109375
2017-01-03,57.5499267578125
2017-01-04,57.93400192260742
2017-01-05,57.6372184753418
2017-01-06,57.872894287109375
2017-01-09,57.74197006225586
2017-01-10,57.62847900390625
2017-01-11,57.707054138183594
2017-01-12,57.79433059692383
2017-01-13,57.80307388305664
2017-01-17,57.78560256958008
2017-01-18,57.707054138183594
2017-01-19,57.38407897949219
2017-01-20,57.48882293701172
2017-01-23,57.48882293701172
2017-01-24,58.49266052246094
2017-01-25,58.990196228027344
2017-01-26,58.8243522644043
2017-01-27,58.69340515136719
2017-01-30,57.96891784667969
2017-01-31,58.07366180419922
2017-02-01,57.497554779052734
2017-02-02,59.339378356933594
2017-02-03,59.84563064575195
2017-02-06,59.41791534423828
2017-02-07,59.78453826904297
2017-02-08,59.51394271850586
2017-02-09,58.641048431396484
2017-02-10,58.76324462890625
2017-02-13,59.252079010009766
2017-02-14,58.97275161743164
2017-02-15,59.496482849121094
2017-02-16,59.89802169799805
2017-02-17,59.863101959228516
2017-02-21,60.351905822753906
2017-02-22,60.10749435424805
2017-02-23,60.203521728515625
2017-02-24,61.41685104370117
2017-02-27,60.94550704956055
2017-02-28,60.51775360107422
2017-03-01,61.62632751464844
2017-03-02,61.05895233154297
2017-03-03,60.77960968017578
2017-03-06,60.29082107543945
2017-03-07,59.90672302246094
2017-03-08,59.61867904663086
2017-03-09,59.89802169799805
2017-03-10,60.082210540771484
2017-03-13,60.292701721191406
2017-03-14,60.31903076171875
2017-03-15,60.35411834716797
2017-03-16,60.7751350402832
2017-03-17,60.7663688659668
2017-03-20,60.06467056274414
2017-03-21,59.41560745239258
2017-03-22,59.95941925048828
2017-03-23,59.65241622924805
2017-03-24,59.433135986328125
2017-03-27,59.248958587646484
2017-03-28,59.50331115722656
2017-03-29,59.24016189575195
2017-03-30,59.55594253540039
2017-03-31,59.599796295166016
2017-04-03,59.327884674072266
2017-04-04,58.713905334472656
2017-04-05,58.670066833496094
2017-04-06,58.72268295288086
2017-04-07,58.46834182739258
2017-04-10,58.67882537841797
2017-04-11,59.459449768066406
2017-04-12,59.35419845581055
2017-04-13,58.7928581237793
2017-04-17,59.50331115722656
2017-04-18,59.59101867675781
2017-04-19,59.84540557861328
2017-04-20,60.05588150024414
2017-04-21,60.047122955322266
2017-04-24,60.845298767089844
2017-04-25,61.152305603027344
2017-04-26,61.152305603027344
2017-04-27,61.56452178955078
2017-04-28,61.34525680541992
2017-05-01,61.31016540527344
2017-05-02,61.36277770996094
2017-05-03,60.845298767089844
2017-05-04,60.66987228393555
2017-05-05,60.44183349609375
2017-05-08,59.97694778442383
2017-05-09,59.95941925048828
2017-05-10,62.064483642578125
2017-05-11,62.099586486816406
2017-05-12,62.33638381958008
2017-05-15,63.18717956542969
2017-05-16,64.07308197021484
2017-05-17,63.59067153930664
2017-05-18,63.441558837890625
2017-05-19,64.33621215820312
2017-05-22,65.02913665771484
2017-05-23,65.00279998779297
2017-05-24,65.67816162109375
2017-05-25,66.46759796142578
2017-05-26,65.92375183105469
2017-05-30,65.99394989013672
2017-05-31,66.5640640258789
2017-06-01,67.8797378540039
2017-06-02,68.10779571533203
2017-06-05,67.43240356445312
2017-06-06,66.52896118164062
2017-06-07,66.73072814941406
2017-06-08,65.5553970336914
2017-06-09,65.11683654785156
2017-06-12,65.34490203857422
2017-06-13,66.24354553222656
2017-06-14,66.21710205078125
2017-06-15,66.69284057617188
2017-06-16,66.39327239990234
2017-06-19,67.00119018554688
2017-06-20,66.6487808227539
2017-06-21,66.88666534423828
2017-06-22,67.14216613769531
2017-06-23,67.34477233886719
2017-06-26,67.4240951538086
2017-06-27,66.58710479736328
2017-06-28,66.9747543334961
2017-06-29,66.14659881591797
2017-06-30,66.56947326660156
2017-07-03,66.26113891601562
2017-07-05,66.62236022949219
2017-07-06,65.62679290771484
2017-07-07,66.27877044677734
2017-07-10,65.87348175048828
2017-07-11,65.65324401855469
2017-07-12,66.3580551147461
2017-07-13,65.91753387451172
2017-07-14,66.26113891601562
2017-07-17,65.89991760253906
2017-07-18,65.7325210571289
2017-07-19,66.54305267333984
2017-07-20,66.29638671875
2017-07-21,66.30517578125
2017-07-24,66.94831848144531
2017-07-25,67.53861999511719
2017-07-26,67.02763366699219
2017-07-27,66.51663970947266
2017-07-28,66.48140716552734
2017-07-31,66.83381652832031
2017-08-01,67.38003540039062
2017-08-02,66.70166015625
2017-08-03,67.25667572021484
2017-08-04,66.65758514404297
2017-08-07,66.60475158691406
2017-08-08,66.12899017333984
2017-08-09,65.76778411865234
2017-08-10,63.67978286743164
2017-08-11,65.43299102783203
2017-08-14,66.71926879882812
2017-08-15,67.02763366699219
2017-08-16,67.91744232177734
2017-08-17,67.3624038696289
2017-08-18,67.2214584350586
2017-08-21,67.3095474243164
2017-08-22,67.74124145507812
2017-08-23,67.80291748046875
2017-08-24,67.47693634033203
2017-08-25,67.7236099243164
2017-08-28,67.75885772705078
2017-08-29,67.64431762695312
2017-08-30,67.62670135498047
2017-08-31,68.83368682861328
2017-09-01,68.72798919677734
2017-09-05,68.98348236083984
2017-09-06,69.19493103027344
2017-09-07,69.66185760498047
2017-09-08,69.67066192626953
2017-09-11,70.62215423583984
2017-09-12,70.90409088134766
2017-09-13,70.08473205566406
2017-09-14,70.18653869628906
