,APH
2014-01-02,9.871434211730957
2014-01-03,9.907439231872559
2014-01-06,9.81631088256836
2014-01-07,9.882686614990234
2014-01-08,9.937816619873047
2014-01-09,10.06044864654541
2014-01-10,10.051448822021484
2014-01-13,10.03457260131836
2014-01-14,10.396845817565918
2014-01-15,10.356345176696777
2014-01-16,10.336095809936523
2014-01-17,10.359719276428223
2014-01-21,10.242714881896973
2014-01-22,10.246086120605469
2014-01-23,9.95582103729248
2014-01-24,9.663300514221191
2014-01-27,9.601420402526855
2014-01-28,9.685796737670898
2014-01-29,9.634042739868164
2014-01-30,9.751049995422363
2014-01-31,9.774679183959961
2014-02-03,9.527164459228516
2014-02-04,9.558662414550781
2014-02-05,9.600293159484863
2014-02-06,9.754426956176758
2014-02-07,9.828679084777832
2014-02-10,9.791555404663086
2014-02-11,9.896186828613281
2014-02-12,9.932190895080566
2014-02-13,9.961441993713379
2014-02-14,9.931065559387207
2014-02-18,9.996320724487305
2014-02-19,9.962566375732422
2014-02-20,10.007568359375
2014-02-21,9.91868782043457
2014-02-24,10.003071784973145
2014-02-25,9.937816619873047
2014-02-26,9.79718017578125
2014-02-27,9.854558944702148
2014-02-28,9.902939796447754
2014-03-03,9.875935554504395
2014-03-04,10.123454093933105
2014-03-05,10.046947479248047
2014-03-06,10.153830528259277
2014-03-07,10.171833992004395
2014-03-10,10.20340347290039
2014-03-11,10.130112648010254
2014-03-12,10.211298942565918
2014-03-13,10.174087524414062
2014-03-14,10.20340347290039
2014-03-17,10.287973403930664
2014-03-18,10.345479965209961
2014-03-19,10.276697158813477
2014-03-20,10.336459159851074
2014-03-21,10.514610290527344
2014-03-24,10.430047988891602
2014-03-25,10.454854011535645
2014-03-26,10.3139066696167
2014-03-27,10.236104011535645
2014-03-28,10.330820083618164
2014-03-31,10.33420181274414
2014-04-01,10.398470878601074
2014-04-02,10.599181175231934
2014-04-03,10.569867134094238
2014-04-04,10.454854011535645
2014-04-07,10.3139066696167
2014-04-08,10.342092514038086
2014-04-09,10.502209663391113
2014-04-10,10.266549110412598
2014-04-11,10.207917213439941
2014-04-14,10.285717010498047
2014-04-15,10.301505088806152
2014-04-16,10.52927303314209
2014-04-17,10.61271858215332
2014-04-21,10.639775276184082
2014-04-22,10.713067054748535
2014-04-23,10.771698951721191
2014-04-24,10.86077880859375
2014-04-25,10.679241180419922
2014-04-28,10.681493759155273
2014-04-29,10.710813522338867
2014-04-30,10.75140380859375
2014-05-01,10.861905097961426
2014-05-02,10.795381546020508
2014-05-05,10.88558578491211
2014-05-06,10.748022079467773
2014-05-07,10.78748893737793
2014-05-08,10.769441604614258
2014-05-09,10.82469654083252
2014-05-12,10.895733833312988
2014-05-13,10.838226318359375
2014-05-14,10.77621078491211
2014-05-15,10.6893892288208
2014-05-16,10.767192840576172
2014-05-19,10.798765182495117
2014-05-20,10.666838645935059
2014-05-21,10.72885513305664
2014-05-22,10.760428428649902
2014-05-23,10.791999816894531
2014-05-27,10.768317222595215
2014-05-28,10.746892929077148
2014-05-29,10.815678596496582
2014-05-30,10.802144050598145
2014-06-02,10.91828441619873
2014-06-03,10.87768840789795
2014-06-04,10.835972785949707
2014-06-05,10.922796249389648
2014-06-06,11.003978729248047
2014-06-09,11.095501899719238
2014-06-10,11.034489631652832
2014-06-11,11.079684257507324
2014-06-12,10.961045265197754
2014-06-13,10.9395751953125
2014-06-16,10.901159286499023
2014-06-17,10.93166732788086
2014-06-18,10.959915161132812
2014-06-19,11.006240844726562
2014-06-20,11.01414966583252
2014-06-23,10.971213340759277
2014-06-24,10.866131782531738
2014-06-25,10.861618041992188
2014-06-26,10.798340797424316
2014-06-27,10.877434730529785
2014-06-30,10.885342597961426
2014-07-01,10.999462127685547
2014-07-02,10.982514381408691
2014-07-03,11.052569389343262
2014-07-07,11.053698539733887
2014-07-08,11.036749839782715
2014-07-09,10.991554260253906
2014-07-10,10.921499252319336
2014-07-11,10.913592338562012
2014-07-14,10.955398559570312
2014-07-15,10.903420448303223
2014-07-16,10.903420448303223
2014-07-17,10.695520401000977
2014-07-18,10.888734817504883
2014-07-21,10.885342597961426
2014-07-22,10.983646392822266
2014-07-23,10.957658767700195
2014-07-24,11.040136337280273
2014-07-25,11.0277099609375
2014-07-28,11.028838157653809
2014-07-29,10.979122161865234
2014-07-30,11.006240844726562
2014-07-31,10.866131782531738
2014-08-01,10.871786117553711
2014-08-04,10.977991104125977
2014-08-05,11.001723289489746
2014-08-06,11.052569389343262
2014-08-07,11.009632110595703
2014-08-08,11.139567375183105
2014-08-11,11.211880683898926
2014-08-12,11.281933784484863
2014-08-13,11.302271842956543
2014-08-14,11.400568962097168
2014-08-15,11.342947006225586
2014-08-18,11.501131057739258
2014-08-19,11.546323776245117
2014-08-20,11.553104400634766
2014-08-21,11.79377269744873
2014-08-22,11.733888626098633
2014-08-25,11.786992073059082
2014-08-26,11.72597885131836
2014-08-27,11.695473670959473
2014-08-28,11.681912422180176
2014-08-29,11.638978958129883
2014-09-02,11.784734725952148
2014-09-03,11.76778793334961
2014-09-04,11.742928504943848
2014-09-05,11.764397621154785
2014-09-08,11.788178443908691
2014-09-09,11.715696334838867
2014-09-10,11.711165428161621
2014-09-11,11.828951835632324
2014-09-12,11.804039001464844
2014-09-15,11.73608112335205
2014-09-16,11.777985572814941
2014-09-17,11.831222534179688
2014-09-18,11.928625106811523
2014-09-19,11.770057678222656
2014-09-22,11.730417251586914
2014-09-23,11.531078338623047
2014-09-24,11.568456649780273
2014-09-25,11.406490325927734
2014-09-26,11.532209396362305
2014-09-29,11.534475326538086
2014-09-30,11.310219764709473
2014-10-01,11.110878944396973
2014-10-02,11.181105613708496
2014-10-03,11.25585651397705
2014-10-06,11.212817192077637
2014-10-07,11.070106506347656
2014-10-08,11.304556846618652
2014-10-09,11.176570892333984
2014-10-10,10.35203742980957
2014-10-13,10.320322036743164
2014-10-14,10.519657135009766
2014-10-15,10.662368774414062
2014-10-16,10.691816329956055
2014-10-17,10.879831314086914
2014-10-20,10.931925773620605
2014-10-21,11.251321792602539
2014-10-22,10.673696517944336
2014-10-23,10.875298500061035
2014-10-24,11.06104564666748
2014-10-27,10.956847190856934
2014-10-28,11.151653289794922
2014-10-29,11.14259147644043
2014-10-30,11.210553169250488
2014-10-31,11.457460403442383
2014-11-03,11.416685104370117
2014-11-04,11.32154369354248
2014-11-05,11.466520309448242
2014-11-06,11.56165885925293
2014-11-07,11.543536186218262
2014-11-10,11.480107307434082
2014-11-11,11.509561538696289
2014-11-12,11.613759994506836
2014-11-13,11.486906051635742
2014-11-14,11.52088451385498
2014-11-17,11.514091491699219
2014-11-18,11.677184104919434
2014-11-19,11.672653198242188
2014-11-20,11.631881713867188
2014-11-21,11.790446281433105
2014-11-24,11.88105583190918
2014-11-25,11.917299270629883
2014-11-26,12.00111198425293
2014-11-28,12.14834976196289
2014-12-01,11.992051124572754
2014-12-02,12.050945281982422
2014-12-03,12.192853927612305
2014-12-04,12.190582275390625
2014-12-05,12.197392463684082
2014-12-08,12.170149803161621
2014-12-09,12.233724594116211
2014-12-10,12.220101356506348
2014-12-11,12.211020469665527
2014-12-12,11.881790161132812
2014-12-15,11.78415298461914
2014-12-16,11.722848892211914
2014-12-17,11.95217514038086
2014-12-18,12.34952449798584
2014-12-19,12.49256706237793
2014-12-22,12.540250778198242
2014-12-23,12.590204238891602
2014-12-24,12.54705810546875
2014-12-26,12.537976264953613
2014-12-29,12.483482360839844
2014-12-30,12.369953155517578
2014-12-31,12.217829704284668
2015-01-02,12.179231643676758
2015-01-05,11.95671558380127
2015-01-06,11.804590225219727
2015-01-07,12.006669044494629
2015-01-08,12.240535736083984
2015-01-09,12.170149803161621
2015-01-12,12.022563934326172
2015-01-13,11.995317459106445
2015-01-14,11.909034729003906
2015-01-15,11.79096794128418
2015-01-16,11.902223587036133
2015-01-20,11.88632869720459
2015-01-21,12.245078086853027
2015-01-22,12.433531761169434
2015-01-23,12.467592239379883
2015-01-26,12.440342903137207
2015-01-27,12.333629608154297
2015-01-28,12.254158020019531
2015-01-29,12.47894287109375
2015-01-30,12.195125579833984
2015-02-02,12.31546401977539
2015-02-03,12.392660140991211
2015-02-04,12.390392303466797
2015-02-05,12.542515754699707
2015-02-06,12.49937915802002
2015-02-09,12.442618370056152
2015-02-10,12.656047821044922
2015-02-11,12.612903594970703
2015-02-12,12.715082168579102
2015-02-13,12.803634643554688
2015-02-17,12.715082168579102
2015-02-18,12.771845817565918
2015-02-19,12.765033721923828
2015-02-20,12.923974990844727
2015-02-23,12.878561973571777
2015-02-24,12.901264190673828
2015-02-25,12.908077239990234
2015-02-26,12.896724700927734
2015-02-27,12.819527626037598
2015-03-02,12.992090225219727
2015-03-03,13.01479434967041
2015-03-04,13.223688125610352
2015-03-05,13.332673072814941
2015-03-06,13.11697006225586
2015-03-09,13.131760597229004
2015-03-10,13.029362678527832
2015-03-11,13.0361909866333
2015-03-12,13.263733863830566
2015-03-13,13.186369895935059
2015-03-16,13.495837211608887
2015-03-17,13.42529582977295
2015-03-18,13.69835090637207
2015-03-19,13.646017074584961
2015-03-20,13.664216995239258
2015-03-23,13.593680381774902
2015-03-24,13.445775032043457
2015-03-25,13.109006881713867
2015-03-26,13.08397388458252
2015-03-27,13.115832328796387
2015-03-30,13.37296199798584
2015-03-31,13.409364700317383
2015-04-01,13.26146125793457
2015-04-02,13.379786491394043
2015-04-06,13.418469429016113
2015-04-07,13.388891220092773
2015-04-08,13.473079681396484
2015-04-09,13.493557929992676
2015-04-10,13.548171997070312
2015-04-13,13.427569389343262
2015-04-14,13.409364700317383
2015-04-15,13.475358009338379
2015-04-16,13.370681762695312
2015-04-17,13.188647270202637
2015-04-20,13.297872543334961
2015-04-21,13.234155654907227
2015-04-22,12.926966667175293
2015-04-23,12.901937484741211
2015-04-24,12.78133773803711
2015-04-27,12.792715072631836
2015-04-28,12.740379333496094
2015-04-29,12.694867134094238
2015-04-30,12.599298477172852
2015-05-01,12.854150772094727
2015-05-04,12.93151569366455
2015-05-05,12.724449157714844
2015-05-06,12.67438793182373
