,VICI
2018-01-02,13.93368434906006
2018-01-03,13.975275039672852
2018-01-04,14.003008842468262
2018-01-05,14.003008842468262
2018-01-08,14.003008842468262
2018-01-09,14.009940147399902
2018-01-10,13.864360809326172
2018-01-11,13.864360809326172
2018-01-12,13.857426643371582
2018-01-16,14.904192924499512
2018-01-17,14.751680374145508
2018-01-18,14.55757999420166
2018-01-19,14.38427448272705
2018-01-22,15.937079429626465
2018-01-23,14.55757999420166
2018-01-24,14.55757999420166
2018-01-25,14.509056091308594
2018-01-26,14.62690544128418
2018-01-29,14.62690544128418
2018-01-30,14.592241287231444
2018-01-31,15.25080108642578
2018-02-01,14.481322288513184
2018-02-02,14.564515113830566
2018-02-05,14.287226676940918
2018-02-06,14.210969924926758
2018-02-07,14.391206741333008
2018-02-08,13.864360809326172
2018-02-09,13.801977157592772
2018-02-12,13.57321071624756
2018-02-13,13.656396865844728
2018-02-14,13.62173557281494
2018-02-15,13.760381698608398
2018-02-16,13.857426643371582
2018-02-20,13.864360809326172
2018-02-21,13.635601997375488
2018-02-22,13.753447532653809
2018-02-23,13.739583015441896
2018-02-26,13.656396865844728
2018-02-27,13.490022659301758
2018-02-28,13.552412033081056
2018-03-01,13.510821342468262
2018-03-02,13.448427200317385
2018-03-05,13.49695873260498
2018-03-06,13.594008445739746
2018-03-07,13.594008445739746
2018-03-08,13.372179985046388
2018-03-09,13.587076187133787
2018-03-12,13.441493034362791
2018-03-13,13.587076187133787
2018-03-14,13.607870101928713
2018-03-15,13.46229648590088
2018-03-16,13.46229648590088
2018-03-19,13.330581665039062
2018-03-20,13.19194221496582
2018-03-21,13.150347709655762
2018-03-22,13.032500267028809
2018-03-23,12.803735733032228
2018-03-26,12.93545150756836
2018-03-27,12.810672760009766
2018-03-28,12.77570629119873
2018-03-29,12.810670852661133
2018-04-02,12.789691925048828
2018-04-03,12.77570629119873
2018-04-04,12.677806854248049
2018-04-05,12.71277141571045
2018-04-06,12.782700538635254
2018-04-09,12.68480110168457
2018-04-10,12.698784828186035
2018-04-11,12.705778121948242
2018-04-12,12.705778121948242
2018-04-13,12.72675609588623
2018-04-16,12.747735023498535
2018-04-17,12.77570629119873
2018-04-18,12.852627754211426
2018-04-19,12.747735023498535
2018-04-20,12.71277141571045
2018-04-23,12.6498384475708
2018-04-24,12.614874839782717
2018-04-25,12.614874839782717
2018-04-26,12.59389591217041
2018-04-27,12.621866226196287
2018-04-30,12.71277141571045
2018-05-01,12.733750343322754
2018-05-02,12.495996475219728
2018-05-03,12.482014656066896
2018-05-04,12.600889205932615
2018-05-07,12.698784828186035
2018-05-08,12.87360382080078
2018-05-09,13.20925521850586
2018-05-10,13.370087623596191
2018-05-11,13.286173820495604
2018-05-14,13.495954513549805
2018-05-15,13.530920028686523
2018-05-16,13.740700721740724
2018-05-17,13.775668144226074
2018-05-18,13.677767753601074
2018-05-21,13.817617416381836
2018-05-22,13.810629844665527
2018-05-23,13.915522575378418
2018-05-24,13.880558967590332
2018-05-25,13.88754653930664
2018-05-29,13.943492889404297
2018-05-30,13.950482368469238
2018-05-31,13.54490566253662
2018-06-01,13.901535034179688
2018-06-04,14.244180679321287
2018-06-05,14.062366485595703
2018-06-06,13.97146224975586
2018-06-07,13.992440223693848
2018-06-08,14.293127059936523
2018-06-11,14.35606288909912
2018-06-12,14.405014038085938
2018-06-13,14.405014038085938
2018-06-14,14.35606288909912
2018-06-15,14.349069595336914
2018-06-18,14.405014038085938
2018-06-19,14.43997573852539
2018-06-20,14.6427640914917
2018-06-21,14.663740158081056
2018-06-22,14.670737266540527
2018-06-25,14.57284164428711
2018-06-26,14.537871360778809
2018-06-27,14.50458526611328
2018-06-28,14.497504234313965
2018-06-29,14.61790657043457
2018-07-02,14.660393714904783
2018-07-03,14.773714065551758
2018-07-05,14.865782737731934
2018-07-06,14.943684577941896
2018-07-09,14.950773239135742
2018-07-10,14.972023010253906
2018-07-11,14.84453582763672
2018-07-12,14.830371856689451
2018-07-13,14.99326515197754
2018-07-16,14.99326515197754
2018-07-17,14.837453842163086
2018-07-18,14.688725471496582
2018-07-19,14.709975242614746
2018-07-20,14.681638717651367
2018-07-23,14.589570999145508
2018-07-24,14.50458526611328
2018-07-25,14.561243057250977
2018-07-26,14.51874828338623
2018-07-27,14.391270637512209
2018-07-30,14.45500946044922
2018-07-31,14.412519454956056
2018-08-01,14.164634704589844
2018-08-02,13.916752815246582
2018-08-03,13.838847160339355
2018-08-06,13.987574577331545
2018-08-07,14.06548309326172
2018-08-08,14.355856895446776
2018-08-09,14.24961757659912
2018-08-10,14.270870208740234
2018-08-13,14.221293449401855
2018-08-14,14.23546028137207
2018-08-15,14.45500946044922
2018-08-16,14.639148712158203
2018-08-17,14.639148712158203
2018-08-20,14.490421295166016
2018-08-21,14.639148712158203
2018-08-22,14.539997100830078
2018-08-23,14.653315544128418
2018-08-24,14.660393714904783
2018-08-27,14.73830223083496
2018-08-28,14.823286056518556
2018-08-29,14.802042007446287
2018-08-30,14.61790657043457
2018-08-31,14.809123992919922
2018-09-04,14.823286056518556
2018-09-05,14.802042007446287
2018-09-06,14.73830223083496
2018-09-07,14.759552001953123
2018-09-10,14.879953384399414
2018-09-11,14.8516206741333
2018-09-12,14.8516206741333
2018-09-13,14.950773239135742
2018-09-14,15.064090728759766
2018-09-17,15.241151809692385
2018-09-18,15.297804832458496
2018-09-19,15.21990203857422
2018-09-20,15.170327186584473
2018-09-21,15.17740535736084
2018-09-24,15.064090728759766
2018-09-25,15.085335731506348
2018-09-26,14.93661117553711
2018-09-27,15.186480522155762
2018-09-28,15.523965835571287
2018-10-01,15.25110912322998
2018-10-02,15.452159881591797
2018-10-03,15.294191360473633
2018-10-04,15.215206146240234
2018-10-05,15.057238578796388
2018-10-08,15.344453811645508
2018-10-09,15.437798500061035
2018-10-10,15.229562759399414
2018-10-11,14.813103675842283
2018-10-12,14.820290565490724
2018-10-15,14.9926118850708
2018-10-16,15.14340591430664
2018-10-17,15.401895523071287
2018-10-18,15.437798500061035
2018-10-19,15.538322448730469
2018-10-22,15.265463829040527
2018-10-23,15.33009433746338
2018-10-24,15.452159881591797
2018-10-25,15.782452583312988
2018-10-26,15.653206825256348
2018-10-29,15.473699569702148
2018-10-30,15.444976806640623
2018-10-31,15.50242519378662
2018-11-01,15.667572975158691
2018-11-02,15.387537002563477
2018-11-05,15.452159881591797
2018-11-06,15.653206825256348
2018-11-07,15.89016056060791
2018-11-08,15.617310523986816
2018-11-09,15.58140468597412
2018-11-12,15.444976806640623
2018-11-13,15.416255950927734
2018-11-14,15.394715309143066
2018-11-15,15.172120094299316
2018-11-16,15.294191360473633
2018-11-19,15.380356788635254
2018-11-20,15.243926048278809
2018-11-21,15.380356788635254
2018-11-23,15.54550552368164
2018-11-26,15.710649490356444
2018-11-27,15.854256629943848
2018-11-28,15.825536727905272
2018-11-29,15.84707736968994
2018-11-30,15.631668090820312
2018-12-03,15.62449073791504
2018-12-04,15.37317180633545
2018-12-06,15.7178373336792
2018-12-07,15.45934009552002
2018-12-10,15.021336555480955
2018-12-11,15.035696983337402
2018-12-12,14.827463150024414
2018-12-13,14.834644317626951
2018-12-14,14.820290565490724
2018-12-17,14.174052238464355
2018-12-18,14.217132568359377
2018-12-19,14.073528289794922
2018-12-20,13.714510917663574
2018-12-21,13.391393661499023
2018-12-24,12.939029693603516
2018-12-26,13.348308563232422
2018-12-27,13.383319854736328
2018-12-28,13.543771743774414
2018-12-31,13.696934700012209
2019-01-02,13.478131294250488
2019-01-03,13.689640045166016
2019-01-04,13.84279727935791
2019-01-07,13.879265785217283
2019-01-08,14.302281379699709
2019-01-09,14.49191188812256
2019-01-10,14.637774467468262
2019-01-11,14.80552101135254
2019-01-14,14.914924621582031
2019-01-15,15.00973892211914
2019-01-16,15.22124481201172
2019-01-17,15.30876636505127
2019-01-18,15.396288871765137
2019-01-22,15.286887168884276
2019-01-23,15.330644607543944
2019-01-24,15.410870552062988
2019-01-25,15.64425563812256
2019-01-28,15.651554107666016
2019-01-29,15.688020706176758
2019-01-30,15.60050106048584
2019-01-31,15.702609062194824
2019-02-01,15.782835006713867
2019-02-04,15.69531536102295
2019-02-05,15.69531536102295
2019-02-06,15.651554107666016
2019-02-07,15.651554107666016
2019-02-08,15.819299697875977
2019-02-11,15.833890914916992
2019-02-12,15.724482536315918
2019-02-13,15.731776237487791
2019-02-14,15.797420501708984
2019-02-15,15.593207359313965
2019-02-19,15.549443244934082
2019-02-20,15.67343521118164
2019-02-21,15.797420501708984
2019-02-22,15.65884780883789
2019-02-25,15.578619003295898
2019-02-26,15.50568389892578
2019-02-27,15.483804702758787
2019-02-28,15.542154312133787
2019-03-01,15.359821319580078
