,MMC
2014-01-02,39.22464370727539
2014-01-03,39.33149337768555
2014-01-06,39.126007080078125
2014-01-07,39.40548324584961
2014-01-08,39.57809829711914
2014-01-09,39.90687942504883
2014-01-10,39.6109733581543
2014-01-13,38.95339584350586
2014-01-14,39.594539642333984
2014-01-15,39.72605895996094
2014-01-16,39.89866638183594
2014-01-17,39.86580276489258
2014-01-21,39.882232666015625
2014-01-22,39.980865478515625
2014-01-23,39.21643829345703
2014-01-24,38.11497497558594
2014-01-27,37.74309158325195
2014-01-28,37.94969177246094
2014-01-29,37.77615737915039
2014-01-30,38.27199935913086
2014-01-31,37.77615737915039
2014-02-03,36.80095672607422
2014-02-04,36.83401870727539
2014-02-05,36.825748443603516
2014-02-06,36.69351577758789
2014-02-07,37.91663360595703
2014-02-10,37.91663360595703
2014-02-11,38.610843658447266
2014-02-12,38.7265510559082
2014-02-13,39.08190155029297
2014-02-14,39.39595413208008
2014-02-18,39.50338363647461
2014-02-19,39.31330490112305
2014-02-20,39.75132369995117
2014-02-21,39.635623931884766
2014-02-24,39.72651290893555
2014-02-25,39.51991653442383
2014-02-26,39.3298454284668
2014-02-27,39.67693328857422
2014-02-28,39.80089569091797
2014-03-03,39.39595413208008
2014-03-04,40.40419387817383
2014-03-05,40.428985595703125
2014-03-06,40.726505279541016
2014-03-07,40.95790481567383
2014-03-10,41.156246185302734
2014-03-11,40.990962982177734
2014-03-12,40.71824264526367
2014-03-13,40.75956344604492
2014-03-14,40.58600997924805
2014-03-17,41.30500030517578
2014-03-18,41.43722152709961
2014-03-19,40.97444152832031
2014-03-20,41.0984001159668
2014-03-21,41.28847885131836
2014-03-24,40.676918029785156
2014-03-25,40.726505279541016
2014-03-26,40.45377731323242
2014-03-27,40.18104553222656
2014-03-28,40.15627670288086
2014-03-31,40.74301528930664
2014-04-01,40.9083137512207
2014-04-02,41.14798355102539
2014-04-03,41.16451644897461
2014-04-04,40.594276428222656
2014-04-07,39.90007019042969
2014-04-08,39.725624084472656
2014-04-09,40.31544494628906
2014-04-10,39.40163040161133
2014-04-11,39.09425735473633
2014-04-14,39.3600959777832
2014-04-15,39.70069885253906
2014-04-16,40.132667541503906
2014-04-17,40.099456787109375
2014-04-21,40.04960250854492
