,ETR
2014-01-02,15.316874504089355
2014-01-03,15.116250991821289
2014-01-06,15.027088165283203
2014-01-07,15.170741081237793
2014-01-08,15.07166862487793
2014-01-09,14.989933013916016
2014-01-10,15.123678207397461
2014-01-13,15.014702796936035
2014-01-14,15.143492698669434
2014-01-15,15.14845085144043
2014-01-16,15.202934265136719
2014-01-17,15.259904861450195
2014-01-21,15.35403060913086
2014-01-22,15.245044708251953
2014-01-23,15.284675598144531
2014-01-24,15.178173065185547
2014-01-27,15.18065357208252
2014-01-28,15.138543128967285
2014-01-29,15.24256706237793
2014-01-30,15.646296501159668
2014-01-31,15.611620903015137
2014-02-03,15.534839630126953
2014-02-04,15.472921371459961
2014-02-05,15.500163078308105
2014-02-06,15.789958953857422
2014-02-07,15.742889404296875
2014-02-10,15.752801895141602
2014-02-11,15.70512580871582
2014-02-12,15.951059341430664
2014-02-13,16.169401168823242
2014-02-14,16.1844539642334
2014-02-18,16.289857864379883
2014-02-19,16.17692756652832
2014-02-20,16.324995040893555
2014-02-21,16.174415588378906
2014-02-24,16.091602325439453
2014-02-25,16.089088439941406
2014-02-26,16.079051971435547
2014-02-27,16.001253128051758
2014-02-28,16.016313552856445
2014-03-03,15.880791664123535
2014-03-04,15.920947074890137
2014-03-05,15.818048477172852
2014-03-06,15.654928207397461
2014-03-07,15.700102806091309
2014-03-10,15.622304916381836
2014-03-11,15.637359619140625
2014-03-12,15.81052303314209
2014-03-13,16.16689109802246
2014-03-14,16.20704460144043
2014-03-17,16.362638473510742
2014-03-18,16.31495475769043
2014-03-19,16.204532623291016
2014-03-20,16.249704360961914
2014-03-21,16.570934295654297
2014-03-24,16.580974578857422
2014-03-25,16.58599090576172
2014-03-26,16.50568199157715
2014-03-27,16.713979721069336
2014-03-28,16.726533889770508
2014-03-31,16.776723861694336
2014-04-01,16.829421997070312
2014-04-02,16.841968536376953
2014-04-03,17.09041976928711
2014-04-04,17.333850860595703
2014-04-07,17.35141944885254
2014-04-08,17.61492919921875
2014-04-09,17.637516021728516
2014-04-10,17.592342376708984
2014-04-11,17.655086517333984
2014-04-14,17.805665969848633
2014-04-15,18.06163787841797
2014-04-16,18.071680068969727
2014-04-17,17.883460998535156
2014-04-21,17.838289260864258
2014-04-22,17.823230743408203
2014-04-23,17.823230743408203
2014-04-24,17.923612594604492
2014-04-25,18.02901840209961
2014-04-28,18.274959564208984
2014-04-29,18.292524337768555
2014-04-30,18.194656372070312
2014-05-01,18.310091018676758
2014-05-02,18.129396438598633
2014-05-05,18.352754592895508
2014-05-06,18.352754592895508
2014-05-07,18.862207412719727
2014-05-08,18.76934814453125
2014-05-09,18.72417640686035
2014-05-12,18.666460037231445
2014-05-13,18.630922317504883
2014-05-14,18.84918975830078
2014-05-15,18.854265213012695
2014-05-16,18.91263771057129
2014-05-19,18.564937591552734
2014-05-20,18.651227951049805
2014-05-21,18.691835403442383
2014-05-22,18.790817260742188
2014-05-23,18.795888900756836
2014-05-27,18.808576583862305
2014-05-28,18.938016891479492
2014-05-29,19.168968200683594
2014-05-30,19.141048431396484
2014-06-02,19.229873657226562
2014-06-03,19.344087600708008
2014-06-04,19.44306755065918
2014-06-05,19.950647354125977
2014-06-06,19.899887084960938
2014-06-09,19.9709529876709
2014-06-10,19.866893768310547
2014-06-11,19.648632049560547
2014-06-12,19.757766723632812
2014-06-13,19.846593856811523
2014-06-16,20.052173614501953
2014-06-17,19.927810668945312
2014-06-18,20.34656524658203
2014-06-19,20.50391387939453
2014-06-20,20.514068603515625
2014-06-23,20.440465927124023
2014-06-24,20.41762924194336
2014-06-25,20.600360870361328
2014-06-26,20.521686553955078
2014-06-27,20.602895736694336
2014-06-30,20.833847045898438
2014-07-01,20.633350372314453
2014-07-02,19.963340759277344
2014-07-03,19.534425735473633
2014-07-07,19.897350311279297
2014-07-08,19.91511344909668
2014-07-09,19.788219451904297
2014-07-10,19.973487854003906
2014-07-11,19.80091094970703
2014-07-14,19.592796325683594
2014-07-15,19.67654800415039
2014-07-16,19.783140182495117
2014-07-17,19.356775283813477
2014-07-18,19.59787368774414
2014-07-21,19.630863189697266
2014-07-22,19.288249969482422
2014-07-23,19.196882247924805
2014-07-24,19.377077102661133
2014-07-25,19.156272888183594
2014-07-28,19.377077102661133
2014-07-29,19.031911849975586
2014-07-30,18.821277618408203
2014-07-31,18.483722686767578
2014-08-01,18.52433204650879
2014-08-04,18.382211685180664
2014-08-05,18.303525924682617
2014-08-06,17.973600387573242
2014-08-07,18.16394805908203
2014-08-08,18.44565773010254
2014-08-11,18.41266632080078
2014-08-12,18.55032730102539
2014-08-13,18.680192947387695
2014-08-14,18.96330451965332
2014-08-15,18.913957595825195
2014-08-18,18.895767211914062
2014-08-19,19.21004867553711
2014-08-20,19.508747100830078
2014-08-21,19.433427810668945
2014-08-22,19.368494033813477
2014-08-25,19.630826950073242
2014-08-26,19.342517852783203
2014-08-27,19.60485076904297
2014-08-28,19.825632095336914
2014-08-29,20.106143951416016
2014-09-02,19.838613510131836
2014-09-03,20.036008834838867
2014-09-04,19.963289260864258
2014-09-05,20.106143951416016
2014-09-08,19.830821990966797
2014-09-09,19.773679733276367
2014-09-10,19.781471252441406
2014-09-11,20.01523780822754
2014-09-12,19.60485076904297
2014-09-15,19.7269229888916
2014-09-16,20.002246856689453
2014-09-17,19.874975204467773
2014-09-18,19.698352813720703
2014-09-19,19.952896118164062
2014-09-22,19.997047424316406
2014-09-23,19.87237548828125
2014-09-24,19.82042694091797
2014-09-25,19.739917755126953
2014-09-26,19.77627182006836
2014-09-29,19.932117462158203
2014-09-30,20.085365295410156
2014-10-01,20.269777297973633
2014-10-02,20.12172508239746
2014-10-03,20.212627410888672
2014-10-06,20.18406105041504
2014-10-07,20.210031509399414
2014-10-08,20.680158615112305
2014-10-09,20.13212013244629
2014-10-10,20.21523666381836
2014-10-13,20.436004638671875
2014-10-14,21.048980712890625
2014-10-15,20.506139755249023
2014-10-16,20.62301254272461
2014-10-17,20.604833602905273
2014-10-20,20.73729133605957
2014-10-21,20.778860092163086
2014-10-22,21.023008346557617
2014-10-23,21.113910675048828
2014-10-24,21.334693908691406
2014-10-27,21.326900482177734
2014-10-28,21.267160415649414
2014-10-29,21.31390953063965
2014-10-30,21.880138397216797
2014-10-31,21.822999954223633
2014-11-03,21.77883529663086
2014-11-04,21.420406341552734
2014-11-05,21.739879608154297
2014-11-06,21.287939071655273
2014-11-07,21.474945068359375
2014-11-10,22.076629638671875
2014-11-11,21.989166259765625
2014-11-12,21.633981704711914
2014-11-13,21.64988899230957
2014-11-14,21.588918685913086
2014-11-17,22.071325302124023
2014-11-18,22.238319396972656
2014-11-19,22.089881896972656
2014-11-20,21.795669555664062
2014-11-21,21.840730667114258
2014-11-24,21.59422492980957
2014-11-25,21.551815032958984
2014-11-26,21.779762268066406
2014-11-28,22.238319396972656
2014-12-01,22.219755172729492
2014-12-02,22.185302734375
2014-12-03,22.124343872070312
2014-12-04,22.148193359375
2014-12-05,21.925546646118164
2014-12-08,22.275419235229492
2014-12-09,22.259519577026367
2014-12-10,22.023618698120117
2014-12-11,22.503374099731445
2014-12-12,22.903610229492188
2014-12-15,22.89301109313965
2014-12-16,22.794937133789062
2014-12-17,23.144804000854492
2014-12-18,23.51058578491211
2014-12-19,23.59805679321289
2014-12-22,23.40721321105957
2014-12-23,23.343603134155273
2014-12-24,23.73058319091797
2014-12-26,23.966487884521484
2014-12-29,24.162626266479492
2014-12-30,23.836610794067383
2014-12-31,23.187219619750977
2015-01-02,23.248186111450195
2015-01-05,23.073244094848633
2015-01-06,23.03083038330078
2015-01-07,23.264087677001953
2015-01-08,23.40190887451172
2015-01-09,23.26938819885254
2015-01-12,23.070592880249023
2015-01-13,22.8055362701416
