,XOM
2014-01-02,63.25497055053711
2014-01-03,63.102821350097656
2014-01-06,63.19791030883789
2014-01-07,64.092041015625
2014-01-08,63.882781982421875
2014-01-09,63.26130294799805
2014-01-10,63.74326705932617
2014-01-13,62.49401092529297
2014-01-14,62.85548782348633
2014-01-15,62.63986587524414
2014-01-16,62.74132537841797
2014-01-17,62.8808479309082
2014-01-21,62.46232986450195
2014-01-22,62.06914138793945
2014-01-23,61.492088317871094
2014-01-24,60.14773178100586
2014-01-27,60.19212341308594
2014-01-28,60.655025482177734
2014-01-29,60.31259536743164
2014-01-30,59.60236740112305
2014-01-31,58.44191360473633
2014-02-03,57.10387420654297
2014-02-04,57.084835052490234
2014-02-05,56.80583572387695
2014-02-06,57.348655700683594
2014-02-07,57.84679412841797
2014-02-10,57.16984176635742
2014-02-11,58.01283645629883
2014-02-12,58.16610336303711
2014-02-13,58.389625549316406
2014-02-14,60.10113525390625
2014-02-18,60.075584411621094
2014-02-19,59.99896240234375
2014-02-20,60.905818939208984
2014-02-21,60.68867874145508
2014-02-24,61.58914566040039
2014-02-25,61.50612258911133
2014-02-26,61.17403793334961
2014-02-27,61.20595932006836
2014-02-28,61.48058319091797
2014-03-03,60.98884201049805
2014-03-04,61.64023208618164
2014-03-05,59.90315246582031
2014-03-06,59.877628326416016
2014-03-07,60.66312026977539
2014-03-10,60.98884201049805
2014-03-11,60.037296295166016
2014-03-12,60.16500473022461
2014-03-13,59.801002502441406
2014-03-14,59.69240188598633
2014-03-17,60.235260009765625
2014-03-18,60.484310150146484
2014-03-19,59.85846710205078
2014-03-20,60.40131759643555
2014-03-21,60.22886276245117
2014-03-24,60.43960952758789
2014-03-25,60.612064361572266
2014-03-26,60.477935791015625
2014-03-27,61.46139144897461
2014-03-28,62.3938102722168
2014-03-31,62.38101577758789
2014-04-01,62.41298294067383
2014-04-02,62.55344772338867
2014-04-03,62.54067611694336
2014-04-04,62.17666244506836
2014-04-07,61.80629348754883
2014-04-08,62.234169006347656
2014-04-09,62.15752029418945
2014-04-10,61.80629348754883
2014-04-11,61.76796340942383
2014-04-14,62.49599838256836
2014-04-15,63.019657135009766
2014-04-16,63.82432174682617
2014-04-17,64.13086700439453
2014-04-21,64.45658111572266
2014-04-22,64.09896087646484
2014-04-23,64.18194580078125
2014-04-24,63.8690071105957
2014-04-25,64.12449645996094
2014-04-28,64.60983276367188
2014-04-29,64.78865051269531
2014-04-30,65.4017562866211
2014-05-01,64.76313781738281
2014-05-02,65.14627838134766
2014-05-05,65.7210693359375
2014-05-06,65.56777954101562
2014-05-07,65.84878540039062
2014-05-08,65.3442611694336
2014-05-09,65.55001068115234
2014-05-12,65.73006439208984
2014-05-13,65.81362915039062
2014-05-14,65.76862335205078
2014-05-15,64.79774475097656
2014-05-16,64.77201080322266
2014-05-19,64.8556137084961
2014-05-20,64.72702026367188
2014-05-21,65.60145568847656
2014-05-22,65.26069641113281
2014-05-23,65.14495086669922
2014-05-27,65.17068481445312
2014-05-28,64.97776794433594
2014-05-29,65.11278533935547
2014-05-30,64.63700866699219
2014-06-02,64.25764465332031
2014-06-03,64.5469741821289
2014-06-04,64.32196807861328
2014-06-05,64.64985656738281
2014-06-06,65.32498931884766
2014-06-09,65.27352142333984
2014-06-10,65.23495483398438
2014-06-11,65.55001068115234
2014-06-12,65.3635482788086
2014-06-13,66.00008392333984
2014-06-16,66.1736831665039
2014-06-17,65.8521957397461
2014-06-18,66.051513671875
2014-06-19,65.98723602294922
2014-06-20,66.75879669189453
2014-06-23,67.11241912841797
2014-06-24,66.051513671875
2014-06-25,65.67218017578125
2014-06-26,65.60145568847656
2014-06-27,65.07418823242188
2014-06-30,64.73343658447266
2014-07-01,65.17068481445312
2014-07-02,65.30567932128906
2014-07-03,65.96151733398438
2014-07-07,66.00008392333984
2014-07-08,66.11582946777344
2014-07-09,66.5787582397461
2014-07-10,65.94865417480469
2014-07-11,65.4150161743164
2014-07-14,66.01936340332031
2014-07-15,65.83290100097656
2014-07-16,66.7201919555664
2014-07-17,65.7814712524414
2014-07-18,66.051513671875
2014-07-21,66.27656555175781
2014-07-22,66.57231140136719
2014-07-23,67.02882385253906
2014-07-24,67.0481185913086
2014-07-25,66.34083557128906
2014-07-28,67.1059799194336
2014-07-29,66.5787582397461
2014-07-30,66.38585662841797
2014-07-31,63.61469650268555
2014-08-01,63.524688720703125
2014-08-04,64.37982177734375
2014-08-05,63.138912200927734
2014-08-06,63.640403747558594
2014-08-07,63.183921813964844
2014-08-08,64.12905883789062
2014-08-11,63.92188262939453
2014-08-12,63.7664909362793
2014-08-13,64.15496826171875
2014-08-14,64.15496826171875
2014-08-15,64.11610412597656
2014-08-18,64.43335723876953
2014-08-19,64.41392517089844
2014-08-20,64.5499038696289
2014-08-21,64.27796173095703
2014-08-22,63.77297592163086
2014-08-25,63.93483352661133
2014-08-26,64.51104736328125
2014-08-27,64.43984985351562
2014-08-28,64.46571350097656
2014-08-29,64.39451599121094
2014-09-02,63.7664909362793
2014-09-03,64.16792297363281
2014-09-04,63.68235397338867
2014-09-05,64.26502227783203
2014-09-08,63.30033493041992
2014-09-09,63.054290771484375
2014-09-10,62.67881393432617
2014-09-11,62.821231842041016
2014-09-12,62.01194763183594
2014-09-15,62.34212875366211
2014-09-16,63.08021926879883
2014-09-17,62.85359191894531
2014-09-18,62.549312591552734
2014-09-19,62.8795051574707
2014-09-22,62.50397872924805
2014-09-23,62.17379379272461
2014-09-24,62.03783416748047
2014-09-25,61.0213623046875
2014-09-26,61.785335540771484
2014-09-29,61.13788986206055
2014-09-30,60.8918571472168
2014-10-01,60.12139129638672
2014-10-02,60.40629196166992
2014-10-03,60.807674407958984
2014-10-06,61.19615173339844
2014-10-07,60.45160675048828
2014-10-08,61.25442123413086
2014-10-09,59.44806671142578
2014-10-10,59.30561447143555
2014-10-13,58.813575744628906
2014-10-14,58.62583541870117
2014-10-15,58.41215515136719
2014-10-16,58.65818405151367
2014-10-17,59.053138732910156
2014-10-20,59.41569519042969
2014-10-21,60.63289260864258
2014-10-22,60.29621505737305
2014-10-23,60.930694580078125
2014-10-24,61.176734924316406
2014-10-27,60.67172622680664
2014-10-28,61.57167434692383
2014-10-29,61.241485595703125
2014-10-30,61.15084457397461
2014-10-31,62.61404800415039
2014-11-03,61.67527770996094
2014-11-04,61.19615173339844
2014-11-05,61.55225372314453
2014-11-06,62.322715759277344
2014-11-07,62.987876892089844
2014-11-10,62.78571319580078
2014-11-11,62.8704719543457
2014-11-12,62.198795318603516
2014-11-13,61.72927474975586
2014-11-14,62.009708404541016
2014-11-17,62.02274703979492
2014-11-18,61.866233825683594
2014-11-19,62.34880447387695
2014-11-20,62.4857063293457
2014-11-21,63.131343841552734
2014-11-24,62.420509338378906
2014-11-25,61.807533264160156
2014-11-26,61.611900329589844
2014-11-28,59.04256820678711
2014-12-01,60.22286605834961
2014-12-02,61.42277908325195
2014-12-03,61.91838455200195
2014-12-04,61.54016876220703
2014-12-05,61.18149948120117
2014-12-08,59.79902648925781
2014-12-09,59.590335845947266
2014-12-10,57.82308578491211
2014-12-11,58.16872787475586
2014-12-12,56.47322082519531
2014-12-15,56.66884994506836
2014-12-16,56.34932327270508
2014-12-17,58.05134963989258
2014-12-18,59.446876525878906
2014-12-19,61.06413650512695
2014-12-22,60.86195373535156
2014-12-23,61.68363952636719
2014-12-24,61.15541458129883
2014-12-26,60.78371047973633
2014-12-29,60.69242477416992
2014-12-30,60.65980911254883
2014-12-31,60.28812789916992
