,DGX
2014-01-02,42.17979049682617
2014-01-03,42.31623840332031
2014-01-06,41.89083480834961
2014-01-07,42.91823196411133
2014-01-08,42.693485260009766
2014-01-09,43.126930236816406
2014-01-10,43.23929977416992
2014-01-13,43.142982482910156
2014-01-14,43.287479400634766
2014-01-15,43.7369499206543
2014-01-16,43.84933090209961
2014-01-17,43.88945388793945
2014-01-21,43.7690544128418
2014-01-22,44.218544006347656
2014-01-23,43.70485305786133
2014-01-24,43.110877990722656
2014-01-27,43.15102005004883
2014-01-28,42.8299560546875
2014-01-29,43.19916915893555
2014-01-30,42.0433464050293
2014-01-31,42.13965606689453
2014-02-03,40.999874114990234
2014-02-04,41.11225509643555
2014-02-05,41.01593780517578
2014-02-06,40.983829498291016
2014-02-07,40.7751350402832
2014-02-10,41.529632568359375
2014-02-11,42.01123809814453
2014-02-12,41.78649139404297
2014-02-13,41.89885711669922
2014-02-14,42.21992111206055
2014-02-18,42.468753814697266
2014-02-19,42.35636901855469
2014-02-20,42.51691818237305
2014-02-21,42.58112335205078
2014-02-24,43.191139221191406
2014-02-25,42.66941452026367
2014-02-26,42.57310104370117
2014-02-27,42.34834671020508
2014-02-28,42.54098129272461
2014-03-03,42.0433464050293
2014-03-04,41.947025299072266
2014-03-05,41.8185920715332
2014-03-06,42.05939865112305
2014-03-07,42.2038688659668
2014-03-10,42.2680778503418
2014-03-11,43.447994232177734
2014-03-12,43.27140808105469
2014-03-13,43.37575912475586
2014-03-14,43.014564514160156
2014-03-17,43.40786361694336
2014-03-18,44.2667121887207
2014-03-19,44.796470642089844
2014-03-20,44.692115783691406
2014-03-21,44.76435470581055
2014-03-24,44.563690185546875
2014-03-25,44.0981559753418
2014-03-26,46.54625701904297
2014-03-27,46.457969665527344
2014-03-28,46.39375686645508
2014-03-31,46.490081787109375
2014-04-01,48.143558502197266
2014-04-02,49.08266830444336
2014-04-03,48.657264709472656
2014-04-04,48.10846710205078
2014-04-07,47.43861770629883
2014-04-08,48.29408264160156
2014-04-09,48.269874572753906
2014-04-10,47.74528503417969
2014-04-11,47.35790252685547
2014-04-14,48.53620147705078
2014-04-15,48.48777770996094
2014-04-16,48.40707015991211
2014-04-17,48.003536224365234
2014-04-21,47.8582763671875
2014-04-22,47.131935119628906
2014-04-23,47.09156799316406
2014-04-24,46.46208190917969
2014-04-25,45.0981559753418
2014-04-28,45.114295959472656
2014-04-29,44.91253662109375
2014-04-30,45.138511657714844
2014-05-01,45.1707878112793
2014-05-02,44.9609489440918
2014-05-05,44.79146194458008
2014-05-06,44.84796142578125
2014-05-07,45.114295959472656
2014-05-08,46.2199592590332
2014-05-09,46.14732360839844
2014-05-12,46.16346740722656
2014-05-13,46.2199592590332
2014-05-14,46.11505126953125
2014-05-15,46.41364669799805
2014-05-16,46.72840881347656
2014-05-19,46.32487487792969
2014-05-20,46.17152404785156
