,NTAP
2014-01-02,30.811153411865234
2014-01-03,30.742544174194336
2014-01-06,30.605337142944336
2014-01-07,31.232755661010742
2014-01-08,31.408720016479492
2014-01-09,31.102680206298828
2014-01-10,30.888425827026367
2014-01-13,30.37580680847168
2014-01-14,30.75071144104004
2014-01-15,33.29095458984375
2014-01-16,33.114959716796875
2014-01-17,34.04079055786133
2014-01-21,34.34684371948242
2014-01-22,34.77531051635742
2014-01-23,35.081363677978516
2014-01-24,33.635276794433594
2014-01-27,33.44398880004883
2014-01-28,33.46693801879883
2014-01-29,32.71711349487305
2014-01-30,33.00786209106445
2014-01-31,32.395751953125
2014-02-03,32.08970260620117
2014-02-04,32.212120056152344
2014-02-05,31.806602478027344
2014-02-06,31.913726806640625
2014-02-07,32.76301193237305
2014-02-10,33.107330322265625
2014-02-11,33.428680419921875
2014-02-12,32.587039947509766
2014-02-13,31.44699478149414
2014-02-14,31.156238555908203
2014-02-18,31.079729080200195
2014-02-19,31.010860443115234
2014-02-20,30.74307632446289
2014-02-21,30.52117156982422
2014-02-24,30.67420196533203
2014-02-25,30.490568161010742
2014-02-26,30.8195858001709
2014-02-27,31.079729080200195
2014-02-28,30.919042587280273
2014-03-03,30.98790168762207
2014-03-04,30.74307632446289
2014-03-05,30.459962844848633
2014-03-06,29.86316680908203
2014-03-07,28.998567581176758
2014-03-10,28.929691314697266
2014-03-11,28.646596908569336
2014-03-12,28.960296630859375
2014-03-13,28.432369232177734
2014-03-14,27.980932235717773
2014-03-17,28.53947639465332
2014-03-18,28.661895751953125
2014-03-19,28.378812789916992
2014-03-20,28.38645362854004
2014-03-21,28.922048568725586
2014-03-24,27.98858642578125
2014-03-25,28.378812789916992
2014-03-26,28.072751998901367
2014-03-27,27.743736267089844
2014-03-28,27.682523727416992
2014-03-31,28.233427047729492
2014-04-01,28.40176010131836
2014-04-02,28.79962921142578
2014-04-03,28.707815170288086
2014-04-04,28.715457916259766
2014-04-07,27.77434539794922
2014-04-08,28.42740821838379
2014-04-09,28.934494018554688
2014-04-10,27.997150421142578
2014-04-11,27.636049270629883
2014-04-14,28.266067504882812
2014-04-15,28.41972541809082
2014-04-16,27.843496322631836
2014-04-17,27.559221267700195
2014-04-21,27.613008499145508
2014-04-22,27.697511672973633
2014-04-23,27.559221267700195
2014-04-24,27.36713981628418
2014-04-25,26.890790939331055
2014-04-28,27.013723373413086
2014-04-29,27.213476181030273
2014-04-30,27.359464645385742
2014-05-01,27.305683135986328
2014-05-02,27.305683135986328
2014-05-05,27.53617286682129
2014-05-06,26.875429153442383
2014-05-07,25.891990661621094
2014-05-08,25.999549865722656
2014-05-09,26.268455505371094
2014-05-12,25.807477951049805
2014-05-13,26.737125396728516
2014-05-14,26.560420989990234
2014-05-15,26.660297393798828
2014-05-16,25.90735626220703
2014-05-19,26.345300674438477
2014-05-20,26.084070205688477
2014-05-21,26.49895668029785
2014-05-22,27.782026290893555
2014-05-23,27.47471046447754
2014-05-27,28.143138885498047
2014-05-28,28.304479598999023
2014-05-29,28.465818405151367
2014-05-30,28.43508529663086
2014-06-02,28.819238662719727
2014-06-03,28.112407684326172
2014-06-04,27.858858108520508
2014-06-05,27.751285552978516
2014-06-06,27.528486251831055
2014-06-09,27.4593448638916
2014-06-10,27.551536560058594
2014-06-11,27.613008499145508
2014-06-12,27.29799461364746
2014-06-13,27.397878646850586
2014-06-16,27.413238525390625
2014-06-17,27.436298370361328
2014-06-18,28.020206451416016
2014-06-19,27.83580207824707
2014-06-20,27.497756958007812
2014-06-23,27.543851852416992
2014-06-24,27.728252410888672
2014-06-25,27.659093856811523
2014-06-26,27.490079879760742
2014-06-27,27.25957679748535
2014-06-30,28.058626174926758
2014-07-01,28.12777328491211
2014-07-02,28.511917114257812
2014-07-03,29.06510353088379
2014-07-07,28.596437454223633
