,PFE
2014-01-02,18.822280883789062
2014-01-03,18.859350204467773
2014-01-06,18.877887725830078
2014-01-07,18.99530792236328
2014-01-08,19.125062942504883
2014-01-09,19.112703323364258
2014-01-10,18.964401245117188
2014-01-13,18.871721267700195
2014-01-14,19.155967712402344
2014-01-15,19.26719093322754
2014-01-16,19.26101303100586
2014-01-17,19.211580276489258
2014-01-21,19.2980899810791
2014-01-22,19.322805404663086
2014-01-23,19.162145614624023
2014-01-24,18.593647003173828
2014-01-27,18.32793617248535
2014-01-28,18.79755973815918
2014-01-29,18.606000900268555
2014-01-30,19.044740676879883
2014-01-31,18.78520393371582
2014-02-03,18.908788681030273
2014-02-04,19.427858352661133
2014-02-05,19.097618103027344
2014-02-06,19.21600914001465
2014-02-07,19.45277976989746
2014-02-10,19.608551025390625
2014-02-11,19.864015579223633
2014-02-12,19.695789337158203
2014-02-13,19.751859664916992
2014-02-14,19.901399612426758
2014-02-18,19.864015579223633
2014-02-19,19.614784240722656
2014-02-20,19.658401489257812
2014-02-21,19.602319717407227
2014-02-24,19.93255615234375
2014-02-25,19.870250701904297
2014-02-26,19.93255615234375
2014-02-27,20.08209800720215
2014-02-28,20.007326126098633
2014-03-03,19.926328659057617
2014-03-04,20.368711471557617
2014-03-05,20.40610122680664
2014-03-06,20.22541046142578
2014-03-07,20.206708908081055
2014-03-10,20.181787490844727
2014-03-11,20.20048713684082
2014-03-12,19.926328659057617
2014-03-13,19.390474319458008
2014-03-14,19.459012985229492
2014-03-17,19.5773983001709
2014-03-18,19.89517593383789
2014-03-19,19.758087158203125
2014-03-20,19.882707595825195
2014-03-21,20.050945281982422
2014-03-24,19.62101936340332
2014-03-25,19.826635360717773
2014-03-26,20.050945281982422
2014-03-27,20.001096725463867
2014-03-28,19.864015579223633
2014-03-31,20.01355743408203
2014-04-01,19.90763282775879
2014-04-02,20.119482040405273
2014-04-03,20.188020706176758
2014-04-04,20.038484573364258
2014-04-07,19.44032096862793
2014-04-08,19.234697341918945
2014-04-09,19.459012985229492
2014-04-10,19.072696685791016
2014-04-11,18.60538101196289
2014-04-14,18.61160659790039
2014-04-15,18.624069213867188
2014-04-16,18.74869155883789
2014-04-17,18.848386764526367
2014-04-21,19.228466033935547
2014-04-22,19.31570053100586
2014-04-23,19.26584815979004
2014-04-24,19.135009765625
2014-04-25,19.159929275512695
2014-04-28,19.963716506958008
2014-04-29,19.789243698120117
2014-04-30,19.490163803100586
2014-05-01,19.40915870666504
2014-05-02,19.159929275512695
2014-05-05,18.667692184448242
2014-05-06,18.33745765686035
2014-05-07,18.2431583404541
2014-05-08,18.33745765686035
2014-05-09,18.249448776245117
2014-05-12,18.31230926513672
2014-05-13,18.356311798095703
2014-05-14,18.2934513092041
2014-05-15,18.268301010131836
2014-05-16,18.306018829345703
2014-05-19,18.406604766845703
2014-05-20,18.387744903564453
2014-05-21,18.58891487121582
2014-05-22,18.64548683166504
2014-05-23,18.538618087768555
2014-05-27,18.61405372619629
2014-05-28,18.61405372619629
2014-05-29,18.607765197753906
2014-05-30,18.626623153686523
2014-06-02,18.676925659179688
2014-06-03,18.601484298706055
2014-06-04,18.632917404174805
2014-06-05,18.708351135253906
2014-06-06,18.494613647460938
2014-06-09,18.450605392456055
2014-06-10,18.54490852355957
2014-06-11,18.500898361206055
2014-06-12,18.513473510742188
2014-06-13,18.563766479492188
2014-06-16,18.61405372619629
2014-06-17,18.532331466674805
2014-06-18,18.676925659179688
2014-06-19,18.601484298706055
2014-06-20,18.720930099487305
2014-06-23,18.513473510742188
2014-06-24,18.419174194335938
2014-06-25,18.733497619628906
2014-06-26,18.601484298706055
2014-06-27,18.651771545410156
2014-06-30,18.65806007385254
2014-07-01,18.909517288208008
2014-07-02,19.09182357788086
2014-07-03,19.192401885986328
2014-07-07,19.167259216308594
2014-07-08,18.953521728515625
2014-07-09,18.890655517578125
2014-07-10,18.859220504760742
2014-07-11,18.903230667114258
2014-07-14,19.01009178161621
2014-07-15,19.11696434020996
2014-07-16,19.46272087097168
2014-07-17,19.20497703552246
2014-07-18,19.318138122558594
2014-07-21,19.07924461364746
2014-07-22,19.167259216308594
2014-07-23,19.104400634765625
2014-07-24,19.072965621948242
2014-07-25,18.978673934936523
2014-07-28,18.922090530395508
2014-07-29,18.68949317932129
2014-07-30,18.556312561035156
2014-07-31,18.201171875
2014-08-01,18.302642822265625
2014-08-04,18.232873916625977
2014-08-05,18.01725196838379
2014-08-06,17.934810638427734
2014-08-07,17.78260040283203
2014-08-08,17.972858428955078
2014-08-11,17.91578483581543
2014-08-12,17.807973861694336
2014-08-13,17.890419006347656
2014-08-14,18.22019386291504
2014-08-15,18.163114547729492
2014-08-18,18.28995704650879
2014-08-19,18.353370666503906
2014-08-20,18.321664810180664
2014-08-21,18.277267456054688
2014-08-22,18.340682983398438
2014-08-25,18.3343505859375
2014-08-26,18.52459716796875
2014-08-27,18.70217514038086
2014-08-28,18.632417678833008
2014-08-29,18.63875961303711
2014-09-02,18.556312561035156
2014-09-03,18.645092010498047
2014-09-04,18.62607192993164
2014-09-05,18.803640365600586
2014-09-08,18.645092010498047
2014-09-09,18.537282943725586
2014-09-10,18.67046546936035
2014-09-11,18.790958404541016
2014-09-12,18.664121627807617
2014-09-15,18.974876403808594
2014-09-16,19.05731964111328
2014-09-17,19.24757194519043
2014-09-18,19.393444061279297
2014-09-19,19.279285430908203
2014-09-22,19.1397647857666
2014-09-23,19.05731964111328
2014-09-24,19.222213745117188
2014-09-25,19.012928009033203
2014-09-26,18.848037719726562
2014-09-29,18.879743576049805
2014-09-30,18.752914428710938
2014-10-01,18.486549377441406
2014-10-02,18.429473876953125
2014-10-03,18.530942916870117
2014-10-06,18.49924087524414
2014-10-07,18.25824737548828
2014-10-08,18.632417678833008
2014-10-09,18.38508415222168
2014-10-10,18.4738712310791
2014-10-13,18.05530548095703
2014-10-14,18.04895782470703
2014-10-15,17.87773323059082
2014-10-16,17.566986083984375
2014-10-17,17.64942169189453
2014-10-20,17.712841033935547
2014-10-21,17.934810638427734
2014-10-22,17.94749641418457
2014-10-23,18.137754440307617
2014-10-24,18.461185455322266
2014-10-27,18.410457611083984
2014-10-28,18.44849967956543
2014-10-29,18.70217514038086
2014-10-30,18.92413902282715
2014-10-31,18.99390411376953
2014-11-03,19.146114349365234
2014-11-04,19.203182220458984
2014-11-05,19.215980529785156
2014-11-06,19.215980529785156
2014-11-07,19.13921356201172
2014-11-10,19.318326950073242
2014-11-11,19.39508819580078
2014-11-12,19.459054946899414
2014-11-13,19.459054946899414
2014-11-14,19.407878875732422
2014-11-17,19.39508819580078
2014-11-18,19.56780242919922
2014-11-19,19.471845626831055
2014-11-20,19.471845626831055
2014-11-21,19.478246688842773
2014-11-24,19.33111572265625
2014-11-25,19.491037368774414
2014-11-26,19.8940372467041
2014-11-28,19.926021575927734
2014-12-01,19.99638557434082
2014-12-02,20.194686889648438
2014-12-03,20.30983543395996
2014-12-04,20.258651733398438
2014-12-05,20.46335220336914
2014-12-08,20.450557708740234
2014-12-09,20.437761306762695
2014-12-10,20.380191802978516
2014-12-11,20.24586296081543
2014-12-12,19.798086166381836
2014-12-15,19.740510940551758
2014-12-16,19.618972778320312
2014-12-17,19.90683364868164
2014-12-18,20.450557708740234
2014-12-19,20.431365966796875
2014-12-22,20.527315139770508
2014-12-23,20.11792755126953
2014-12-24,20.09874153137207
2014-12-26,20.24586296081543
2014-12-29,20.07954216003418
2014-12-30,20.073148727416992
2014-12-31,19.926021575927734
2015-01-02,20.041168212890625
2015-01-05,19.932416915893555
2015-01-06,20.09874153137207
2015-01-07,20.373796463012695
2015-01-08,20.789587020874023
2015-01-09,20.885543823242188
2015-01-12,20.96230125427246
2015-01-13,20.751211166381836
2015-01-14,20.77679443359375
2015-01-15,20.72562026977539
2015-01-16,20.98149299621582
2015-01-20,21.173398971557617
2015-01-21,20.87914276123047
2015-01-22,20.98789405822754
2015-01-23,20.757606506347656
2015-01-26,20.98149299621582
2015-01-27,20.85355567932129
2015-01-28,20.437761306762695
2015-01-29,20.36100196838379
2015-01-30,19.989990234375
2015-02-02,20.24586296081543
2015-02-03,20.4825439453125
2015-02-04,20.69549560546875
2015-02-05,21.289194107055664
2015-02-06,21.405351638793945
2015-02-09,21.3408260345459
2015-02-10,22.03777503967285
2015-02-11,22.102306365966797
2015-02-12,22.50240707397461
2015-02-13,22.353981018066406
2015-02-17,22.31525421142578
2015-02-18,22.250728607177734
2015-02-19,22.205556869506836
2015-02-20,22.30236053466797
2015-02-23,22.192642211914062
2015-02-24,22.160385131835938
2015-02-25,22.366884231567383
2015-02-26,22.32172203063965
2015-02-27,22.14747428894043
2015-03-02,22.437870025634766
2015-03-03,22.30236053466797
2015-03-04,22.353981018066406
2015-03-05,22.244277954101562
2015-03-06,21.921615600585938
2015-03-09,21.96033477783203
2015-03-10,21.79900360107422
2015-03-11,21.702207565307617
2015-03-12,21.94097328186035
2015-03-13,21.94097328186035
2015-03-16,22.22490692138672
2015-03-17,22.050678253173828
2015-03-18,22.186193466186523
2015-03-19,22.03777503967285
2015-03-20,22.102306365966797
2015-03-23,22.618562698364258
2015-03-24,22.276538848876953
2015-03-25,22.134565353393555
2015-03-26,22.04422378540039
2015-03-27,22.282991409301758
2015-03-30,22.586299896240234
2015-03-31,22.450775146484375
2015-04-01,22.1539249420166
2015-04-02,22.186193466186523
2015-04-06,22.250728607177734
2015-04-07,22.28944969177246
2015-04-08,22.353981018066406
2015-04-09,22.605655670166016
2015-04-10,22.870237350463867
2015-04-13,22.644372940063477
2015-04-14,22.605655670166016
2015-04-15,22.721811294555664
2015-04-16,22.708904266357422
2015-04-17,22.61210823059082
2015-04-20,22.59274673461914
2015-04-21,22.51531219482422
2015-04-22,22.541120529174805
2015-04-23,22.8186092376709
2015-04-24,22.760530471801758
2015-04-27,22.32172203063965
2015-04-28,22.250728607177734
2015-04-29,22.12811851501465
2015-04-30,21.895795822143555
2015-05-01,21.992595672607422
2015-05-04,22.14747428894043
2015-05-05,22.018409729003906
2015-05-06,21.771160125732422
2015-05-07,21.849241256713867
2015-05-08,22.135528564453125
2015-05-11,22.096487045288086
2015-05-12,21.979373931884766
2015-05-13,21.81670570373535
2015-05-14,22.083473205566406
2015-05-15,22.116012573242188
2015-05-18,22.10950469970703
2015-05-19,22.259159088134766
2015-05-20,22.31771469116211
2015-05-21,22.356754302978516
2015-05-22,22.304704666137695
2015-05-26,22.194093704223633
2015-05-27,22.31771469116211
2015-05-28,22.40880584716797
2015-05-29,22.610511779785156
2015-06-01,22.486892700195312
2015-06-02,22.44134521484375
2015-06-03,22.38929557800293
2015-06-04,22.27867317199707
2015-06-05,22.18107032775879
2015-06-08,22.10950469970703
2015-06-09,22.1290225982666
2015-06-10,22.324220657348633
2015-06-11,22.421823501586914
2015-06-12,22.259159088134766
2015-06-15,22.14854621887207
2015-06-16,22.14854621887207
2015-06-17,22.10950469970703
2015-06-18,22.36326789855957
2015-06-19,22.23963737487793
2015-06-22,22.324220657348633
2015-06-23,22.447845458984375
2015-06-24,22.272171020507812
2015-06-25,22.135528564453125
2015-06-26,22.070466995239258
2015-06-29,21.855745315551758
2015-06-30,21.81670570373535
2015-07-01,21.920806884765625
2015-07-02,21.712604522705078
2015-07-06,21.63451385498047
2015-07-07,21.94683837890625
2015-07-08,21.76465606689453
2015-07-09,22.031423568725586
2015-07-10,22.356754302978516
2015-07-13,22.65606117248535
2015-07-14,22.825237274169922
2015-07-15,22.76016616821289
2015-07-16,22.83824348449707
2015-07-17,22.818729400634766
2015-07-20,22.92934226989746
2015-07-21,22.864273071289062
2015-07-22,22.69509506225586
2015-07-23,22.630033493041992
2015-07-24,22.291690826416016
2015-07-27,22.3437442779541
2015-07-28,23.000911712646484
2015-07-29,23.267688751220703
2015-07-30,23.2481632232666
2015-07-31,23.46288299560547
2015-08-03,23.521440505981445
2015-08-04,23.49541664123535
2015-08-05,23.488861083984375
2015-08-06,23.0626220703125
2015-08-07,23.075735092163086
2015-08-10,23.18721580505371
2015-08-11,23.02983856201172
2015-08-12,23.193769454956055
2015-08-13,23.18721580505371
2015-08-14,23.160985946655273
2015-08-17,23.27901840209961
2015-08-18,23.292131423950195
2015-08-19,23.12819480895996
2015-08-20,22.65605926513672
2015-08-21,21.993755340576172
2015-08-24,21.06915283203125
2015-08-25,20.55111312866211
2015-08-26,21.2658748626709
2015-08-27,21.810148239135742
2015-08-28,21.41670036315918
2015-08-31,21.12816619873047
2015-09-01,20.56422996520996
2015-09-02,20.964229583740234
2015-09-03,20.911767959594727
2015-09-04,20.570781707763672
2015-09-08,21.331453323364258
2015-09-09,20.957672119140625
2015-09-10,21.390472412109375
2015-09-11,21.619976043701172
2015-09-14,21.449485778808594
2015-09-15,21.751127243041992
2015-09-16,21.757680892944336
2015-09-17,21.95440673828125
2015-09-18,21.541292190551758
2015-09-21,21.259321212768555
2015-09-22,21.154401779174805
2015-09-23,21.390472412109375
2015-09-24,21.44292640686035
2015-09-25,20.911767959594727
2015-09-28,20.210126876831055
2015-09-29,20.341270446777344
2015-09-30,20.59701156616211
2015-10-01,20.878986358642578
2015-10-02,21.692108154296875
2015-10-05,21.95440673828125
2015-10-06,21.501943588256836
2015-10-07,21.829814910888672
2015-10-08,21.698671340942383
2015-10-09,21.79703140258789
2015-10-12,21.783916473388672
2015-10-13,21.626535415649414
2015-10-14,21.66588020324707
2015-10-15,22.34785270690918
2015-10-16,22.56425666809082
2015-10-19,22.623271942138672
2015-10-20,22.29539680480957
