,LDOS
2014-01-02,26.966337203979492
2014-01-03,27.368642807006836
2014-01-06,27.053796768188477
2014-01-07,27.700990676879883
2014-01-08,27.74762725830078
2014-01-09,27.870071411132812
2014-01-10,27.852584838867188
2014-01-13,27.30080795288086
2014-01-14,27.482770919799805
2014-01-15,27.846704483032227
2014-01-16,27.435823440551758
2014-01-17,27.289072036743164
2014-01-21,27.224498748779297
2014-01-22,27.00145721435547
2014-01-23,26.960357666015625
2014-01-24,26.696218490600586
2014-01-27,26.520118713378906
2014-01-28,26.790138244628906
2014-01-29,26.408584594726562
2014-01-30,26.572940826416016
2014-01-31,26.614030838012695
2014-02-03,25.827468872070312
2014-02-04,26.04465675354004
2014-02-05,26.085750579833984
2014-02-06,26.267715454101562
2014-02-07,26.273582458496094
2014-02-10,26.349884033203125
2014-02-11,26.432064056396484
2014-02-12,26.23248863220215
2014-02-13,26.590559005737305
2014-02-14,26.625774383544922
2014-02-18,27.042537689208984
2014-02-19,26.725563049316406
2014-02-20,26.842958450317383
2014-02-21,26.713817596435547
2014-02-24,26.443803787231445
2014-02-25,26.379240036010742
2014-02-26,26.437936782836914
2014-02-27,26.20901870727539
2014-02-28,26.21488380432129
2014-03-03,26.220752716064453
2014-03-04,26.572940826416016
2014-03-05,26.297061920166016
2014-03-06,26.07986831665039
2014-03-07,26.056392669677734
2014-03-10,25.89791488647461
2014-03-11,25.35788345336914
2014-03-12,25.12308692932129
2014-03-13,24.888296127319336
2014-03-14,24.788503646850586
2014-03-17,24.941123962402344
2014-03-18,25.175914764404297
2014-03-19,25.023300170898438
2014-03-20,24.712186813354492
2014-03-21,24.835464477539062
2014-03-24,24.858932495117188
2014-03-25,25.22875213623047
2014-03-26,25.322662353515625
2014-03-27,20.66197395324707
2014-03-28,20.333263397216797
2014-03-31,20.761764526367188
2014-04-01,21.74791145324707
2014-04-02,21.548328399658203
2014-04-03,21.630491256713867
2014-04-04,21.70094871520996
2014-04-07,21.689199447631836
2014-04-08,21.84182357788086
2014-04-09,21.75377082824707
2014-04-10,21.771387100219727
2014-04-11,21.806917190551758
2014-04-14,21.85427474975586
2014-04-15,22.097036361694336
2014-04-16,22.12663459777832
2014-04-17,22.120716094970703
2014-04-21,22.05558204650879
2014-04-22,22.2628231048584
2014-04-23,22.24506378173828
2014-04-24,21.978620529174805
2014-04-25,21.818737030029297
