,PGR
2014-01-02,19.547983169555664
2014-01-03,19.269981384277344
2014-01-06,19.145614624023438
2014-01-07,19.043193817138672
2014-01-08,18.816404342651367
2014-01-09,18.948081970214844
2014-01-10,18.97734832763672
2014-01-13,18.801767349243164
2014-01-14,19.065139770507812
2014-01-15,19.013919830322266
2014-01-16,18.911500930786133
2014-01-17,18.823715209960938
2014-01-21,18.970027923583984
2014-01-22,18.5896053314209
2014-01-23,18.42866325378418
2014-01-24,18.14334487915039
2014-01-27,18.044477462768555
2014-01-28,18.26244354248047
2014-01-29,18.25465965270996
2014-01-30,18.34028434753418
2014-01-31,18.0911808013916
2014-02-03,17.585193634033203
2014-02-04,17.608545303344727
2014-02-05,17.592975616455078
2014-02-06,17.82651138305664
2014-02-07,18.005550384521484
2014-02-10,18.044477462768555
2014-02-11,18.285799026489258
2014-02-12,18.34028434753418
2014-02-13,18.566043853759766
2014-02-14,18.6672306060791
2014-02-18,18.581605911254883
2014-02-19,18.48819351196289
2014-02-20,18.659454345703125
2014-02-21,18.620534896850586
2014-02-24,18.495983123779297
2014-02-25,18.44927406311035
2014-02-26,18.604961395263672
2014-02-27,18.822925567626953
2014-02-28,19.06424903869629
2014-03-03,18.77622413635254
2014-03-04,18.854063034057617
2014-03-05,18.916339874267578
2014-03-06,19.033109664916992
2014-03-07,19.033109664916992
2014-03-10,19.072031021118164
2014-03-11,19.08759880065918
2014-03-12,18.355854034423828
2014-03-13,18.215734481811523
2014-03-14,18.44927406311035
2014-03-17,18.472625732421875
2014-03-18,18.41034698486328
2014-03-19,18.246871948242188
2014-03-20,18.542686462402344
2014-03-21,18.854063034057617
2014-03-24,18.7684326171875
2014-03-25,18.807357788085938
2014-03-26,18.604961395263672
2014-03-27,18.50376319885254
2014-03-28,18.6672306060791
2014-03-31,18.854063034057617
2014-04-01,18.752870559692383
2014-04-02,18.7684326171875
2014-04-03,19.072031021118164
2014-04-04,18.892990112304688
2014-04-07,18.7684326171875
2014-04-08,18.807357788085938
2014-04-09,18.729511260986328
2014-04-10,18.53490447998047
2014-04-11,18.41813087463379
2014-04-14,18.620534896850586
2014-04-15,18.55047607421875
