,DTE
2014-01-02,38.37594985961914
2014-01-03,38.29948806762695
2014-01-06,38.33476257324219
2014-01-07,38.669960021972656
2014-01-08,38.28185272216797
2014-01-09,38.62290573120117
2014-01-10,39.205074310302734
2014-01-13,38.840484619140625
2014-01-14,38.91106414794922
2014-01-15,38.61703872680664
2014-01-16,38.75816345214844
2014-01-17,38.72288131713867
2014-01-21,39.1697998046875
2014-01-22,39.322689056396484
2014-01-23,39.081600189208984
2014-01-24,38.499427795410156
2014-01-27,38.78756332397461
2014-01-28,39.02865982055664
2014-01-29,39.00516128540039
2014-01-30,39.563804626464844
2014-01-31,40.116546630859375
2014-02-03,39.969539642333984
2014-02-04,39.66964340209961
2014-02-05,39.42853546142578
2014-02-06,39.74020767211914
2014-02-07,39.922508239746094
2014-02-10,40.12242126464844
2014-02-11,40.63404083251953
2014-02-12,40.51642608642578
2014-02-13,40.91041946411133
2014-02-14,42.18061065673828
2014-02-18,42.40994644165039
2014-02-19,42.027713775634766
2014-02-20,42.5334358215332
2014-02-21,42.50989532470703
2014-02-24,42.25703811645508
2014-02-25,42.23939895629883
2014-02-26,42.05122756958008
2014-02-27,41.89244842529297
2014-02-28,42.1982421875
2014-03-03,41.692508697509766
2014-03-04,42.027713775634766
2014-03-05,41.692508697509766
2014-03-06,41.36909484863281
2014-03-07,41.357330322265625
2014-03-10,41.380859375
2014-03-11,41.127994537353516
2014-03-12,41.851287841796875
2014-03-13,42.370609283447266
2014-03-14,42.524932861328125
2014-03-17,42.72077941894531
2014-03-18,42.61394500732422
2014-03-19,41.93141174316406
2014-03-20,42.00263214111328
2014-03-21,42.44776153564453
2014-03-24,42.697044372558594
2014-03-25,42.84542465209961
2014-03-26,42.898834228515625
2014-03-27,43.2786865234375
2014-03-28,43.438934326171875
2014-03-31,44.091793060302734
2014-04-01,44.24015808105469
2014-04-02,44.16300964355469
2014-04-03,44.305450439453125
2014-04-04,44.3588752746582
2014-04-07,44.09772491455078
2014-04-08,44.614078521728516
2014-04-09,44.667484283447266
2014-04-10,44.614078521728516
2014-04-11,44.430084228515625
2014-04-14,44.82180404663086
2014-04-15,45.605255126953125
2014-04-16,45.80702590942383
2014-04-17,45.47466278076172
2014-04-21,45.213531494140625
2014-04-22,45.4034423828125
2014-04-23,45.634910583496094
2014-04-24,45.78921890258789
2014-04-25,46.51924514770508
2014-04-28,46.299644470214844
2014-04-29,46.09785842895508
2014-04-30,46.37679672241211
2014-05-01,46.406471252441406
2014-05-02,45.7002067565918
2014-05-05,46.252174377441406
2014-05-06,46.1690673828125
2014-05-07,47.077144622802734
2014-05-08,46.27590560913086
2014-05-09,45.4806022644043
2014-05-12,45.094825744628906
2014-05-13,45.18978500366211
2014-05-14,45.19570541381836
2014-05-15,45.017662048339844
2014-05-16,45.36782455444336
2014-05-19,44.33512878417969
2014-05-20,44.19268798828125
2014-05-21,44.13334274291992
