,AWK
2014-01-02,33.594120025634766
2014-01-03,33.49717330932617
2014-01-06,33.36790084838867
2014-01-07,33.69916534423828
2014-01-08,33.69108963012695
2014-01-09,33.61028289794922
2014-01-10,33.92538070678711
2014-01-13,33.60219192504883
2014-01-14,33.537567138671875
2014-01-15,33.351741790771484
2014-01-16,33.537567138671875
2014-01-17,33.553733825683594
2014-01-21,33.82034683227539
2014-01-22,34.0223274230957
2014-01-23,34.0627326965332
2014-01-24,33.79611587524414
2014-01-27,33.65068817138672
2014-01-28,33.7638053894043
2014-01-29,33.90115737915039
2014-01-30,34.56810760498047
2014-01-31,34.625038146972656
2014-02-03,34.41355514526367
2014-02-04,33.966209411621094
2014-02-05,33.478187561035156
2014-02-06,33.917423248291016
2014-02-07,34.389156341552734
2014-02-10,34.437965393066406
2014-02-11,34.73891830444336
2014-02-12,34.89345932006836
2014-02-13,35.43840789794922
2014-02-14,35.46281051635742
2014-02-18,35.51974105834961
2014-02-19,35.48720932006836
2014-02-20,35.836952209472656
2014-02-21,36.00775909423828
2014-02-24,35.68241882324219
2014-02-25,35.74748992919922
2014-02-26,35.68241882324219
2014-02-27,35.80442428588867
2014-02-28,36.47139358520508
2014-03-03,35.91016387939453
2014-03-04,36.17043685913086
2014-03-05,36.07283401489258
2014-03-06,36.08097839355469
2014-03-07,36.07283401489258
2014-03-10,36.13789749145508
2014-03-11,35.66615676879883
2014-03-12,36.00775909423828
2014-03-13,36.5933837890625
2014-03-14,37.05702209472656
2014-03-17,36.70725631713867
2014-03-18,37.00008010864258
2014-03-19,36.5283203125
2014-03-20,36.324981689453125
2014-03-21,36.650325775146484
2014-03-24,36.73979568481445
2014-03-25,36.64219284057617
2014-03-26,36.14604187011719
2014-03-27,36.56898498535156
2014-03-28,36.70725631713867
2014-03-31,36.926876068115234
2014-04-01,36.731666564941406
2014-04-02,37.02448272705078
2014-04-03,37.03260803222656
2014-04-04,37.24407958984375
2014-04-07,36.98381042480469
2014-04-08,36.9919548034668
2014-04-09,37.146480560302734
2014-04-10,37.03260803222656
2014-04-11,37.00820541381836
2014-04-14,37.211544036865234
2014-04-15,37.138343811035156
2014-04-16,37.39048385620117
2014-04-17,37.146480560302734
2014-04-21,37.24407958984375
2014-04-22,37.423038482666016
2014-04-23,37.30101013183594
2014-04-24,37.41488265991211
2014-04-25,37.51249313354492
2014-04-28,37.780914306640625
2014-04-29,37.32541275024414
2014-04-30,37.03260803222656
2014-05-01,37.59382629394531
2014-05-02,37.55316162109375
2014-05-05,37.87037658691406
2014-05-06,37.56128692626953
2014-05-07,38.16318893432617
2014-05-08,38.26144027709961
2014-05-09,37.87661361694336
2014-05-12,37.917545318603516
2014-05-13,38.53163146972656
2014-05-14,38.53163146972656
2014-05-15,38.79364013671875
2014-05-16,38.69539260864258
2014-05-19,38.35969543457031
2014-05-20,38.33512878417969
2014-05-21,38.33512878417969
2014-05-22,38.71995162963867
2014-05-23,38.981971740722656
2014-05-27,38.82640075683594
2014-05-28,38.973777770996094
2014-05-29,39.006534576416016
2014-05-30,39.800743103027344
2014-06-02,39.481407165527344
2014-06-03,39.34222412109375
2014-06-04,39.25216293334961
2014-06-05,39.3995361328125
2014-06-06,39.26035690307617
2014-06-09,39.39134979248047
2014-06-10,39.15390396118164
2014-06-11,39.03109359741211
2014-06-12,39.17848205566406
2014-06-13,39.25216293334961
2014-06-16,39.3831672668457
2014-06-17,39.4896125793457
2014-06-18,39.82529830932617
2014-06-19,39.66154861450195
2014-06-20,39.432289123535156
2014-06-23,39.66154861450195
2014-06-24,39.7106819152832
2014-06-25,39.90718078613281
2014-06-26,39.9481315612793
2014-06-27,40.14463424682617
2014-06-30,40.48851013183594
2014-07-01,40.2592658996582
2014-07-02,39.7106819152832
2014-07-03,39.35042190551758
2014-07-07,39.3831672668457
2014-07-08,39.800743103027344
2014-07-09,39.68611526489258
2014-07-10,39.79254913330078
2014-07-11,39.66154861450195
2014-07-14,39.481407165527344
2014-07-15,39.62879943847656
2014-07-16,39.68611526489258
2014-07-17,39.374977111816406
2014-07-18,40.09550094604492
2014-07-21,39.882625579833984
2014-07-22,40.12825012207031
2014-07-23,39.90718078613281
2014-07-24,39.93993377685547
2014-07-25,39.79254913330078
2014-07-28,40.16100311279297
2014-07-29,39.81711959838867
2014-07-30,39.57149124145508
2014-07-31,39.11296844482422
2014-08-01,39.334049224853516
2014-08-04,38.777278900146484
2014-08-05,38.155006408691406
2014-08-06,37.99943923950195
2014-08-07,38.370361328125
2014-08-08,39.5325927734375
2014-08-11,39.33477783203125
2014-08-12,39.656246185302734
2014-08-13,39.862308502197266
2014-08-14,40.61240005493164
2014-08-15,41.13994216918945
2014-08-18,40.9586067199707
2014-08-19,41.09873962402344
2014-08-20,41.197654724121094
2014-08-21,41.280086517333984
2014-08-22,40.93387222290039
2014-08-25,40.999820709228516
2014-08-26,40.90916061401367
2014-08-27,41.527366638183594
2014-08-28,41.37900161743164
2014-08-29,41.71694564819336
2014-09-02,41.32954406738281
2014-09-03,41.453189849853516
2014-09-04,41.527366638183594
2014-09-05,41.63452911376953
2014-09-08,41.29656982421875
2014-09-09,40.87617111206055
2014-09-10,40.71955871582031
2014-09-11,40.92562484741211
2014-09-12,40.50525665283203
2014-09-15,40.53822708129883
2014-09-16,40.89267349243164
2014-09-17,40.65362548828125
2014-09-18,40.24149703979492
2014-09-19,40.595924377441406
