,MSCI
2014-01-02,38.640953063964844
2014-01-03,38.658851623535156
2014-01-06,38.59617233276367
2014-01-07,38.990203857421875
2014-01-08,38.927520751953125
2014-01-09,39.06184005737305
2014-01-10,39.20511245727539
2014-01-13,38.61409378051758
2014-01-14,39.09766387939453
2014-01-15,38.89170455932617
2014-01-16,39.402130126953125
2014-01-17,39.599151611328125
2014-01-21,39.948387145996094
2014-01-22,40.25286865234375
2014-01-23,40.20808792114258
2014-01-24,38.479766845703125
2014-01-27,37.80815505981445
2014-01-28,37.91559982299805
2014-01-29,37.16337203979492
2014-01-30,38.130523681640625
2014-01-31,38.25589370727539
2014-02-03,36.724586486816406
2014-02-04,37.36039733886719
2014-02-05,37.17232894897461
2014-02-06,36.4827880859375
2014-02-07,36.07085418701172
2014-02-10,36.42905807495117
2014-02-11,37.12754821777344
2014-02-12,37.84395980834961
2014-02-13,38.01411819458008
2014-02-14,38.2738037109375
2014-02-18,39.28571319580078
2014-02-19,38.945430755615234
2014-02-20,40.279727935791016
2014-02-21,39.876747131347656
2014-02-24,39.59019470214844
2014-02-25,39.26780319213867
2014-02-26,39.249900817871094
2014-02-27,39.15139389038086
2014-02-28,39.1424446105957
2014-03-03,39.563316345214844
2014-03-04,40.83493423461914
2014-03-05,40.423011779785156
2014-03-06,40.96031188964844
2014-03-07,40.969261169433594
2014-03-10,40.96031188964844
2014-03-11,41.1841926574707
2014-03-12,41.43492889404297
2014-03-13,40.5394172668457
2014-03-14,40.485687255859375
2014-03-17,40.852840423583984
2014-03-18,40.86180877685547
2014-03-19,40.53047180175781
2014-03-20,40.72747802734375
2014-03-21,40.584205627441406
2014-03-24,39.79615783691406
2014-03-25,38.25589370727539
2014-03-26,37.40516662597656
2014-03-27,37.49470520019531
2014-03-28,37.709625244140625
2014-03-31,38.5245361328125
2014-04-01,39.231990814208984
2014-04-02,39.2230224609375
2014-04-03,39.18722152709961
2014-04-04,38.569313049316406
2014-04-07,37.861873626708984
2014-04-08,38.18423843383789
2014-04-09,38.59617233276367
2014-04-10,37.673805236816406
2014-04-11,37.36039733886719
2014-04-14,37.20814514160156
2014-04-15,36.96635818481445
2014-04-16,37.71858215332031
2014-04-17,37.763370513916016
2014-04-21,37.960384368896484
2014-04-22,38.112613677978516
2014-04-23,37.861873626708984
2014-04-24,37.861873626708984
2014-04-25,37.33351135253906
2014-04-28,37.423072814941406
2014-04-29,37.351436614990234
2014-04-30,36.30370330810547
2014-05-01,36.706661224365234
2014-05-02,36.93054962158203
2014-05-05,36.88577651977539
2014-05-06,36.948448181152344
2014-05-07,37.73649597167969
2014-05-08,37.091732025146484
2014-05-09,37.1992073059082
2014-05-12,38.811092376708984
2014-05-13,38.237979888916016
2014-05-14,37.763370513916016
2014-05-15,37.727542877197266
2014-05-16,37.861873626708984
2014-05-19,38.112613677978516
2014-05-20,37.055912017822266
2014-05-21,37.664859771728516
2014-05-22,38.112613677978516
2014-05-23,38.461849212646484
2014-05-27,38.8737907409668
2014-05-28,38.793190002441406
2014-05-29,38.93647766113281
2014-05-30,38.64990234375
2014-06-02,38.811092376708984
2014-06-03,38.82005310058594
2014-06-04,38.90959930419922
2014-06-05,39.312583923339844
2014-06-06,39.769287109375
2014-06-09,40.13642883300781
2014-06-10,40.028987884521484
2014-06-11,40.20808792114258
2014-06-12,40.082706451416016
2014-06-13,40.15434646606445
2014-06-16,40.0916633605957
2014-06-17,40.718528747558594
2014-06-18,40.39613342285156
2014-06-19,40.22599792480469
2014-06-20,39.9215202331543
2014-06-23,40.172271728515625
2014-06-24,39.79615783691406
2014-06-25,39.930484771728516
2014-06-26,39.81406021118164
2014-06-27,40.47673797607422
2014-06-30,41.05881118774414
2014-07-01,41.68567657470703
2014-07-02,41.6588020324707
2014-07-03,42.39311218261719
2014-07-07,42.16029739379883
2014-07-08,41.61402130126953
2014-07-09,41.47969436645508
2014-07-10,41.13045120239258
2014-07-11,41.27372741699219
2014-07-14,41.52446365356445
2014-07-15,41.542388916015625
2014-07-16,41.76625442504883
2014-07-17,41.43492889404297
2014-07-18,42.02595520019531
2014-07-21,41.811031341552734
2014-07-22,42.034915924072266
2014-07-23,41.92745590209961
2014-07-24,42.1871452331543
2014-07-25,41.90955352783203
2014-07-28,41.84684753417969
2014-07-29,41.55133819580078
2014-07-30,41.694618225097656
2014-07-31,40.521514892578125
2014-08-01,39.724510192871094
2014-08-04,39.894649505615234
2014-08-05,39.3931770324707
2014-08-06,39.53645324707031
2014-08-07,39.312583923339844
2014-08-08,39.402130126953125
2014-08-11,39.91257095336914
2014-08-12,39.93942642211914
2014-08-13,40.22599792480469
2014-08-14,40.40510177612305
2014-08-15,40.44987869262695
2014-08-18,40.90657424926758
2014-08-19,40.86180877685547
2014-08-20,41.0677604675293
2014-08-21,41.35432815551758
2014-08-22,41.38119125366211
2014-08-25,41.44389343261719
2014-08-26,41.85580825805664
2014-08-27,41.31850814819336
2014-08-28,41.07672882080078
2014-08-29,41.31850814819336
2014-09-02,41.71253967285156
2014-09-03,41.57822036743164
2014-09-04,41.57822036743164
2014-09-05,41.50655746459961
2014-09-08,41.45282745361328
2014-09-09,41.372249603271484
2014-09-10,41.77521514892578
2014-09-11,41.90058898925781
2014-09-12,41.819984436035156
2014-09-15,41.55133819580078
2014-09-16,41.67670822143555
2014-09-17,41.45282745361328
2014-09-18,43.86174774169922
2014-09-19,43.333396911621094
2014-09-22,42.65280532836914
2014-09-23,42.079681396484375
2014-09-24,42.3841667175293
2014-09-25,41.8826789855957
2014-09-26,42.0617790222168
2014-09-29,42.079681396484375
2014-09-30,42.10655975341797
2014-10-01,41.694618225097656
2014-10-02,42.62594985961914
2014-10-03,42.554317474365234
2014-10-06,42.079681396484375
2014-10-07,40.870765686035156
2014-10-08,40.87971115112305
2014-10-09,39.93942642211914
2014-10-10,39.13920593261719
2014-10-13,38.44688034057617
2014-10-14,38.26705551147461
2014-10-15,37.943363189697266
2014-10-16,37.98832702636719
2014-10-17,39.03131866455078
2014-10-20,39.256099700927734
2014-10-21,40.27212142944336
2014-10-22,40.53285598754883
2014-10-23,41.02739334106445
2014-10-24,41.36007308959961
2014-10-27,41.764671325683594
2014-10-28,42.052398681640625
2014-10-29,42.15130615234375
2014-10-30,41.92652130126953
2014-10-31,41.95349884033203
2014-11-03,41.80963134765625
2014-11-04,42.1602897644043
2014-11-05,42.3760871887207
2014-11-06,42.744728088378906
2014-11-07,42.67280960083008
2014-11-10,43.23027038574219
2014-11-11,43.347145080566406
2014-11-12,43.185302734375
2014-11-13,42.924556732177734
2014-11-14,43.06841278076172
2014-11-17,42.448001861572266
2014-11-18,42.26818084716797
2014-11-19,43.51799392700195
2014-11-20,43.16730880737305
2014-11-21,43.60789108276367
2014-11-24,43.98552703857422
2014-11-25,43.60789108276367
2014-11-26,43.643863677978516
2014-11-28,43.48201370239258
2014-12-01,42.86161422729492
2014-12-02,43.077392578125
2014-12-03,43.10437774658203
2014-12-04,43.086402893066406
2014-12-05,42.888580322265625
2014-12-08,43.23027038574219
