,PSX
2014-01-02,51.752838134765625
2014-01-03,51.64452362060547
2014-01-06,52.13191223144531
2014-01-07,52.138694763183594
2014-01-08,52.03715515136719
2014-01-09,52.89009475708008
2014-01-10,52.802085876464844
2014-01-13,51.319576263427734
2014-01-14,51.779903411865234
2014-01-15,51.13680648803711
2014-01-16,51.03525924682617
2014-01-17,51.46174240112305
2014-01-21,52.05744934082031
2014-01-22,52.19285202026367
2014-01-23,52.260528564453125
2014-01-24,50.392147064208984
2014-01-27,50.703556060791016
2014-01-28,50.82542037963867
2014-01-29,50.21613693237305
2014-01-30,49.79644012451172
2014-01-31,49.47827911376953
2014-02-03,48.3071403503418
2014-02-04,48.15822219848633
2014-02-05,47.84005355834961
2014-02-06,49.62043380737305
2014-02-07,50.283851623535156
2014-02-10,48.92317199707031
2014-02-11,50.15522766113281
2014-02-12,49.8505973815918
2014-02-13,50.803375244140625
2014-02-14,51.67448425292969
2014-02-18,51.30018615722656
2014-02-19,51.22531509399414
2014-02-20,51.238929748535156
2014-02-21,51.00754165649414
2014-02-24,51.89225769042969
2014-02-25,52.76337814331055
2014-02-26,52.23934555053711
2014-02-27,50.8646240234375
2014-02-28,50.946292877197266
2014-03-03,50.946292877197266
2014-03-04,51.77657699584961
2014-03-05,52.273380279541016
2014-03-06,53.17851257324219
2014-03-07,53.13767623901367
2014-03-10,53.532405853271484
2014-03-11,53.818233489990234
2014-03-12,54.44434356689453
2014-03-13,53.17851257324219
2014-03-14,53.552825927734375
2014-03-17,54.00199890136719
2014-03-18,54.68252944946289
2014-03-19,53.37587356567383
2014-03-20,53.42351150512695
2014-03-21,53.04920196533203
2014-03-24,52.68851089477539
2014-03-25,53.219329833984375
2014-03-26,52.54558563232422
2014-03-27,52.307395935058594
2014-03-28,52.164459228515625
2014-03-31,52.44350814819336
2014-04-01,54.15851593017578
2014-04-02,53.927120208740234
2014-04-03,54.85267639160156
2014-04-04,54.15171813964844
2014-04-07,53.04920196533203
2014-04-08,52.78378677368164
2014-04-09,53.307823181152344
2014-04-10,52.19171905517578
2014-04-11,52.2325439453125
2014-04-14,53.090049743652344
2014-04-15,53.546016693115234
2014-04-16,55.199764251708984
2014-04-17,54.63489532470703
2014-04-21,55.68296432495117
2014-04-22,55.79185104370117
2014-04-23,56.00962448120117
2014-04-24,56.193363189697266
2014-04-25,56.20695114135742
2014-04-28,57.200592041015625
2014-04-29,56.99641036987305
2014-04-30,56.635719299316406
2014-05-01,57.200592041015625
2014-05-02,56.84669876098633
2014-05-05,57.11892318725586
2014-05-06,57.3435173034668
2014-05-07,57.86750793457031
2014-05-08,56.431583404541016
2014-05-09,55.74419403076172
2014-05-12,56.85348892211914
2014-05-13,57.3435173034668
2014-05-14,56.867122650146484
2014-05-15,56.14822006225586
2014-05-16,56.045528411865234
2014-05-19,56.64118194580078
2014-05-20,56.120849609375
2014-05-21,55.86066818237305
2014-05-22,56.401546478271484
2014-05-23,56.161922454833984
2014-05-27,56.26461410522461
2014-05-28,56.819190979003906
2014-05-29,57.729793548583984
2014-05-30,58.05155563354492
2014-06-02,58.35963821411133
2014-06-03,57.88039779663086
2014-06-04,57.30526351928711
2014-06-05,57.18206024169922
2014-06-06,57.757137298583984
2014-06-09,57.325828552246094
2014-06-10,56.709632873535156
2014-06-11,56.7507209777832
2014-06-12,56.68909454345703
2014-06-13,57.16150665283203
2014-06-16,57.12727355957031
2014-06-17,57.558589935302734
2014-06-18,57.85301208496094
2014-06-19,58.37334060668945
2014-06-20,58.838897705078125
2014-06-23,59.10591506958008
2014-06-24,58.15426254272461
2014-06-25,55.703208923339844
2014-06-26,56.20983123779297
2014-06-27,55.792205810546875
2014-06-30,55.06648635864258
2014-07-01,55.18287658691406
2014-07-02,55.45671844482422
2014-07-03,55.79905319213867
2014-07-07,55.114410400390625
2014-07-08,54.27914047241211
2014-07-09,54.64200210571289
2014-07-10,54.58723068237305
2014-07-11,54.970619201660156
2014-07-14,54.73785400390625
2014-07-15,55.53889465332031
2014-07-16,55.3471794128418
2014-07-17,54.4571418762207
2014-07-18,55.360877990722656
2014-07-21,54.88164138793945
2014-07-22,55.114410400390625
2014-07-23,55.6415901184082
2014-07-24,56.20983123779297
2014-07-25,56.58639907836914
2014-07-28,56.559024810791016
2014-07-29,56.463172912597656
2014-07-30,55.94968795776367
2014-07-31,55.53205108642578
2014-08-01,55.141780853271484
2014-08-04,56.05921936035156
2014-08-05,55.46356964111328
2014-08-06,56.333091735839844
2014-08-07,55.81275939941406
2014-08-08,56.86025619506836
2014-08-11,56.408390045166016
2014-08-12,56.52478790283203
2014-08-13,57.02074432373047
2014-08-14,57.64756393432617
2014-08-15,57.71645736694336
2014-08-18,58.970123291015625
2014-08-19,59.300743103027344
2014-08-20,59.652034759521484
2014-08-21,59.40406036376953
2014-08-22,59.300743103027344
2014-08-25,59.85869598388672
2014-08-26,59.700252532958984
2014-08-27,59.541839599609375
2014-08-28,59.65892791748047
2014-08-29,59.941341400146484
2014-09-02,59.893131256103516
2014-09-03,60.09288787841797
2014-09-04,59.844932556152344
2014-09-05,60.27885818481445
2014-09-08,59.96887969970703
2014-09-09,59.562477111816406
2014-09-10,58.6463508605957
2014-09-11,57.86798858642578
2014-09-12,57.18605041503906
2014-09-15,57.79221725463867
2014-09-16,59.08721160888672
2014-09-17,59.025211334228516
2014-09-18,59.162960052490234
2014-09-19,59.06653594970703
2014-09-22,57.750885009765625
2014-09-23,57.35136413574219
2014-09-24,56.958744049072266
2014-09-25,56.30436325073242
2014-09-26,56.64188003540039
2014-09-29,56.32503128051758
2014-09-30,56.0081672668457
2014-10-01,54.850948333740234
2014-10-02,53.56285858154297
2014-10-03,53.48019027709961
2014-10-06,53.28042984008789
2014-10-07,53.28042984008789
2014-10-08,54.527198791503906
2014-10-09,52.770687103271484
2014-10-10,52.570945739746094
2014-10-13,50.31850051879883
2014-10-14,48.62399673461914
2014-10-15,46.76416015625
2014-10-16,48.017826080322266
2014-10-17,49.7398681640625
2014-10-20,49.83631896972656
2014-10-21,52.90848159790039
2014-10-22,51.93034362792969
2014-10-23,52.43317794799805
2014-10-24,52.688026428222656
2014-10-27,51.99232482910156
2014-10-28,53.4044303894043
2014-10-29,52.6191520690918
2014-10-30,53.314876556396484
2014-10-31,54.07257843017578
2014-11-03,52.81890869140625
2014-11-04,51.31039810180664
2014-11-05,51.48260498046875
2014-11-06,51.95100021362305
2014-11-07,51.455047607421875
2014-11-10,51.31729507446289
2014-11-11,50.72489547729492
2014-11-12,50.65553665161133
2014-11-13,49.12286376953125
2014-11-14,49.78169250488281
2014-11-17,50.475242614746094
2014-11-18,51.29360580444336
2014-11-19,52.548885345458984
2014-11-20,53.977569580078125
2014-11-21,55.08027648925781
2014-11-24,55.08027648925781
2014-11-25,55.16350173950195
2014-11-26,54.983158111572266
2014-11-28,50.64167022705078
2014-12-01,49.83717346191406
2014-12-02,51.15488815307617
2014-12-03,51.89696502685547
2014-12-04,51.99406051635742
2014-12-05,50.64167022705078
2014-12-08,47.805137634277344
2014-12-09,47.721900939941406
2014-12-10,46.54291534423828
2014-12-11,46.34177017211914
2014-12-12,45.551151275634766
2014-12-15,45.14196014404297
2014-12-16,46.494361877441406
2014-12-17,47.40981674194336
2014-12-18,47.8745002746582
2014-12-19,49.80250930786133
2014-12-22,49.40026092529297
2014-12-23,50.32265090942383
2014-12-24,50.00361633300781
2014-12-26,50.38507080078125
2014-12-29,50.50296401977539
2014-12-30,50.57234191894531
2014-12-31,49.7262077331543
2015-01-02,50.13540267944336
2015-01-05,47.10466384887695
2015-01-06,45.78695297241211
2015-01-07,45.98807907104492
2015-01-08,47.777381896972656
2015-01-09,46.68161392211914
2015-01-12,44.55247116088867
2015-01-13,42.65219497680664
2015-01-14,41.209651947021484
2015-01-15,40.98078918457031
2015-01-16,42.18753433227539
2015-01-20,44.122474670410156
2015-01-21,45.94645309448242
2015-01-22,46.68161392211914
2015-01-23,47.520774841308594
2015-01-26,47.43755340576172
2015-01-27,48.26979064941406
2015-01-28,47.416751861572266
2015-01-29,48.88011932373047
2015-01-30,48.769142150878906
2015-02-02,50.48910140991211
2015-02-03,51.93165588378906
2015-02-04,51.61261749267578
2015-02-05,52.1605110168457
2015-02-06,52.777748107910156
2015-02-09,52.65985107421875
2015-02-10,52.47953796386719
2015-02-11,51.45311737060547
2015-02-12,52.444602966308594
2015-02-13,53.498931884765625
2015-02-17,53.694461822509766
2015-02-18,53.031124114990234
2015-02-19,54.06451416015625
2015-02-20,54.00167465209961
2015-02-23,55.39115524291992
2015-02-24,55.85897445678711
2015-02-25,55.22358703613281
2015-02-26,55.90085983276367
2015-02-27,54.783695220947266
2015-03-02,53.764278411865234
2015-03-03,54.52533721923828
2015-03-04,54.43458938598633
2015-03-05,53.68048858642578
2015-03-06,52.61915969848633
2015-03-09,53.268516540527344
2015-03-10,51.69049835205078
2015-03-11,52.053592681884766
