,USB
2014-01-02,27.992549896240234
2014-01-03,28.11185073852539
2014-01-06,28.483768463134766
2014-01-07,28.722370147705078
2014-01-08,28.834640502929688
2014-01-09,29.010074615478516
2014-01-10,28.78551483154297
2014-01-13,28.617109298706055
2014-01-14,28.69429588317871
2014-01-15,29.122358322143555
2014-01-16,29.094280242919922
2014-01-17,29.08727264404297
2014-01-21,29.17850112915039
2014-01-22,29.080249786376953
2014-01-23,28.574996948242188
2014-01-24,28.167987823486328
2014-01-27,28.09781265258789
2014-01-28,28.448694229125977
2014-01-29,27.901330947875977
2014-01-30,28.153953552246094
2014-01-31,27.880277633666992
2014-02-03,27.213613510131836
2014-02-04,27.4451904296875
2014-02-05,27.4451904296875
2014-02-06,27.936412811279297
2014-02-07,28.069744110107422
2014-02-10,28.12588119506836
2014-02-11,28.273252487182617
2014-02-12,28.315351486206055
2014-02-13,28.259218215942383
2014-02-14,28.624122619628906
2014-02-18,28.58903694152832
2014-02-19,28.034658432006836
2014-02-20,28.2943058013916
2014-02-21,28.308334350585938
2014-02-24,28.631145477294922
2014-02-25,28.736391067504883
2014-02-26,28.750431060791016
2014-02-27,28.86972999572754
2014-02-28,28.86972999572754
2014-03-03,28.525890350341797
2014-03-04,29.06621742248535
2014-03-05,29.080249786376953
2014-03-06,29.22762107849121
2014-03-07,29.592533111572266
2014-03-10,29.718835830688477
2014-03-11,29.44516372680664
2014-03-12,29.536386489868164
2014-03-13,29.2627010345459
2014-03-14,29.150432586669922
2014-03-17,29.44516372680664
2014-03-18,29.73287582397461
2014-03-19,29.711822509765625
2014-03-20,30.104793548583984
2014-03-21,30.18901252746582
2014-03-24,30.39954376220703
2014-03-25,30.469717025756836
2014-03-26,30.118825912475586
2014-03-27,29.815458297729492
2014-03-28,29.843673706054688
2014-03-31,30.238780975341797
2014-04-01,30.330493927001953
2014-04-02,30.372817993164062
2014-04-03,30.351667404174805
2014-04-04,30.02006721496582
2014-04-07,29.63202476501465
2014-04-08,29.483869552612305
2014-04-09,29.639074325561523
2014-04-10,28.77128791809082
2014-04-11,28.580791473388672
2014-04-14,28.651342391967773
2014-04-15,28.933563232421875
2014-04-16,28.552574157714844
2014-04-17,28.397363662719727
2014-04-21,28.48907470703125
2014-04-22,28.67251205444336
2014-04-23,28.884166717529297
2014-04-24,28.67957878112793
2014-04-25,28.37619400024414
2014-04-28,28.3338623046875
2014-04-29,28.623125076293945
2014-04-30,28.77128791809082
2014-05-01,28.482027053833008
2014-05-02,28.49613380432129
2014-05-05,28.538475036621094
2014-05-06,28.326797485351562
2014-05-07,28.545516967773438
2014-05-08,28.45380210876465
2014-05-09,28.44674301147461
2014-05-12,28.538475036621094
2014-05-13,28.594898223876953
2014-05-14,28.47496223449707
2014-05-15,28.623125076293945
2014-05-16,28.848888397216797
2014-05-19,29.180500030517578
2014-05-20,29.00411033630371
2014-05-21,29.07465362548828
2014-05-22,29.18754768371582
2014-05-23,29.243980407714844
2014-05-27,29.448583602905273
2014-05-28,29.65319061279297
2014-05-29,29.65319061279297
2014-05-30,29.766075134277344
2014-06-02,29.759023666381836
2014-06-03,29.801353454589844
2014-06-04,29.886011123657227
2014-06-05,29.977725982666016
2014-06-06,30.252883911132812
2014-06-09,30.704423904418945
2014-06-10,30.570369720458984
2014-06-11,30.32343864440918
2014-06-12,30.344593048095703
2014-06-13,30.379880905151367
2014-06-16,30.161165237426758
2014-06-17,30.42927360534668
2014-06-18,30.570369720458984
2014-06-19,30.53509521484375
2014-06-20,30.859634399414062
2014-06-23,30.916078567504883
2014-06-24,30.54920196533203
2014-06-25,30.591541290283203
2014-06-26,30.55251121520996
2014-06-27,30.7653751373291
2014-06-30,30.73699951171875
2014-07-01,30.751184463500977
2014-07-02,30.687314987182617
2014-07-03,30.928571701049805
2014-07-07,30.850521087646484
2014-07-08,30.644756317138672
2014-07-09,30.779558181762695
2014-07-10,30.580894470214844
2014-07-11,30.637659072875977
2014-07-14,30.54541015625
2014-07-15,30.722795486450195
2014-07-16,30.176462173461914
2014-07-17,29.52368927001953
2014-07-18,29.921031951904297
2014-07-21,29.885555267333984
2014-07-22,29.97779083251953
2014-07-23,30.126785278320312
2014-07-24,30.318361282348633
2014-07-25,30.332555770874023
2014-07-28,30.2048397064209
2014-07-29,30.254499435424805
2014-07-30,30.45317268371582
2014-07-31,29.821693420410156
2014-08-01,29.32502555847168
2014-08-04,29.544979095458984
2014-08-05,29.21149253845215
2014-08-06,29.147642135620117
2014-08-07,28.86382484436035
2014-08-08,29.218589782714844
2014-08-11,29.062496185302734
2014-08-12,29.204395294189453
2014-08-13,29.346315383911133
2014-08-14,29.516597747802734
2014-08-15,29.282453536987305
2014-08-18,29.60173225402832
2014-08-19,29.686878204345703
2014-08-20,29.594650268554688
2014-08-21,29.935218811035156
2014-08-22,29.821693420410156
2014-08-25,29.97779083251953
2014-08-26,30.091310501098633
2014-08-27,29.942310333251953
2014-08-28,29.84299087524414
2014-08-29,29.99908447265625
2014-09-02,29.99198341369629
2014-09-03,29.885555267333984
2014-09-04,29.970701217651367
2014-09-05,29.89264678955078
2014-09-08,29.821693420410156
2014-09-09,29.516597747802734
2014-09-10,29.686878204345703
2014-09-11,29.871349334716797
2014-09-12,29.942310333251953
2014-09-15,30.062931060791016
2014-09-16,30.062931060791016
2014-09-17,30.289976119995117
2014-09-18,30.53122329711914
2014-09-19,30.673137664794922
2014-09-22,30.524139404296875
2014-09-23,30.219024658203125
2014-09-24,30.2048397064209
2014-09-25,29.708162307739258
2014-09-26,29.88301658630371
2014-09-29,29.783113479614258
2014-09-30,29.85448455810547
2014-10-01,29.447662353515625
2014-10-02,29.469070434570312
2014-10-03,29.740276336669922
2014-10-06,29.647504806518555
2014-10-07,28.976612091064453
2014-10-08,29.476213455200195
2014-10-09,28.962339401245117
2014-10-10,28.598350524902344
2014-10-13,28.448471069335938
2014-10-14,28.526981353759766
2014-10-15,27.791851043701172
2014-10-16,27.90604591369629
2014-10-17,28.12015724182129
2014-10-20,28.105884552001953
2014-10-21,28.7410888671875
2014-10-22,28.469881057739258
2014-10-23,28.841012954711914
2014-10-24,29.197866439819336
2014-10-27,29.233552932739258
2014-10-28,29.647504806518555
2014-10-29,29.861616134643555
2014-10-30,30.07572364807129
2014-10-31,30.40403938293457
2014-11-03,30.632417678833008
2014-11-04,30.80370330810547
2014-11-05,31.06065559387207
2014-11-06,31.346128463745117
2014-11-07,31.267620086669922
2014-11-10,31.353271484375
2014-11-11,31.424636840820312
2014-11-12,31.360410690307617
2014-11-13,31.353271484375
2014-11-14,31.21051788330078
2014-11-17,31.260486602783203
2014-11-18,31.388948440551758
2014-11-19,31.32472038269043
2014-11-20,31.3389949798584
2014-11-21,31.381816864013672
2014-11-24,31.667299270629883
2014-11-25,31.410362243652344
2014-11-26,31.6744384765625
2014-11-28,31.545969009399414
2014-12-01,31.132017135620117
2014-12-02,31.453187942504883
2014-12-03,31.631610870361328
2014-12-04,31.7814884185791
2014-12-05,32.209716796875
2014-12-08,32.38100814819336
2014-12-09,32.266815185546875
2014-12-10,31.859994888305664
2014-12-11,31.90281867980957
2014-12-12,31.32472038269043
2014-12-15,31.01068878173828
2014-12-16,30.76089096069336
2014-12-17,31.346128463745117
2014-12-18,32.359596252441406
2014-12-19,32.259674072265625
2014-12-22,32.57371139526367
2014-12-23,32.766414642333984
2014-12-24,32.6522216796875
2014-12-26,32.64508056640625
2014-12-29,32.76348114013672
2014-12-30,32.69172668457031
2014-12-31,32.25402069091797
2015-01-02,32.167903900146484
2015-01-05,31.39295196533203
2015-01-06,30.976760864257812
2015-01-07,31.24944305419922
2015-01-08,31.479063034057617
2015-01-09,30.826087951660156
2015-01-12,30.539052963256836
2015-01-13,30.2089786529541
2015-01-14,29.663646697998047
2015-01-15,29.37662124633789
2015-01-16,29.792800903320312
2015-01-20,29.57036781311035
2015-01-21,30.28074836730957
2015-01-22,31.16333770751953
2015-01-23,31.08440589904785
2015-01-26,31.235084533691406
2015-01-27,30.84043312072754
2015-01-28,30.2089786529541
2015-01-29,30.54623794555664
2015-01-30,30.072649002075195
2015-02-02,30.661046981811523
2015-02-03,31.055702209472656
2015-02-04,31.27096939086914
2015-02-05,31.572341918945312
2015-02-06,31.86653709411621
2015-02-09,31.694318771362305
2015-02-10,31.945476531982422
2015-02-11,31.76607894897461
2015-02-12,32.37599563598633
2015-02-13,32.340126037597656
2015-02-17,32.340126037597656
2015-02-18,31.9526424407959
2015-02-19,31.80195426940918
2015-02-20,32.01721954345703
2015-02-23,31.916765213012695
2015-02-24,32.088985443115234
2015-02-25,32.175079345703125
2015-02-26,32.23966979980469
2015-02-27,32.01005172729492
2015-03-02,32.20378875732422
2015-03-03,32.11050033569336
2015-03-04,31.86653709411621
2015-03-05,31.988521575927734
2015-03-06,32.053104400634766
2015-03-09,32.210968017578125
2015-03-10,31.364248275756836
2015-03-11,31.39295196533203
2015-03-12,31.909582138061523
2015-03-13,31.780431747436523
2015-03-16,32.26837158203125
2015-03-17,32.25402069091797
2015-03-18,32.1822395324707
2015-03-19,31.8880615234375
2015-03-20,32.18943405151367
2015-03-23,32.08180618286133
2015-03-24,31.715843200683594
2015-03-25,31.15616226196289
2015-03-26,31.034175872802734
2015-03-27,30.929542541503906
2015-03-30,31.60064697265625
2015-03-31,31.514074325561523
2015-04-01,31.38416862487793
2015-04-02,31.542930603027344
2015-04-06,31.26149559020996
2015-04-07,31.283138275146484
2015-04-08,31.340877532958984
2015-04-09,31.44191551208496
2015-04-10,31.571800231933594
2015-04-13,31.81715202331543
2015-04-14,31.41303253173828
2015-04-15,31.340877532958984
2015-04-16,30.98727035522461
2015-04-17,30.626441955566406
2015-04-20,30.857372283935547
2015-04-21,30.66974449157715
2015-04-22,30.907882690429688
2015-04-23,30.900665283203125
2015-04-24,30.842939376831055
2015-04-27,30.713035583496094
2015-04-28,30.936744689941406
2015-04-29,31.016132354736328
2015-04-30,30.936744689941406
2015-05-01,30.96561622619629
2015-05-04,31.420251846313477
2015-05-05,31.210979461669922
2015-05-06,31.102725982666016
2015-05-07,31.102725982666016
2015-05-08,31.65119171142578
2015-05-11,31.571800231933594
2015-05-12,31.6800537109375
2015-05-13,31.853254318237305
2015-05-14,32.02643585205078
2015-05-15,31.70170021057129
2015-05-18,31.896530151367188
2015-05-19,32.25013732910156
2015-05-20,31.81715202331543
2015-05-21,31.65119171142578
2015-05-22,31.44191551208496
2015-05-26,31.29758644104004
2015-05-27,31.65119171142578
2015-05-28,31.535724639892578
2015-05-29,31.109939575195312
2015-06-01,31.008920669555664
2015-06-02,31.124387741088867
2015-06-03,31.730562210083008
2015-06-04,31.38416862487793
2015-06-05,31.744998931884766
2015-06-08,31.506855010986328
2015-06-09,31.802715301513672
2015-06-10,32.33674240112305
2015-06-11,32.36558151245117
2015-06-12,32.315093994140625
2015-06-15,32.04086685180664
2015-06-16,32.17798614501953
2015-06-17,32.21406173706055
2015-06-18,32.315093994140625
2015-06-19,32.21406173706055
2015-06-22,32.45941162109375
2015-06-23,32.54601287841797
2015-06-24,32.28622817993164
2015-06-25,32.156333923339844
2015-06-26,32.305110931396484
2015-06-29,31.50674057006836
2015-06-30,31.499483108520508
2015-07-01,32.04383087158203
2015-07-02,31.659156799316406
2015-07-06,31.644643783569336
2015-07-07,31.5502872467041
2015-07-08,30.969646453857422
2015-07-09,31.180137634277344
2015-07-10,31.528520584106445
2015-07-13,31.811582565307617
2015-07-14,31.847867965698242
2015-07-15,33.04542541503906
2015-07-16,33.284942626953125
2015-07-17,33.27768325805664
2015-07-20,33.270423889160156
2015-07-21,33.197837829589844
2015-07-22,33.35026931762695
2015-07-23,33.1397819519043
2015-07-24,32.86397171020508
2015-07-27,32.51559829711914
2015-07-28,32.46480178833008
2015-07-29,32.66801452636719
2015-07-30,32.70431137084961
2015-07-31,32.813175201416016
2015-08-03,32.71881866455078
2015-08-04,32.820430755615234
2015-08-05,32.97285461425781
2015-08-06,32.813175201416016
2015-08-07,32.74059295654297
2015-08-10,33.40107345581055
2015-08-11,32.95107650756836
2015-08-12,32.58092498779297
2015-08-13,32.71156692504883
2015-08-14,33.09623718261719
2015-08-17,33.13251876831055
2015-08-18,33.20509719848633
2015-08-19,32.92204284667969
2015-08-20,32.007537841796875
2015-08-21,31.04949188232422
2015-08-24,29.57613182067871
2015-08-25,28.85759925842285
2015-08-26,30.055147171020508
2015-08-27,30.904340744018555
2015-08-28,30.91158676147461
2015-08-31,30.737396240234375
2015-09-01,29.22774314880371
2015-09-02,29.772085189819336
2015-09-03,30.076919555664062
2015-09-04,29.43096923828125
2015-09-08,30.069673538208008
2015-09-09,29.670495986938477
2015-09-10,29.830148696899414
2015-09-11,29.801132202148438
2015-09-14,29.699512481689453
2015-09-15,30.48337173461914
2015-09-16,30.744661331176758
2015-09-17,30.23660659790039
2015-09-18,29.880962371826172
2015-09-21,30.13498306274414
2015-09-22,29.830148696899414
2015-09-23,29.801132202148438
2015-09-24,29.583372116088867
2015-09-25,30.243864059448242
2015-09-28,29.517250061035156
2015-09-29,29.685213088989258
2015-09-30,29.94809341430664
2015-10-01,30.035736083984375
2015-10-02,29.758228302001953
2015-10-05,30.349746704101562
2015-10-06,30.29863166809082
2015-10-07,30.5177001953125
2015-10-08,30.598039627075195
2015-10-09,30.364360809326172
2015-10-12,30.400867462158203
2015-10-13,30.25481414794922
2015-10-14,29.575664520263672
2015-10-15,29.94809341430664
2015-10-16,29.77284049987793
2015-10-19,29.743623733520508
2015-10-20,30.123367309570312
2015-10-21,30.01382064819336
2015-10-22,30.554224014282227
2015-10-23,31.123830795288086
