,COF
2014-01-02,63.283653259277344
2014-01-03,63.357364654541016
2014-01-06,62.74296951293945
2014-01-07,63.30824279785156
2014-01-08,63.775177001953125
2014-01-09,63.775177001953125
2014-01-10,63.914432525634766
2014-01-13,62.5627555847168
2014-01-14,63.373748779296875
2014-01-15,63.10341262817383
2014-01-16,62.620094299316406
2014-01-17,59.302310943603516
2014-01-21,59.48252487182617
2014-01-22,59.51531219482422
2014-01-23,58.60599899291992
2014-01-24,57.811344146728516
2014-01-27,57.3034553527832
2014-01-28,58.05710983276367
2014-01-29,57.2379264831543
2014-01-30,58.130855560302734
2014-01-31,57.84412384033203
2014-02-03,56.418724060058594
2014-02-04,56.29582214355469
2014-02-05,56.246673583984375
2014-02-06,57.53024673461914
2014-02-07,58.747989654541016
2014-02-10,58.72330093383789
2014-02-11,58.6328010559082
2014-02-12,58.961910247802734
2014-02-13,59.546104431152344
2014-02-14,59.5707893371582
2014-02-18,59.58725357055664
2014-02-19,58.377716064453125
2014-02-20,58.287208557128906
2014-02-21,58.39417266845703
2014-02-24,59.0195198059082
2014-02-25,58.45179748535156
2014-02-26,58.690391540527344
2014-02-27,59.75181198120117
2014-02-28,60.418277740478516
2014-03-03,59.43915557861328
2014-03-04,60.615745544433594
2014-03-05,61.183509826660156
2014-03-06,61.73478317260742
2014-03-07,61.71830749511719
2014-03-10,61.83351135253906
2014-03-11,61.183509826660156
2014-03-12,61.04362487792969
2014-03-13,59.84231185913086
2014-03-14,59.39802551269531
2014-03-17,60.747413635253906
2014-03-18,60.516998291015625
2014-03-19,60.15496826171875
2014-03-20,61.117645263671875
2014-03-21,62.03921127319336
2014-03-24,61.874610900878906
2014-03-25,61.973388671875
2014-03-26,61.67715835571289
2014-03-27,62.43413543701172
2014-03-28,62.6069221496582
2014-03-31,63.48731231689453
2014-04-01,63.17463684082031
2014-04-02,63.47911834716797
2014-04-03,63.74241256713867
2014-04-04,63.108821868896484
2014-04-07,62.162620544433594
2014-04-08,62.269588470458984
2014-04-09,62.812625885009766
2014-04-10,60.94486999511719
2014-04-11,60.92018127441406
2014-04-14,60.9366340637207
2014-04-15,61.31513214111328
2014-04-16,61.84172439575195
2014-04-17,61.61957931518555
2014-04-21,61.7512092590332
2014-04-22,61.80057907104492
2014-04-23,61.64425277709961
2014-04-24,61.49613952636719
2014-04-25,60.34421157836914
2014-04-28,60.0233154296875
2014-04-29,60.484100341796875
2014-04-30,60.80500030517578
2014-05-01,61.3233757019043
2014-05-02,62.38479232788086
2014-05-05,62.37654113769531
2014-05-06,61.69361877441406
2014-05-07,62.878448486328125
2014-05-08,62.919761657714844
2014-05-09,63.13455581665039
2014-05-12,64.20840454101562
2014-05-13,64.02667236328125
2014-05-14,62.919761657714844
2014-05-15,63.12626266479492
2014-05-16,62.589317321777344
2014-05-19,62.86192321777344
2014-05-20,62.34980010986328
2014-05-21,63.33277130126953
2014-05-22,63.31626510620117
2014-05-23,63.76229476928711
2014-05-27,64.22488403320312
2014-05-28,64.88573455810547
2014-05-29,65.02616882324219
2014-05-30,65.16658782958984
2014-06-02,64.95182037353516
2014-06-03,65.0757064819336
2014-06-04,65.40612030029297
2014-06-05,65.93482208251953
2014-06-06,66.74434661865234
2014-06-09,67.72734069824219
2014-06-10,67.49604797363281
2014-06-11,66.76910400390625
2014-06-12,66.85172271728516
2014-06-13,66.47173309326172
2014-06-16,66.94257354736328
2014-06-17,66.82694244384766
2014-06-18,67.44644927978516
2014-06-19,67.73558044433594
2014-06-20,68.91683197021484
2014-06-23,68.96638488769531
2014-06-24,68.10730743408203
2014-06-25,68.00822448730469
2014-06-26,68.14034271240234
2014-06-27,68.56986999511719
2014-06-30,68.23120880126953
2014-07-01,68.57817077636719
2014-07-02,69.05725860595703
2014-07-03,70.17240905761719
2014-07-07,69.032470703125
2014-07-08,68.75164031982422
2014-07-09,69.7098388671875
2014-07-10,69.13160705566406
2014-07-11,69.3546142578125
2014-07-14,69.39594268798828
2014-07-15,70.131103515625
2014-07-16,69.7015609741211
2014-07-17,68.14034271240234
2014-07-18,67.97514343261719
2014-07-21,67.66951751708984
2014-07-22,67.83470916748047
2014-07-23,67.72734069824219
2014-07-24,68.06600189208984
2014-07-25,67.44644927978516
2014-07-28,67.34732818603516
2014-07-29,67.06651306152344
2014-07-30,67.37213134765625
2014-07-31,65.70352172851562
2014-08-01,65.66224670410156
2014-08-04,66.26522064208984
2014-08-05,65.08397674560547
2014-08-06,65.05919647216797
2014-08-07,64.7109375
2014-08-08,65.40746307373047
2014-08-11,65.26652526855469
2014-08-12,65.78888702392578
2014-08-13,66.23668670654297
2014-08-14,66.16204833984375
2014-08-15,65.75574493408203
2014-08-18,66.68443298339844
2014-08-19,66.73419952392578
2014-08-20,67.09906005859375
2014-08-21,67.7375259399414
2014-08-22,67.41415405273438
2014-08-25,68.04434967041016
2014-08-26,67.8287582397461
2014-08-27,67.96141815185547
2014-08-28,67.65461730957031
2014-08-29,68.04434967041016
2014-09-02,68.47550201416016
2014-09-03,68.43405151367188
2014-09-04,68.4091567993164
2014-09-05,68.56673431396484
2014-09-08,68.06092834472656
2014-09-09,67.59654235839844
2014-09-10,67.35610961914062
2014-09-11,67.35610961914062
2014-09-12,67.11563110351562
2014-09-15,67.58000183105469
2014-09-16,68.14382934570312
2014-09-17,68.72425079345703
2014-09-18,69.37936401367188
2014-09-19,69.7110366821289
2014-09-22,69.06424713134766
2014-09-23,68.03604888916016
2014-09-24,68.34282684326172
2014-09-25,67.17364501953125
2014-09-26,67.67119598388672
2014-09-29,67.8536148071289
2014-09-30,67.67950439453125
2014-10-01,66.84199523925781
2014-10-02,67.2731704711914
2014-10-03,68.22676849365234
2014-10-06,68.177001953125
2014-10-07,67.01612854003906
2014-10-08,68.624755859375
2014-10-09,67.53023529052734
2014-10-10,66.63471221923828
2014-10-13,65.9050064086914
2014-10-14,66.36104583740234
2014-10-15,65.68111419677734
2014-10-16,65.11726379394531
2014-10-17,63.37596130371094
2014-10-20,63.4339714050293
2014-10-21,65.25821685791016
2014-10-22,64.55339813232422
2014-10-23,65.00115966796875
2014-10-24,65.73085021972656
2014-10-27,65.54016876220703
2014-10-28,66.9083251953125
2014-10-29,67.40583801269531
2014-10-30,67.77069091796875
2014-10-31,68.63304901123047
2014-11-03,68.5501480102539
2014-11-04,68.38431549072266
2014-11-05,67.66291809082031
2014-11-06,68.31207275390625
2014-11-07,68.74482727050781
2014-11-10,69.27751922607422
2014-11-11,68.39527130126953
2014-11-12,67.88762664794922
2014-11-13,67.91258239746094
2014-11-14,68.0457534790039
2014-11-17,67.52973937988281
2014-11-18,67.65457916259766
2014-11-19,67.11360931396484
2014-11-20,67.4881591796875
2014-11-21,67.58805084228516
2014-11-24,68.32872009277344
2014-11-25,68.79479217529297
2014-11-26,68.86970520019531
2014-11-28,69.24421691894531
2014-12-01,68.50350189208984
2014-12-02,68.5284652709961
2014-12-03,68.39527130126953
2014-12-04,68.32041931152344
2014-12-05,69.02783203125
2014-12-08,69.24421691894531
2014-12-09,69.30243682861328
2014-12-10,68.57005310058594
2014-12-11,68.56171417236328
2014-12-12,66.72244262695312
2014-12-15,66.2563705444336
2014-12-16,65.10784912109375
2014-12-17,66.2563705444336
2014-12-18,68.37863159179688
2014-12-19,68.6033706665039
2014-12-22,68.9862060546875
2014-12-23,69.31078338623047
2014-12-24,69.26914978027344
2014-12-26,69.25251770019531
2014-12-29,69.3274154663086
2014-12-30,69.33576965332031
2014-12-31,68.7032470703125
2015-01-02,68.65328979492188
2015-01-05,67.07199096679688
2015-01-06,65.82360076904297
2015-01-07,66.57264709472656
2015-01-08,67.22178649902344
2015-01-09,66.05663299560547
2015-01-12,65.79862976074219
2015-01-13,65.24102783203125
2015-01-14,63.876129150390625
2015-01-15,64.04254913330078
2015-01-16,63.79287338256836
2015-01-20,64.40876007080078
2015-01-21,64.25896453857422
2015-01-22,63.41838073730469
2015-01-23,64.58353424072266
2015-01-26,65.07455444335938
2015-01-27,63.89274215698242
2015-01-28,61.9619140625
2015-01-29,62.38634490966797
2015-01-30,60.92988967895508
2015-02-02,61.936927795410156
2015-02-03,62.844120025634766
2015-02-04,62.66934585571289
2015-02-05,63.32109832763672
2015-02-06,63.688743591308594
2015-02-09,64.1065444946289
2015-02-10,64.39064025878906
2015-02-11,64.60789489746094
2015-02-12,66.2540054321289
2015-02-13,65.91139221191406
2015-02-17,66.84727478027344
2015-02-18,66.2957763671875
2015-02-19,66.3626480102539
2015-02-20,67.17317199707031
2015-02-23,66.89741516113281
2015-02-24,67.26508331298828
2015-02-25,66.56318664550781
