,INTU
2014-01-02,69.1673812866211
2014-01-03,69.03985595703125
2014-01-06,68.98521423339844
2014-01-07,70.18750762939453
2014-01-08,69.79488372802734
2014-01-09,69.96833038330078
2014-01-10,69.61224365234375
2014-01-13,68.48919677734375
2014-01-14,69.44786071777344
2014-01-15,70.1053237915039
2014-01-16,70.11443328857422
2014-01-17,70.29705810546875
2014-01-21,69.55745697021484
2014-01-22,69.00050354003906
2014-01-23,68.77223205566406
2014-01-24,66.87305450439453
2014-01-27,66.7087173461914
2014-01-28,67.09220123291016
2014-01-29,66.81827545166016
2014-01-30,67.74044799804688
2014-01-31,66.88216400146484
2014-02-03,64.65431213378906
2014-02-04,64.74560546875
2014-02-05,64.59951782226562
2014-02-06,64.85517120361328
2014-02-07,65.23867797851562
2014-02-10,65.23867797851562
2014-02-11,66.39826965332031
2014-02-12,63.65908432006836
2014-02-13,64.57215118408203
2014-02-14,65.45777893066406
2014-02-18,66.69956970214844
2014-02-19,67.03740692138672
2014-02-20,67.43001556396484
2014-02-21,70.52531433105469
2014-02-24,70.68053436279297
2014-02-25,70.60750579833984
2014-02-26,70.94534301757812
2014-02-27,71.3105697631836
2014-02-28,71.3562240600586
2014-03-03,71.1005630493164
2014-03-04,73.87628173828125
2014-03-05,73.62062072753906
2014-03-06,73.7119140625
2014-03-07,75.05410766601562
2014-03-10,74.70714569091797
2014-03-11,74.20497131347656
2014-03-12,73.8945541381836
2014-03-13,73.182373046875
2014-03-14,72.96321868896484
2014-03-17,73.54756164550781
2014-03-18,73.64798736572266
2014-03-19,73.23712921142578
2014-03-20,73.67540740966797
2014-03-21,72.5340805053711
2014-03-24,71.95880126953125
2014-03-25,71.83101654052734
2014-03-26,70.96359252929688
2014-03-27,70.83576202392578
2014-03-28,71.00926971435547
2014-03-31,70.97273254394531
2014-04-01,72.03187561035156
2014-04-02,72.10492706298828
2014-04-03,71.74883270263672
2014-04-04,70.47968292236328
2014-04-07,68.28829956054688
2014-04-08,68.23339080810547
2014-04-09,68.7551498413086
2014-04-10,67.36376953125
2014-04-11,66.38428497314453
2014-04-14,67.17153930664062
2014-04-15,67.50106811523438
2014-04-16,67.98621368408203
2014-04-17,67.76654815673828
2014-04-21,67.73908233642578
2014-04-22,68.50799560546875
2014-04-23,68.0960922241211
2014-04-24,67.88552856445312
2014-04-25,68.9656753540039
2014-04-28,68.37073516845703
2014-04-29,69.02063751220703
2014-04-30,69.34101104736328
2014-05-01,69.50578308105469
2014-05-02,68.919921875
2014-05-05,69.17622375488281
2014-05-06,68.35238647460938
2014-05-07,68.03199768066406
2014-05-08,68.30661010742188
2014-05-09,68.58124542236328
2014-05-12,69.6705551147461
2014-05-13,69.28610229492188
2014-05-14,68.64530181884766
2014-05-15,67.81229400634766
2014-05-16,69.1213150024414
2014-05-19,70.54930877685547
2014-05-20,70.33880615234375
2014-05-21,70.91548156738281
2014-05-22,71.69356536865234
2014-05-23,72.8561019897461
2014-05-27,73.35958099365234
2014-05-28,72.38926696777344
2014-05-29,72.41673278808594
2014-05-30,72.58152770996094
2014-06-02,72.70964813232422
2014-06-03,72.67304229736328
2014-06-04,72.59066772460938
2014-06-05,72.64559173583984
2014-06-06,73.25888061523438
2014-06-09,73.08497619628906
2014-06-10,72.4625015258789
2014-06-11,72.47164916992188
2014-06-12,72.23365020751953
2014-06-13,72.30687713623047
2014-06-16,72.23365020751953
2014-06-17,72.1695556640625
2014-06-18,72.61810302734375
2014-06-19,72.58152770996094
2014-06-20,72.77375793457031
2014-06-23,72.92933654785156
2014-06-24,73.73490905761719
2014-06-25,74.25666809082031
2014-06-26,74.11022186279297
2014-06-27,74.4397201538086
2014-06-30,73.7165756225586
2014-07-01,74.40313720703125
2014-07-02,74.42142486572266
