,NXPI
2014-01-02,39.94402313232422
2014-01-03,39.61662673950195
2014-01-06,39.216461181640625
2014-01-07,39.080020904541016
2014-01-08,39.86217498779297
2014-01-09,39.16188430786133
2014-01-10,39.1073112487793
2014-01-13,39.05275344848633
2014-01-14,40.12592697143555
2014-01-15,41.28095626831055
2014-01-16,41.835731506347656
2014-01-17,42.49054718017578
2014-01-21,42.43598175048828
2014-01-22,43.51824951171875
2014-01-23,43.51824951171875
2014-01-24,41.453758239746094
2014-01-27,41.835731506347656
2014-01-28,42.46326446533203
2014-01-29,42.98165512084961
2014-01-30,43.51824951171875
2014-01-31,43.972984313964844
2014-02-03,41.672027587890625
2014-02-04,42.74520492553711
2014-02-05,42.74520492553711
2014-02-06,45.109825134277344
2014-02-07,47.3380241394043
2014-02-10,47.510841369628906
2014-02-11,47.36532211303711
2014-02-12,47.86553192138672
2014-02-13,48.76591110229492
2014-02-14,50.56665802001953
2014-02-18,51.648929595947266
2014-02-19,51.648929595947266
2014-02-20,51.60346221923828
2014-02-21,51.0668830871582
2014-02-24,50.521183013916016
2014-02-25,50.948646545410156
2014-02-26,50.521183013916016
2014-02-27,51.476131439208984
2014-02-28,51.13962936401367
2014-03-03,50.84860610961914
2014-03-04,52.6038818359375
2014-03-05,52.367427825927734
2014-03-06,54.48648452758789
2014-03-07,53.25870132446289
2014-03-10,51.96725082397461
2014-03-11,51.667118072509766
2014-03-12,52.32194137573242
2014-03-13,52.158241271972656
2014-03-14,52.403804779052734
2014-03-17,53.12228012084961
2014-03-18,53.41331481933594
2014-03-19,53.53154373168945
2014-03-20,54.43192672729492
2014-03-21,52.72212600708008
2014-03-24,51.33062744140625
2014-03-25,51.79444885253906
2014-03-26,52.83125686645508
2014-03-27,52.07638931274414
2014-03-28,52.44017028808594
2014-03-31,53.48607635498047
2014-04-01,55.41415023803711
2014-04-02,55.78703689575195
2014-04-03,56.30543518066406
2014-04-04,52.14006042480469
2014-04-07,50.67580032348633
2014-04-08,52.96766662597656
2014-04-09,53.9589958190918
2014-04-10,52.17643356323242
2014-04-11,51.13054275512695
2014-04-14,51.294246673583984
2014-04-15,52.412899017333984
2014-04-16,52.66754913330078
2014-04-17,52.93129348754883
2014-04-21,54.65019989013672
2014-04-22,55.132225036621094
2014-04-23,55.041263580322266
2014-04-24,56.38729476928711
2014-04-25,53.54064178466797
2014-04-28,52.7675895690918
2014-04-29,53.877140045166016
2014-04-30,54.222740173339844
2014-05-01,54.98670196533203
2014-05-02,56.18720245361328
2014-05-05,55.67790985107422
2014-05-06,55.0594596862793
2014-05-07,54.7684440612793
2014-05-08,55.214073181152344
2014-05-09,54.35916519165039
2014-05-12,56.951148986816406
2014-05-13,55.214073181152344
2014-05-14,54.14999008178711
2014-05-15,54.25002670288086
2014-05-16,54.79571533203125
2014-05-19,55.0594596862793
2014-05-20,55.28683090209961
2014-05-21,54.94123077392578
2014-05-22,55.0594596862793
2014-05-23,56.078067779541016
2014-05-27,56.760169982910156
2014-05-28,56.21448516845703
2014-05-29,56.41456985473633
2014-05-30,56.478233337402344
2014-06-02,56.75108337402344
2014-06-03,57.01482391357422
2014-06-04,56.84202575683594
2014-06-05,57.660552978515625
2014-06-06,57.46046829223633
2014-06-09,57.93339157104492
2014-06-10,58.57002258300781
2014-06-11,57.91520690917969
2014-06-12,56.632843017578125
2014-06-13,56.65104675292969
2014-06-16,56.86930847167969
2014-06-17,57.5695915222168
2014-06-18,57.2239990234375
2014-06-19,59.10660171508789
2014-06-20,60.42534637451172
2014-06-23,60.079750061035156
2014-06-24,58.606407165527344
2014-06-25,58.73373031616211
2014-06-26,58.106201171875
2014-06-27,59.12480926513672
2014-06-30,60.188899993896484
2014-07-01,61.07107162475586
2014-07-02,60.57086944580078
2014-07-03,61.262062072753906
2014-07-07,60.85280227661133
2014-07-08,59.72505569458008
2014-07-09,60.37986755371094
2014-07-10,59.50678253173828
2014-07-11,60.407161712646484
2014-07-14,60.343505859375
2014-07-15,59.80690383911133
2014-07-16,60.96193313598633
2014-07-17,59.05204391479492
2014-07-18,60.579959869384766
2014-07-21,60.27983093261719
2014-07-22,60.25254440307617
2014-07-23,58.69734573364258
2014-07-24,59.41582489013672
2014-07-25,57.29676055908203
2014-07-28,56.696502685546875
2014-07-29,56.1053466796875
2014-07-30,57.64236068725586
2014-07-31,56.705596923828125
2014-08-01,56.75108337402344
2014-08-04,57.05120086669922
2014-08-05,56.369110107421875
2014-08-06,57.242183685302734
2014-08-07,55.0230827331543
2014-08-08,55.55967330932617
2014-08-11,56.114444732666016
2014-08-12,56.86022186279297
2014-08-13,57.314945220947266
2014-08-14,57.95159149169922
2014-08-15,58.106201171875
2014-08-18,57.50594711303711
2014-08-19,57.53321838378906
2014-08-20,58.388126373291016
2014-08-21,58.2335205078125
2014-08-22,59.50678253173828
2014-08-25,59.6068229675293
2014-08-26,58.87923812866211
2014-08-27,59.6068229675293
2014-08-28,60.898277282714844
2014-08-29,62.317054748535156
2014-09-02,62.8172607421875
2014-09-03,62.9809684753418
2014-09-04,63.14467239379883
2014-09-05,64.56343078613281
2014-09-08,64.74534606933594
2014-09-09,63.68126678466797
2014-09-10,64.23602294921875
2014-09-11,64.88175964355469
