,MSI
2014-01-02,55.00514602661133
2014-01-03,54.89732360839844
2014-01-06,54.665130615234375
2014-01-07,54.8890266418457
2014-01-08,54.72317123413086
2014-01-09,55.14609909057617
2014-01-10,54.855857849121094
2014-01-13,54.30854415893555
2014-01-14,55.021697998046875
2014-01-15,54.416358947753906
2014-01-16,54.573909759521484
2014-01-17,54.81439208984375
2014-01-21,55.65195083618164
2014-01-22,53.4958610534668
2014-01-23,54.18414306640625
2014-01-24,53.42121887207031
2014-01-27,53.42951965332031
2014-01-28,53.354881286621094
2014-01-29,53.05635070800781
2014-01-30,53.827579498291016
2014-01-31,52.9070930480957
2014-02-03,52.0114860534668
2014-02-04,52.235382080078125
2014-02-05,52.15245056152344
2014-02-06,52.575374603271484
2014-02-07,53.570499420166016
2014-02-10,53.96854019165039
2014-02-11,53.927085876464844
2014-02-12,54.54903030395508
2014-02-13,54.457801818847656
2014-02-14,54.408058166503906
2014-02-18,54.54903030395508
2014-02-19,53.844146728515625
2014-02-20,54.08464431762695
2014-02-21,53.918785095214844
2014-02-24,53.8690299987793
2014-02-25,53.98512268066406
2014-02-26,54.275367736816406
2014-02-27,54.64854431152344
2014-02-28,54.89732360839844
2014-03-03,54.714881896972656
2014-03-04,55.361717224121094
2014-03-05,55.00514602661133
2014-03-06,55.20414352416992
2014-03-07,55.26219177246094
2014-03-10,55.08805465698242
2014-03-11,54.79780960083008
2014-03-12,54.17292404174805
2014-03-13,53.49806213378906
2014-03-14,53.04814529418945
2014-03-17,54.22291946411133
2014-03-18,54.75616455078125
2014-03-19,54.73948287963867
2014-03-20,55.53932571411133
2014-03-21,55.664302825927734
2014-03-24,55.031097412109375
2014-03-25,55.139404296875
2014-03-26,54.28958511352539
2014-03-27,53.62302780151367
2014-03-28,53.573036193847656
2014-03-31,53.5647087097168
2014-04-01,54.081295013427734
2014-04-02,54.23958969116211
2014-04-03,54.23126983642578
2014-04-04,53.53971862792969
2014-04-07,53.68135070800781
2014-04-08,54.11460494995117
2014-04-09,54.372894287109375
2014-04-10,53.314754486083984
2014-04-11,52.81484603881836
2014-04-14,53.13980484008789
2014-04-15,52.79817581176758
2014-04-16,52.68155288696289
2014-04-17,52.61490249633789
2014-04-21,52.081642150878906
2014-04-22,52.71488571166992
2014-04-23,52.731544494628906
2014-04-24,52.48991394042969
2014-04-25,52.07331848144531
2014-04-28,52.189971923828125
2014-04-29,52.84819030761719
2014-04-30,52.973167419433594
2014-05-01,52.198307037353516
2014-05-02,54.58118438720703
2014-05-05,55.11442565917969
2014-05-06,55.322715759277344
2014-05-07,55.93925476074219
2014-05-08,56.139198303222656
2014-05-09,56.039222717285156
2014-05-12,56.48915100097656
2014-05-13,56.44749069213867
2014-05-14,55.9892463684082
2014-05-15,55.272708892822266
2014-05-16,55.2393913269043
2014-05-19,55.722633361816406
2014-05-20,55.422691345214844
2014-05-21,55.730960845947266
2014-05-22,55.51434326171875
2014-05-23,55.82261657714844
2014-05-27,55.83926773071289
2014-05-28,55.76430130004883
2014-05-29,55.74763488769531
2014-05-30,56.172523498535156
2014-06-02,56.15586853027344
2014-06-03,55.70597839355469
2014-06-04,56.01423263549805
2014-06-05,55.964263916015625
2014-06-06,56.372520446777344
2014-06-09,56.38085174560547
2014-06-10,56.40583419799805
2014-06-11,56.020816802978516
2014-06-12,55.62741470336914
2014-06-13,55.89525604248047
2014-06-16,55.84503936767578
