,ORCL
2014-01-02,32.008644104003906
2014-01-03,31.923795700073242
2014-01-06,31.796504974365234
2014-01-07,32.11896896362305
2014-01-08,32.008644104003906
2014-01-09,31.949243545532227
2014-01-10,32.339595794677734
2014-01-13,32.03410339355469
2014-01-14,32.424461364746094
2014-01-15,32.594173431396484
2014-01-16,32.492332458496094
2014-01-17,32.424461364746094
2014-01-21,32.339595794677734
2014-01-22,32.22929000854492
2014-01-23,32.373538970947266
2014-01-24,31.49102020263672
2014-01-27,30.964893341064453
2014-01-28,31.482532501220703
2014-01-29,31.3721981048584
2014-01-30,31.73711395263672
2014-01-31,31.312816619873047
2014-02-03,30.413311004638672
2014-02-04,30.515138626098633
2014-02-05,30.506656646728516
2014-02-06,31.16006851196289
2014-02-07,31.558902740478516
2014-02-10,31.652244567871094
2014-02-11,32.11049270629883
2014-02-12,32.30565643310547
2014-02-13,32.602657318115234
2014-02-14,32.22929000854492
2014-02-18,32.22080612182617
2014-02-19,32.135955810546875
2014-02-20,32.475364685058594
2014-02-21,32.33110809326172
2014-02-24,32.36505126953125
2014-02-25,32.45840072631836
2014-02-26,32.67055130004883
2014-02-27,33.052406311035156
2014-02-28,33.18818664550781
2014-03-03,32.67902755737305
2014-03-04,33.442752838134766
2014-03-05,33.519142150878906
2014-03-06,33.485191345214844
2014-03-07,32.950584411621094
2014-03-10,32.976036071777344
2014-03-11,33.00998306274414
2014-03-12,32.68751907348633
2014-03-13,31.949243545532227
2014-03-14,31.90682601928711
2014-03-17,32.432945251464844
2014-03-18,32.959075927734375
2014-03-19,32.71297073364258
2014-03-20,32.56022262573242
2014-03-21,31.82196807861328
2014-03-24,32.39900588989258
2014-03-25,32.585693359375
2014-03-26,33.16273498535156
2014-03-27,33.298492431640625
2014-03-28,33.57853317260742
2014-03-31,34.715633392333984
2014-04-01,35.20782470703125
2014-04-02,34.90231704711914
2014-04-03,34.25738525390625
2014-04-04,34.02760696411133
2014-04-07,33.59353256225586
2014-04-08,34.2488899230957
2014-04-09,34.793601989746094
2014-04-10,33.86589431762695
2014-04-11,33.17648696899414
2014-04-14,33.67863845825195
2014-04-15,33.81483459472656
2014-04-16,34.15528106689453
2014-04-17,34.11271667480469
2014-04-21,34.2488899230957
2014-04-22,34.43613052368164
2014-04-23,33.86589431762695
2014-04-24,33.831844329833984
2014-04-25,33.57650375366211
2014-04-28,34.15528106689453
2014-04-29,34.13823318481445
2014-04-30,34.793601989746094
2014-05-01,34.870208740234375
2014-05-02,34.73402786254883
2014-05-05,35.0744743347168
2014-05-06,34.90424728393555
2014-05-07,34.94680404663086
2014-05-08,34.78508377075195
2014-05-09,34.929779052734375
2014-05-12,35.70429229736328
2014-05-13,35.65324783325195
2014-05-14,35.64472579956055
2014-05-15,35.687286376953125
2014-05-16,35.48300552368164
2014-05-19,35.88304138183594
2014-05-20,35.37236404418945
2014-05-21,35.47451400756836
2014-05-22,35.33831024169922
2014-05-23,35.87452697753906
2014-05-27,35.67025375366211
2014-05-28,35.3808708190918
2014-05-29,35.91707992553711
2014-05-30,35.763885498046875
2014-06-02,35.721309661865234
2014-06-03,35.58515167236328
2014-06-04,35.491519927978516
2014-06-05,35.831966400146484
2014-06-06,36.28306579589844
2014-06-09,36.342628479003906
2014-06-10,36.308589935302734
2014-06-11,36.22349166870117
2014-06-12,35.746856689453125
2014-06-13,35.86600112915039
2014-06-16,35.87452697753906
2014-06-17,36.01920700073242
2014-06-18,36.43626022338867
2014-06-19,36.18092727661133
2014-06-20,34.74253463745117
2014-06-23,34.98085021972656
2014-06-24,34.69146728515625
2014-06-25,34.43613052368164
2014-06-26,34.17229080200195
2014-06-27,34.49571228027344
2014-06-30,34.49571228027344
2014-07-01,34.699981689453125
2014-07-02,34.853179931640625
2014-07-03,35.185115814208984
2014-07-07,34.903438568115234
2014-07-08,34.62175750732422
2014-07-09,34.365665435791016
2014-07-10,34.4168815612793
2014-07-11,34.25471496582031
2014-07-14,34.5620002746582
2014-07-15,34.60467529296875
2014-07-16,34.365665435791016
2014-07-17,34.0669059753418
2014-07-18,34.14373779296875
2014-07-21,34.15227127075195
2014-07-22,34.51077651977539
2014-07-23,34.408348083496094
2014-07-24,34.544921875
2014-07-25,34.4254150390625
2014-07-28,34.613216400146484
2014-07-29,34.68150329589844
2014-07-30,34.963172912597656
2014-07-31,34.47664260864258
2014-08-01,33.81083297729492
2014-08-04,34.229095458984375
2014-08-05,34.10958480834961
2014-08-06,34.28031539916992
2014-08-07,33.862056732177734
2014-08-08,34.0925178527832
2014-08-11,34.07544708251953
2014-08-12,34.05835723876953
2014-08-13,34.34859848022461
2014-08-14,34.33151626586914
2014-08-15,34.38274383544922
2014-08-18,34.69002914428711
2014-08-19,35.34730529785156
2014-08-20,35.21074295043945
2014-08-21,35.4924201965332
2014-08-22,35.53508758544922
2014-08-25,35.62898635864258
2014-08-26,35.714359283447266
2014-08-27,35.54363250732422
2014-08-28,35.22779083251953
2014-08-29,35.449729919433594
2014-09-02,35.560707092285156
2014-09-03,35.76556396484375
2014-09-04,35.4668083190918
2014-09-05,35.22779083251953
2014-09-08,34.69002914428711
2014-09-09,34.749786376953125
2014-09-10,34.749786376953125
2014-09-11,34.72417449951172
2014-09-12,34.57052230834961
2014-09-15,34.70710754394531
2014-09-16,35.159515380859375
2014-09-17,35.11682891845703
2014-09-18,35.4668083190918
2014-09-19,33.97300720214844
2014-09-22,33.785221099853516
2014-09-23,33.14503479003906
2014-09-24,33.648651123046875
2014-09-25,33.08528137207031
2014-09-26,33.24746322631836
2014-09-29,32.812137603759766
2014-09-30,32.67554473876953
2014-10-01,32.513370513916016
2014-10-02,32.66701126098633
2014-10-03,33.19624328613281
2014-10-06,33.461673736572266
2014-10-07,32.93081283569336
2014-10-08,33.410308837890625
2014-10-09,33.17055892944336
2014-10-10,32.62255859375
2014-10-13,32.7338752746582
2014-10-14,32.93081283569336
2014-10-15,32.7938232421875
2014-10-16,32.16020202636719
2014-10-17,32.425636291503906
2014-10-20,32.36570739746094
