,SPG
2014-05-02,97.27848815917969
2014-05-05,97.82937622070312
2014-05-06,97.4640121459961
2014-05-07,98.77366638183594
2014-05-08,98.95347595214844
2014-05-09,98.72869110107422
2014-05-12,98.95347595214844
2014-05-13,98.13290405273438
2014-05-14,98.6878662109375
2014-05-15,99.03328704833984
2014-05-16,99.74116516113281
2014-05-19,99.3900375366211
2014-05-20,99.28810119628906
2014-05-21,98.7614517211914
2014-05-22,98.54624938964844
2014-05-23,99.24846649169922
2014-05-27,99.97897338867188
2014-05-28,99.63359069824219
2014-05-29,99.49948120117188
2014-05-30,100.20381164550781
2014-06-02,100.40848541259766
2014-06-03,99.84861755371094
2014-06-04,100.39041137695312
2014-06-05,102.23844909667969
2014-06-06,102.14214324951172
2014-06-09,100.52886962890625
2014-06-10,99.73426055908203
2014-06-11,99.1383056640625
2014-06-12,98.65672302246094
2014-06-13,98.80723571777344
2014-06-16,98.42801666259766
2014-06-17,99.19851684570312
2014-06-18,100.22789001464844
2014-06-19,100.69141387939453
2014-06-20,100.78770446777344
2014-06-23,100.32418060302734
2014-06-24,100.14961242675781
2014-06-25,99.9510269165039
2014-06-26,99.80049133300781
2014-06-27,100.56497955322266
2014-06-30,100.09544372558594
2014-07-01,100.45661926269531
2014-07-02,100.37234497070312
2014-07-03,100.00515747070312
2014-07-07,100.21587371826172
2014-07-08,100.35431671142578
2014-07-09,100.9261474609375
2014-07-10,101.26325225830078
2014-07-11,101.72682189941406
2014-07-14,101.97960662841797
2014-07-15,102.49730682373047
2014-07-16,102.85246276855469
2014-07-17,102.10004425048828
2014-07-18,102.9548110961914
2014-07-21,102.58158874511719
2014-07-22,103.1353759765625
2014-07-23,102.58760833740234
2014-07-24,103.12332916259766
2014-07-25,101.7147216796875
2014-07-28,102.6176986694336
2014-07-29,102.39494323730469
2014-07-30,102.4310531616211
2014-07-31,101.2452392578125
2014-08-01,100.93218994140625
2014-08-04,101.35961151123047
2014-08-05,100.14358520507812
2014-08-06,99.50553131103516
2014-08-07,99.48746490478516
2014-08-08,100.09544372558594
2014-08-11,101.15492248535156
2014-08-12,100.60712432861328
2014-08-13,102.2391128540039
2014-08-14,102.0752944946289
2014-08-15,102.43934631347656
2014-08-18,103.2826156616211
2014-08-19,103.05813598632812
2014-08-20,103.45252227783203
2014-08-21,103.4161148071289
2014-08-22,102.78514862060547
2014-08-25,102.65776062011719
2014-08-26,102.6819839477539
2014-08-27,102.83975982666016
2014-08-28,102.51818084716797
2014-08-29,103.15520477294922
2014-09-02,103.2098388671875
2014-09-03,103.61628723144531
2014-09-04,103.31900787353516
2014-09-05,105.06625366210938
2014-09-08,104.58700561523438
2014-09-09,104.61734008789062
2014-09-10,103.39788818359375
2014-09-11,103.08848571777344
2014-09-12,100.40689086914062
2014-09-15,100.43120574951172
2014-09-16,101.45043182373047
2014-09-17,101.6263656616211
2014-09-18,100.7223892211914
2014-09-19,100.55253601074219
2014-09-22,100.1884994506836
2014-09-23,99.70317077636719
2014-09-24,99.25421142578125
2014-09-25,98.71427154541016
2014-09-26,99.89730834960938
2014-09-29,99.75167846679688
2014-09-30,99.75167846679688
2014-10-01,100.04896545410156
2014-10-02,99.79417419433594
2014-10-03,100.59497833251953
2014-10-06,100.77091979980469
2014-10-07,99.72743225097656
2014-10-08,101.97825622558594
2014-10-09,102.32404327392578
2014-10-10,102.18450927734375
2014-10-13,101.60213470458984
2014-10-14,102.94286346435547
2014-10-15,100.68598175048828
2014-10-16,100.87408447265625
2014-10-17,102.17845916748047
2014-10-20,103.34937286376953
2014-10-21,104.36856842041016
2014-10-22,104.01060485839844
2014-10-23,104.61734008789062
2014-10-24,104.87212371826172
2014-10-27,105.67901611328125
2014-10-28,107.3959732055664
2014-10-29,106.76499938964844
2014-10-30,107.3171157836914
2014-10-31,108.7245864868164
2014-11-03,110.67207336425781
2014-11-04,111.04218292236328
