,NEE
2014-01-02,15.830864906311035
2014-01-03,15.851533889770508
2014-01-06,15.859049797058105
2014-01-07,15.975543975830078
2014-01-08,16.02627944946289
2014-01-09,16.163455963134766
2014-01-10,16.394575119018555
2014-01-13,16.287473678588867
2014-01-14,16.294986724853516
2014-01-15,16.310020446777344
2014-01-16,16.450939178466797
2014-01-17,16.471614837646484
2014-01-21,16.732799530029297
2014-01-22,16.697093963623047
2014-01-23,16.685827255249023
2014-01-24,16.358867645263672
2014-01-27,16.32692527770996
2014-01-28,16.68206024169922
2014-01-29,16.680187225341797
2014-01-30,17.091693878173828
2014-01-31,17.273962020874023
2014-02-03,17.140552520751953
2014-02-04,16.93761444091797
2014-02-05,16.791051864624023
2014-02-06,16.869966506958008
2014-02-07,17.025936126708984
2014-02-10,17.16309928894043
2014-02-11,17.28335952758789
2014-02-12,17.32469367980957
2014-02-13,17.44683265686035
2014-02-14,17.52574920654297
2014-02-18,17.54078483581543
2014-02-19,17.369794845581055
2014-02-20,17.371671676635742
2014-02-21,17.3923397064209
2014-02-24,17.24577522277832
2014-02-25,17.219470977783203
2014-02-26,17.1332950592041
2014-02-27,17.156017303466797
2014-02-28,17.30943489074707
2014-03-03,17.09920310974121
2014-03-04,17.360570907592773
2014-03-05,17.169279098510742
2014-03-06,17.186321258544922
2014-03-07,17.38709259033203
2014-03-10,17.26966094970703
2014-03-11,17.22799301147461
2014-03-12,17.460962295532227
2014-03-13,17.76210594177246
2014-03-14,17.853015899658203
2014-03-17,17.957191467285156
2014-03-18,17.892791748046875
2014-03-19,17.67119789123535
2014-03-20,17.716650009155273
2014-03-21,17.911739349365234
2014-03-24,17.818925857543945
2014-03-25,17.911739349365234
2014-03-26,17.781044006347656
2014-03-27,17.919307708740234
2014-03-28,17.940139770507812
2014-03-31,18.110607147216797
2014-04-01,17.966655731201172
2014-04-02,17.811357498168945
2014-04-03,17.917421340942383
2014-04-04,17.995071411132812
2014-04-07,17.784835815429688
2014-04-08,18.277278900146484
2014-04-09,18.26403045654297
2014-04-10,18.139019012451172
2014-04-11,18.021587371826172
2014-04-14,18.203414916992188
2014-04-15,18.417436599731445
2014-04-16,18.544334411621094
2014-04-17,18.294321060180664
2014-04-21,18.31137466430664
2014-04-22,18.248868942260742
2014-04-23,18.27159881591797
2014-04-24,18.313268661499023
2014-04-25,18.49888038635254
2014-04-28,18.423114776611328
2014-04-29,18.55570411682129
2014-04-30,18.911775588989258
2014-05-01,18.934499740600586
2014-05-02,18.559494018554688
2014-05-05,18.55191421508789
2014-05-06,18.534866333007812
2014-05-07,18.800025939941406
2014-05-08,18.654190063476562
2014-05-09,18.356822967529297
2014-05-12,18.146591186523438
2014-05-13,18.19773292541504
2014-05-14,18.298110961914062
2014-05-15,18.233715057373047
2014-05-16,18.296220779418945
2014-05-19,17.936351776123047
2014-05-20,18.245084762573242
2014-05-21,18.235607147216797
2014-05-22,18.303796768188477
2014-05-23,18.269704818725586
2014-05-27,18.282958984375
2014-05-28,18.440162658691406
2014-05-29,18.423946380615234
2014-05-30,18.57851791381836
2014-06-02,18.54416847229004
2014-06-03,18.540348052978516
2014-06-04,18.570878982543945
2014-06-05,18.65675163269043
2014-06-06,18.593778610229492
2014-06-09,18.39150619506836
2014-06-10,18.27701187133789
2014-06-11,18.109085083007812
2014-06-12,18.24648094177246
2014-06-13,18.467836380004883
2014-06-16,18.540348052978516
2014-06-17,18.652935028076172
2014-06-18,19.023130416870117
2014-06-19,19.11281394958496
2014-06-20,19.080371856689453
2014-06-23,19.01168441772461
2014-06-24,19.221586227416992
2014-06-25,19.416223526000977
2014-06-26,19.34943389892578
2014-06-27,19.38759994506836
2014-06-30,19.555519104003906
2014-07-01,19.358980178833008
2014-07-02,19.025039672851562
2014-07-03,18.742624282836914
2014-07-07,18.792236328125
2014-07-08,18.872373580932617
2014-07-09,18.859027862548828
2014-07-10,18.96588134765625
2014-07-11,18.885732650756836
2014-07-14,18.5899600982666
2014-07-15,18.76169776916504
2014-07-16,18.838027954101562
2014-07-17,18.62049102783203
2014-07-18,18.8494815826416
2014-07-21,18.83039665222168
2014-07-22,18.767425537109375
2014-07-23,18.794145584106445
2014-07-24,18.838027954101562
2014-07-25,18.7865047454834
2014-07-28,19.00214385986328
2014-07-29,18.776968002319336
2014-07-30,18.383878707885742
2014-07-31,17.916353225708008
2014-08-01,17.902999877929688
2014-08-04,17.94689178466797
2014-08-05,17.668289184570312
2014-08-06,17.622488021850586
