,FE
2014-01-02,20.389434814453125
2014-01-03,20.156450271606445
2014-01-06,20.049406051635742
2014-01-07,20.080888748168945
2014-01-08,20.06199836730957
2014-01-09,20.024219512939453
2014-01-10,20.40203285217285
2014-01-13,20.124963760375977
2014-01-14,20.06199836730957
2014-01-15,19.94236183166504
2014-01-16,20.458703994750977
2014-01-17,20.534273147583008
2014-01-21,20.24460792541504
2014-01-22,19.60232162475586
2014-01-23,19.501571655273438
2014-01-24,19.564546585083008
2014-01-27,19.444900512695312
2014-01-28,19.23710060119629
2014-01-29,19.255990982055664
2014-01-30,19.621217727661133
2014-01-31,19.829010009765625
2014-02-03,19.677888870239258
2014-02-04,19.482683181762695
2014-02-05,19.253324508666992
2014-02-06,19.40622901916504
2014-02-07,19.59735870361328
2014-02-10,19.724781036376953
2014-02-11,19.954143524169922
2014-02-12,19.79486846923828
2014-02-13,20.132522583007812
2014-02-14,20.22809410095215
2014-02-18,20.1452693939209
2014-02-19,20.215354919433594
2014-02-20,20.553024291992188
2014-02-21,20.196237564086914
2014-02-24,20.196237564086914
2014-02-25,19.62285041809082
2014-02-26,19.782121658325195
2014-02-27,19.616474151611328
2014-02-28,19.610103607177734
2014-03-03,19.444461822509766
2014-03-04,19.508163452148438
2014-03-05,19.788497924804688
2014-03-06,19.648330688476562
2014-03-07,19.54001808166504
2014-03-10,19.7120418548584
2014-03-11,19.610103607177734
2014-03-12,19.75026512145996
2014-03-13,20.017847061157227
2014-03-14,20.005109786987305
2014-03-17,20.317289352416992
2014-03-18,20.342771530151367
2014-03-19,20.2089786529541
2014-03-20,20.285432815551758
2014-03-21,20.928911209106445
2014-03-24,21.279321670532227
2014-03-25,21.107301712036133
2014-03-26,21.126413345336914
2014-03-27,21.374889373779297
2014-03-28,21.712549209594727
2014-03-31,21.680694580078125
2014-04-01,21.355772018432617
2014-04-02,21.29843521118164
2014-04-03,21.553264617919922
2014-04-04,21.680694580078125
2014-04-07,21.425851821899414
2014-04-08,21.795377731323242
2014-04-09,21.5023136138916
2014-04-10,21.336654663085938
2014-04-11,21.12004280090332
2014-04-14,21.221982955932617
2014-04-15,21.680694580078125
2014-04-16,21.75714683532715
2014-04-17,21.413110733032227
2014-04-21,21.330286026000977
2014-04-22,21.30480194091797
2014-04-23,21.20924186706543
2014-04-24,21.77626609802246
2014-04-25,22.075693130493164
2014-04-28,21.871822357177734
2014-04-29,21.827224731445312
2014-04-30,21.5023136138916
2014-05-01,21.585126876831055
2014-05-02,21.2410945892334
2014-05-05,21.52448081970215
2014-05-06,21.028554916381836
2014-05-07,21.827184677124023
2014-05-08,21.659732818603516
2014-05-09,21.582439422607422
2014-05-12,21.208890914916992
2014-05-13,20.92550277709961
2014-05-14,20.8353328704834
2014-05-15,20.777372360229492
2014-05-16,20.764488220214844
2014-05-19,20.1912784576416
2014-05-20,20.120433807373047
2014-05-21,20.313650131225586
2014-05-22,20.320096969604492
2014-05-23,20.275001525878906
2014-05-27,21.40211296081543
2014-05-28,21.666173934936523
2014-05-29,21.563125610351562
2014-05-30,21.782106399536133
2014-06-02,21.60820770263672
2014-06-03,22.22650146484375
2014-06-04,22.091251373291016
2014-06-05,22.258712768554688
2014-06-06,22.355314254760742
2014-06-09,22.27802848815918
2014-06-10,22.37464141845703
2014-06-11,21.99464225769043
2014-06-12,22.05905532836914
2014-06-13,22.013965606689453
2014-06-16,21.99464225769043
2014-06-17,22.02041244506836
2014-06-18,22.56141471862793
2014-06-19,22.361753463745117
2014-06-20,22.419729232788086
2014-06-23,22.284469604492188
2014-06-24,22.12989616394043
2014-06-25,22.149213790893555
2014-06-26,22.02041244506836
2014-06-27,21.891597747802734
2014-06-30,22.361753463745117
2014-07-01,21.898038864135742
2014-07-02,21.131601333618164
2014-07-03,20.93193817138672
2014-07-07,21.04143714904785
2014-07-08,21.324819564819336
2014-07-09,21.36346435546875
2014-07-10,21.369911193847656
2014-07-11,20.977031707763672
2014-07-14,20.564830780029297
2014-07-15,20.584150314331055
2014-07-16,20.7580509185791
2014-07-17,20.410253524780273
2014-07-18,20.5390682220459
2014-07-21,20.519746780395508
2014-07-22,20.37160873413086
2014-07-23,20.57771873474121
2014-07-24,20.732284545898438
2014-07-25,20.603469848632812
2014-07-28,20.873981475830078
2014-07-29,20.803133010864258
2014-07-30,20.384492874145508
2014-07-31,20.101104736328125
2014-08-01,20.049583435058594
2014-08-04,20.004499435424805
2014-08-05,20.80598258972168
2014-08-06,20.51275634765625
2014-08-07,20.493207931518555
2014-08-08,21.07965660095215
2014-08-11,21.118757247924805
2014-08-12,21.047080993652344
2014-08-13,21.118757247924805
2014-08-14,21.320755004882812
2014-08-15,21.483661651611328
2014-08-18,21.39894676208496
2014-08-19,21.633529663085938
2014-08-20,21.724756240844727
2014-08-21,21.802946090698242
2014-08-22,21.71824073791504
2014-08-25,21.946304321289062
2014-08-26,21.64656639099121
2014-08-27,22.02450180053711
2014-08-28,22.14830780029297
2014-08-29,22.311203002929688
2014-09-02,21.952817916870117
2014-09-03,22.272109985351562
2014-09-04,22.167856216430664
2014-09-05,22.532756805419922
2014-09-08,22.311203002929688
2014-09-09,22.259082794189453
2014-09-10,22.128759384155273
2014-09-11,22.519725799560547
2014-09-12,22.272109985351562
2014-09-15,22.389400482177734
2014-09-16,22.67611312866211
2014-09-17,22.61745834350586
2014-09-18,22.350303649902344
2014-09-19,22.558820724487305
2014-09-22,22.571849822998047
2014-09-23,22.291664123535156
