,MGM
2014-01-02,22.40378189086914
2014-01-03,22.148773193359375
2014-01-06,22.17710304260254
2014-01-07,23.149951934814453
2014-01-08,23.357746124267578
2014-01-09,23.5938720703125
2014-01-10,23.95278549194336
2014-01-13,23.84889793395996
2014-01-14,24.34947967529297
2014-01-15,24.29281234741211
2014-01-16,24.34947967529297
2014-01-17,24.94452667236328
2014-01-21,24.89729881286621
2014-01-22,24.31170082092285
2014-01-23,23.782772064208984
2014-01-24,22.46046257019043
2014-01-27,22.46046257019043
2014-01-28,22.71547508239746
2014-01-29,21.98820686340332
2014-01-30,22.772144317626953
2014-01-31,23.008277893066406
2014-02-03,22.536022186279297
2014-02-04,22.85715675354004
2014-02-05,22.3565616607666
2014-02-06,22.942163467407227
2014-02-07,23.423858642578125
2014-02-10,23.272741317749023
2014-02-11,23.84889793395996
2014-02-12,23.915008544921875
2014-02-13,24.160579681396484
2014-02-14,24.57616424560547
2014-02-18,24.415597915649414
2014-02-19,24.321142196655273
2014-02-20,25.341211318969727
2014-02-21,25.54900550842285
2014-02-24,26.29517364501953
2014-02-25,26.011821746826172
2014-02-26,25.964595794677734
2014-02-27,26.314062118530273
2014-02-28,26.021265029907227
2014-03-03,26.068490982055664
2014-03-04,26.720205307006836
2014-03-05,26.65408706665039
2014-03-06,26.814653396606445
2014-03-07,26.720205307006836
2014-03-10,26.172386169433594
2014-03-11,25.54900550842285
2014-03-12,25.45455551147461
2014-03-13,25.029525756835938
2014-03-14,24.81229019165039
2014-03-17,25.1334285736084
2014-03-18,25.303434371948242
2014-03-19,25.10508918762207
2014-03-20,24.91618537902832
2014-03-21,24.72728729248047
2014-03-24,24.415597915649414
2014-03-25,24.188913345336914
2014-03-26,23.584426879882812
2014-03-27,23.518312454223633
2014-03-28,23.499420166015625
2014-03-31,24.42504119873047
2014-04-01,25.057861328125
2014-04-02,25.218433380126953
2014-04-03,24.79340171813965
2014-04-04,24.018905639648438
2014-04-07,22.59269142150879
2014-04-08,23.10272789001465
2014-04-09,23.480533599853516
2014-04-10,22.743810653686523
2014-04-11,22.583250045776367
2014-04-14,22.366012573242188
2014-04-15,22.158218383789062
2014-04-16,22.87604331970215
2014-04-17,22.630474090576172
2014-04-21,22.554908752441406
2014-04-22,23.584426879882812
2014-04-23,22.847707748413086
2014-04-24,23.187732696533203
2014-04-25,22.34712028503418
2014-04-28,21.742633819580078
2014-04-29,23.5938720703125
2014-04-30,23.829999923706055
2014-05-01,23.98111915588379
2014-05-02,25.02008628845215
2014-05-05,24.736732482910156
2014-05-06,24.255033493041992
2014-05-07,23.754438400268555
2014-05-08,22.97049331665039
2014-05-09,22.989389419555664
2014-05-12,23.22551727294922
2014-05-13,23.310518264770508
2014-05-14,22.86660385131836
2014-05-15,22.86660385131836
2014-05-16,22.57379722595215
2014-05-19,22.819372177124023
2014-05-20,22.517127990722656
2014-05-21,22.847707748413086
2014-05-22,23.40497589111328
2014-05-23,23.678876876831055
2014-05-27,24.198360443115234
2014-05-28,24.283367156982422
2014-05-29,24.557273864746094
2014-05-30,24.321142196655273
2014-06-02,24.680055618286133
2014-06-03,23.971675872802734
2014-06-04,24.26447296142578
2014-06-05,24.028348922729492
2014-06-06,23.744993209838867
2014-06-09,23.168840408325195
2014-06-10,23.159400939941406
2014-06-11,23.518312454223633
2014-06-12,23.083837509155273
2014-06-13,23.518312454223633
2014-06-16,23.433305740356445
2014-06-17,23.414417266845703
2014-06-18,23.716663360595703
2014-06-19,23.744993209838867
2014-06-20,23.990570068359375
2014-06-23,24.21725082397461
2014-06-24,24.23613739013672
2014-06-25,24.472267150878906
2014-06-26,25.237319946289062
2014-06-27,24.94452667236328
2014-06-30,24.935077667236328
2014-07-01,25.123981475830078
2014-07-02,25.426219940185547
2014-07-03,25.35066032409668
2014-07-07,25.1334285736084
2014-07-08,24.34947967529297
2014-07-09,24.557273864746094
2014-07-10,24.29281234741211
2014-07-11,24.132244110107422
2014-07-14,24.255033493041992
2014-07-15,24.075571060180664
2014-07-16,24.14168930053711
2014-07-17,23.896116256713867
2014-07-18,24.103910446166992
2014-07-21,24.037790298461914
2014-07-22,24.717838287353516
2014-07-23,24.821739196777344
2014-07-24,24.538387298583984
2014-07-25,24.925630569458008
2014-07-28,25.331775665283203
2014-07-29,25.50178337097168
2014-07-30,25.832366943359375
2014-07-31,25.35066032409668
2014-08-01,24.8028507232666
2014-08-04,24.982303619384766
2014-08-05,24.443933486938477
2014-08-06,23.744993209838867
2014-08-07,23.112173080444336
2014-08-08,23.357746124267578
2014-08-11,23.433305740356445
2014-08-12,23.433305740356445
2014-08-13,23.565540313720703
2014-08-14,23.744993209838867
2014-08-15,23.650543212890625
2014-08-18,23.754438400268555
2014-08-19,23.716663360595703
2014-08-20,23.811107635498047
2014-08-21,23.707212448120117
2014-08-22,23.688323974609375
2014-08-25,23.508867263793945
2014-08-26,23.48997688293457
2014-08-27,23.263288497924805
2014-08-28,23.480533599853516
2014-08-29,23.112173080444336
2014-09-02,22.507680892944336
2014-09-03,22.602134704589844
2014-09-04,22.79103660583496
2014-09-05,22.838268280029297
2014-09-08,22.85715675354004
2014-09-09,22.942163467407227
2014-09-10,22.838268280029297
2014-09-11,22.894935607910156
2014-09-12,22.451019287109375
2014-09-15,21.922090530395508
2014-09-16,21.55373191833496
2014-09-17,21.572620391845703
2014-09-18,22.09210205078125
2014-09-19,21.837085723876953
2014-09-22,21.26093292236328
2014-09-23,21.487613677978516
2014-09-24,21.544286727905273
2014-09-25,21.1475887298584
2014-09-26,21.33649444580078
2014-09-29,20.930355072021484
2014-09-30,21.515949249267578
2014-10-01,20.883127212524414
2014-10-02,20.779237747192383
2014-10-03,20.902019500732422
2014-10-06,20.949243545532227
2014-10-07,20.5903263092041
2014-10-08,20.750896453857422
2014-10-09,20.203081130981445
2014-10-10,19.608036041259766
2014-10-13,19.14522933959961
2014-10-14,19.475805282592773
2014-10-15,19.26801300048828
2014-10-16,20.203081130981445
2014-10-17,20.505325317382812
2014-10-20,20.495880126953125
2014-10-21,21.204265594482422
2014-10-22,20.89257049560547
2014-10-23,21.1192569732666
2014-10-24,21.327049255371094
2014-10-27,21.412052154541016
2014-10-28,21.63873863220215
2014-10-29,21.61983871459961
2014-10-30,21.704851150512695
2014-10-31,21.959869384765625
2014-11-03,21.742633819580078
2014-11-04,21.09092140197754
2014-11-05,20.51476287841797
2014-11-06,20.656444549560547
2014-11-07,20.722558975219727
2014-11-10,20.91145896911621
2014-11-11,21.308156967163086
2014-11-12,21.28926658630371
2014-11-13,21.39316177368164
2014-11-14,21.45928192138672
2014-11-17,21.175926208496094
2014-11-18,21.1475887298584
2014-11-19,20.958690643310547
2014-11-20,20.958690643310547
2014-11-21,21.45928192138672
2014-11-24,21.582063674926758
2014-11-25,21.544286727905273
2014-11-26,21.55373191833496
2014-11-28,21.544286727905273
2014-12-01,21.034252166748047
2014-12-02,20.939796447753906
2014-12-03,20.902019500732422
2014-12-04,20.750896453857422
2014-12-05,20.694225311279297
2014-12-08,20.448654174804688
2014-12-09,20.31641960144043
2014-12-10,19.570255279541016
2014-12-11,19.40024757385254
2014-12-12,19.060222625732422
2014-12-15,18.72020149230957
2014-12-16,17.80402183532715
2014-12-17,17.01063346862793
2014-12-18,18.323505401611328
2014-12-19,19.20189666748047
2014-12-22,19.154672622680664
2014-12-23,19.77804946899414
2014-12-24,19.61748695373535
2014-12-26,19.938617706298828
2014-12-29,20.2880859375
2014-12-30,20.25975227355957
2014-12-31,20.193635940551758
2015-01-02,19.85361099243164
2015-01-05,19.305795669555664
2015-01-06,18.56907844543457
2015-01-07,19.296350479125977
2015-01-08,19.570255279541016
2015-01-09,19.37191390991211
2015-01-12,19.098003387451172
2015-01-13,19.220787048339844
2015-01-14,19.107446670532227
2015-01-15,19.116893768310547
2015-01-16,18.899656295776367
2015-01-20,18.068485260009766
2015-01-21,18.172380447387695
2015-01-22,18.786314010620117
2015-01-23,18.890207290649414
2015-01-26,19.73082733154297
2015-01-27,19.702491760253906
2015-01-28,19.19245147705078
2015-01-29,19.060222625732422
2015-01-30,18.399066925048828
2015-02-02,18.64463996887207
2015-02-03,19.32468032836914
2015-02-04,18.76742172241211
2015-02-05,19.20189666748047
2015-02-06,18.852432250976562
2015-02-09,18.502962112426758
2015-02-10,19.589143753051758
2015-02-11,19.59859275817871
2015-02-12,20.0614013671875
2015-02-13,20.269193649291992
2015-02-17,20.656444549560547
2015-02-18,21.06258201599121
2015-02-19,21.19481658935547
2015-02-20,21.3742733001709
2015-02-23,21.2987117767334
2015-02-24,20.665889739990234
2015-02-25,20.750896453857422
2015-02-26,20.73200798034668
2015-02-27,20.52421760559082
2015-03-02,20.656444549560547
2015-03-03,20.798114776611328
2015-03-04,20.854793548583984
2015-03-05,20.713119506835938
2015-03-06,20.420318603515625
2015-03-09,19.74971580505371
2015-03-10,18.91854476928711
