,EMR
2014-01-02,51.20720291137695
2014-01-03,51.25891876220703
2014-01-06,50.87468338012695
2014-01-07,50.91161346435547
2014-01-08,50.65300750732422
2014-01-09,50.446102142333984
2014-01-10,50.65300750732422
2014-01-13,50.283546447753906
2014-01-14,51.14067077636719
2014-01-15,51.561866760253906
2014-01-16,51.68748092651367
2014-01-17,51.07419204711914
2014-01-21,51.39191436767578
2014-01-22,50.95595932006836
2014-01-23,49.76629638671875
2014-01-24,48.22195053100586
2014-01-27,48.414066314697266
2014-01-28,49.01996612548828
2014-01-29,48.524906158447266
2014-01-30,49.19733428955078
2014-01-31,48.72441864013672
2014-02-03,47.47562789916992
2014-02-04,47.335235595703125
2014-02-05,47.11356735229492
2014-02-06,47.2465705871582
2014-02-07,48.17022705078125
2014-02-10,48.02243423461914
2014-02-11,47.99287414550781
2014-02-12,48.4317512512207
2014-02-13,48.007747650146484
2014-02-14,47.985443115234375
2014-02-18,47.457313537597656
2014-02-19,47.06307601928711
2014-02-20,47.278785705566406
2014-02-21,47.17465591430664
2014-02-24,47.844120025634766
2014-02-25,48.01521301269531
2014-02-26,48.52102279663086
2014-02-27,48.535884857177734
2014-02-28,48.543331146240234
2014-03-03,47.86643600463867
2014-03-04,48.439178466796875
2014-03-05,48.394554138183594
2014-03-06,48.387115478515625
2014-03-07,48.796241760253906
2014-03-10,48.2978630065918
2014-03-11,47.91106414794922
2014-03-12,47.6060791015625
2014-03-13,46.87711715698242
2014-03-14,46.534950256347656
2014-03-17,47.353179931640625
2014-03-18,47.509376525878906
2014-03-19,47.330867767333984
2014-03-20,47.30109786987305
2014-03-21,48.610267639160156
2014-03-24,48.640045166015625
2014-03-25,49.3541259765625
2014-03-26,48.900367736816406
2014-03-27,49.24253845214844
2014-03-28,49.65910339355469
2014-03-31,49.68885040283203
2014-04-01,50.07564926147461
2014-04-02,50.46244812011719
2014-04-03,50.53683853149414
2014-04-04,50.038448333740234
2014-04-07,49.4508171081543
2014-04-08,49.58469772338867
2014-04-09,49.91199493408203
2014-04-10,49.1309700012207
2014-04-11,48.6474723815918
2014-04-14,48.62516403198242
2014-04-15,49.50289535522461
2014-04-16,50.291378021240234
2014-04-17,50.90876007080078
2014-04-21,51.02032470703125
2014-04-22,51.10215377807617
2014-04-23,51.622840881347656
2014-04-24,51.697235107421875
2014-04-25,50.90876007080078
2014-04-28,50.745113372802734
2014-04-29,50.61865234375
2014-04-30,50.715362548828125
2014-05-01,50.574012756347656
2014-05-02,50.231849670410156
2014-05-05,50.298797607421875
2014-05-06,49.51031494140625
2014-05-07,49.986385345458984
2014-05-08,49.99382400512695
2014-05-09,49.926883697509766
2014-05-12,50.745113372802734
2014-05-13,50.78974533081055
2014-05-14,50.37803649902344
2014-05-15,49.88398361206055
2014-05-16,49.81661605834961
2014-05-19,49.951358795166016
2014-05-20,48.933326721191406
2014-05-21,49.083011627197266
2014-05-22,49.50221252441406
2014-05-23,49.77919006347656
2014-05-27,50.04118347167969
2014-05-28,49.89147186279297
2014-05-29,50.003753662109375
2014-05-30,49.951358795166016
2014-06-02,50.28071594238281
2014-06-03,50.108551025390625
2014-06-04,49.958839416503906
2014-06-05,50.445404052734375
2014-06-06,50.64751052856445
2014-06-09,50.97688674926758
2014-06-10,50.52774429321289
2014-06-11,50.34062194824219
2014-06-12,49.734275817871094
2014-06-13,49.75673294067383
2014-06-16,49.65193557739258
2014-06-17,50.33311462402344
2014-06-18,50.95442581176758
2014-06-19,50.61009216308594
2014-06-20,51.0816764831543
2014-06-23,50.759796142578125
2014-06-24,50.20585250854492
2014-06-25,50.16843795776367
2014-06-26,49.951358795166016
2014-06-27,50.09356689453125
2014-06-30,49.67438888549805
2014-07-01,49.81661605834961
2014-07-02,49.88398361206055
2014-07-03,50.43042755126953
2014-07-07,50.6400260925293
2014-07-08,50.774776458740234
2014-07-09,50.67744827270508
2014-07-10,50.303184509277344
2014-07-11,50.22832107543945
2014-07-14,50.348079681396484
2014-07-15,50.52774429321289
2014-07-16,50.89453125
2014-07-17,50.13849639892578
2014-07-18,50.445404052734375
2014-07-21,50.422943115234375
2014-07-22,50.46786117553711
2014-07-23,50.16843795776367
2014-07-24,50.190879821777344
2014-07-25,50.47535705566406
2014-07-28,50.21335983276367
2014-07-29,49.47977066040039
2014-07-30,48.813541412353516
2014-07-31,47.64579772949219
2014-08-01,47.458648681640625
2014-08-04,47.90029525756836
2014-08-05,47.039451599121094
2014-08-06,46.29838943481445
2014-08-07,46.25346755981445
2014-08-08,47.009521484375
2014-08-11,46.84482955932617
2014-08-12,46.91221237182617
2014-08-13,47.52273178100586
2014-08-14,47.447349548339844
2014-08-15,47.46242904663086
2014-08-18,48.103092193603516
2014-08-19,48.18600845336914
2014-08-20,48.600563049316406
2014-08-21,48.660850524902344
2014-08-22,48.69099807739258
2014-08-25,48.80406951904297
2014-08-26,48.49504089355469
2014-08-27,48.540260314941406
2014-08-28,48.43474578857422
2014-08-29,48.253841400146484
2014-09-02,48.47243118286133
2014-09-03,48.45735168457031
2014-09-04,48.72114944458008
2014-09-05,49.05278778076172
2014-09-08,48.9774169921875
2014-09-09,49.075408935546875
2014-09-10,49.00004577636719
2014-09-11,48.73622512817383
2014-09-12,48.608097076416016
2014-09-15,48.46489715576172
2014-09-16,48.547813415527344
2014-09-17,48.63825225830078
2014-09-18,48.796531677246094
2014-09-19,48.99250411987305
2014-09-22,48.42719268798828
2014-09-23,47.86189651489258
2014-09-24,48.39706039428711
2014-09-25,47.04033660888672
2014-09-26,47.51519012451172
2014-09-29,47.23631286621094
2014-09-30,47.16847610473633
2014-10-01,46.27906799316406
2014-10-02,46.836830139160156
2014-10-03,47.047874450683594
2014-10-06,47.078025817871094
2014-10-07,45.97757339477539
2014-10-08,46.59563064575195
2014-10-09,44.96757507324219
2014-10-10,44.794219970703125
2014-10-13,44.221378326416016
2014-10-14,44.59824752807617
2014-10-15,44.73392105102539
2014-10-16,45.57809829711914
2014-10-17,46.143402099609375
2014-10-20,46.15092849731445
2014-10-21,47.45489501953125
2014-10-22,45.93989181518555
2014-10-23,46.76899337768555
2014-10-24,47.025264739990234
2014-10-27,46.934814453125
2014-10-28,47.771461486816406
2014-10-29,47.711158752441406
2014-10-30,47.801605224609375
2014-10-31,48.28398895263672
2014-11-03,48.623165130615234
2014-11-04,48.381980895996094
2014-11-05,48.547813415527344
2014-11-06,48.7437744140625
2014-11-07,48.8869743347168
2014-11-10,49.075408935546875
2014-11-11,48.660850524902344
2014-11-12,48.630489349365234
2014-11-13,48.228084564208984
2014-11-14,48.30401611328125
2014-11-17,48.39511489868164
2014-11-18,48.62290573120117
2014-11-19,48.70641326904297
2014-11-20,48.75196075439453
2014-11-21,49.79975128173828
2014-11-24,49.9364128112793
2014-11-25,49.883270263671875
2014-11-26,49.64030838012695
2014-11-28,48.402713775634766
2014-12-01,47.68901443481445
2014-12-02,48.243255615234375
2014-12-03,48.95697021484375
2014-12-04,49.0177116394043
2014-12-05,49.26066207885742
2014-12-08,48.29641342163086
2014-12-09,48.31160354614258
2014-12-10,46.65642166137695
2014-12-11,46.55772399902344
2014-12-12,44.363460540771484
2014-12-15,44.1508674621582
2014-12-16,44.955684661865234
2014-12-17,45.358089447021484
2014-12-18,47.074005126953125
2014-12-19,47.3245735168457
2014-12-22,47.52956771850586
2014-12-23,47.70419692993164
2014-12-24,47.62826156616211
2014-12-26,47.666221618652344
2014-12-29,47.53715133666992
2014-12-30,47.35493087768555
2014-12-31,46.86900329589844
2015-01-02,46.91455841064453
2015-01-05,45.95030212402344
2015-01-06,45.8743782043457
2015-01-07,45.77567672729492
2015-01-08,46.97530746459961
2015-01-09,46.23882293701172
2015-01-12,45.6845703125
2015-01-13,45.6162223815918
2015-01-14,45.2669677734375
2015-01-15,45.08475875854492
2015-01-16,45.821231842041016
2015-01-20,45.91993713378906
2015-01-21,46.29955291748047
2015-01-22,45.411231994628906
2015-01-23,44.128082275390625
2015-01-26,45.12272262573242
2015-01-27,43.50550079345703
2015-01-28,42.69308853149414
2015-01-29,43.18661117553711
2015-01-30,43.2321662902832
2015-02-02,44.773460388183594
2015-02-03,45.13031005859375
2015-02-04,43.52827835083008
2015-02-05,43.3916015625
2015-02-06,43.30049514770508
2015-02-09,43.54344940185547
2015-02-10,44.067344665527344
2015-02-11,44.15920639038086
2015-02-12,44.85576248168945
2015-02-13,44.91701126098633
2015-02-17,44.62613296508789
2015-02-18,45.04713821411133
2015-02-19,44.924659729003906
2015-02-20,44.909339904785156
2015-02-23,44.96293258666992
2015-02-24,44.8174934387207
2015-02-25,44.62613296508789
2015-02-26,44.350563049316406
2015-02-27,44.335262298583984
2015-03-02,44.64910125732422
2015-03-03,44.687381744384766
2015-03-04,44.228092193603516
2015-03-05,44.45772933959961
2015-03-06,43.29423904418945
2015-03-09,43.70758819580078
2015-03-10,42.934471130371094
2015-03-11,42.490501403808594
2015-03-12,42.90386199951172
2015-03-13,42.29914474487305
2015-03-16,43.04164505004883
2015-03-17,42.62828063964844
2015-03-18,43.462642669677734
2015-03-19,43.07225036621094
2015-03-20,43.39375305175781
2015-03-23,43.57745361328125
2015-03-24,43.485599517822266
2015-03-25,43.324851989746094
2015-03-26,43.225337982177734
2015-03-27,43.27892303466797
2015-03-30,43.317195892333984
2015-03-31,43.34016036987305
2015-04-01,42.7813720703125
2015-04-02,42.51346969604492
