,CAT
2014-01-02,67.04278564453125
2014-01-03,67.00545501708984
2014-01-06,66.12519073486328
2014-01-07,66.34151458740234
2014-01-08,66.49818420410156
2014-01-09,66.92339324951172
2014-01-10,67.52019500732422
2014-01-13,67.05770111083984
2014-01-14,67.55748748779297
2014-01-15,68.93760681152344
2014-01-16,69.08778381347656
2014-01-17,68.6597671508789
2014-01-21,68.02906036376953
2014-01-22,67.30821228027344
2014-01-23,66.43720245361328
2014-01-24,64.7026596069336
2014-01-27,68.54715728759766
2014-01-28,69.43314361572266
2014-01-29,68.04408264160156
2014-01-30,69.9813003540039
2014-01-31,70.5144271850586
2014-02-03,69.3956298828125
2014-02-04,69.4556884765625
2014-02-05,69.05020904541016
2014-02-06,70.45436096191406
2014-02-07,71.23526000976562
2014-02-10,70.95745086669922
2014-02-11,71.30286407470703
2014-02-12,72.2114028930664
2014-02-13,72.16637420654297
2014-02-14,72.49673461914062
2014-02-18,72.50423431396484
2014-02-19,72.24141693115234
2014-02-20,72.77454376220703
2014-02-21,73.2100601196289
2014-02-24,73.07490539550781
2014-02-25,72.39160919189453
2014-02-26,72.98480224609375
2014-02-27,72.60935974121094
2014-02-28,72.81209564208984
2014-03-03,72.3165283203125
2014-03-04,72.84963989257812
2014-03-05,72.36157989501953
2014-03-06,73.28514099121094
2014-03-07,72.87215423583984
2014-03-10,72.64691925048828
2014-03-11,72.71448516845703
2014-03-12,72.69947814941406
2014-03-13,71.79090881347656
2014-03-14,71.62572479248047
2014-03-17,71.83594512939453
2014-03-18,72.39160919189453
2014-03-19,72.11381530761719
2014-03-20,72.24141693115234
2014-03-21,73.1274642944336
2014-03-24,72.72200775146484
2014-03-25,74.02851104736328
2014-03-26,73.43533325195312
2014-03-27,73.92338562011719
2014-03-28,74.62921142578125
2014-03-31,74.61419677734375
2014-04-01,74.944580078125
2014-04-02,77.06202697753906
2014-04-03,77.00196838378906
2014-04-04,76.71662902832031
2014-04-07,75.92071533203125
2014-04-08,76.8818130493164
2014-04-09,77.33234405517578
2014-04-10,76.78421783447266
2014-04-11,76.17601776123047
2014-04-14,77.17463684082031
2014-04-15,76.96442413330078
2014-04-16,77.74236297607422
2014-04-17,77.66687774658203
2014-04-21,77.52335357666016
2014-04-22,78.31639862060547
2014-04-23,78.08226013183594
2014-04-24,79.51730346679688
2014-04-25,79.07168579101562
2014-04-28,78.74689483642578
2014-04-29,79.53240203857422
2014-04-30,79.60797119140625
2014-05-01,79.35869598388672
2014-05-02,79.31336975097656
2014-05-05,78.94329833984375
2014-05-06,78.45236206054688
2014-05-07,79.0188217163086
2014-05-08,79.26050567626953
2014-05-09,79.35113525390625
2014-05-12,80.21218872070312
2014-05-13,80.9297103881836
2014-05-14,80.46144104003906
2014-05-15,79.29827880859375
2014-05-16,80.0837631225586
2014-05-19,79.60039520263672
2014-05-20,76.7076187133789
2014-05-21,77.70459747314453
2014-05-22,77.85564422607422
2014-05-23,78.57319641113281
2014-05-27,78.3088150024414
2014-05-28,77.72727966308594
2014-05-29,78.24842834472656
2014-05-30,77.21368408203125
2014-06-02,78.3692855834961
2014-06-03,78.92066192626953
2014-06-04,78.78467559814453
2014-06-05,80.78620910644531
2014-06-06,81.70767974853516
2014-06-09,82.13818359375
2014-06-10,82.56114959716797
2014-06-11,82.09284973144531
2014-06-12,80.55206298828125
2014-06-13,80.6427001953125
2014-06-16,80.67291259765625
2014-06-17,80.56718444824219
2014-06-18,81.17896270751953
2014-06-19,81.00524139404297
2014-06-20,82.61402893066406
2014-06-23,82.16083526611328
2014-06-24,81.42819213867188
2014-06-25,81.90404510498047
2014-06-26,81.96444702148438
2014-06-27,82.16083526611328
2014-06-30,82.0777587890625
2014-07-01,82.45539093017578
2014-07-02,82.74998474121094
2014-07-03,83.89800262451172
2014-07-07,83.20315551757812
2014-07-08,82.67445373535156
2014-07-09,83.18803405761719
2014-07-10,82.59892272949219
2014-07-11,83.0521011352539
2014-07-14,83.1502914428711
2014-07-15,82.96900177001953
2014-07-16,84.13970184326172
2014-07-17,82.9007797241211
2014-07-18,83.73686981201172
2014-07-21,83.78247833251953
2014-07-22,83.65326690673828
2014-07-23,82.37633514404297
2014-07-24,79.83773803710938
2014-07-25,79.69331359863281
2014-07-28,79.16127014160156
2014-07-29,79.57168579101562
2014-07-30,78.57599639892578
2014-07-31,76.5770034790039
2014-08-01,76.4021987915039
2014-08-04,77.3826904296875
2014-08-05,77.14708709716797
2014-08-06,77.13945770263672
2014-08-07,77.48150634765625
2014-08-08,78.49999237060547
2014-08-11,79.42727661132812
2014-08-12,79.29806518554688
2014-08-13,79.92892456054688
2014-08-14,80.30895233154297
2014-08-15,80.3697738647461
2014-08-18,81.312255859375
2014-08-19,81.55548858642578
2014-08-20,81.85948181152344
2014-08-21,82.06472778320312
2014-08-22,81.56307983398438
2014-08-25,82.06472778320312
2014-08-26,82.13311004638672
2014-08-27,82.50555419921875
2014-08-28,82.58155822753906
2014-08-29,82.9007797241211
2014-09-02,82.78677368164062
2014-09-03,82.43717193603516
2014-09-04,82.71077728271484
2014-09-05,82.49794006347656
2014-09-08,82.01910400390625
2014-09-09,81.63148498535156
2014-09-10,80.51417541503906
2014-09-11,80.25575256347656
2014-09-12,79.822509765625
2014-09-15,79.7009048461914
2014-09-16,79.7009048461914
2014-09-17,79.03964233398438
2014-09-18,79.3056869506836
2014-09-19,77.91473388671875
2014-09-22,76.69103240966797
2014-09-23,75.99935913085938
2014-09-24,76.9190444946289
2014-09-25,75.63453674316406
2014-09-26,76.29580688476562
2014-09-29,75.87774658203125
2014-09-30,75.2696762084961
2014-10-01,74.19039916992188
2014-10-02,74.03838348388672
2014-10-03,74.0231704711914
2014-10-06,74.48682403564453
2014-10-07,71.97857666015625
2014-10-08,73.46074676513672
2014-10-09,71.06652069091797
2014-10-10,70.7852783203125
2014-10-13,69.68318939208984
2014-10-14,70.53446197509766
2014-10-15,70.37482452392578
2014-10-16,71.40876770019531
2014-10-17,72.79495239257812
2014-10-20,72.01380157470703
2014-10-21,73.43828582763672
2014-10-22,72.42733001708984
2014-10-23,76.02688598632812
2014-10-24,76.1571044921875
2014-10-27,75.46780395507812
2014-10-28,77.47439575195312
2014-10-29,76.73148345947266
2014-10-30,76.70850372314453
2014-10-31,77.66584777832031
2014-11-03,76.75444793701172
2014-11-04,75.52143096923828
2014-11-05,76.13411712646484
2014-11-06,77.28289794921875
2014-11-07,77.93389129638672
2014-11-10,78.27853393554688
2014-11-11,78.52359771728516
2014-11-12,78.8758773803711
2014-11-13,77.43606567382812
2014-11-14,77.61222076416016
2014-11-17,77.88793182373047
2014-11-18,78.14830780029297
2014-11-19,77.58159637451172
2014-11-20,78.18661499023438
2014-11-21,81.5257568359375
2014-11-24,81.15049743652344
2014-11-25,81.36493682861328
2014-11-26,81.02027893066406
2014-11-28,77.04549407958984
2014-12-01,75.82011413574219
2014-12-02,76.21070861816406
2014-12-03,76.72381591796875
2014-12-04,76.33323669433594
2014-12-05,75.65159606933594
2014-12-08,72.9481430053711
2014-12-09,73.10128021240234
2014-12-10,71.24027252197266
2014-12-11,70.98754119873047
2014-12-12,69.31027221679688
2014-12-15,68.73590850830078
2014-12-16,68.4218978881836
2014-12-17,68.73590850830078
2014-12-18,70.22168731689453
2014-12-19,70.23698425292969
2014-12-22,70.70415496826172
2014-12-23,71.60786437988281
2014-12-24,71.7763900756836
2014-12-26,72.16697692871094
2014-12-29,71.76870727539062
2014-12-30,70.91093444824219
2014-12-31,70.09912109375
2015-01-02,70.3671875
2015-01-05,66.65277862548828
2015-01-06,66.22386932373047
2015-01-07,67.2501220703125
2015-01-08,67.93939971923828
2015-01-09,67.12761688232422
2015-01-12,66.54553985595703
2015-01-13,66.14730072021484
2015-01-14,65.91754913330078
2015-01-15,65.10679626464844
2015-01-16,64.75162506103516
2015-01-20,64.8365478515625
2015-01-21,65.91754913330078
2015-01-22,67.03716278076172
2015-01-23,66.10285949707031
2015-01-26,66.42716217041016
2015-01-27,61.65532684326172
2015-01-28,61.778865814208984
2015-01-29,61.77117156982422
2015-01-30,61.747989654541016
2015-02-02,62.419734954833984
2015-02-03,64.79794311523438
2015-02-04,63.276832580566406
2015-02-05,64.52769470214844
2015-02-06,64.24971008300781
2015-02-09,65.3770523071289
2015-02-10,64.78250885009766
2015-02-11,64.4041519165039
2015-02-12,64.49679565429688
2015-02-13,65.73223114013672
2015-02-17,65.92528533935547
2015-02-18,65.47740173339844
2015-02-19,64.31922149658203
2015-02-20,65.199462890625
2015-02-23,64.46595001220703
2015-02-24,65.24580383300781
2015-02-25,65.74767303466797
2015-02-26,64.70529174804688
2015-02-27,64.0103530883789
2015-03-02,64.08755493164062
2015-03-03,63.964027404785156
2015-03-04,63.106956481933594
2015-03-05,62.93710708618164
2015-03-06,61.81747817993164
2015-03-09,62.39657974243164
2015-03-10,61.70166015625
