,PSA
2014-01-02,97.9648208618164
2014-01-03,98.72776794433594
2014-01-06,98.67511749267578
2014-01-07,98.56332397460938
2014-01-08,98.74090576171875
2014-01-09,100.6613998413086
2014-01-10,101.45719909667969
2014-01-13,101.25991821289062
2014-01-14,102.42405700683594
2014-01-15,101.9702377319336
2014-01-16,102.60816955566406
2014-01-17,101.92418670654297
2014-01-21,101.96365356445312
2014-01-22,102.15438079833984
2014-01-23,101.58876037597656
2014-01-24,100.24701690673828
2014-01-27,100.38516998291016
2014-01-28,101.7663345336914
2014-01-29,101.62162780761719
2014-01-30,103.13438415527344
2014-01-31,103.6473617553711
2014-02-03,102.50955963134766
2014-02-04,104.29192352294922
2014-02-05,103.85128784179688
2014-02-06,104.18667602539062
2014-02-07,105.39684295654297
2014-02-10,106.58073425292969
2014-02-11,107.45543670654297
2014-02-12,107.54093933105469
2014-02-13,108.20523071289062
2014-02-14,109.01419067382812
2014-02-18,109.77717590332031
2014-02-19,109.47464752197266
2014-02-20,109.64558410644531
2014-02-21,109.46802520751953
2014-02-24,109.63904571533203
2014-02-25,110.27046966552734
2014-02-26,109.90867614746094
2014-02-27,109.53382110595703
2014-02-28,111.1517562866211
2014-03-03,110.9478988647461
2014-03-04,112.39482116699219
2014-03-05,112.5789566040039
2014-03-06,111.36882781982422
2014-03-07,110.19812774658203
2014-03-10,109.85609436035156
2014-03-11,110.36906433105469
2014-03-12,110.62774658203125
2014-03-13,110.8598861694336
2014-03-14,111.5363998413086
2014-03-17,111.48997497558594
2014-03-18,111.66239166259766
2014-03-19,110.6874008178711
2014-03-20,111.15168762207031
2014-03-21,112.32561492919922
2014-03-24,111.35731506347656
2014-03-25,112.00728607177734
2014-03-26,111.31088256835938
2014-03-27,111.15168762207031
2014-03-28,111.44352722167969
2014-03-31,111.74859619140625
2014-04-01,112.41185760498047
2014-04-02,112.7169189453125
2014-04-03,112.29910278320312
2014-04-04,112.45166015625
2014-04-07,112.60417175292969
2014-04-08,113.65873718261719
2014-04-09,112.83634185791016
2014-04-10,112.29910278320312
2014-04-11,111.74198913574219
2014-04-14,112.40522003173828
2014-04-15,113.34699249267578
2014-04-16,114.12298583984375
2014-04-17,114.26229858398438
2014-04-21,114.84593200683594
2014-04-22,114.9454345703125
2014-04-23,114.9454345703125
2014-04-24,115.40966796875
2014-04-25,115.12445831298828
2014-04-28,116.46420288085938
2014-04-29,116.69634246826172
2014-04-30,116.404541015625
2014-05-01,116.85553741455078
2014-05-02,113.10823059082031
2014-05-05,114.0301284790039
2014-05-06,113.32049560546875
2014-05-07,114.87249755859375
2014-05-08,113.74497985839844
2014-05-09,113.83781433105469
2014-05-12,113.9903335571289
2014-05-13,113.03530883789062
2014-05-14,113.84442901611328
2014-05-15,113.1148681640625
2014-05-16,114.32200622558594
2014-05-19,114.0301284790039
2014-05-20,113.2873306274414
2014-05-21,112.96231842041016
2014-05-22,112.56436157226562
2014-05-23,113.65873718261719
2014-05-27,114.33525085449219
2014-05-28,113.04190063476562
