,BAX
2014-01-02,30.985815048217773
2014-01-03,31.035072326660156
2014-01-06,31.088817596435547
2014-01-07,31.2545166015625
2014-01-08,31.357507705688477
2014-01-09,31.442607879638672
2014-01-10,31.35304832458496
2014-01-13,31.393341064453125
2014-01-14,31.1962947845459
2014-01-15,31.272417068481445
2014-01-16,31.37542724609375
2014-01-17,31.317216873168945
2014-01-21,31.15151596069336
2014-01-22,31.232112884521484
2014-01-23,30.90073013305664
2014-01-24,30.291671752929688
2014-01-27,30.399147033691406
2014-01-28,30.676799774169922
2014-01-29,30.632020950317383
2014-01-30,31.02162742614746
2014-01-31,30.587238311767578
2014-02-03,29.80352783203125
2014-02-04,29.982662200927734
2014-02-05,30.139394760131836
2014-02-06,30.04535484313965
2014-02-07,30.408096313476562
2014-02-10,30.587238311767578
2014-02-11,31.10226058959961
2014-02-12,30.95445442199707
2014-02-13,31.01716423034668
2014-02-14,30.936553955078125
2014-02-18,31.030593872070312
2014-02-19,30.95445442199707
2014-02-20,31.057458877563477
2014-02-21,31.030593872070312
2014-02-24,31.115671157836914
2014-02-25,30.748472213745117
2014-02-26,30.994762420654297
2014-02-27,30.851465225219727
2014-02-28,31.124635696411133
2014-03-03,30.851465225219727
2014-03-04,30.914155960083008
2014-03-05,30.643531799316406
2014-03-06,30.47665786743164
2014-03-07,30.445070266723633
2014-03-10,30.530773162841797
2014-03-11,30.557830810546875
2014-03-12,30.49920654296875
2014-03-13,30.206031799316406
2014-03-14,29.989538192749023
2014-03-17,29.994033813476562
2014-03-18,30.359392166137695
2014-03-19,30.40899085998535
2014-03-20,30.598434448242188
2014-03-21,30.539794921875
2014-03-24,30.156415939331055
2014-03-25,30.846494674682617
2014-03-26,31.608747482299805
2014-03-27,32.835594177246094
2014-03-28,32.85813522338867
2014-03-31,33.18739700317383
2014-04-01,33.22797775268555
2014-04-02,33.011505126953125
2014-04-03,33.10169219970703
2014-04-04,32.89420700073242
2014-04-07,32.69575500488281
2014-04-08,32.61006546020508
2014-04-09,33.12875747680664
2014-04-10,32.5920295715332
2014-04-11,32.465728759765625
2014-04-14,32.81753921508789
2014-04-15,33.088157653808594
2014-04-16,33.12875747680664
2014-04-17,32.84009552001953
2014-04-21,32.99345397949219
2014-04-22,32.64613723754883
2014-04-23,32.583011627197266
2014-04-24,32.61006546020508
2014-04-25,32.619083404541016
2014-04-28,33.05659866333008
2014-04-29,32.89872360229492
2014-04-30,32.83106994628906
2014-05-01,33.55271911621094
2014-05-02,33.69706344604492
2014-05-05,33.60686111450195
2014-05-06,33.36330795288086
2014-05-07,33.71060562133789
2014-05-08,33.751197814941406
2014-05-09,33.85493087768555
2014-05-12,33.99475860595703
2014-05-13,34.012794494628906
2014-05-14,34.03084182739258
2014-05-15,33.63844299316406
2014-05-16,33.66549301147461
2014-05-19,33.67450714111328
2014-05-20,33.4580078125
2014-05-21,33.5391960144043
2014-05-22,33.62039566040039
2014-05-23,33.6338996887207
2014-05-27,33.448997497558594
2014-05-28,33.51213455200195
2014-05-29,33.557247161865234
2014-05-30,33.561763763427734
2014-06-02,33.480567932128906
2014-06-03,33.37681198120117
2014-06-04,33.1588020324707
2014-06-05,33.57215881347656
2014-06-06,33.522178649902344
2014-06-09,33.44950866699219
2014-06-10,33.49492263793945
2014-06-11,33.27690887451172
2014-06-12,33.1588020324707
2014-06-13,33.21331024169922
2014-06-16,33.28144073486328
2014-06-17,33.23602294921875
2014-06-18,33.522178649902344
2014-06-19,33.56306076049805
2014-06-20,33.517635345458984
2014-06-23,33.50401306152344
2014-06-24,33.354129791259766
2014-06-25,33.576698303222656
2014-06-26,33.26326370239258
2014-06-27,33.081573486328125
2014-06-30,32.84083557128906
2014-07-01,33.50401306152344
2014-07-02,34.062713623046875
2014-07-03,34.01274871826172
2014-07-07,34.01274871826172
2014-07-08,34.23986053466797
2014-07-09,34.43973159790039
2014-07-10,34.86216354370117
2014-07-11,34.78947067260742
2014-07-14,34.88032913208008
2014-07-15,34.86669921875
2014-07-16,34.79403305053711
2014-07-17,34.63505172729492
2014-07-18,34.757686614990234
2014-07-21,34.571441650390625
2014-07-22,34.91666030883789
2014-07-23,34.90303421020508
2014-07-24,34.97572708129883
2014-07-25,34.816734313964844
2014-07-28,34.73497009277344
2014-07-29,34.675933837890625
2014-07-30,34.5623779296875
2014-07-31,33.92645263671875
2014-08-01,34.053627014160156
2014-08-04,34.030914306640625
2014-08-05,33.82197189331055
2014-08-06,33.8310661315918
2014-08-07,33.5085563659668
2014-08-08,33.567604064941406
2014-08-11,33.703880310058594
2014-08-12,33.73567199707031
2014-08-13,34.04909896850586
2014-08-14,33.953697204589844
