,FANG
2014-01-02,40.886497497558594
2014-01-03,39.304107666015625
2014-01-06,38.81660842895508
2014-01-07,38.67273712158203
2014-01-08,38.049381256103516
2014-01-09,36.37907409667969
2014-01-10,37.53790283203125
2014-01-13,35.50796127319336
2014-01-14,37.56985855102539
2014-01-15,38.377044677734375
2014-01-16,38.84857177734375
2014-01-17,38.768646240234375
2014-01-21,39.22418975830078
2014-01-22,40.934444427490234
2014-01-23,40.31108856201172
2014-01-24,39.05635452270508
2014-01-27,37.99344253540039
2014-01-28,39.799598693847656
2014-01-29,38.83258056640625
2014-01-30,41.05432891845703
2014-01-31,41.54182434082031
2014-02-03,40.023372650146484
2014-02-04,41.27011489868164
2014-02-05,42.32504653930664
2014-02-06,42.972381591796875
2014-02-07,45.32999038696289
2014-02-10,45.969337463378906
2014-02-11,47.08021926879883
2014-02-12,46.3289794921875
2014-02-13,47.06422805786133
2014-02-14,47.671607971191406
2014-02-18,48.76649475097656
2014-02-19,48.78248977661133
2014-02-20,50.08516311645508
2014-02-21,51.14009094238281
2014-02-24,51.78742980957031
2014-02-25,50.94028854370117
2014-02-26,51.579647064208984
2014-02-27,51.060176849365234
2014-02-28,51.41181945800781
2014-03-03,51.47575759887695
2014-03-04,52.33088302612305
2014-03-05,51.1800537109375
2014-03-06,50.15709686279297
2014-03-07,51.05217361450195
2014-03-10,50.372859954833984
2014-03-11,49.557701110839844
2014-03-12,50.47676086425781
2014-03-13,50.63661193847656
2014-03-14,50.81242370605469
2014-03-17,51.09214401245117
2014-03-18,52.490726470947266
2014-03-19,51.4677619934082
2014-03-20,52.099117279052734
2014-03-21,51.32390594482422
2014-03-24,51.25996780395508
2014-03-25,51.379852294921875
2014-03-26,51.859371185302734
2014-03-27,54.37680435180664
2014-03-28,55.703468322753906
2014-03-31,53.79340744018555
2014-04-01,53.07413101196289
2014-04-02,55.12005615234375
2014-04-03,54.27289962768555
2014-04-04,53.74544906616211
2014-04-07,52.0831298828125
2014-04-08,53.22596740722656
2014-04-09,54.39279556274414
2014-04-10,52.450767517089844
2014-04-11,54.0251579284668
2014-04-14,56.03912353515625
2014-04-15,55.20795440673828
2014-04-16,56.33481216430664
2014-04-17,58.61249923706055
2014-04-21,59.555545806884766
2014-04-22,59.3477668762207
2014-04-23,59.05207061767578
2014-04-24,60.27482604980469
2014-04-25,57.09403991699219
2014-04-28,56.71043395996094
2014-04-29,57.71741485595703
2014-04-30,57.4936408996582
2014-05-01,56.958187103271484
2014-05-02,58.9561653137207
2014-05-05,58.844276428222656
2014-05-06,58.540584564208984
2014-05-07,60.514564514160156
2014-05-08,57.34978485107422
2014-05-09,56.934207916259766
2014-05-12,58.11701202392578
2014-05-13,58.9241943359375
2014-05-14,57.557579040527344
2014-05-15,55.48768997192383
2014-05-16,56.478668212890625
2014-05-19,56.86229705810547
2014-05-20,56.071102142333984
2014-05-21,58.1090202331543
2014-05-22,58.36476516723633
2014-05-23,58.16495895385742
2014-05-27,57.11802673339844
2014-05-28,57.05408477783203
2014-05-29,59.95515060424805
2014-05-30,60.32276153564453
2014-06-02,60.82625198364258
2014-06-03,62.57649230957031
2014-06-04,62.76829147338867
2014-06-05,63.32773208618164
2014-06-06,64.80620574951172
2014-06-09,65.53350067138672
2014-06-10,65.7972183227539
2014-06-11,67.00397491455078
2014-06-12,67.68330383300781
2014-06-13,70.28865814208984
2014-06-16,71.84707641601562
2014-06-17,72.13478088378906
2014-06-18,72.19873046875
2014-06-19,71.16778564453125
2014-06-20,71.75917053222656
2014-06-23,73.05386352539062
2014-06-24,70.08087158203125
2014-06-25,72.37452697753906
2014-06-26,71.35956573486328
2014-06-27,70.88005828857422
2014-06-30,70.96797943115234
2014-07-01,71.74317932128906
2014-07-02,70.56039428710938
2014-07-03,70.97596740722656
2014-07-07,69.77719116210938
2014-07-08,68.70626831054688
2014-07-09,69.7612075805664
2014-07-10,68.50645446777344
2014-07-11,67.29969787597656
2014-07-14,69.20175170898438
2014-07-15,66.6203842163086
2014-07-16,68.32266998291016
2014-07-17,67.69927978515625
2014-07-18,69.25769805908203
2014-07-21,70.32061767578125
2014-07-22,69.17778778076172
2014-07-23,70.20873260498047
2014-07-24,70.33658599853516
2014-07-25,68.49047088623047
2014-07-28,67.7712173461914
2014-07-29,68.4025650024414
2014-07-30,67.73125457763672
2014-07-31,65.71729278564453
2014-08-01,63.95107650756836
2014-08-04,65.2218017578125
2014-08-05,63.07996368408203
2014-08-06,62.75229263305664
2014-08-07,61.20188522338867
2014-08-08,61.89716339111328
2014-08-11,61.92916488647461
2014-08-12,60.77030563354492
2014-08-13,61.68137741088867
2014-08-14,60.6264533996582
2014-08-15,62.69635772705078
2014-08-18,63.759300231933594
2014-08-19,63.93510437011719
2014-08-20,64.12691497802734
2014-08-21,64.5265121459961
2014-08-22,63.919124603271484
2014-08-25,65.05396270751953
2014-08-26,67.03596496582031
2014-08-27,66.01298522949219
2014-08-28,66.49250793457031
2014-08-29,69.00994873046875
2014-09-02,66.5165023803711
2014-09-03,67.00397491455078
2014-09-04,63.535526275634766
2014-09-05,63.335716247558594
2014-09-08,61.873207092285156
2014-09-09,61.10597229003906
2014-09-10,61.377716064453125
2014-09-11,62.23283767700195
2014-09-12,61.18589782714844
2014-09-15,60.9301643371582
2014-09-16,62.512542724609375
2014-09-17,62.09695053100586
2014-09-18,60.88220977783203
2014-09-19,60.37871170043945
2014-09-22,58.70841598510742
2014-09-23,58.2129020690918
2014-09-24,59.37974166870117
2014-09-25,58.02109909057617
2014-09-26,58.852264404296875
2014-09-29,61.3457145690918
2014-09-30,59.76334762573242
2014-10-01,59.46762466430664
2014-10-02,60.1629524230957
2014-10-03,58.34077835083008
2014-10-06,59.115997314453125
2014-10-07,57.10203170776367
2014-10-08,58.43669128417969
2014-10-09,55.35981369018555
2014-10-10,51.74748229980469
2014-10-13,47.319969177246094
2014-10-14,46.7046012878418
2014-10-15,47.93534469604492
2014-10-16,50.44479751586914
2014-10-17,50.628604888916016
2014-10-20,51.37186813354492
2014-10-21,53.93724822998047
2014-10-22,51.30792236328125
2014-10-23,53.72146987915039
2014-10-24,53.737457275390625
2014-10-27,51.25197982788086
2014-10-28,54.16902160644531
2014-10-29,55.20795440673828
2014-10-30,54.08910369873047
2014-10-31,54.69647979736328
2014-11-03,53.85733413696289
2014-11-04,50.86037826538086
2014-11-05,51.955257415771484
2014-11-06,52.602603912353516
2014-11-07,55.535621643066406
2014-11-10,53.22596740722656
2014-11-11,53.94524002075195
2014-11-12,51.79542541503906
2014-11-13,51.755470275878906
2014-11-14,54.177001953125
2014-11-17,50.92430877685547
2014-11-18,51.44377899169922
2014-11-19,52.05116653442383
2014-11-20,53.71347427368164
2014-11-21,55.73542785644531
2014-11-24,54.41675567626953
2014-11-25,53.56962203979492
2014-11-26,51.85136413574219
2014-11-28,45.07426071166992
2014-12-01,44.60273361206055
2014-12-02,46.2250862121582
2014-12-03,47.839447021484375
2014-12-04,46.7365608215332
2014-12-05,46.98430633544922
2014-12-08,43.7955436706543
2014-12-09,45.29802322387695
2014-12-10,42.87648391723633
2014-12-11,42.44492721557617
2014-12-12,41.933441162109375
2014-12-15,42.6846809387207
2014-12-16,44.62670135498047
2014-12-17,47.1281623840332
2014-12-18,47.61567687988281
2014-12-19,49.99725341796875
2014-12-22,48.806461334228516
2014-12-23,49.309959411621094
2014-12-24,48.09518051147461
2014-12-26,48.27899932861328
2014-12-29,48.25502395629883
2014-12-30,47.84742736816406
2014-12-31,47.7755012512207
2015-01-02,47.895389556884766
2015-01-05,45.77753448486328
2015-01-06,45.849456787109375
2015-01-07,46.55274963378906
2015-01-08,48.822444915771484
2015-01-09,49.421836853027344
2015-01-12,47.52776336669922
2015-01-13,48.94233322143555
2015-01-14,52.18702697753906
2015-01-15,50.708518981933594
2015-01-16,52.450767517089844
2015-01-20,50.19704055786133
2015-01-21,54.77639389038086
2015-01-22,54.328857421875
2015-01-23,53.545654296875
2015-01-26,54.75242233276367
2015-01-27,55.12005615234375
2015-01-28,52.81039810180664
2015-01-29,54.85630798339844
2015-01-30,55.13602828979492
2015-02-02,55.73542785644531
2015-02-03,55.68748092651367
2015-02-04,53.649539947509766
2015-02-05,55.19197463989258
2015-02-06,56.60654830932617
2015-02-09,56.047115325927734
2015-02-10,55.463714599609375
2015-02-11,54.968196868896484
2015-02-12,58.31680679321289
2015-02-13,58.70841598510742
2015-02-17,58.79631423950195
2015-02-18,58.980140686035156
2015-02-19,60.6264533996582
2015-02-20,60.011077880859375
2015-02-23,59.42768096923828
2015-02-24,59.20390701293945
2015-02-25,59.90719985961914
2015-02-26,58.47664260864258
2015-02-27,56.91023635864258
2015-03-02,56.7264289855957
2015-03-03,57.29384994506836
2015-03-04,57.38975524902344
2015-03-05,56.88625717163086
2015-03-06,55.83134078979492
2015-03-09,55.63154983520508
2015-03-10,54.41675567626953
2015-03-11,55.98318099975586
2015-03-12,55.89527130126953
2015-03-13,55.68748092651367
2015-03-16,55.943214416503906
2015-03-17,56.31883239746094
2015-03-18,58.061065673828125
2015-03-19,57.134002685546875
2015-03-20,57.813331604003906
2015-03-23,57.2059440612793
2015-03-24,58.9561653137207
2015-03-25,59.87522506713867
2015-03-26,61.417667388916016
2015-03-27,60.07502746582031
2015-03-30,62.041019439697266
2015-03-31,61.40967559814453
2015-04-01,61.85721206665039
2015-04-02,63.04003143310547
2015-04-06,63.51152038574219
2015-04-07,63.903133392333984
2015-04-08,62.38468933105469
2015-04-09,64.5105209350586
2015-04-10,64.53450012207031
2015-04-13,63.82321548461914
2015-04-14,64.24677276611328
2015-04-15,65.86114501953125
2015-04-16,66.58841705322266
2015-04-17,65.98904418945312
2015-04-20,67.18782043457031
2015-04-21,66.18081665039062
2015-04-22,65.51749420166016
2015-04-23,65.50151062011719
2015-04-24,63.79924774169922
2015-04-27,63.719337463378906
2015-04-28,64.11892700195312
2015-04-29,66.30070495605469
2015-04-30,65.98904418945312
2015-05-01,65.43757629394531
2015-05-04,66.28472900390625
2015-05-05,63.74330520629883
2015-05-06,62.8721923828125
2015-05-07,60.210899353027344
2015-05-08,61.54553985595703
2015-05-11,62.6004638671875
2015-05-12,63.607425689697266
2015-05-13,63.47157287597656
2015-05-14,61.69736862182617
2015-05-15,63.07996368408203
2015-05-18,63.31972885131836
2015-05-19,61.91316223144531
2015-05-20,62.76029586791992
2015-05-21,64.43059539794922
2015-05-22,65.03799438476562
2015-05-26,63.31972885131836
2015-05-27,63.279781341552734
2015-05-28,61.96110153198242
2015-05-29,62.184879302978516
2015-06-01,63.103946685791016
2015-06-02,63.15989685058594
2015-06-03,62.06500244140625
2015-06-04,61.10597229003906
2015-06-05,62.54451370239258
2015-06-08,63.00004577636719
2015-06-09,63.92710876464844
2015-06-10,65.07795715332031
2015-06-11,64.76627349853516
2015-06-12,64.45457458496094
2015-06-15,63.847198486328125
2015-06-16,64.53450012207031
2015-06-17,63.44760513305664
2015-06-18,62.792266845703125
2015-06-19,61.23383712768555
2015-06-22,62.984066009521484
2015-06-23,63.847198486328125
2015-06-24,62.30476760864258
2015-06-25,61.050048828125
2015-06-26,60.13896179199219
2015-06-29,60.067039489746094
2015-06-30,60.24284744262695
2015-07-01,58.19692611694336
2015-07-02,58.444664001464844
2015-07-06,56.111045837402344
2015-07-07,56.79035186767578
2015-07-08,55.37579345703125
2015-07-09,56.63051986694336
2015-07-10,56.65449142456055
2015-07-13,56.99015426635742
2015-07-14,58.61249923706055
2015-07-15,56.49464797973633
2015-07-16,55.295875549316406
2015-07-17,52.96223068237305
2015-07-20,51.8114128112793
2015-07-21,52.722496032714844
2015-07-22,52.93825912475586
2015-07-23,52.97822952270508
2015-07-24,51.06816482543945
2015-07-27,50.588645935058594
2015-07-28,51.93928527832031
2015-07-29,54.06513214111328
2015-07-30,54.08910369873047
2015-07-31,53.785404205322266
2015-08-03,53.40180587768555
2015-08-04,54.33684158325195
2015-08-05,54.64052963256836
2015-08-06,56.326820373535156
2015-08-07,55.01615524291992
2015-08-10,56.09507369995117
2015-08-11,56.638511657714844
2015-08-12,57.92521286010742
2015-08-13,57.277854919433594
2015-08-14,59.060054779052734
2015-08-17,57.709434509277344
2015-08-18,58.64447784423828
2015-08-19,57.41372299194336
2015-08-20,56.12702560424805
2015-08-21,53.1860237121582
2015-08-24,49.34990692138672
2015-08-25,48.606666564941406
2015-08-26,49.62162780761719
2015-08-27,52.5067024230957
2015-08-28,53.194000244140625
2015-08-31,54.57660675048828
2015-09-01,51.563663482666016
2015-09-02,53.905277252197266
2015-09-03,53.5296745300293
2015-09-04,52.7464599609375
2015-09-08,53.79340744018555
2015-09-09,51.987239837646484
2015-09-10,53.44974136352539
2015-09-11,52.99420928955078
2015-09-14,52.52269744873047
2015-09-15,53.305885314941406
2015-09-16,55.85530471801758
2015-09-17,55.791358947753906
2015-09-18,55.1440315246582
2015-09-21,55.479705810546875
2015-09-22,55.287879943847656
2015-09-23,53.1380615234375
2015-09-24,53.28192901611328
2015-09-25,52.754459381103516
2015-09-28,50.053192138671875
2015-09-29,50.34889221191406
2015-09-30,51.627601623535156
2015-10-01,52.394813537597656
2015-10-02,55.431739807128906
2015-10-05,57.709434509277344
2015-10-06,58.0051383972168
2015-10-07,58.86026382446289
2015-10-08,60.91416931152344
2015-10-09,61.49759292602539
2015-10-12,61.465614318847656
2015-10-13,60.874202728271484
2015-10-14,61.08198547363281
2015-10-15,60.48261260986328
2015-10-16,61.68137741088867
2015-10-19,58.588531494140625
2015-10-20,58.628501892089844
2015-10-21,56.958187103271484
2015-10-22,57.821319580078125
2015-10-23,57.477664947509766
2015-10-26,58.24488830566406
