,LUV
2014-01-02,16.999977111816406
2014-01-03,17.486209869384766
2014-01-06,17.243087768554688
2014-01-07,17.58525276184082
2014-01-08,18.170522689819336
2014-01-09,18.69277572631836
2014-01-10,18.935890197753906
2014-01-13,18.656757354736328
2014-01-14,19.296058654785156
2014-01-15,19.052942276000977
2014-01-16,19.323070526123047
2014-01-17,19.10696792602539
2014-01-21,19.178997039794922
2014-01-22,19.602205276489258
2014-01-23,19.124982833862305
2014-01-24,18.764806747436523
2014-01-27,18.557710647583008
2014-01-28,19.188005447387695
2014-01-29,18.557710647583008
2014-01-30,19.10696792602539
2014-01-31,18.863853454589844
2014-02-03,18.395633697509766
2014-02-04,18.59372329711914
2014-02-05,18.557710647583008
2014-02-06,18.87285614013672
2014-02-07,19.296058654785156
2014-02-10,18.9268856048584
2014-02-11,19.197011947631836
2014-02-12,19.09795570373535
2014-02-13,19.088966369628906
2014-02-14,19.178997039794922
2014-02-18,18.935890197753906
2014-02-19,18.863853454589844
2014-02-20,19.53917121887207
2014-02-21,19.59319496154785
2014-02-24,19.95336151123047
2014-02-25,20.07942008972168
2014-02-26,20.187477111816406
2014-02-27,20.22348976135254
2014-02-28,20.20548439025879
2014-03-03,20.07942008972168
2014-03-04,20.593585968017578
2014-03-05,20.77399444580078
2014-03-06,20.855180740356445
2014-03-07,20.83713150024414
2014-03-10,21.288158416748047
2014-03-11,21.450529098510742
2014-03-12,21.558767318725586
2014-03-13,21.288158416748047
2014-03-14,21.57681655883789
2014-03-17,21.63093376159668
2014-03-18,21.558767318725586
2014-03-19,21.44150733947754
2014-03-20,21.54073143005371
2014-03-21,20.9093017578125
2014-03-24,21.080686569213867
2014-03-25,21.37836265563965
2014-03-26,21.143831253051758
2014-03-27,20.89125633239746
2014-03-28,20.89125633239746
2014-03-31,21.29718017578125
2014-04-01,21.59485626220703
2014-04-02,21.712116241455078
2014-04-03,21.657995223999023
2014-04-04,21.47758674621582
2014-04-07,21.13480567932129
2014-04-08,21.20697593688965
2014-04-09,21.784278869628906
2014-04-10,20.864200592041016
2014-04-11,20.52142333984375
2014-04-14,20.3049373626709
2014-04-15,20.65673065185547
2014-04-16,21.234037399291992
2014-04-17,21.18893051147461
2014-04-21,21.279138565063477
2014-04-22,21.585832595825195
2014-04-23,21.72113800048828
2014-04-24,21.892528533935547
2014-04-25,21.60387420654297
2014-04-28,21.504648208618164
2014-04-29,21.820356369018555
2014-04-30,21.802322387695312
2014-05-01,21.94664764404297
2014-05-02,21.81134605407715
2014-05-05,21.883506774902344
2014-05-06,21.829381942749023
2014-05-07,21.829381942749023
2014-05-08,22.06390953063965
2014-05-09,21.973703384399414
2014-05-12,22.49689483642578
2014-05-13,22.532970428466797
2014-05-14,22.46983528137207
2014-05-15,22.33452606201172
2014-05-16,22.1992244720459
2014-05-19,22.659257888793945
2014-05-20,22.505918502807617
2014-05-21,22.650236129760742
2014-05-22,22.79456901550293
2014-05-23,23.263628005981445
2014-05-27,23.335790634155273
2014-05-28,23.8409366607666
2014-05-29,23.849950790405273
2014-05-30,23.85897445678711
2014-06-02,24.14828872680664
2014-06-03,24.591293334960938
2014-06-04,24.73594093322754
2014-06-05,24.663616180419922
2014-06-06,24.943885803222656
2014-06-09,24.817310333251953
2014-06-10,24.672657012939453
2014-06-11,24.35622215270996
2014-06-12,23.25322723388672
2014-06-13,23.777612686157227
2014-06-16,23.596790313720703
2014-06-17,24.075958251953125
2014-06-18,24.112123489379883
2014-06-19,24.482797622680664
2014-06-20,24.672657012939453
2014-06-23,24.33814811706543
2014-06-24,24.084999084472656
2014-06-25,24.383344650268555
2014-06-26,24.464712142944336
2014-06-27,24.53704071044922
2014-06-30,24.28389549255371
2014-07-01,25.070453643798828
2014-07-02,24.835390090942383
2014-07-03,25.05237579345703
2014-07-07,24.56416893005371
2014-07-08,24.139240264892578
2014-07-09,24.60032844543457
2014-07-10,24.654577255249023
2014-07-11,24.80827522277832
2014-07-14,24.952924728393555
2014-07-15,25.22415542602539
2014-07-16,25.34168815612793
2014-07-17,24.871557235717773
2014-07-18,25.142786026000977
2014-07-21,25.007171630859375
2014-07-22,25.35976791381836
2014-07-23,26.10112190246582
2014-07-24,25.92934226989746
2014-07-25,26.435632705688477
2014-07-28,26.40851593017578
2014-07-29,25.956462860107422
2014-07-30,26.07399559020996
2014-07-31,25.56770896911621
2014-08-01,25.703317642211914
2014-08-04,25.703317642211914
2014-08-05,25.43209457397461
2014-08-06,25.423057556152344
2014-08-07,25.368804931640625
2014-08-08,25.56770896911621
2014-08-11,25.893177032470703
2014-08-12,25.94742202758789
