,VLTO
2023-10-04,77.50318145751953
2023-10-05,74.16596221923828
2023-10-06,77.68250274658203
2023-10-09,74.32535552978516
2023-10-10,74.7138671875
2023-10-11,74.1858901977539
2023-10-12,73.94681549072266
2023-10-13,71.57588195800781
2023-10-16,73.9268798828125
2023-10-17,74.19585418701172
2023-10-18,72.17359924316406
2023-10-19,70.02183532714844
2023-10-20,69.6632080078125
2023-10-23,71.62569427490234
2023-10-24,71.73528289794922
2023-10-25,70.51993560791016
2023-10-26,69.73294830322266
2023-10-27,67.73059844970703
2023-10-30,68.09920501708984
2023-10-31,68.73675537109375
2023-11-01,67.25244140625
2023-11-02,70.01187133789062
2023-11-03,70.52989196777344
2023-11-06,67.99958801269531
2023-11-07,69.80268096923828
2023-11-08,69.53370666503906
2023-11-09,69.3643569946289
2023-11-10,70.28085327148438
2023-11-13,72.70158386230469
2023-11-14,73.34909057617188
2023-11-15,73.62803649902344
2023-11-16,70.60958862304688
2023-11-17,70.71916198730469
2023-11-20,70.49004364013672
2023-11-21,72.03412628173828
2023-11-22,72.66172790527344
2023-11-24,73.72764587402344
2023-11-27,73.21958923339844
2023-11-28,73.040283203125
2023-11-29,73.93684387207031
2023-11-30,76.95529174804688
2023-12-01,76.2181167602539
2023-12-04,75.49089050292969
2023-12-05,75.26177215576172
2023-12-06,75.54070281982422
2023-12-07,74.34527587890625
2023-12-08,75.14222717285156
2023-12-11,76.52693176269531
2023-12-12,77.1545181274414
2023-12-13,77.44341278076172
2023-12-14,79.02735137939453
2023-12-15,78.54917907714844
2023-12-18,80.53158569335938
2023-12-19,83.12166595458984
2023-12-20,80.33234405517578
2023-12-21,80.8105239868164
2023-12-22,81.32853698730469
2023-12-26,81.81666564941406
2023-12-27,82.90251922607422
2023-12-28,82.81275939941406
2023-12-29,82.03489685058594
2024-01-02,80.79827880859375
2024-01-03,77.83641052246094
2024-01-04,76.40035247802734
2024-01-05,76.68955993652344
2024-01-08,77.29788970947266
2024-01-09,76.52999114990234
2024-01-10,76.22084045410156
2024-01-11,75.8718032836914
2024-01-12,75.55268096923828
2024-01-16,74.34599304199219
2024-01-17,75.67234802246094
2024-01-18,75.80199432373047
2024-01-19,77.33777618408203
2024-01-22,79.471923828125
2024-01-23,78.67411041259766
2024-01-24,76.05130767822266
2024-01-25,76.49010467529297
2024-01-26,76.77930450439453
2024-01-29,77.68682098388672
2024-01-30,78.11563873291016
2024-01-31,76.48013305664062
2024-02-01,76.5798568725586
2024-02-02,76.62971496582031
2024-02-05,75.5626449584961
2024-02-06,77.4075927734375
2024-02-07,80.93790435791016
2024-02-08,82.33406829833984
2024-02-09,81.90523529052734
2024-02-12,83.27149200439453
2024-02-13,81.96508026123047
2024-02-14,83.9895248413086
2024-02-15,86.35303497314453
2024-02-16,85.85440063476562
2024-02-20,85.5352783203125
2024-02-21,85.12641143798828
2024-02-22,85.7048110961914
2024-02-23,86.47271728515625
2024-02-26,86.07380676269531
2024-02-27,87.54975891113281
2024-02-28,87.33036041259766
2024-02-29,86.18350219726562
2024-03-01,86.52257537841797
2024-03-04,87.49989318847656
2024-03-05,88.25780487060547
2024-03-06,88.62680053710938
2024-03-07,89.07556915283203
2024-03-08,89.01573944091797
2024-03-11,88.51710510253906
2024-03-12,88.18800354003906
2024-03-13,88.85617065429688
2024-03-14,87.98855590820312
2024-03-15,86.2632827758789
2024-03-18,86.79183197021484
2024-03-19,87.20071411132812
2024-03-20,87.87885284423828
2024-03-21,89.65397644042969
2024-03-22,89.2151870727539
2024-03-25,89.15534973144531
2024-03-26,89.01573944091797
2024-03-27,89.58474731445312
2024-03-28,88.5066146850586
2024-04-01,87.38855743408203
2024-04-02,86.43021392822266
2024-04-03,87.09905242919922
2024-04-04,86.54002380371094
2024-04-05,86.93932342529297
2024-04-08,87.51832580566406
2024-04-09,89.0456771850586
2024-04-10,88.04740905761719
2024-04-11,87.25877380371094
2024-04-12,87.2188491821289
2024-04-15,89.70453643798828
2024-04-16,90.73275756835938
2024-04-17,90.39334869384766
2024-04-18,88.64636993408203
2024-04-19,88.73622131347656
2024-04-22,91.07217407226562
2024-04-23,93.557861328125
2024-04-24,92.24014282226562
2024-04-25,93.62773895263672
2024-04-26,93.95716857910156
2024-04-29,94.725830078125
2024-04-30,93.51792907714844
2024-05-01,94.21671295166016
2024-05-02,93.68762969970705
2024-05-03,95.72410583496094
2024-05-06,96.82220458984376
2024-05-07,97.10171508789062
2024-05-08,96.56265258789062
2024-05-09,95.7740249633789
2024-05-10,96.3330535888672
2024-05-13,95.70413970947266
2024-05-14,96.77229309082033
2024-05-15,98.72889709472656
2024-05-16,98.27967071533205
2024-05-17,98.42941284179688
2024-05-20,98.44938659667967
2024-05-21,99.3578109741211
2024-05-22,100.58568572998048
2024-05-23,99.68724060058594
2024-05-24,102.0132064819336
2024-05-28,100.49583435058594
2024-05-29,98.36952209472656
2024-05-30,99.05833435058594
2024-05-31,98.4094467163086
2024-06-03,98.74885559082033
2024-06-04,100.2662353515625
2024-06-05,100.6256103515625
2024-06-06,99.13818359375
2024-06-07,99.04834747314452
2024-06-10,99.67725372314452
2024-06-11,100.01667022705078
2024-06-12,100.9550323486328
2024-06-13,100.8352508544922
2024-06-14,100.57569885253906
2024-06-17,100.39601135253906
2024-06-18,101.04488372802734
2024-06-20,100.10650634765624
2024-06-21,98.6989517211914
2024-06-24,99.57742309570312
2024-06-25,98.77880859375
2024-06-26,98.20980072021484
2024-06-27,97.44113159179688
2024-06-28,95.39278411865234
2024-07-01,95.372802734375
2024-07-02,94.27368927001952
2024-07-03,95.25289916992188
2024-07-05,95.5226821899414
2024-07-08,95.82244110107422
2024-07-09,95.62259674072266
2024-07-10,95.73250579833984
2024-07-11,97.02146911621094
2024-07-12,98.6801300048828
2024-07-15,97.93073272705078
2024-07-16,99.11976623535156
2024-07-17,97.96070861816406
2024-07-18,98.55022430419922
2024-07-19,98.38036346435548
2024-07-22,99.44950103759766
2024-07-23,100.35877227783205
2024-07-24,99.21968841552734
2024-07-25,99.5294418334961
2024-07-26,104.78518676757812
2024-07-29,105.01499938964844
2024-07-30,106.9734115600586
2024-07-31,106.47381591796876
2024-08-01,106.61370086669922
2024-08-02,104.75520324707033
2024-08-05,101.90750885009766
2024-08-06,104.0357894897461
2024-08-07,104.1457061767578
2024-08-08,107.15326690673828
2024-08-09,106.01419067382812
2024-08-12,106.40386962890624
2024-08-13,108.00257873535156
2024-08-14,108.4222412109375
2024-08-15,108.88186645507812
2024-08-16,108.63207244873048
2024-08-19,109.49137878417967
2024-08-20,109.3115234375
2024-08-21,109.7311782836914
2024-08-22,110.74036407470705
2024-08-23,111.68959045410156
2024-08-26,110.94020080566406
2024-08-27,111.0601043701172
2024-08-28,111.1700210571289
2024-08-29,111.71956634521484
2024-08-30,112.33907318115234
2024-09-03,110.17082977294922
2024-09-04,110.76034545898438
2024-09-05,109.76115417480467
2024-09-06,108.63207244873048
2024-09-09,109.40144348144533
2024-09-10,109.63126373291016
