,VLTO
2024-09-11,108.86187744140624
2024-09-12,109.21160125732422
2024-09-13,109.93101501464844
2024-09-16,109.87106323242188
2024-09-17,108.85189819335938
2024-09-18,108.00257873535156
2024-09-19,109.38146209716795
2024-09-20,109.38146209716795
2024-09-23,110.16083526611328
2024-09-24,111.30990600585938
2024-09-25,110.9501953125
2024-09-26,111.18999481201172
2024-09-27,110.3000030517578
2024-09-30,111.86000061035156
2024-10-01,110.02999877929688
2024-10-02,111.27999877929688
2024-10-03,111.30999755859376
2024-10-04,112.0199966430664
2024-10-07,111.12000274658205
2024-10-08,112.18000030517578
2024-10-09,112.94000244140624
2024-10-10,111.8499984741211
2024-10-11,113.12999725341795
2024-10-14,113.29000091552734
2024-10-15,112.87999725341795
2024-10-16,112.5199966430664
2024-10-17,113.02999877929688
2024-10-18,113.5999984741211
2024-10-21,113.06999969482422
2024-10-22,111.79000091552734
2024-10-23,110.93000030517578
2024-10-24,105.79000091552734
2024-10-25,104.0500030517578
2024-10-28,104.0
2024-10-29,103.48999786376952
2024-10-30,103.23999786376952
2024-10-31,102.19000244140624
2024-11-01,101.58999633789062
2024-11-04,102.43000030517578
2024-11-05,103.61000061035156
2024-11-06,102.98999786376952
2024-11-07,104.3000030517578
2024-11-08,105.5500030517578
2024-11-11,104.38999938964844
2024-11-12,103.75
2024-11-13,104.83999633789062
2024-11-14,103.11000061035156
2024-11-15,102.68000030517578
2024-11-18,102.83999633789062
2024-11-19,103.9800033569336
2024-11-20,105.11000061035156
2024-11-21,106.01000213623048
2024-11-22,106.41000366210938
2024-11-25,108.4800033569336
2024-11-26,107.95999908447266
2024-11-27,107.97000122070312
2024-11-29,108.19000244140624
2024-12-02,106.62999725341795
2024-12-03,107.27999877929688
2024-12-04,107.5199966430664
2024-12-05,105.29000091552734
2024-12-06,106.52999877929688
2024-12-09,106.75
2024-12-10,106.38999938964844
2024-12-11,105.3499984741211
2024-12-12,105.79000091552734
2024-12-13,104.22000122070312
2024-12-16,104.2300033569336
2024-12-17,103.45999908447266
