,ABT
2014-01-02,30.904157638549805
2014-01-03,31.23558807373047
2014-01-06,31.647859573364258
2014-01-07,31.40534782409668
2014-01-08,31.688276290893555
2014-01-09,31.74485969543457
2014-01-10,31.987375259399414
2014-01-13,31.79229164123535
2014-01-14,32.16621780395508
2014-01-15,32.133705139160156
2014-01-16,32.141815185546875
2014-01-17,32.028018951416016
2014-01-21,31.800399780273438
2014-01-22,30.94687843322754
2014-01-23,30.42660903930664
2014-01-24,29.735658645629883
2014-01-27,29.508056640625
2014-01-28,29.56495475769043
2014-01-29,29.142244338989258
2014-01-30,29.695018768310547
2014-01-31,29.80069351196289
2014-02-03,29.142244338989258
2014-02-04,29.467409133911133
2014-02-05,29.548686981201172
2014-02-06,29.792558670043945
2014-02-07,30.22339630126953
2014-02-10,30.207136154174805
2014-02-11,30.84932518005371
2014-02-12,31.101320266723633
2014-02-13,31.475248336791992
2014-02-14,31.548410415649414
2014-02-18,31.645971298217773
2014-02-19,31.507766723632812
2014-02-20,31.662214279174805
2014-02-21,31.556537628173828
2014-02-24,31.686607360839844
2014-02-25,31.90608787536621
2014-02-26,32.019893646240234
2014-02-27,32.34504699707031
2014-02-28,32.33692169189453
2014-03-03,31.971107482910156
2014-03-04,32.61330795288086
2014-03-05,32.34504699707031
2014-03-06,32.29627990722656
2014-03-07,32.16621780395508
2014-03-10,32.36943435668945
2014-03-11,32.28002166748047
2014-03-12,32.239356994628906
2014-03-13,31.88983917236328
2014-03-14,31.67848014831543
2014-03-17,32.117427825927734
2014-03-18,32.29627990722656
2014-03-19,32.06865692138672
2014-03-20,31.597179412841797
2014-03-21,31.206998825073242
2014-03-24,31.239513397216797
2014-03-25,31.21512794494629
2014-03-26,31.345195770263672
2014-03-27,31.255769729614258
2014-03-28,31.141971588134766
2014-03-31,31.304534912109375
2014-04-01,31.272024154663086
2014-04-02,31.3614444732666
2014-04-03,31.41834831237793
2014-04-04,31.402099609375
2014-04-07,31.028156280517578
2014-04-08,30.58106231689453
2014-04-09,30.589191436767578
2014-04-10,30.28842544555664
2014-04-11,30.272064208984375
2014-04-14,30.86083984375
2014-04-15,31.048912048339844
2014-04-16,31.384174346923828
2014-04-17,31.833932876586914
2014-04-21,31.654016494750977
2014-04-22,31.564071655273438
2014-04-23,31.564071655273438
2014-04-24,31.42506217956543
2014-04-25,31.097963333129883
2014-04-28,31.37598991394043
2014-04-29,31.51500129699707
2014-04-30,31.67855453491211
2014-05-01,31.621320724487305
2014-05-02,31.5313720703125
2014-05-05,31.76032829284668
2014-05-06,31.54771614074707
2014-05-07,31.637670516967773
2014-05-08,31.670381546020508
2014-05-09,31.882986068725586
2014-05-12,32.111942291259766
2014-05-13,32.430843353271484
2014-05-14,32.65163803100586
2014-05-15,32.087425231933594
2014-05-16,31.940229415893555
2014-05-19,32.40631866455078
2014-05-20,32.33272171020508
2014-05-21,32.349098205566406
2014-05-22,32.422691345214844
2014-05-23,32.38180160522461
2014-05-27,32.36544418334961
2014-05-28,32.439048767089844
2014-05-29,32.38180160522461
2014-05-30,32.71706008911133
2014-06-02,32.54533386230469
2014-06-03,32.56169128417969
2014-06-04,32.50444030761719
2014-06-05,32.83153533935547
2014-06-06,32.7497673034668
2014-06-09,32.815185546875
2014-06-10,33.142269134521484
2014-06-11,32.708885192871094
2014-06-12,32.55351638793945
2014-06-13,32.53716278076172
2014-06-16,32.627113342285156
2014-06-17,32.59440994262695
2014-06-18,33.011444091796875
2014-06-19,33.5265998840332
2014-06-20,33.40394592285156
2014-06-23,33.30581283569336
2014-06-24,33.07686233520508
2014-06-25,33.28129577636719
2014-06-26,33.21586608886719
2014-06-27,33.15045166015625
2014-06-30,33.44482421875
2014-07-01,33.673789978027344
2014-07-02,34.172607421875
2014-07-03,34.25437927246094
2014-07-07,33.94363021850586
2014-07-08,33.5674934387207
2014-07-09,33.74738693237305
2014-07-10,33.72285842895508
2014-07-11,33.95305633544922
2014-07-14,34.38054275512695
2014-07-15,33.8461799621582
2014-07-16,33.747520446777344
2014-07-17,34.446319580078125
2014-07-18,35.128662109375
2014-07-21,35.3177375793457
2014-07-22,35.42462158203125
2014-07-23,35.32596206665039
2014-07-24,35.260196685791016
2014-07-25,35.38351821899414
2014-07-28,35.29308319091797
2014-07-29,35.145118713378906
2014-07-30,35.23552703857422
2014-07-31,34.62718200683594
2014-08-01,34.553184509277344
2014-08-04,34.849143981933594
2014-08-05,34.3476448059082
2014-08-06,34.33944320678711
2014-08-07,34.142127990722656
2014-08-08,34.273658752441406
2014-08-11,34.569644927978516
2014-08-12,34.17502212524414
2014-08-13,34.660057067871094
2014-08-14,34.7998161315918
2014-08-15,34.57785415649414
2014-08-18,34.71760940551758
2014-08-19,34.97246170043945
2014-08-20,34.643619537353516
2014-08-21,34.79159164428711
2014-08-22,34.61895751953125
2014-08-25,34.93136215209961
2014-08-26,35.18620681762695
2014-08-27,35.02178955078125
2014-08-28,34.81625747680664
2014-08-29,34.725833892822266
2014-09-02,34.71760940551758
2014-09-03,35.15332794189453
2014-09-04,35.2684326171875
2014-09-05,35.30952072143555
2014-09-08,35.19443130493164
2014-09-09,35.21087646484375
2014-09-10,35.2684326171875
2014-09-11,34.98891067504883
2014-09-12,34.980690002441406
2014-09-15,35.12044143676758
2014-09-16,35.2684326171875
2014-09-17,35.66304016113281
2014-09-18,35.917884826660156
2014-09-19,35.835670471191406
2014-09-22,35.679473876953125
2014-09-23,34.9395866394043
2014-09-24,35.04646301269531
2014-09-25,34.52853012084961
2014-09-26,34.536746978759766
2014-09-29,34.446319580078125
2014-09-30,34.19145202636719
2014-10-01,33.854393005371094
2014-10-02,33.87904357910156
2014-10-03,34.35587692260742
2014-10-06,34.82448196411133
2014-10-07,34.084571838378906
2014-10-08,34.643619537353516
2014-10-09,34.22434616088867
2014-10-10,34.331787109375
2014-10-13,33.819374084472656
2014-10-14,33.93508529663086
2014-10-15,33.0672721862793
2014-10-16,33.05075454711914
2014-10-17,33.76978302001953
2014-10-20,34.26565933227539
2014-10-21,35.03428649902344
2014-10-22,34.37311935424805
2014-10-23,35.06735610961914
2014-10-24,35.09214782714844
2014-10-27,34.910335540771484
2014-10-28,35.12519073486328
2014-10-29,35.32355499267578
2014-10-30,35.94343185424805
2014-10-31,36.026065826416016
2014-11-03,35.77812576293945
2014-11-04,36.04258728027344
2014-11-05,36.08391189575195
2014-11-06,36.10871124267578
2014-11-07,35.84422302246094
2014-11-10,36.439308166503906
2014-11-11,36.571533203125
2014-11-12,36.55500030517578
2014-11-13,36.852535247802734
2014-11-14,36.207889556884766
2014-11-17,36.12523651123047
2014-11-18,36.116966247558594
2014-11-19,35.893829345703125
2014-11-20,36.18308639526367
2014-11-21,36.207889556884766
2014-11-24,36.629398345947266
2014-11-25,36.49715042114258
2014-11-26,36.571533203125
2014-11-28,36.78642654418945
2014-12-01,36.629398345947266
2014-12-02,37.37322235107422
2014-12-03,37.75340270996094
2014-12-04,37.59637451171875
2014-12-05,37.43933868408203
2014-12-08,37.778194427490234
2014-12-09,37.55504608154297
2014-12-10,36.67070770263672
2014-12-11,36.74507522583008
2014-12-12,36.10871124267578
2014-12-15,35.91862487792969
2014-12-16,35.8690185546875
2014-12-17,36.57978820800781
2014-12-18,37.82777404785156
2014-12-19,38.059181213378906
2014-12-22,38.32365798950195
2014-12-23,37.786460876464844
2014-12-24,37.769927978515625
2014-12-26,37.89388656616211
2014-12-29,37.68727493286133
2014-12-30,37.76164627075195
2014-12-31,37.207923889160156
2015-01-02,37.10874938964844
2015-01-05,37.11701202392578
2015-01-06,36.69551467895508
2015-01-07,36.9930305480957
2015-01-08,37.75340270996094
2015-01-09,37.356689453125
2015-01-12,37.670745849609375
2015-01-13,37.06423568725586
