,EXPD
2014-01-02,37.69606399536133
2014-01-03,37.4880256652832
2014-01-06,37.115318298339844
2014-01-07,37.5140266418457
2014-01-08,37.26267623901367
2014-01-09,37.280006408691406
2014-01-10,37.800071716308594
2014-01-13,38.328800201416016
2014-01-14,37.956085205078125
2014-01-15,38.08610153198242
2014-01-16,38.138126373291016
2014-01-17,37.938751220703125
2014-01-21,38.138126373291016
2014-01-22,38.268131256103516
2014-01-23,37.78274154663086
2014-01-24,36.404579162597656
2014-01-27,35.9625129699707
2014-01-28,35.98851776123047
2014-01-29,35.53779220581055
2014-01-30,35.72848129272461
2014-01-31,35.41644287109375
2014-02-03,34.92237854003906
2014-02-04,35.139076232910156
2014-02-05,35.01771545410156
2014-02-06,34.7750358581543
2014-02-07,35.243080139160156
2014-02-10,35.468441009521484
2014-02-11,36.05784606933594
2014-02-12,36.0665168762207
2014-02-13,36.20520782470703
2014-02-14,36.283206939697266
2014-02-18,36.2918815612793
2014-02-19,35.667808532714844
2014-02-20,36.14453125
2014-02-21,36.0405158996582
2014-02-24,36.41323471069336
2014-02-25,33.85624694824219
2014-02-26,33.82157897949219
2014-02-27,33.96025848388672
2014-02-28,34.24629211425781
2014-03-03,34.17694854736328
2014-03-04,34.23762130737305
2014-03-05,34.31562805175781
2014-03-06,34.27229309082031
2014-03-07,34.514991760253906
2014-03-10,34.41098403930664
2014-03-11,34.393646240234375
2014-03-12,34.8963737487793
2014-03-13,34.48033142089844
2014-03-14,33.786903381347656
2014-03-17,33.70888900756836
2014-03-18,33.630889892578125
2014-03-19,33.578880310058594
2014-03-20,33.61354064941406
2014-03-21,33.760887145996094
2014-03-24,33.89091110229492
2014-03-25,34.00360107421875
2014-03-26,33.52687454223633
2014-03-27,33.4921989440918
2014-03-28,33.98625946044922
2014-03-31,34.35029983520508
2014-04-01,34.436981201171875
2014-04-02,34.6016731262207
2014-04-03,34.8877067565918
2014-04-04,34.185611724853516
2014-04-07,34.168277740478516
2014-04-08,34.46298599243164
2014-04-09,34.66234588623047
2014-04-10,33.691551208496094
2014-04-11,33.71755599975586
2014-04-14,33.55288314819336
2014-04-15,34.09894943237305
2014-04-16,34.15961837768555
2014-04-17,34.67967987060547
2014-04-21,35.17374038696289
2014-04-22,34.87036895751953
2014-04-23,35.0263786315918
2014-04-24,35.199737548828125
2014-04-25,34.714359283447266
2014-04-28,35.182403564453125
2014-04-29,35.21708297729492
2014-04-30,35.745819091796875
2014-05-01,35.82382583618164
2014-05-02,35.71115493774414
2014-05-05,35.71115493774414
2014-05-06,35.75448226928711
2014-05-07,36.00584411621094
2014-05-08,37.635379791259766
2014-05-09,37.5487060546875
2014-05-12,38.01676940917969
2014-05-13,38.658180236816406
2014-05-14,38.710182189941406
2014-05-15,39.81099319458008
2014-05-16,40.097023010253906
2014-05-19,40.02768325805664
2014-05-20,39.51628494262695
2014-05-21,39.39494323730469
2014-05-22,39.58562469482422
2014-05-23,39.77632141113281
2014-05-27,39.57696533203125
2014-05-28,39.82832717895508
2014-05-29,39.67993927001953
2014-05-30,39.72359085083008
2014-06-02,40.04654312133789
2014-06-03,39.56647491455078
2014-06-04,39.758487701416016
2014-06-05,39.90687942504883
2014-06-06,40.15127944946289
2014-06-09,40.029083251953125
2014-06-10,39.77595520019531
2014-06-11,39.426815032958984
2014-06-12,38.94673538208008
2014-06-13,38.99037551879883
2014-06-16,38.920555114746094
2014-06-17,38.70234680175781
2014-06-18,38.903099060058594
2014-06-19,38.96420669555664
2014-06-20,38.83327865600586
